time,close,high,low,open,volumefrom,volumeto
2014-10-13,0.005972,0.007746,0.000732,0.002146,99868.76,596.42
2014-10-14,0.001116,0.006123,0.0007942,0.006123,75193.08,83.92
2014-10-15,0.00114,0.003932,0.0007863,0.001105,50305.94,57.35
2014-10-16,0.001139,0.007595,0.001101,0.001101,35543.98,40.48
2014-10-17,0.001141,0.001758,0.001141,0.001141,2001.84,2.28
2014-10-18,0.0004339,0.001173,0.0004339,0.001173,5952.43,2.58
2014-10-19,0.0003873,0.0004299,0.0003873,0.0004299,55664.0,21.56
2014-10-20,0.007117,0.007117,0.0003804,0.0003804,70271.59,500.12
2014-10-21,0.005655,0.007154,0.0009597,0.007154,3369.69,19.06
2014-10-22,0.003789,0.005604,0.001895,0.005604,16609.97,62.94
2014-10-23,0.001779,0.004977,0.001427,0.003558,3087.0,5.49
2014-10-24,0.005248,0.005248,0.001776,0.001776,13168.04,69.11
2014-10-25,0.005111,0.005125,0.005027,0.005125,7559.72,38.64
2014-10-26,0.001743,0.005139,0.001743,0.005139,14500.0,25.27
2014-10-27,0.002801,0.00509,0.00175,0.00175,67946.54,190.32
2014-10-28,0.005487,0.005613,0.002808,0.002808,33191.55,182.12
2014-10-29,0.005342,0.005342,0.005238,0.005238,7310.9,39.05
2014-10-30,0.003521,0.008622,0.001828,0.005497,167905.44,591.2
2014-10-31,0.006082,0.01126,0.003416,0.00345,171094.22,1040.6
2014-11-01,0.00605,0.00605,0.00232,0.005858,18076.77,109.36
2014-11-02,0.002293,0.005996,0.002293,0.005996,9183.12,21.06
2014-11-03,0.006015,0.006015,0.002305,0.002305,12325.16,74.14
2014-11-04,0.002624,0.006084,0.002624,0.006084,24078.49,63.18
2014-11-05,0.004563,0.006317,0.002704,0.002704,50355.03,229.77
2014-11-06,0.005041,0.01021,0.004346,0.004694,49199.23,248.01
2014-11-07,0.00616,0.01196,0.004786,0.004957,34706.75,213.79
2014-11-08,0.008932,0.01095,0.005153,0.006191,20160.99,180.08
2014-11-09,0.009051,0.01086,0.009051,0.009413,8592.55,77.77
2014-11-10,0.00992,0.01168,0.009179,0.009179,61416.97,609.26
2014-11-11,0.01077,0.01077,0.009136,0.009874,17686.18,190.48
2014-11-12,0.004973,0.01291,0.004973,0.01274,20011.55,99.52
2014-11-13,0.01029,0.01243,0.004287,0.004935,18183.1,187.1
2014-11-14,0.007336,0.01213,0.007336,0.009517,26702.19,195.89
2014-11-15,0.008622,0.01118,0.006935,0.006935,8224.19,70.91
2014-11-16,0.01774,0.03459,0.007327,0.008869,34600.74,613.82
2014-11-17,0.009617,0.0223,0.009233,0.0177,22742.4,218.71
2014-11-18,0.007212,0.009479,0.007212,0.009479,11094.25,80.01
2014-11-19,0.01525,0.01525,0.007247,0.007255,10928.04,166.65
2014-11-20,0.007503,0.01429,0.006792,0.01429,15999.34,120.04
2014-11-21,0.005649,0.01143,0.005639,0.007387,23943.28,135.26
2014-11-22,0.006023,0.01028,0.005653,0.005653,3714.47,22.37
2014-11-23,0.007317,0.01055,0.00626,0.00626,363.43,2.66
2014-11-24,0.007577,0.01086,0.007577,0.007577,2124.88,16.1
2014-11-25,0.006414,0.01052,0.006411,0.007529,16895.41,108.37
2014-11-26,0.01094,0.01094,0.006226,0.006226,19225.04,210.32
2014-11-27,0.006307,0.01105,0.006307,0.01105,1726.89,10.89
2014-11-28,0.006457,0.006513,0.006457,0.006457,1568.92,10.13
2014-11-29,0.006814,0.01064,0.006434,0.006434,13372.87,91.12
2014-11-30,0.006389,0.00679,0.006389,0.00679,16398.58,104.77
2014-12-01,0.006452,0.009424,0.006448,0.006452,9161.47,59.11
2014-12-02,0.006478,0.009154,0.006471,0.006486,4018.73,26.03
2014-12-03,0.006446,0.01025,0.006416,0.006416,13406.38,86.42
2014-12-04,0.006324,0.006324,0.006324,0.006324,0.0,0.0
2014-12-05,0.008685,0.008685,0.006457,0.006457,859.23,7.46
2014-12-06,0.006434,0.008654,0.006434,0.008654,756.0,4.86
2014-12-07,0.006456,0.006456,0.006438,0.006438,2255.94,14.56
2014-12-08,0.005474,0.006934,0.00408,0.006259,42018.59,230.01
2014-12-09,0.005318,0.006885,0.005283,0.005283,20802.25,110.63
2014-12-10,0.005261,0.007613,0.005254,0.005254,31243.08,164.37
2014-12-11,0.00452,0.007298,0.00452,0.005257,13344.46,60.32
2014-12-12,0.004948,0.006891,0.004594,0.004594,5781.03,28.6
2014-12-13,0.005572,0.007341,0.004875,0.004875,39781.51,221.66
2014-12-14,0.004891,0.006963,0.004192,0.00559,45835.09,224.18
2014-12-15,0.004662,0.006842,0.004662,0.004835,1980.12,9.23
2014-12-16,0.004035,0.004458,0.004035,0.004458,9465.48,38.19
2014-12-17,0.003911,0.003911,0.003911,0.003911,1426.12,5.58
2014-12-18,0.003724,0.003792,0.003724,0.003792,1671.9,6.23
2014-12-19,0.004767,0.00572,0.003496,0.003813,21215.45,101.13
2014-12-20,0.003634,0.004955,0.003634,0.004955,14800.63,53.79
2014-12-21,0.004194,0.006775,0.003549,0.003549,23286.24,97.66
2014-12-22,0.004159,0.006441,0.00399,0.004301,17956.14,74.68
2014-12-23,0.004362,0.004362,0.004211,0.004214,21347.27,93.12
2014-12-24,0.004062,0.004198,0.004062,0.004194,18518.51,75.22
2014-12-25,0.003509,0.004153,0.003509,0.004019,27948.16,98.07
2014-12-26,0.003303,0.005049,0.001026,0.00363,10201.0,33.69
2014-12-27,0.003469,0.004727,0.003157,0.003157,4010.51,13.91
2014-12-28,0.003798,0.004732,0.003482,0.003482,10681.5,40.57
2014-12-29,0.003141,0.004699,0.003141,0.003769,60286.53,189.36
2014-12-30,0.003113,0.003113,0.003113,0.003113,0.0,0.0
2014-12-31,0.003198,0.003198,0.003182,0.003182,978.49,3.13
2015-01-01,0.003149,0.003165,0.003149,0.003165,487.0,1.53
2015-01-02,0.003184,0.003467,0.003152,0.003152,301.8,0.9609
2015-01-03,0.002946,0.004278,0.0029,0.0029,13468.55,39.68
2015-01-04,0.00265,0.003952,0.0008471,0.002716,59181.21,156.83
2015-01-05,0.002757,0.004106,0.002751,0.002751,19175.39,52.87
2015-01-06,0.00282,0.00367,0.00282,0.002831,7308.1,20.61
2015-01-07,0.003205,0.004079,0.00291,0.00291,27162.36,87.06
2015-01-08,0.003112,0.005267,0.00311,0.00311,82055.27,255.36
2015-01-09,0.00288,0.003312,0.00288,0.003171,13586.4,39.13
2015-01-10,0.002731,0.003526,0.002731,0.002734,6750.61,18.44
2015-01-11,0.002383,0.002912,0.002383,0.002645,4033.59,9.61
2015-01-12,0.002155,0.002424,0.002155,0.002424,2567.3,5.53
2015-01-13,0.002213,0.002875,0.00177,0.00177,31955.1,70.72
2015-01-14,0.001319,0.002142,0.001319,0.001649,17729.12,23.38
2015-01-15,0.001068,0.002098,0.001068,0.001678,25360.06,27.08
2015-01-16,0.001966,0.002483,0.001053,0.001053,11062.02,21.75
2015-01-17,0.00127,0.001897,0.00127,0.001897,2442.49,3.1
2015-01-18,0.001474,0.00158,0.00134,0.00134,810.54,1.19
2015-01-19,0.001621,0.002159,0.001511,0.001511,22584.2,36.61
2015-01-20,0.002108,0.003011,0.001581,0.001581,24008.93,50.61
2015-01-21,0.002419,0.003308,0.002284,0.002284,24162.05,58.45
2015-01-22,0.002332,0.002467,0.002332,0.002467,1665.42,3.88
2015-01-23,0.002322,0.002326,0.002322,0.002326,2635.36,6.12
2015-01-24,0.001578,0.002606,0.001576,0.002482,24858.05,39.23
2015-01-25,0.001591,0.002496,0.001591,0.001603,1722.37,2.74
2015-01-26,0.00232,0.003381,0.001699,0.001699,103266.42,239.58
2015-01-27,0.001988,0.002633,0.001975,0.002269,49355.11,98.12
2015-01-28,0.001502,0.001785,0.0015,0.001783,3230.64,4.85
2015-01-29,0.001488,0.001493,0.001486,0.001488,814.95,1.21
2015-01-30,0.001484,0.001495,0.001472,0.001475,13746.73,20.4
2015-01-31,0.001398,0.001401,0.001398,0.001398,12207.21,17.07
2015-02-01,0.001442,0.001444,0.001442,0.001442,8107.18,11.69
2015-02-02,0.00151,0.001529,0.00151,0.001529,11636.91,17.57
2015-02-03,0.001437,0.001669,0.001437,0.001437,10841.54,15.58
2015-02-04,0.00143,0.001432,0.00143,0.001432,9215.05,13.18
2015-02-05,0.001598,0.001598,0.001366,0.001366,3548.11,5.67
2015-02-06,0.001409,0.001645,0.001409,0.001645,10332.37,14.56
2015-02-07,0.001617,0.002384,0.001439,0.001439,35297.33,57.08
2015-02-08,0.001425,0.001588,0.001425,0.001588,5322.84,7.59
2015-02-09,0.001388,0.001761,0.001388,0.001404,8342.32,11.58
