time,close,high,low,open,volumefrom,volumeto
2018-02-20,0.6924,0.8216,0.5771,0.8104,5076.95,3515.28
2018-02-21,0.6729,0.761,0.5295,0.648,6752.61,4543.83
2018-02-22,0.5256,0.6705,0.4503,0.6705,5410.75,2843.89
2018-02-23,0.6218,0.6702,0.5092,0.5096,2406.8,1496.55
2018-02-24,0.6972,0.6981,0.5028,0.5931,2977.94,2076.22
2018-02-25,0.5831,0.6903,0.4548,0.6903,1137.88,663.5
2018-02-26,0.7411,0.7411,0.4842,0.6167,3027.91,2243.98
2018-02-27,0.4771,0.7604,0.4707,0.7604,3711.39,1770.7
2018-02-28,0.5822,0.599,0.4635,0.4654,2537.36,1477.25
2018-03-01,0.492,0.6053,0.4907,0.5369,10515.16,5173.46
2018-03-02,0.5537,0.6318,0.4953,0.4976,3199.81,1771.73
2018-03-03,0.6407,0.6644,0.5172,0.5751,2130.12,1364.77
2018-03-04,0.5203,0.6501,0.5203,0.6429,862.71,448.87
2018-03-05,0.628,0.6314,0.5175,0.5175,2749.76,1726.85
2018-03-06,0.4765,0.5893,0.4754,0.5893,9174.87,4371.83
2018-03-07,0.4723,0.5252,0.4185,0.4407,4914.06,2320.91
2018-03-08,0.4855,0.4923,0.3936,0.4432,5550.37,2694.7
2018-03-09,0.4529,0.5355,0.4124,0.5103,598.02,270.84
2018-03-10,0.3529,0.4665,0.3522,0.4306,5077.92,1792.0
2018-03-11,0.4119,0.508,0.3818,0.3828,3124.9,1287.15
2018-03-12,0.4244,0.4244,0.366,0.3945,4159.2,1765.16
2018-03-13,0.3691,0.457,0.3679,0.3853,2751.47,1015.57
2018-03-14,0.3665,0.4764,0.3311,0.3311,4891.64,1792.79
2018-03-15,0.3367,0.5502,0.3335,0.4176,4772.32,1606.84
2018-03-16,0.4104,0.5534,0.3313,0.3373,7632.27,3132.28
2018-03-17,0.3931,0.5275,0.317,0.3906,6570.68,2582.93
2018-03-18,0.409,0.4367,0.33,0.4367,1415.72,579.03
2018-03-19,0.6869,0.6869,0.3794,0.4293,4258.41,2925.1
2018-03-20,0.5626,0.8947,0.5084,0.7106,6368.34,3582.83
2018-03-21,0.6042,0.6406,0.548,0.562,17749.48,10724.24
2018-03-22,0.5983,0.6277,0.5023,0.5915,29939.68,17912.91
2018-03-23,0.6365,0.6729,0.474,0.6118,47172.28,30025.16
2018-03-24,0.531,0.6337,0.456,0.6042,20760.84,11024.01
2018-03-25,0.4715,0.5823,0.4402,0.5263,9935.99,4684.82
2018-03-26,0.4582,0.4883,0.4295,0.4537,13244.32,6068.55
2018-03-27,0.5195,0.5618,0.4147,0.4379,21635.59,11239.69
2018-03-28,0.5375,0.5636,0.4623,0.5371,28048.63,15076.14
2018-03-29,0.4888,0.5223,0.4678,0.4899,19869.13,9712.03
