time,close,high,low,open,volumefrom,volumeto
2018-04-30,2.04,2.29,1.96,2.22,10019401.31,20439578.67
2018-05-01,2.1,2.17,1.87,2.0,20047349.3,42099433.53
2018-05-02,1.98,2.17,1.93,2.14,20354479.59,40301869.59
2018-05-03,2.02,2.28,2.02,2.09,24393192.99,49274249.84
2018-05-04,2.06,2.23,1.99,2.01,23704217.17,48830687.37
2018-05-05,1.92,2.19,1.92,2.09,23819496.64,45733433.55
2018-05-06,1.87,1.95,1.75,1.88,22944216.59,42905685.02
2018-05-07,1.87,1.89,1.64,1.82,19599552.13,36651162.48
2018-05-08,1.79,1.98,1.71,1.83,20399569.83,36515230.0
2018-05-09,1.81,1.89,1.7,1.82,19390027.91,35095950.52
2018-05-10,1.71,1.81,1.7,1.75,19024000.55,32531040.94
2018-05-11,1.44,1.64,1.34,1.59,22906253.57,32985005.14
2018-05-12,1.35,1.46,1.16,1.45,21458514.53,28968994.62
2018-05-13,1.46,1.6,1.37,1.38,19902171.35,29057170.17
2018-05-14,1.66,1.69,1.36,1.46,18519090.9,30741690.89
2018-05-15,1.61,1.68,1.54,1.61,20406456.87,32854395.56
2018-05-16,1.6,1.65,1.49,1.58,20352789.8,32564463.68
2018-05-17,1.53,1.64,1.51,1.55,24372028.11,37289203.01
2018-05-18,1.55,1.58,1.51,1.57,20779565.83,32208327.04
2018-05-19,1.94,1.98,1.54,1.55,22476413.9,43604242.97
2018-05-20,1.82,2.09,1.8,2.01,22493872.75,40938848.41
2018-05-21,1.74,1.91,1.69,1.8,22690330.79,39481175.57
2018-05-22,1.52,1.65,1.51,1.65,20903122.5,31772746.2
2018-05-23,1.36,1.45,1.29,1.43,24032069.44,32683614.44
2018-05-24,1.46,1.47,1.33,1.38,22715661.46,33164865.73
2018-05-25,1.48,1.5,1.39,1.44,18752980.49,27754411.13
2018-05-26,1.42,1.49,1.4,1.45,17926489.33,25455614.85
2018-05-27,1.39,1.44,1.37,1.42,14695873.04,20427263.53
2018-05-28,1.18,1.35,1.18,1.35,13239655.57,15622793.57
2018-05-29,1.33,1.35,1.24,1.24,11407706.91,15172250.19
2018-05-30,1.29,1.34,1.25,1.32,12411808.22,16011232.6
2018-05-31,1.38,1.42,1.27,1.31,9379128.7,12943197.61
2018-06-01,1.37,1.41,1.32,1.38,10108591.73,13848770.67
2018-06-02,1.4,1.46,1.38,1.39,7944823.47,11122752.86
2018-06-03,1.37,1.43,1.35,1.41,8411333.94,11523527.5
2018-06-04,1.29,1.35,1.26,1.33,7908313.33,10201724.2
2018-06-05,1.3,1.34,1.27,1.32,7985074.24,10380596.51
2018-06-06,1.29,1.32,1.28,1.31,8034660.32,10364711.81
2018-06-07,1.28,1.31,1.26,1.3,7543235.69,9655341.68
2018-06-08,1.24,1.27,1.23,1.27,7433009.06,9216931.23
2018-06-09,1.24,1.24,1.16,1.22,6351082.24,7875341.98
2018-06-10,0.9321,1.11,0.7668,1.11,4485278.34,4180727.94
2018-06-11,0.925,0.989,0.8513,0.9505,4121389.58,3812285.36
2018-06-12,0.8504,0.8819,0.7947,0.8806,4229526.21,3596789.09
2018-06-13,0.7711,0.8696,0.7396,0.8197,4228377.6,3260501.97
2018-06-14,0.7932,0.8483,0.7779,0.8118,4316609.96,3423935.02
2018-06-15,0.79,0.8047,0.7446,0.7625,4462522.54,3525392.81
2018-06-16,0.7739,0.8317,0.7654,0.8031,4343250.48,3361241.55
2018-06-17,0.7614,0.7866,0.7562,0.7678,3888268.1,2960527.33
2018-06-18,0.7729,0.7937,0.7547,0.7917,3788953.13,2928481.87
2018-06-19,0.8083,0.8137,0.7537,0.7773,9221542.05,7453772.44
2018-06-20,0.7836,0.8262,0.7803,0.8107,17856325.03,13992216.29
2018-06-21,0.7863,0.7924,0.7608,0.7789,11968364.78,9410725.23
2018-06-22,0.6215,0.7812,0.6191,0.708,12110405.82,7526617.22
2018-06-23,0.557,0.6395,0.5465,0.6333,10980072.16,6115900.19
2018-06-24,0.5714,0.5979,0.5029,0.5563,10763822.41,6150448.13
2018-06-25,0.7926,0.9153,0.5575,0.5805,9774953.9,7747628.46
2018-06-26,0.7775,0.8499,0.7087,0.7708,11816932.92,9187665.35
2018-06-27,0.7671,0.8549,0.7431,0.7831,11423292.23,8762807.47
2018-06-28,0.6511,0.7527,0.6453,0.731,10248107.33,6672542.68
2018-06-29,0.7128,0.737,0.6539,0.6892,8657716.0,6171219.96
2018-06-30,0.7535,0.8454,0.7235,0.735,6414133.17,4833049.34
2018-07-01,0.7315,0.7886,0.7017,0.748,5899959.32,4315820.24
2018-07-02,0.7396,0.7648,0.6927,0.7641,6479203.71,4792019.06
2018-07-03,0.7206,0.7571,0.7063,0.7239,6326955.9,4559204.42
2018-07-04,0.7401,0.7605,0.7018,0.7295,5864763.39,4340511.38
2018-07-05,0.8704,0.877,0.7247,0.7339,9129251.79,7946100.76
2018-07-06,0.8292,0.9758,0.785,0.8814,7853076.11,6511770.71
2018-07-07,0.7995,0.8542,0.7853,0.8488,6157440.72,4922873.86
2018-07-08,0.7828,0.8183,0.7781,0.7935,5685580.81,4450672.66
2018-07-09,0.7482,0.7909,0.7476,0.7776,6397529.42,4786631.51
2018-07-10,0.5956,0.7083,0.5908,0.7076,6661305.47,3967473.54
2018-07-11,0.5912,0.6593,0.5513,0.6013,6408031.81,3788428.41
2018-07-12,0.584,0.5905,0.5603,0.578,6525566.13,3810930.62
2018-07-13,0.5373,0.5994,0.5047,0.5818,6700600.42,3600232.61
