time,close,high,low,open,volumefrom,volumeto
2017-07-17,0.172,0.2635,0.1324,0.1324,47331544.98,8141025.74
2017-07-18,0.1755,0.2186,0.1645,0.1809,36338563.86,6377417.96
2017-07-19,0.146,0.1848,0.1168,0.1727,17325519.42,2529525.84
2017-07-20,0.1561,0.2064,0.1497,0.1833,12696048.08,1981853.11
2017-07-21,0.1521,0.1619,0.1446,0.1457,6750636.14,1026771.76
2017-07-22,0.1852,0.1984,0.1589,0.1612,8779148.48,1625898.3
2017-07-23,0.1842,0.1926,0.1714,0.18,5358360.78,987010.06
2017-07-24,0.2039,0.2334,0.1822,0.1846,22199413.74,4526460.46
2017-07-25,0.1755,0.2006,0.1676,0.1906,11706559.1,2054501.12
2017-07-26,0.1736,0.1822,0.1614,0.1739,5669628.7,984247.54
2017-07-27,0.1636,0.1865,0.1607,0.1826,5320159.72,870378.13
2017-07-28,0.1532,0.174,0.1489,0.1706,5775355.8,884784.51
2017-07-29,0.1683,0.1704,0.1483,0.1492,3362880.69,565972.82
2017-07-30,0.1649,0.1741,0.1574,0.1704,2824864.15,465820.1
2017-07-31,0.1639,0.1746,0.1637,0.1719,3067020.58,502684.67
2017-08-01,0.1726,0.1836,0.1541,0.1562,4325936.65,746656.67
2017-08-02,0.1629,0.1712,0.1594,0.1709,4482309.7,730168.25
2017-08-03,0.1757,0.1822,0.1612,0.1683,3831717.46,673232.76
2017-08-04,0.1964,0.2,0.1748,0.1799,7305371.6,1434774.98
2017-08-05,0.2128,0.2353,0.1993,0.2227,9807034.45,2086936.93
2017-08-06,0.2087,0.2208,0.2014,0.2108,5179577.38,1080977.8
2017-08-07,0.1978,0.2211,0.1968,0.2197,6417448.85,1269371.38
2017-08-08,0.2053,0.2203,0.1956,0.1994,6858003.4,1407948.1
2017-08-09,0.2248,0.2276,0.1946,0.2005,6229207.6,1400325.87
2017-08-10,0.458,0.4793,0.2224,0.2299,87180606.58,39928717.81
2017-08-11,0.6432,0.7305,0.4798,0.4886,66266460.34,42622587.29
2017-08-12,0.5571,0.743,0.5223,0.6814,23988360.43,13363915.6
2017-08-13,0.7621,0.7678,0.5123,0.5846,21603757.83,16464223.84
2017-08-14,0.6405,0.8223,0.5895,0.8119,18217147.24,11668082.81
2017-08-15,0.5947,0.6363,0.5493,0.6159,10492246.41,6239738.94
2017-08-16,0.6191,0.6884,0.6059,0.627,11996817.28,7427229.58
2017-08-17,0.5712,0.6354,0.5143,0.6038,12954401.63,7399554.21
2017-08-18,0.4959,0.5661,0.4286,0.5481,12610004.02,6253300.99
2017-08-19,0.5686,0.6396,0.4341,0.5014,12095976.21,6877772.07
2017-08-20,0.5653,0.6055,0.5108,0.5571,8922948.56,5044142.82
2017-08-21,0.4938,0.5964,0.4846,0.5567,7301435.84,3605449.02
2017-08-22,0.4834,0.5394,0.4703,0.5043,5344110.05,2583342.8
2017-08-23,0.5098,0.574,0.4659,0.4895,10774807.49,5492996.86
2017-08-24,0.5286,0.6007,0.5014,0.5316,10603947.53,5605246.66
2017-08-25,0.5019,0.5661,0.4831,0.5342,4618627.5,2318089.14
2017-08-26,0.5171,0.5458,0.4835,0.5005,5359747.87,2771525.62
2017-08-27,0.5171,0.5293,0.5041,0.5163,4518581.55,2336558.52
2017-08-28,0.5317,0.5813,0.5128,0.5224,8437113.19,4486013.08
2017-08-29,0.5397,0.5931,0.5204,0.5567,9448054.8,5099115.18
2017-08-30,0.5151,0.5477,0.4899,0.538,6250938.5,3219858.42
2017-08-31,0.5213,0.5507,0.492,0.5322,8178837.4,4263627.94
2017-09-01,0.4922,0.5424,0.4775,0.5419,7708220.69,3793986.22
2017-09-02,0.4389,0.4734,0.4172,0.4574,7525725.61,3303040.97
2017-09-03,0.4381,0.4511,0.4154,0.4427,4194804.38,1837743.8
2017-09-04,0.3761,0.4057,0.2963,0.4053,11640534.59,4378005.06
2017-09-05,0.4255,0.4519,0.3476,0.3886,7814087.46,3324894.21
2017-09-06,0.4553,0.466,0.4231,0.4457,5237167.74,2384482.47
2017-09-07,0.4307,0.4586,0.4173,0.4569,4319039.44,1860210.29
2017-09-08,0.382,0.4281,0.3485,0.402,7184925.73,2744641.63
2017-09-09,0.4009,0.4219,0.3664,0.3827,3479856.62,1395074.52
2017-09-10,0.4955,0.5745,0.3914,0.3926,27293587.8,13523972.75
2017-09-11,0.4534,0.5209,0.4281,0.4922,12237131.96,5548315.63
2017-09-12,0.4217,0.47,0.4119,0.4471,7851369.02,3310922.32
2017-09-13,0.3921,0.418,0.3566,0.3924,6259734.29,2454441.82
2017-09-14,0.308,0.3616,0.3016,0.3285,5951017.39,1832913.36
2017-09-15,0.3574,0.3717,0.3232,0.3527,5992866.03,2141850.32
2017-09-16,0.3585,0.3698,0.349,0.356,2913334.07,1044430.26
