time,close,high,low,open,volumefrom,volumeto
2018-07-18,0.9006,0.9034,0.8536,0.8709,212.0,190.93
2018-07-19,0.7672,4.17,0.3749,0.8811,31393.0,24084.71
2018-07-20,0.7078,1.06,0.6212,0.7348,26704.0,18901.09
2018-07-21,0.7543,0.7626,0.4712,0.7271,11860.0,8946.0
2018-07-22,0.7492,0.7789,0.6453,0.7487,3258.0,2440.89
2018-07-23,0.7257,0.7994,0.58,0.736,17674.0,12826.02
2018-07-24,0.6808,0.7767,0.6233,0.7739,9066.0,6172.13
2018-07-25,0.5816,0.6692,0.5184,0.6692,9425.0,5481.58
2018-07-26,0.73,0.73,0.4529,0.5701,14740.0,10760.2
2018-07-27,0.7045,0.7515,0.4744,0.7421,6367.0,4485.55
2018-07-28,0.7005,0.7028,0.5543,0.7028,3167.0,2218.48
2018-07-29,0.7217,0.7548,0.5548,0.6303,6473.0,4671.56
2018-07-30,0.6214,0.7068,0.4881,0.7068,11831.0,7351.78
2018-07-31,0.4786,0.5879,0.4786,0.5879,660.0,315.88
2018-08-01,0.5106,0.511,0.4652,0.4652,92.0,46.98
2018-08-02,0.4979,0.4996,0.4396,0.4996,821.0,408.78
2018-08-03,0.4878,0.5062,0.4469,0.5062,310.0,151.22
2018-08-04,0.4313,0.4753,0.4313,0.4753,173.0,74.61
2018-08-05,0.4975,0.4975,0.09497,0.4333,2519.0,1253.2
2018-08-06,0.5098,0.5945,0.4689,0.4928,2126.0,1083.83
2018-08-07,0.4932,0.5529,0.4392,0.4758,452.0,222.93
2018-08-08,0.3519,0.464,0.2855,0.464,17113.0,6022.06
2018-08-09,0.4355,0.4475,0.3157,0.3598,9096.0,3961.31
2018-08-10,0.4974,0.4974,0.3588,0.3972,1458.0,725.21
2018-08-11,0.4824,0.4831,0.457,0.477,362.0,174.63
2018-08-12,0.4821,0.4827,0.3634,0.4827,994.0,479.21
2018-08-13,0.4303,0.4303,0.3613,0.4303,80.0,34.42
2018-08-14,0.3484,0.4216,0.2794,0.4216,1813.0,631.65
2018-08-15,0.3994,0.3994,0.2824,0.3521,878.0,350.67
2018-08-16,0.4004,0.4073,0.3674,0.4073,102.0,40.84
2018-08-17,0.4122,0.4433,0.4122,0.4433,9.0,3.71
2018-08-18,0.3827,0.3827,0.3827,0.3827,0.0,0.0
2018-08-19,0.3814,0.3889,0.3485,0.3889,171.0,65.22
2018-08-20,0.3331,0.345,0.2879,0.3447,906.0,301.79
2018-08-21,0.3455,0.3458,0.3455,0.3458,10.0,3.45
2018-08-22,0.3315,0.3323,0.3109,0.3323,122.0,40.44
2018-08-23,0.3382,0.3382,0.3382,0.3382,0.0,0.0
2018-08-24,0.345,0.345,0.345,0.345,0.0,0.0
2018-08-25,0.3403,0.3403,0.3403,0.3403,0.0,0.0
2018-08-26,0.3363,0.3363,0.3363,0.3363,0.0,0.0
2018-08-27,0.3531,0.3531,0.3531,0.3531,0.0,0.0
2018-08-28,0.3623,0.3623,0.3623,0.3623,0.0,0.0
2018-08-29,0.3539,0.3539,0.3539,0.3539,0.0,0.0
2018-08-30,0.3484,0.3484,0.3484,0.3484,0.0,0.0
2018-08-31,0.3453,0.3453,0.3453,0.3453,0.0,0.0
2018-09-01,0.3621,0.3621,0.3621,0.3621,0.0,0.0
2018-09-02,0.3617,0.3617,0.3617,0.3617,0.0,0.0
2018-09-03,0.3543,0.3543,0.3543,0.3543,0.0,0.0
2018-09-04,0.3497,0.3497,0.3497,0.3497,0.0,0.0
2018-09-05,0.2799,0.2799,0.2799,0.2799,0.0,0.0
2018-09-06,0.2814,0.2814,0.2814,0.2814,0.0,0.0
2018-09-07,0.2638,0.2638,0.2638,0.2638,0.0,0.0
2018-09-08,0.4112,0.9803,0.03392,0.2412,1555.0,639.42
2018-09-09,0.3687,0.4096,0.3351,0.4096,474.0,174.76
2018-09-10,0.3627,0.3708,0.2172,0.3708,574.0,208.19
2018-09-11,0.3847,0.7126,0.204,0.3407,2794.0,1074.85
2018-09-12,0.3847,0.4517,0.3295,0.3803,5403.0,2078.53
2018-09-13,0.3879,0.4441,0.3879,0.4441,3761.0,1458.89
2018-09-14,0.3463,0.3835,0.3463,0.3835,288.0,99.73
2018-09-15,0.3661,0.3675,0.3661,0.3675,103.0,37.71
2018-09-16,0.3636,0.3636,0.3636,0.3636,0.0,0.0
2018-09-17,0.3239,0.3239,0.3239,0.3239,0.0,0.0
2018-09-18,0.3107,0.3443,0.3107,0.3443,86.0,26.72
2018-09-19,0.4206,0.4206,0.3119,0.3128,336.0,141.32
2018-09-20,0.3023,0.4506,0.2248,0.4506,2438.0,737.01
2018-09-21,0.351,0.4704,0.3331,0.3331,811.0,284.66
2018-09-22,0.1495,0.3412,0.1495,0.3412,204.0,30.5
2018-09-23,0.2641,0.2641,0.1519,0.1519,194.0,51.24
2018-09-24,0.3134,0.3134,0.1391,0.2462,204.0,63.93
2018-09-25,0.2275,0.3014,0.2275,0.3014,31.0,7.05
2018-09-26,0.2223,0.2223,0.2223,0.2223,5.0,1.11
2018-09-27,0.1879,0.2378,0.1539,0.2378,1575.0,295.94
2018-09-28,0.1871,0.198,0.1489,0.1817,429.0,80.27
2018-09-29,0.2012,0.2012,0.1647,0.1953,1267.0,254.92
2018-09-30,0.2093,0.2093,0.1738,0.2023,209.0,43.74
2018-10-01,0.2078,0.2078,0.1609,0.2078,143.0,29.72
2018-10-02,0.2029,0.2029,0.2028,0.2028,123.0,24.96
2018-10-03,0.302,0.302,0.198,0.198,65.0,19.63
2018-10-04,0.3045,0.3045,0.2661,0.3045,645.0,196.4
2018-10-05,0.2762,0.3874,0.2124,0.3129,1710.0,472.3
2018-10-06,0.2031,0.2725,0.2031,0.2722,427.0,86.72
2018-10-07,0.2615,0.2615,0.2041,0.2041,334.0,87.34
2018-10-08,0.2075,0.2658,0.2075,0.2658,10.0,2.07
2018-10-09,0.2637,0.2637,0.2059,0.2059,477.0,125.78
2018-10-10,0.218,0.2611,0.218,0.2611,1.0,0.218
2018-10-11,0.1844,0.2827,0.1791,0.1837,783.0,144.39
2018-10-12,0.2416,0.2508,0.1904,0.1904,5.0,1.21
2018-10-13,0.2204,0.2459,0.1698,0.2459,9.0,1.98
2018-10-14,0.2155,0.2155,0.2155,0.2155,0.0,0.0
2018-10-15,0.1795,0.2329,0.1795,0.2329,10.0,1.8
2018-10-16,0.179,0.179,0.179,0.179,29.0,5.19
2018-10-17,0.2242,0.2242,0.1768,0.1768,92.0,20.63
2018-10-18,0.2138,0.2138,0.1725,0.1725,875.0,187.08
2018-10-19,0.2475,0.2633,0.1728,0.2142,2258.0,558.86
2018-10-20,0.4512,0.4512,0.2219,0.2502,1700.0,767.04
2018-10-21,0.4742,0.7781,0.3948,0.4505,3520.0,1669.18
2018-10-22,0.4027,0.4715,0.4027,0.4715,3.0,1.21
2018-10-23,0.2465,0.4866,0.2465,0.4029,85.0,20.95
2018-10-24,0.3681,0.3681,0.2455,0.2455,12.0,4.42
2018-10-25,0.3662,0.3662,0.365,0.365,17.0,6.23
2018-10-26,0.4881,0.4881,0.3701,0.3701,8.0,3.9
2018-10-27,0.4867,0.4867,0.4867,0.4867,0.0,0.0
2018-10-28,0.4889,0.4889,0.4889,0.4889,0.0,0.0
2018-10-29,0.4696,0.4696,0.3483,0.4696,305.0,143.23
2018-10-30,0.4446,0.4446,0.3198,0.3198,87.0,38.68
2018-10-31,0.425,0.425,0.2869,0.3336,448.0,190.4
2018-11-01,0.28,0.4269,0.28,0.4269,564.0,157.92
2018-11-02,0.3297,0.3331,0.2832,0.2832,155.0,51.1
2018-11-03,0.3271,0.3271,0.3271,0.3271,0.0,0.0
2018-11-04,0.2939,0.3465,0.2939,0.3465,116.0,34.09
2018-11-05,0.2917,0.2917,0.2917,0.2917,338.0,98.59
2018-11-06,0.2681,0.3054,0.2681,0.3054,111.0,29.76
2018-11-07,0.3268,0.3268,0.2662,0.2662,100.0,32.68
2018-11-08,0.3167,0.3167,0.3167,0.3167,0.0,0.0
2018-11-09,0.3139,0.3139,0.3139,0.3139,0.0,0.0
2018-11-10,0.3653,0.4238,0.3176,0.3176,3143.0,1148.14
2018-11-11,0.3859,0.3864,0.365,0.365,64.0,24.7
2018-11-12,0.3042,0.3843,0.3042,0.3843,251.0,76.35
2018-11-13,0.3536,0.3536,0.2979,0.2979,52.0,18.39
2018-11-14,0.3653,0.3653,0.3035,0.313,205.0,74.89
2018-11-15,0.2986,0.3629,0.2986,0.3629,61.0,18.21
2018-11-16,0.2804,0.2876,0.2797,0.2876,278.0,77.95
2018-11-17,0.2794,0.2794,0.2794,0.2794,0.0,0.0
2018-11-18,0.261,0.3543,0.261,0.2848,24.0,6.26
2018-11-19,0.224,0.2564,0.2179,0.2179,853.0,191.07
2018-11-20,0.2003,0.2262,0.1975,0.1975,624.0,124.99
2018-11-21,0.2091,0.2091,0.2091,0.2091,0.0,0.0
2018-11-22,0.1855,0.1949,0.1855,0.1912,12.0,2.23
2018-11-23,0.1926,0.1926,0.1833,0.1833,10.0,1.93
2018-11-24,0.176,0.176,0.176,0.176,0.0,0.0
2018-11-25,0.2002,0.2002,0.1822,0.1822,2.0,0.4004
2018-11-26,0.1867,0.1867,0.1867,0.1867,0.0,0.0
2018-11-27,0.189,0.189,0.189,0.189,0.0,0.0
2018-11-28,0.2107,0.2107,0.2107,0.2107,0.0,0.0
2018-11-29,0.2015,0.2015,0.2015,0.2015,0.0,0.0
2018-11-30,0.1936,0.1936,0.1936,0.1936,0.0,0.0
2018-12-01,0.2182,0.3108,0.2032,0.2032,943.0,205.76
2018-12-02,0.2326,0.2326,0.2135,0.2135,38.0,8.84
2018-12-03,0.2171,0.2171,0.2171,0.2171,0.0,0.0
2018-12-04,0.2203,0.2203,0.2203,0.2203,0.0,0.0
2018-12-05,0.2037,0.2037,0.2037,0.2037,0.0,0.0
2018-12-06,0.1814,0.1814,0.1814,0.1814,0.0,0.0
2018-12-07,0.1427,0.2152,0.1427,0.1878,4.0,0.5708
2018-12-08,0.1394,0.1394,0.1394,0.1394,0.0,0.0
2018-12-09,0.1439,0.1439,0.1439,0.1439,0.0,0.0
2018-12-10,0.1559,0.2265,0.1382,0.1382,115785.0,18050.88
2018-12-11,0.1627,0.163,0.1514,0.1514,435.0,70.77
2018-12-12,0.1673,0.1673,0.1673,0.1673,0.0,0.0
2018-12-13,0.1596,0.1596,0.1596,0.1596,0.0,0.0
2018-12-14,0.1314,0.155,0.1314,0.155,15.0,1.97
2018-12-15,0.1239,0.1323,0.1239,0.132,95.0,11.77
2018-12-16,0.09641,0.1255,0.09162,0.1255,824.0,79.44
2018-12-17,0.1078,0.1078,0.1078,0.1078,0.0,0.0
2018-12-18,0.1157,0.1157,0.1157,0.1157,0.0,0.0
2018-12-19,0.1592,0.1592,0.1136,0.1136,37.0,5.89
2018-12-20,0.1842,0.1842,0.1842,0.1842,0.0,0.0
2018-12-21,0.1731,0.1731,0.1731,0.1731,0.0,0.0
2018-12-22,0.1872,0.1872,0.1872,0.1872,0.0,0.0
2018-12-23,0.148,0.2081,0.148,0.2081,67.0,9.92
2018-12-24,0.1585,0.1585,0.1585,0.1585,1.0,0.1585
2018-12-25,0.2319,0.2319,0.1474,0.1474,161.0,37.34
2018-12-26,0.2623,0.4364,0.2172,0.2347,1388.0,364.07
2018-12-27,0.1913,0.252,0.1913,0.2309,487.0,93.16
2018-12-28,0.1793,0.229,0.1793,0.229,7.0,1.26
2018-12-29,0.1517,0.1762,0.1517,0.1762,438.0,66.44
2018-12-30,0.1555,0.1562,0.1555,0.1562,13.0,2.02
2018-12-31,0.1468,0.1468,0.1468,0.1468,0.0,0.0
2019-01-01,0.1409,0.1569,0.1409,0.1569,67.0,9.44
2019-01-02,0.1536,0.1546,0.1536,0.1546,10.0,1.54
2019-01-03,0.1466,0.1466,0.1466,0.1466,0.0,0.0
2019-01-04,0.1531,0.1531,0.1531,0.1531,10.0,1.53
2019-01-05,0.1526,0.1533,0.1526,0.1533,2.0,0.3052
2019-01-06,0.153,0.1549,0.153,0.1549,21.0,3.21
2019-01-07,0.1467,0.1467,0.1467,0.1467,2.0,0.2934
2019-01-08,0.1458,0.1458,0.1458,0.1458,30.0,4.37
2019-01-09,0.2851,0.2871,0.1458,0.1458,393.0,112.04
2019-01-10,0.09607,0.2413,0.08549,0.2413,912.0,87.62
2019-01-11,0.1271,0.1271,0.09547,0.09547,505.0,64.19
2019-01-12,0.1232,0.1258,0.1001,0.1258,1649.0,203.16
2019-01-13,0.1141,0.1141,0.1141,0.1141,0.0,0.0
2019-01-14,0.1125,0.1457,0.1125,0.127,58.0,6.53
2019-01-15,0.09525,0.1051,0.09525,0.1051,2.0,0.1905
2019-01-16,0.1109,0.1109,0.09675,0.09675,22.0,2.44
2019-01-17,0.1157,0.1157,0.1114,0.1114,6.0,0.6942
2019-01-18,0.1128,0.1128,0.1128,0.1128,0.0,0.0
2019-01-19,0.1066,0.1168,0.1066,0.1168,5.0,0.533
2019-01-20,0.0942,0.1011,0.0942,0.1011,157.0,14.79
2019-01-21,0.09285,0.09285,0.09285,0.09285,0.0,0.0
2019-01-22,0.1038,0.1038,0.09476,0.09476,92.0,9.55
2019-01-23,0.1025,0.1025,0.1025,0.1025,0.0,0.0
