time,close,high,low,open,volumefrom,volumeto
2018-01-31,0.2078,2911632.2,0.1678,0.1678,477759.7,99278.47
2018-02-01,0.1919,0.1919,0.1919,0.1919,0.0,0.0
2018-02-02,0.1716,0.1716,0.1716,0.1716,0.0,0.0
2018-02-03,0.1816,0.1816,0.1816,0.1816,0.0,0.0
2018-02-04,0.1548,0.1548,0.1548,0.1548,0.0,0.0
2018-02-05,0.13,0.13,0.13,0.13,0.0,0.0
2018-02-06,0.1468,0.1468,0.1468,0.1468,0.0,0.0
2018-02-07,0.1406,0.1406,0.1406,0.1406,0.0,0.0
2018-02-08,0.1155,0.1202,0.1139,0.1202,1079.96,124.74
2018-02-09,0.1247,0.1247,0.1247,0.1247,0.0,0.0
2018-02-10,0.1208,0.1208,0.1208,0.1208,0.0,0.0
2018-02-11,0.1152,0.1152,0.1152,0.1152,0.0,0.0
2018-02-12,0.09951,0.1004,0.08912,0.09258,510153.14,50765.34
2018-02-13,0.09167,0.1026,0.08662,0.09671,1047025.4,95980.82
2018-02-14,0.1196,0.1362,0.09477,0.1003,1210311.81,144753.29
2018-02-15,0.1373,0.1466,0.1169,0.1206,1352696.66,185725.25
2018-02-16,0.1313,0.1529,0.1219,0.1388,549140.48,72102.15
2018-02-17,0.1521,0.1589,0.1316,0.1355,844240.15,128408.93
2018-02-18,0.1371,0.1481,0.1279,0.1426,624546.34,85625.3
2018-02-19,0.1363,0.1428,0.1316,0.1419,410073.24,55892.98
2018-02-20,0.1222,0.1319,0.1169,0.1284,500387.37,61147.34
2018-02-21,0.1176,0.1201,0.1084,0.1176,557252.45,65532.89
2018-02-22,0.1175,0.1207,0.1102,0.1126,360250.44,42329.43
2018-02-23,0.1231,0.1248,0.1154,0.1248,363002.28,44685.58
2018-02-24,0.115,0.12,0.1109,0.12,295975.22,34037.15
2018-02-25,0.1118,0.1202,0.1092,0.116,477619.23,53397.83
2018-02-26,0.1154,0.1223,0.1085,0.1154,327665.17,37812.56
2018-02-27,0.1142,0.1203,0.1098,0.1159,287153.31,32792.91
2018-02-28,0.1013,0.1115,0.09196,0.1115,395184.58,40032.2
2018-03-01,0.1044,0.1218,0.09656,0.1035,554935.09,57935.22
2018-03-02,0.1061,0.1198,0.1027,0.1027,294734.78,31271.36
2018-03-03,0.1078,0.1121,0.1027,0.1061,250545.43,27008.8
2018-03-04,0.1098,0.1142,0.102,0.109,350233.07,38455.59
2018-03-05,0.09514,0.1079,0.09089,0.1079,294874.31,28054.34
2018-03-06,0.08809,0.09462,0.0832,0.09136,302536.96,26650.48
2018-03-07,0.08413,0.09389,0.0691,0.08112,596535.45,50186.53
2018-03-08,0.07268,0.08526,0.06988,0.07827,350248.04,25456.03
2018-03-09,0.08142,0.08505,0.06835,0.0756,351900.76,28651.76
2018-03-10,0.07778,0.07846,0.05458,0.07437,668637.6,52006.63
2018-03-11,0.07204,0.08284,0.05763,0.0814,811332.67,58448.41
2018-03-12,0.06622,0.07319,0.06427,0.0697,150552.41,9969.58
2018-03-13,0.06762,0.07107,0.06486,0.06555,119286.21,8066.13
2018-03-14,0.05396,0.0626,0.05089,0.06009,341918.64,18449.93
2018-03-15,0.06228,0.07009,0.0508,0.05373,424128.04,26414.69
2018-03-16,0.06504,0.06504,0.05645,0.06125,230281.88,14977.53
2018-03-17,0.05938,0.06543,0.05668,0.05954,186029.17,11046.41
2018-03-18,0.05336,0.05906,0.04568,0.05804,314068.25,16758.68
2018-03-19,0.05556,0.058,0.05111,0.05516,116339.72,6463.83
2018-03-20,0.06078,0.06133,0.05297,0.05576,188033.72,11428.69
