time,close,high,low,open,volumefrom,volumeto
2018-05-04,0.3075,0.3166,0.3013,0.3119,4333614.04,1332586.32
2018-05-05,0.3285,0.3453,0.3111,0.3121,7804488.44,2563774.45
2018-05-06,0.3001,0.3246,0.2859,0.3217,6753456.48,2026712.29
2018-05-07,0.2828,0.295,0.2736,0.2917,6635221.54,1876440.65
2018-05-08,0.2827,0.2913,0.2766,0.2774,6324837.69,1788031.61
2018-05-09,0.2881,0.3008,0.2789,0.2864,6538318.43,1883689.54
2018-05-10,0.2817,0.2885,0.272,0.2792,7036989.41,1982319.92
2018-05-11,0.2462,0.2652,0.2273,0.2626,7081099.42,1743366.68
2018-05-12,0.2437,0.2569,0.2212,0.2482,7477577.05,1822285.53
2018-05-13,0.2582,0.2607,0.2401,0.25,7175738.22,1852775.61
2018-05-14,0.2428,0.2584,0.2389,0.2568,6920326.7,1680255.32
2018-05-15,0.2492,0.2574,0.231,0.2373,7392267.59,1842153.08
2018-05-16,0.2332,0.2458,0.2266,0.2453,6886109.97,1605840.85
2018-05-17,0.2229,0.2332,0.2214,0.2255,7169884.0,1598167.14
2018-05-18,0.241,0.2435,0.2251,0.2278,6674417.62,1608534.65
2018-05-19,0.2424,0.2487,0.2338,0.241,7452070.84,1806381.97
2018-05-20,0.2481,0.2611,0.2462,0.2506,6994714.55,1735388.68
2018-05-21,0.2317,0.245,0.228,0.2448,7317284.76,1695414.88
2018-05-22,0.2133,0.2211,0.2051,0.2199,6544305.72,1395900.41
2018-05-23,0.1959,0.2029,0.1877,0.2003,7053653.19,1381810.66
2018-05-24,0.1971,0.1993,0.1877,0.198,7642048.52,1506247.76
2018-05-25,0.1842,0.1958,0.1804,0.1941,6803548.28,1253213.59
2018-05-26,0.2004,0.202,0.1773,0.1813,7602381.5,1523517.25
2018-05-27,0.187,0.2041,0.1819,0.2006,6969598.95,1303315.0
2018-05-28,0.1859,0.1922,0.1717,0.1809,7014207.39,1303941.15
2018-05-29,0.2009,0.2115,0.1842,0.1953,7268593.55,1460260.44
2018-05-30,0.2032,0.2038,0.1932,0.1987,7124949.02,1447789.64
2018-05-31,0.2257,0.2627,0.2051,0.2062,8830993.12,1993155.15
2018-06-01,0.2176,0.2267,0.2078,0.2266,8131082.15,1769323.48
2018-06-02,0.2197,0.2267,0.2116,0.2214,7143124.41,1569344.43
2018-06-03,0.2182,0.23,0.2135,0.2219,7312089.9,1595498.02
2018-06-04,0.2015,0.2121,0.1942,0.212,6384626.18,1286502.18
2018-06-05,0.205,0.2065,0.1841,0.2047,6039090.33,1238013.52
2018-06-06,0.1956,0.2121,0.1916,0.2059,7317662.07,1431334.7
2018-06-07,0.1913,0.1977,0.1786,0.1966,6391682.44,1222728.85
2018-06-08,0.1719,0.1911,0.161,0.1894,7725020.31,1327930.99
2018-06-09,0.1744,0.186,0.1639,0.1703,7877276.22,1373796.97
2018-06-10,0.155,0.1823,0.146,0.1572,8496406.75,1316943.05
2018-06-11,0.1539,0.1649,0.1491,0.1576,8190763.29,1260558.47
2018-06-12,0.1418,0.1545,0.1415,0.1464,7815052.83,1108174.49
