time,close,high,low,open,volumefrom,volumeto
2017-07-27,0.1323,0.2062,0.1258,0.2048,190696.21,25229.11
2017-07-28,0.08987,0.1514,0.08203,0.1247,435696.82,39156.07
2017-07-29,0.09235,0.1031,0.08246,0.09689,442807.79,40893.3
2017-07-30,0.09465,0.09819,0.0492,0.08816,568575.64,53815.68
2017-07-31,0.06805,0.09684,0.06362,0.09684,830034.53,56483.85
2017-08-01,0.05873,0.09736,0.05873,0.07635,656361.68,38548.12
2017-08-02,0.05889,0.07351,0.05257,0.05671,1024748.82,60347.46
2017-08-03,0.0626,0.0727,0.0534,0.06059,810410.66,50731.71
2017-08-04,0.05383,0.06684,0.05052,0.06155,877995.18,47262.48
2017-08-05,0.07137,0.07593,0.05315,0.06175,907856.53,64793.72
2017-08-06,0.06693,0.08334,0.05847,0.07461,679134.54,45454.47
2017-08-07,0.06047,0.07531,0.05561,0.06829,1247402.79,75430.45
2017-08-08,0.06405,0.07057,0.05278,0.06642,1224137.65,78406.02
2017-08-09,0.05728,0.07057,0.04902,0.06378,1262673.52,72325.94
2017-08-10,0.09038,0.1253,0.05667,0.05787,1432752.48,129492.17
2017-08-11,0.08321,0.1138,0.06805,0.09372,2135708.67,177712.32
2017-08-12,0.07978,0.1007,0.06776,0.08286,1732170.72,138192.58
2017-08-13,0.07949,0.08602,0.06585,0.07682,1957657.7,155614.21
2017-08-14,0.07868,0.08347,0.0718,0.08017,1301416.41,102395.44
2017-08-15,0.07278,0.0828,0.06934,0.07535,1727384.02,125719.01
2017-08-16,0.07293,0.08047,0.06781,0.07655,1398606.47,102000.37
2017-08-17,0.1015,0.1192,0.06847,0.07267,1539938.6,156303.77
2017-08-18,0.1282,0.1434,0.08779,0.09891,1570863.53,201384.7
2017-08-19,0.1219,0.1606,0.1055,0.1283,997852.19,121638.18
2017-08-20,0.1235,0.1402,0.1133,0.1241,968249.78,119578.85
2017-08-21,0.121,0.1378,0.1126,0.1332,745932.07,90257.78
2017-08-22,0.1047,0.1244,0.09808,0.1178,680692.96,71268.55
2017-08-23,0.1025,0.1168,0.09522,0.106,571411.66,58569.7
2017-08-24,0.147,0.147,0.09758,0.1051,1426960.91,209763.25
2017-08-25,0.1261,0.1492,0.1165,0.1492,1147053.62,144643.46
2017-08-26,0.1328,0.1328,0.1135,0.1272,706286.96,93794.91
2017-08-27,0.1179,0.1388,0.1162,0.1388,1121499.51,132224.79
2017-08-28,0.1304,0.1564,0.09908,0.1179,1603312.96,209072.01
2017-08-29,0.1273,0.1478,0.1236,0.1396,657137.9,83653.65
2017-08-30,0.1129,0.1378,0.1086,0.1313,862055.26,97326.04
2017-08-31,0.1138,0.1262,0.1041,0.1142,583074.81,66353.91
2017-09-01,0.11,0.1174,0.1053,0.1147,412576.2,45383.38
2017-09-02,0.105,0.1123,0.09408,0.09864,216982.62,22783.18
2017-09-03,0.09516,0.1026,0.0941,0.1015,187041.72,17798.89
2017-09-04,0.07866,0.0987,0.07076,0.082,351387.83,27640.17
2017-09-05,0.08012,0.08394,0.07726,0.08203,119921.08,9608.08
2017-09-06,0.08405,0.0932,0.081,0.08371,314084.12,26398.77
2017-09-07,0.08015,0.09189,0.07747,0.08317,448294.82,35930.83
