time,close,high,low,open,volumefrom,volumeto
2017-11-29,0.1138,0.1154,0.1026,0.1026,747494.48,85064.87
2017-11-30,0.1158,0.1158,0.1158,0.1158,0.0,0.0
2017-12-01,0.1229,0.1229,0.1229,0.1229,0.0,0.0
2017-12-02,0.1219,0.1219,0.1219,0.1219,0.0,0.0
2017-12-03,0.1232,0.1232,0.1232,0.1232,0.0,0.0
2017-12-04,0.1243,0.1243,0.1243,0.1243,0.0,0.0
2017-12-05,0.1208,0.1208,0.1208,0.1208,0.0,0.0
2017-12-06,0.1125,0.1125,0.1125,0.1125,0.0,0.0
2017-12-07,0.1121,0.1121,0.1121,0.1121,0.0,0.0
2017-12-08,0.1203,0.1203,0.1203,0.1203,0.0,0.0
2017-12-09,0.1259,0.1259,0.1259,0.1259,0.0,0.0
2017-12-10,0.1162,0.1162,0.1162,0.1162,0.0,0.0
2017-12-11,0.1366,0.1366,0.1366,0.1366,0.0,0.0
2017-12-12,0.1748,0.1748,0.1748,0.1748,0.0,0.0
2017-12-13,0.1861,0.1861,0.1861,0.1861,0.0,0.0
2017-12-14,0.1846,0.1846,0.1846,0.1846,0.0,0.0
2017-12-15,0.1822,0.1822,0.1822,0.1822,0.0,0.0
2017-12-16,0.1844,0.1844,0.1844,0.1844,0.0,0.0
2017-12-17,0.1911,0.1911,0.1911,0.1911,0.0,0.0
2017-12-18,0.2092,0.2092,0.2092,0.2092,0.0,0.0
2017-12-19,0.2163,0.2163,0.2163,0.2163,0.0,0.0
2017-12-20,0.2127,0.2127,0.2127,0.2127,0.0,0.0
2017-12-21,0.2101,0.2101,0.2101,0.2101,0.0,0.0
2017-12-22,0.1751,0.1751,0.1751,0.1751,0.0,0.0
2017-12-23,0.1865,0.1865,0.1865,0.1865,0.0,0.0
2017-12-24,0.1799,0.1799,0.1799,0.1799,0.0,0.0
2017-12-25,0.1925,0.1925,0.1925,0.1925,0.0,0.0
2017-12-26,0.2006,0.2006,0.2006,0.2006,0.0,0.0
2017-12-27,0.03777,0.197,0.0363,0.197,3239609.1,122360.04
2017-12-28,0.04085,0.04085,0.03658,0.03658,2932572.72,119795.6
2017-12-29,0.04733,0.04733,0.0392,0.04216,5013825.77,237304.37
2017-12-30,0.04107,0.04434,0.0402,0.04434,1656028.78,68013.1
2017-12-31,0.04526,0.04742,0.04113,0.04393,965118.52,43681.26
2018-01-01,0.04877,0.05036,0.04499,0.04618,1644156.22,80185.5
2018-01-02,0.05921,0.1293,0.04745,0.0556,2922546.81,173044.0
2018-01-03,0.06394,0.07246,0.05835,0.06464,1645174.57,105192.46
2018-01-04,0.0898,0.09448,0.05952,0.06419,1325621.63,119040.82
2018-01-05,0.1134,0.1209,0.07544,0.09192,3419085.94,387724.35
2018-01-06,0.1183,0.1258,0.1052,0.1181,5078408.39,600775.71
2018-01-07,0.1038,0.1313,0.09527,0.1313,3733970.14,387586.1
2018-01-08,0.1079,0.1154,0.08861,0.1055,3527390.13,380605.4
2018-01-09,0.1105,0.1275,0.1057,0.1263,2145525.51,237080.57
2018-01-10,0.1029,0.1124,0.07649,0.107,2083496.56,214391.8
2018-01-11,0.09592,0.09592,0.07978,0.09382,5276209.79,506094.04
2018-01-12,0.1128,0.1387,0.09865,0.1062,7041476.44,794278.54
2018-01-13,0.1163,0.1454,0.108,0.1239,2052556.03,238712.27
2018-01-14,0.09877,0.1169,0.08158,0.1142,4364054.39,431037.65
2018-01-15,0.09231,0.09831,0.06688,0.0929,4839195.77,446706.16
2018-01-16,0.07432,0.0861,0.05497,0.07582,8678633.05,644996.01
2018-01-17,0.06919,0.0741,0.05844,0.07251,4217436.54,291804.43
2018-01-18,0.07846,0.08409,0.06676,0.06916,2361248.32,185263.54
2018-01-19,0.07301,0.08458,0.06172,0.08035,3333908.77,243408.68
2018-01-20,0.07787,0.08651,0.06992,0.08097,2719086.94,211735.3
2018-01-21,0.06291,0.07504,0.0552,0.071,7934164.81,499138.31
2018-01-22,0.06693,0.07397,0.05561,0.06017,5504283.49,368401.69
2018-01-23,0.06244,0.06675,0.05626,0.06591,2458804.58,153527.76
2018-01-24,0.07999,0.1,0.06347,0.06734,8723189.95,697767.96
2018-01-25,0.0814,0.08981,0.07488,0.07867,10634437.16,865643.18
2018-01-26,0.0755,0.086,0.06479,0.08157,5732101.98,432773.7
2018-01-27,0.07291,0.0813,0.06491,0.07985,5568685.5,406012.86
2018-01-28,0.07619,0.08823,0.06936,0.08096,5275521.29,401941.97
2018-01-29,0.06959,0.07656,0.06792,0.07237,2232488.62,155358.88
2018-01-30,0.06367,0.06523,0.06156,0.06327,2743188.36,174658.8
2018-01-31,0.07011,0.08558,0.06321,0.06651,50932301.64,3570863.67
2018-02-01,0.05817,0.06501,0.03827,0.06439,28570091.34,1661922.21
2018-02-02,0.06149,0.06831,0.04967,0.05206,17027383.85,1047013.83
