time,close,high,low,open,volumefrom,volumeto
2017-11-29,0.1068,0.1358,0.0908,0.1177,10844876.68,1158232.83
2017-11-30,0.1136,0.1243,0.1044,0.1053,7012782.09,796652.05
2017-12-01,0.1013,0.1293,0.1013,0.124,3063442.11,310326.69
2017-12-02,0.1003,0.1092,0.09221,0.1018,3331665.97,334166.1
2017-12-03,0.1035,0.1102,0.09256,0.1034,3189404.01,330103.32
2017-12-04,0.1083,0.1104,0.1024,0.1069,2651909.63,287201.81
2017-12-05,0.1042,0.1133,0.1001,0.1087,2553078.05,266030.73
2017-12-06,0.1822,0.206,0.1163,0.1228,13859092.2,2525126.6
2017-12-07,0.1387,0.2437,0.135,0.2174,13860737.54,1922484.3
2017-12-08,0.1475,0.159,0.1207,0.1319,5954650.72,878310.98
2017-12-09,0.1386,0.1486,0.1277,0.1364,4979623.72,690175.85
2017-12-10,0.1259,0.1476,0.1191,0.1407,3823023.63,481318.68
2017-12-11,0.1409,0.1476,0.1258,0.1399,3044618.13,428986.69
2017-12-12,0.15,0.1577,0.1333,0.1438,4510333.37,676550.01
2017-12-13,0.1436,0.1537,0.1329,0.1415,4848245.0,696207.98
2017-12-14,0.1983,0.2123,0.1387,0.1452,12336795.86,2446386.62
2017-12-15,0.3486,0.3486,0.1745,0.212,17553457.62,6119135.33
2017-12-16,0.2906,0.3836,0.2714,0.383,16799236.05,4881858.0
2017-12-17,0.2784,0.3222,0.2656,0.2864,7020828.5,1954598.65
2017-12-18,0.2861,0.3013,0.259,0.277,5981498.56,1711306.74
2017-12-19,0.2487,0.2886,0.2325,0.2643,8388568.18,2086236.91
2017-12-20,0.2481,0.2634,0.2176,0.2336,6431126.47,1595562.48
2017-12-21,0.2609,0.2829,0.2345,0.2356,11327204.26,2955267.59
2017-12-22,0.1958,0.246,0.1667,0.2281,9939578.41,1946169.45
2017-12-23,0.2299,0.2447,0.2016,0.2063,4980894.57,1145107.66
2017-12-24,0.2122,0.2275,0.1906,0.2202,4889595.94,1037572.26
2017-12-25,0.2154,0.2179,0.2071,0.2129,2194916.1,472784.93
2017-12-26,0.2185,0.249,0.2096,0.2453,3898272.53,851772.55
2017-12-27,0.2103,0.2275,0.2015,0.2138,2727927.69,573683.19
2017-12-28,0.2052,0.2075,0.1889,0.1964,2221562.34,455864.59
2017-12-29,0.1976,0.2062,0.1907,0.2051,3682017.18,727566.59
2017-12-30,0.164,0.1796,0.1581,0.1721,4194561.26,687908.05
2017-12-31,0.1943,0.2209,0.1763,0.1813,4291617.61,833861.3
2018-01-01,0.2187,0.2217,0.1857,0.1886,3264934.18,714041.11
2018-01-02,0.2393,0.28,0.2215,0.24,7315881.51,1750690.45
2018-01-03,0.32,0.3531,0.2427,0.2458,10606184.34,3393978.99
2018-01-04,0.3036,0.3464,0.2912,0.3205,6188250.76,1878752.93
2018-01-05,0.2728,0.3503,0.2603,0.3391,5791453.96,1579908.64
2018-01-06,0.333,0.3493,0.2684,0.2763,3748556.35,1248269.26
2018-01-07,0.3455,0.3655,0.3147,0.3147,6162126.19,2129014.6
2018-01-08,0.3129,0.3304,0.281,0.319,4203146.31,1315164.48
2018-01-09,0.2871,0.3226,0.2704,0.3022,3096678.45,889056.38
2018-01-10,0.2868,0.3129,0.2393,0.296,3466935.17,994317.01
2018-01-11,0.2415,0.2767,0.2321,0.2558,2629810.01,635099.12
2018-01-12,0.2558,0.2714,0.2433,0.2512,1291383.24,330335.83
2018-01-13,0.2606,0.2733,0.2518,0.2632,2129616.68,554978.11
2018-01-14,0.2395,0.2591,0.2278,0.2496,2600974.11,622933.3
2018-01-15,0.2188,0.2507,0.2166,0.2394,2212777.01,484155.61
2018-01-16,0.1687,0.1912,0.1369,0.1811,5579445.69,941252.49
2018-01-17,0.1845,0.1982,0.1399,0.1669,3486224.62,643208.44
2018-01-18,0.1717,0.198,0.158,0.1847,2210972.25,379623.94
2018-01-19,0.1837,0.1939,0.1664,0.177,2366757.6,434773.37
2018-01-20,0.2013,0.2213,0.1939,0.2038,1747089.46,351689.11
2018-01-21,0.1765,0.1955,0.1631,0.1819,2373729.78,418963.31
2018-01-22,0.1701,0.2254,0.155,0.1652,6228904.6,1059536.67
2018-01-23,0.1725,0.1896,0.1581,0.1716,2285931.93,394323.26
2018-01-24,0.1715,0.184,0.1693,0.1816,1377020.36,236158.99
2018-01-25,0.1717,0.1766,0.1664,0.1677,1092533.84,187588.06
2018-01-26,0.1615,0.1761,0.1549,0.1706,1627341.77,262815.7
2018-01-27,0.1643,0.1748,0.1615,0.1666,447035.62,73447.95
2018-01-28,0.1618,0.1829,0.1602,0.1687,649584.16,105102.72
2018-01-29,0.1544,0.1723,0.1505,0.1545,752315.02,116157.44
2018-01-30,0.1323,0.1494,0.1263,0.1389,962795.58,127377.86
2018-01-31,0.1516,0.1621,0.1242,0.1339,3282594.52,497641.33
2018-02-01,0.1321,0.1443,0.1142,0.1351,2039554.82,269425.19
2018-02-02,0.1187,0.1308,0.1071,0.1285,2020907.39,239881.71
2018-02-03,0.1232,0.1366,0.1185,0.1238,1496670.97,184389.86
2018-02-04,0.1051,0.1141,0.1015,0.1095,851157.7,89456.67
2018-02-05,0.08685,0.0992,0.08546,0.08873,2798214.15,243024.9
2018-02-06,0.09526,0.1074,0.08356,0.09642,3566153.28,339711.76
2018-02-07,0.08139,0.09445,0.07593,0.09392,2313322.86,188281.35
2018-02-08,0.09103,0.09483,0.08475,0.08855,1392129.16,126725.52
2018-02-09,0.1007,0.1018,0.0914,0.09584,1055505.58,106289.41
2018-02-10,0.09092,0.1053,0.08766,0.09923,1623943.97,147648.99
2018-02-11,0.08796,0.08966,0.08044,0.08578,1209074.01,106350.15
2018-02-12,0.09526,0.09954,0.09366,0.09695,666159.31,63458.34
2018-02-13,0.09433,0.09433,0.08852,0.09134,302830.95,28566.04
2018-02-14,0.0995,0.1047,0.09666,0.1047,589069.64,58612.43
2018-02-15,0.1156,0.1171,0.1005,0.1053,1392296.51,160949.48
2018-02-16,0.1254,0.131,0.1139,0.1174,1840431.61,230790.12
2018-02-17,0.1357,0.1487,0.1307,0.1366,2044602.83,277452.6
2018-02-18,0.1198,0.1301,0.1191,0.1274,650117.23,77884.04
2018-02-19,0.1195,0.1333,0.1192,0.1286,1067065.34,127514.31
2018-02-20,0.1083,0.121,0.1068,0.1203,492060.73,53290.18
2018-02-21,0.102,0.1039,0.09517,0.1008,555328.73,56643.53
2018-02-22,0.09021,0.09602,0.08509,0.09582,424924.88,38332.47
2018-02-23,0.09809,0.0987,0.093,0.09321,461050.54,45224.45
2018-02-24,0.09123,0.09385,0.08434,0.09356,528727.68,48235.83
2018-02-25,0.096,0.1027,0.08764,0.09034,487258.67,46776.83
2018-02-26,0.098,0.1098,0.09366,0.1033,457742.96,44858.81
2018-02-27,0.09387,0.1037,0.08931,0.1005,531602.37,49901.51
2018-02-28,0.08629,0.09477,0.08071,0.09156,1926547.99,166241.83
2018-03-01,0.09224,0.09509,0.08798,0.09126,488743.93,45081.74
2018-03-02,0.09354,0.09519,0.08912,0.0932,381221.87,35659.49
2018-03-03,0.0939,0.09975,0.09172,0.09711,346871.88,32571.27
2018-03-04,0.0979,0.1118,0.09261,0.09445,371764.86,36395.78
2018-03-05,0.09027,0.09885,0.08981,0.09805,375648.3,33909.77
2018-03-06,0.08567,0.09726,0.08374,0.0847,200478.45,17174.99
2018-03-07,0.08251,0.08598,0.07744,0.08092,582288.78,48044.65
2018-03-08,0.07761,0.08161,0.07574,0.07742,220602.94,17120.99
2018-03-09,0.07911,0.08309,0.07587,0.07708,660722.66,52269.77
2018-03-10,0.07381,0.08322,0.06871,0.07522,399272.51,29470.3
2018-03-11,0.07836,0.08285,0.07445,0.08008,91912.67,7202.28
2018-03-12,0.08201,0.09389,0.0735,0.07506,1055075.63,86526.75
2018-03-13,0.07649,0.08867,0.06888,0.08217,180872.75,13834.96
2018-03-14,0.06747,0.07223,0.06739,0.06862,215446.07,14536.15
2018-03-15,0.07301,0.0759,0.06714,0.06788,432383.15,31568.29
2018-03-16,0.07447,0.07753,0.06552,0.07314,151544.6,11285.53
2018-03-17,0.0693,0.07552,0.06725,0.07087,409717.07,28393.39
2018-03-18,0.06761,0.07451,0.06186,0.07221,546730.92,36964.48
2018-03-19,0.07011,0.07519,0.06528,0.07097,165895.57,11630.94
2018-03-20,0.07145,0.07797,0.06887,0.07253,402224.76,28738.96
2018-03-21,0.0688,0.07396,0.06675,0.07138,126569.74,8708.0
2018-03-22,0.06893,0.07189,0.06299,0.06736,221058.75,15237.58
2018-03-23,0.06737,0.08023,0.06701,0.07058,282383.37,19024.17
2018-03-24,0.06676,0.07334,0.06283,0.06445,460623.33,30751.21
2018-03-25,0.06778,0.07143,0.0649,0.06617,330920.48,22429.79
2018-03-26,0.06293,0.0662,0.06049,0.06522,297824.48,18742.09
2018-03-27,0.06247,0.06262,0.05802,0.06028,464504.47,29017.59
2018-03-28,0.06439,0.08039,0.06201,0.06368,208343.13,13415.21
2018-03-29,0.05373,0.06375,0.05266,0.05749,971124.21,52178.5
2018-03-30,0.05209,0.05394,0.05003,0.05209,844165.22,43972.57
2018-03-31,0.05145,0.05409,0.04937,0.05277,403550.64,20762.68
2018-04-01,0.05298,0.05332,0.04963,0.05065,667911.25,35385.94
2018-04-02,0.05037,0.05483,0.04407,0.05483,1295295.74,65244.05
2018-04-03,0.05204,0.05598,0.04832,0.05293,773878.23,40272.62
2018-04-04,0.04791,0.05234,0.04648,0.04771,264380.4,12666.46
2018-04-05,0.05303,0.06444,0.04794,0.04842,1319733.06,69985.44
2018-04-06,0.05155,0.06237,0.05082,0.05182,558518.35,28791.62
2018-04-07,0.05292,0.05873,0.05188,0.05375,153848.65,8141.67
2018-04-08,0.06281,0.06627,0.05365,0.05393,254907.86,16010.76
2018-04-09,0.08059,0.08059,0.05547,0.06049,1015912.13,81872.36
2018-04-10,0.07689,0.08678,0.05511,0.08156,806331.83,61998.85
2018-04-11,0.07493,0.087,0.06803,0.07807,254831.74,19094.54
2018-04-12,0.08879,0.09593,0.07571,0.08514,357654.92,31756.18
2018-04-13,0.08918,0.09708,0.08397,0.08847,597355.89,53272.2
2018-04-14,0.09138,0.09579,0.08287,0.09057,276188.05,25238.06
2018-04-15,0.09072,0.1005,0.07958,0.09541,418772.32,37991.02
2018-04-16,0.0854,0.09292,0.0829,0.0875,551208.47,47073.2
2018-04-17,0.08714,0.1024,0.08238,0.08373,570701.4,49730.92
2018-04-18,0.09173,0.1147,0.08722,0.09009,519126.06,47619.43
2018-04-19,0.09514,0.1132,0.09057,0.0914,838615.57,79785.89
2018-04-20,0.1047,0.1181,0.09907,0.1017,907978.89,95065.39
2018-04-21,0.1055,0.1385,0.1028,0.1054,1209771.4,127630.88
2018-04-22,0.103,0.1083,0.1023,0.1042,284248.72,29277.62
2018-04-23,0.1207,0.1341,0.1032,0.1047,1977593.55,238695.54
2018-04-24,0.1239,0.1378,0.1218,0.13,1715768.33,212583.7
2018-04-25,0.1022,0.1181,0.08625,0.1138,6331868.98,647117.01
2018-04-26,0.1021,0.1073,0.0957,0.1069,449855.02,45930.2
2018-04-27,0.09975,0.1073,0.09207,0.09832,943369.03,94101.06
2018-04-28,0.1009,0.1054,0.09913,0.1044,203848.31,20568.29
2018-04-29,0.09896,0.1042,0.09445,0.1015,3053471.57,302171.55
2018-04-30,0.09387,0.1017,0.08721,0.09729,806310.51,75688.37
2018-05-01,0.09749,0.1013,0.08987,0.09876,278801.34,27180.34
2018-05-02,0.0986,0.1087,0.08835,0.09915,1724726.26,170058.01
2018-05-03,0.1026,0.109,0.09959,0.1041,923735.45,94775.26
2018-05-04,0.1037,0.1115,0.1013,0.1021,1056542.89,109563.5
2018-05-05,0.1074,0.1148,0.1036,0.1053,402341.18,43211.44
2018-05-06,0.1052,0.1146,0.1011,0.1052,534172.33,56194.93
2018-05-07,0.1012,0.1104,0.09669,0.1023,478408.48,48414.94
2018-05-08,0.101,0.1038,0.095,0.09923,839793.24,84819.12
2018-05-09,0.1004,0.109,0.09787,0.1023,344518.97,34589.7
2018-05-10,0.1201,0.1257,0.09583,0.09728,2058168.5,247186.04
2018-05-11,0.09962,0.1198,0.09027,0.112,2852126.92,284128.88
2018-05-12,0.1175,0.1256,0.0976,0.1004,1067594.27,125442.33
2018-05-13,0.1427,0.1487,0.1188,0.1206,2539367.56,362367.75
2018-05-14,0.1256,0.1459,0.116,0.1421,1019026.76,127989.76
2018-05-15,0.1242,0.1333,0.1157,0.1228,649837.98,80709.88
2018-05-16,0.1176,0.1346,0.1117,0.1223,1147824.66,134984.18
2018-05-17,0.08563,0.1216,0.08563,0.1137,1942344.83,166322.99
2018-05-18,0.09963,0.108,0.08751,0.08751,310529.1,30938.01
2018-05-19,0.09718,0.1086,0.09652,0.09965,353128.78,34317.05
2018-05-20,0.1004,0.108,0.09821,0.1005,1252657.66,125766.83
2018-05-21,0.08748,0.1024,0.05153,0.0991,9504566.67,831459.49
2018-05-22,0.0892,0.09831,0.08153,0.08209,809363.65,72195.24
2018-05-23,0.08451,0.09112,0.08196,0.08376,432701.35,36567.59
2018-05-24,0.09178,0.09382,0.08275,0.0854,474350.53,43535.89
2018-05-25,0.08776,0.09486,0.08372,0.09045,388126.91,34062.02
2018-05-26,0.08797,0.08936,0.08238,0.08635,231920.4,20402.04
2018-05-27,0.08319,0.08967,0.07738,0.08805,180710.57,15033.31
2018-05-28,0.0818,0.08237,0.0724,0.08044,525316.08,42970.86
2018-05-29,0.08297,0.09082,0.07564,0.08588,271283.71,22508.41
2018-05-30,0.08021,0.0848,0.07777,0.08206,78726.1,6314.62
2018-05-31,0.08402,0.08733,0.07832,0.0814,97551.39,8196.27
2018-06-01,0.08321,0.08766,0.07734,0.08434,95784.93,7970.26
2018-06-02,0.08461,0.0869,0.0827,0.08446,199632.42,16890.9
2018-06-03,0.0914,0.09271,0.08345,0.08546,475191.28,43432.48
2018-06-04,0.09116,0.09829,0.08404,0.08884,465391.28,42425.07
2018-06-05,0.1037,0.1054,0.09094,0.0927,376509.66,39044.05
2018-06-06,0.1117,0.1147,0.0934,0.1041,566799.48,63311.5
2018-06-07,0.1203,0.1205,0.1089,0.1123,429386.69,51655.22
2018-06-08,0.103,0.1714,0.1001,0.1191,7329675.3,754956.56
2018-06-09,0.09497,0.1051,0.09347,0.1014,1960990.43,186235.26
2018-06-10,0.08061,0.08792,0.07946,0.08562,2064159.99,166391.94
2018-06-11,0.08313,0.08747,0.07927,0.08196,1110229.44,92293.37
2018-06-12,0.07101,0.08045,0.06937,0.07914,5415810.79,384576.72
2018-06-13,0.0662,0.07049,0.06424,0.06841,10942968.2,724424.49
2018-06-14,0.07248,0.07354,0.06763,0.06955,9739461.65,705916.18
2018-06-15,0.06678,0.07004,0.06486,0.06979,9036767.42,603475.33
2018-06-16,0.06841,0.0688,0.06672,0.06789,8063110.62,551597.4
2018-06-17,0.06619,0.07084,0.06606,0.06794,9276767.23,614029.22
2018-06-18,0.07433,0.07843,0.06715,0.06883,13661836.88,1015484.34
2018-06-19,0.08548,0.09512,0.07388,0.07449,41755718.49,3569278.82
2018-06-20,0.08195,0.08884,0.07701,0.08573,16370574.0,1341568.54
2018-06-21,0.1085,0.1538,0.08119,0.08145,182447937.71,19795601.24
2018-06-22,0.08581,0.1017,0.08514,0.09785,33330094.97,2860055.45
2018-06-23,0.09231,0.09774,0.08701,0.08744,14694351.62,1356435.6
2018-06-24,0.08455,0.09329,0.08344,0.09224,10824778.73,915235.04
2018-06-25,0.08301,0.09209,0.08264,0.08595,12615818.14,1047239.06
2018-06-26,0.07872,0.08268,0.07769,0.08073,5113559.53,402539.41
2018-06-27,0.0772,0.08168,0.07603,0.07941,7763594.44,599349.49
2018-06-28,0.06711,0.07545,0.06546,0.0738,20819263.33,1397180.76
2018-06-29,0.07401,0.08636,0.06861,0.07091,35620682.18,2636286.69
2018-06-30,0.07535,0.08135,0.07286,0.07618,19219941.53,1448222.59
2018-07-01,0.07429,0.07556,0.0715,0.07486,11431444.08,849241.98
2018-07-02,0.07965,0.08296,0.07568,0.07727,12265221.49,976924.89
2018-07-03,0.08,0.08345,0.07421,0.07864,15691407.1,1255312.57
2018-07-04,0.08198,0.09285,0.0773,0.08099,19500906.74,1598684.33
2018-07-05,0.08142,0.08685,0.07927,0.08129,13977824.89,1138074.5
2018-07-06,0.07955,0.08246,0.07658,0.08226,12998247.67,1034010.6
2018-07-07,0.07819,0.08258,0.07711,0.08143,8577567.37,670679.99
2018-07-08,0.07841,0.08304,0.07485,0.0776,15693289.02,1230510.79
