time,close,high,low,open,volumefrom,volumeto
2018-06-04,0.1337,0.1339,0.1247,0.1257,2708056.68,362067.18
2018-06-05,0.1337,0.1373,0.1297,0.136,26900951.29,3596657.19
2018-06-06,0.1232,0.1356,0.1211,0.1343,23684421.45,2917920.72
2018-06-07,0.1251,0.1269,0.1219,0.1238,23195795.85,2901794.06
2018-06-08,0.1197,0.1243,0.1172,0.1239,15601272.06,1867472.27
2018-06-09,0.1219,0.1228,0.1155,0.1179,25377513.33,3093518.87
2018-06-10,0.1031,0.1124,0.1005,0.1099,16099484.01,1659856.8
2018-06-11,0.1112,0.1123,0.1033,0.1048,21935368.13,2439212.94
2018-06-12,0.1069,0.1079,0.09901,0.1058,18816448.92,2011478.39
2018-06-13,0.09055,0.1036,0.08929,0.1029,33127328.09,2999679.56
2018-06-14,0.08131,0.09699,0.03528,0.09533,6536142.77,531453.77
2018-06-15,0.08316,0.09333,0.0783,0.0783,2008.81,167.05
2018-06-16,0.08454,0.08454,0.08454,0.08454,9000.0,760.86
2018-06-17,0.07756,0.08395,0.07756,0.08395,0.0748,0.005801
2018-06-18,0.08064,0.08064,0.08064,0.08064,9818.37,791.75
2018-06-19,0.0809,0.09573,0.07786,0.08096,15059.6,1218.32
2018-06-20,0.08262,0.0856,0.08114,0.08114,28753062.03,2375577.98
2018-06-21,0.09651,0.09664,0.08206,0.08213,37064910.59,3577134.52
2018-06-22,0.07843,0.08702,0.07812,0.08654,36032747.46,2826048.38
2018-06-23,0.08164,0.083,0.07992,0.08029,35031846.82,2859999.97
2018-06-24,0.07703,0.08165,0.07389,0.08165,28921705.5,2227838.97
2018-06-25,0.078,0.08007,0.07444,0.07813,36214707.55,2824747.19
2018-06-26,0.07477,0.07586,0.07123,0.07568,35599848.17,2661800.65
2018-06-27,0.07081,0.07738,0.06971,0.07573,35784972.83,2533933.93
2018-06-28,0.06711,0.06893,0.06664,0.06781,35506226.11,2382822.83
2018-06-29,0.06142,0.08313,0.0536,0.07091,36119615.96,2218466.81
2018-06-30,0.06519,0.06705,0.05747,0.0613,35928981.7,2342210.32
2018-07-01,0.06523,0.06757,0.06187,0.06421,35907915.91,2342273.35
2018-07-02,0.07271,0.07436,0.06788,0.06814,36434762.59,2649171.59
2018-07-03,0.0651,0.07317,0.0651,0.07187,34025231.06,2215042.54
2018-07-04,0.06597,0.06597,0.05615,0.0659,17651408.26,1164463.4
2018-07-05,0.06718,0.06842,0.06143,0.06541,30318237.16,2036779.17
2018-07-06,0.06879,0.06886,0.06576,0.068,36718122.4,2525839.64
2018-07-07,0.08934,0.09056,0.06751,0.07028,33213631.8,2967305.87
2018-07-08,0.09605,0.1009,0.08344,0.08854,36798501.62,3534496.08
2018-07-09,0.1059,0.1849,0.0941,0.09536,36796020.37,3896698.56
2018-07-10,0.08785,0.1082,0.0748,0.09895,35192046.86,3091621.32
2018-07-11,0.08575,0.09592,0.08441,0.08907,36708526.08,3147756.11
2018-07-12,0.08286,0.09149,0.0828,0.08311,35995740.5,2982607.06
2018-07-13,0.07688,0.08846,0.07102,0.08255,37503542.66,2883272.36
2018-07-14,0.06852,0.07817,0.03134,0.07673,19281809.58,1321189.59
2018-07-15,0.07529,0.08394,0.0695,0.06963,7195715.14,541765.39
2018-07-16,0.06498,0.07974,0.06397,0.07974,48237268.54,3134457.71
2018-07-17,0.07239,0.08008,0.07026,0.07063,27344217.03,1979447.87
2018-07-18,0.07206,0.08011,0.05567,0.07295,15153261.61,1091944.03
2018-07-19,0.06827,0.07911,0.06722,0.07291,17344123.68,1184083.32
2018-07-20,0.06689,0.07334,0.06593,0.06696,17766666.72,1188412.34
2018-07-21,0.07013,0.07183,0.06346,0.06865,18360953.54,1287653.67
2018-07-22,0.06999,0.07021,0.0674,0.07007,20878176.46,1461263.57
2018-07-23,0.06838,0.07324,0.06622,0.07317,24012807.75,1641995.79
2018-07-24,0.07808,0.1133,0.06221,0.07439,16255053.35,1269194.57
2018-07-25,0.07819,0.0844,0.06708,0.07598,36197525.52,2830284.52
2018-07-26,0.07477,0.08723,0.06985,0.07429,24002735.57,1794684.54
2018-07-27,0.07471,0.07774,0.07365,0.07659,21636353.64,1616451.98
2018-07-28,0.07334,0.07614,0.07243,0.07515,19745785.81,1448155.93
2018-07-29,0.07321,0.08693,0.07231,0.07412,21103998.51,1545023.73
2018-07-30,0.07334,0.08315,0.07195,0.07285,24647262.54,1807630.23
2018-07-31,0.06544,0.07248,0.0642,0.06939,27263313.35,1784111.23
2018-08-01,0.0666,0.06698,0.05632,0.06454,25252228.49,1681798.42
2018-08-02,0.06011,0.0663,0.058,0.06524,21443016.83,1288939.74
2018-08-03,0.0563,0.05919,0.05578,0.05897,34065573.3,1917891.78
2018-08-04,0.05228,0.05481,0.0506,0.05418,29470227.1,1540703.47
2018-08-05,0.05416,0.05648,0.05078,0.05303,21223722.81,1149476.83
2018-08-06,0.0689,0.07349,0.05223,0.05286,21335669.32,1470027.62
2018-08-07,0.06851,0.1082,0.05056,0.06663,24798409.82,1698939.06
2018-08-08,0.07668,0.09113,0.05229,0.06316,9395201.06,720424.02
2018-08-09,0.07983,0.07983,0.07983,0.07983,0.0,0.0
2018-08-10,0.07507,0.07507,0.07507,0.07507,0.0,0.0
2018-08-11,0.07616,0.07616,0.07616,0.07616,0.0,0.0
2018-08-12,0.07714,0.07714,0.07714,0.07714,0.0,0.0
2018-08-13,0.07641,0.07641,0.07641,0.07641,0.0,0.0
2018-08-14,0.07564,0.07564,0.07564,0.07564,0.0,0.0
2018-08-15,0.07655,0.07655,0.07655,0.07655,0.0,0.0
2018-08-16,0.07715,0.07715,0.07715,0.07715,0.0,0.0
2018-08-17,0.08041,0.08041,0.08041,0.08041,0.0,0.0
2018-08-18,0.07815,0.07815,0.07815,0.07815,0.0,0.0
2018-08-19,0.07933,0.07933,0.07933,0.07933,0.0,0.0
2018-08-20,0.07649,0.07649,0.07649,0.07649,0.0,0.0
2018-08-21,0.07919,0.07919,0.07919,0.07919,0.0,0.0
2018-08-22,0.07767,0.07767,0.07767,0.07767,0.0,0.0
