time,close,high,low,open,volumefrom,volumeto
2015-09-05,0.1192,0.1925,0.07477,0.1925,55.01,6.56
2015-09-06,0.04797,0.1223,0.04797,0.1223,5551.29,266.3
2015-09-07,0.04193,0.04792,0.04073,0.04792,3513.79,147.33
2015-09-08,0.04622,0.04622,0.04257,0.04257,115.39,5.33
2015-09-09,0.04511,0.04511,0.04511,0.04511,0.0,0.0
2015-09-10,0.04285,0.04524,0.04285,0.04524,1169.47,50.11
2015-09-11,0.04318,0.04318,0.04318,0.04318,0.0,0.0
2015-09-12,0.04241,0.04241,0.04241,0.04241,0.0,0.0
2015-09-13,0.04143,0.04143,0.04143,0.04143,0.0,0.0
2015-09-14,0.04138,0.04138,0.04138,0.04138,0.0,0.0
2015-09-15,0.04591,0.04591,0.04132,0.04132,328.18,15.07
2015-09-16,0.03429,0.04572,0.03429,0.04572,476.06,16.32
2015-09-17,0.03491,0.03491,0.03491,0.03491,0.0,0.0
2015-09-18,0.03251,0.03899,0.03251,0.03483,421.84,13.71
2015-09-19,0.03236,0.03236,0.03236,0.03236,1.5,0.04854
2015-09-20,0.02542,0.03235,0.02311,0.03235,1039.31,26.42
2015-09-21,0.0294,0.0294,0.0249,0.0249,11.18,0.3287
2015-09-22,0.02528,0.02528,0.02528,0.02528,1.09,0.02756
2015-09-23,0.02069,0.02526,0.02069,0.02526,1707.08,35.32
2015-09-24,0.02104,0.02104,0.02104,0.02104,4.88,0.1027
2015-09-25,0.02115,0.02115,0.02115,0.02115,691.6,14.63
2015-09-26,0.02109,0.02109,0.02109,0.02109,892.58,18.82
2015-09-27,0.02093,0.02093,0.02093,0.02093,672.22,14.07
2015-09-28,0.03344,0.03344,0.0215,0.0215,303.2,10.14
2015-09-29,0.03314,0.03314,0.03314,0.03314,1.43,0.04739
2015-09-30,0.03303,0.03303,0.03303,0.03303,0.0,0.0
2015-10-01,0.03319,0.03319,0.03319,0.03319,13.97,0.4637
2015-10-02,0.03314,0.03314,0.03314,0.03314,0.0,0.0
2015-10-03,0.0334,0.0334,0.0334,0.0334,0.0,0.0
2015-10-04,0.03337,0.03337,0.03337,0.03337,0.0,0.0
2015-10-05,0.03242,0.03242,0.03242,0.03242,9.34,0.3028
2015-10-06,0.03323,0.03323,0.03323,0.03323,0.0,0.0
2015-10-07,0.0328,0.0328,0.0328,0.0328,0.0,0.0
2015-10-08,0.04847,0.04847,0.04847,0.04847,17.26,0.8366
2015-10-09,0.04876,0.04876,0.04876,0.04876,0.0,0.0
2015-10-10,0.04902,0.04902,0.04902,0.04902,3.0,0.1471
2015-10-11,0.05944,0.05944,0.04948,0.04948,147.02,8.74
2015-10-12,0.05888,0.05888,0.05888,0.05888,164.82,9.7
2015-10-13,0.05971,0.05971,0.05971,0.05971,0.0,0.0
2015-10-14,0.06056,0.06056,0.06056,0.06056,0.0,0.0
2015-10-15,0.06107,0.06107,0.06107,0.06107,0.0,0.0
2015-10-16,0.06309,0.06309,0.06309,0.06309,0.0,0.0
2015-10-17,0.07818,0.07818,0.07818,0.07818,0.5589,0.04369
2015-10-18,0.07588,0.07588,0.07588,0.07588,1.0,0.07588
2015-10-19,0.07651,0.07651,0.07651,0.07651,0.0,0.0
2015-10-20,0.07823,0.07823,0.07823,0.07823,6.21,0.4858
2015-10-21,0.07746,0.07746,0.07746,0.07746,0.0,0.0
2015-10-22,0.07958,0.07958,0.07958,0.07958,0.0,0.0
2015-10-23,0.08031,0.08031,0.08031,0.08031,0.0,0.0
2015-10-24,0.08194,0.08194,0.08194,0.08194,0.0,0.0
2015-10-25,0.08348,0.08348,0.08348,0.08348,0.0,0.0
2015-10-26,0.08269,0.08269,0.08269,0.08269,0.0,0.0
2015-10-27,0.08545,0.08545,0.08545,0.08545,0.0,0.0
2015-10-28,0.08803,0.08803,0.08803,0.08803,0.0,0.0
2015-10-29,0.09095,0.09095,0.09095,0.09095,0.0,0.0
2015-10-30,0.09486,0.09486,0.09486,0.09486,0.0,0.0
2015-10-31,0.09026,0.09026,0.09026,0.09026,0.0,0.0
2015-11-01,0.09366,0.09366,0.09366,0.09366,0.0,0.0
2015-11-02,0.1042,0.1042,0.1042,0.1042,0.0,0.0
2015-11-03,0.115,0.115,0.115,0.115,0.0,0.0
2015-11-04,0.1163,0.1163,0.1163,0.1163,0.0,0.0
2015-11-05,0.111,0.111,0.111,0.111,0.0,0.0
2015-11-06,0.1072,0.1072,0.1072,0.1072,0.0,0.0
2015-11-07,0.1117,0.1117,0.1117,0.1117,0.0,0.0
2015-11-08,0.1078,0.1078,0.1078,0.1078,0.0,0.0
2015-11-09,0.1103,0.1103,0.1103,0.1103,0.0,0.0
2015-11-10,0.09764,0.09764,0.09764,0.09764,0.0,0.0
2015-11-11,0.08837,0.08837,0.08837,0.08837,0.0,0.0
2015-11-12,0.09682,0.09682,0.09682,0.09682,0.0,0.0
2015-11-13,0.09679,0.09679,0.09679,0.09679,0.0,0.0
2015-11-14,0.09621,0.09621,0.09621,0.09621,0.0,0.0
2015-11-15,0.09206,0.09206,0.09206,0.09206,0.0,0.0
2015-11-16,0.09576,0.09576,0.09576,0.09576,0.0,0.0
2015-11-17,0.09683,0.09683,0.09683,0.09683,0.0,0.0
2015-11-18,0.09742,0.09742,0.09742,0.09742,0.0,0.0
2015-11-19,0.09424,0.09424,0.09424,0.09424,0.0,0.0
2015-11-20,0.09312,0.09312,0.09312,0.09312,0.0,0.0
2015-11-21,0.09416,0.09416,0.09416,0.09416,0.0,0.0
2015-11-22,0.007453,0.01292,0.007453,0.01292,310.35,2.31
2015-11-23,0.007438,0.007438,0.007438,0.007438,0.0,0.0
2015-11-24,0.007351,0.007351,0.007351,0.007351,0.0,0.0
2015-11-25,0.007562,0.007562,0.007562,0.007562,0.0,0.0
2015-11-26,0.008168,0.008168,0.008168,0.008168,0.0,0.0
2015-11-27,0.008301,0.008301,0.008301,0.008301,0.0,0.0
2015-11-28,0.008216,0.008216,0.008216,0.008216,0.0,0.0
2015-11-29,0.008563,0.008563,0.008563,0.008563,0.0,0.0
2015-11-30,0.008727,0.008727,0.008727,0.008727,0.0,0.0
2015-12-01,0.008354,0.008354,0.008354,0.008354,0.0,0.0
2015-12-02,0.008312,0.008312,0.008312,0.008312,0.0,0.0
2015-12-03,0.00832,0.00832,0.00832,0.00832,0.0,0.0
2015-12-04,0.008351,0.008351,0.008351,0.008351,0.0,0.0
2015-12-05,0.01935,0.01935,0.01935,0.01935,75.07,1.45
2015-12-06,0.01968,0.01968,0.01968,0.01968,0.0,0.0
2015-12-07,0.09853,0.09853,0.09853,0.09853,2.74,0.27
2015-12-08,0.1026,0.1026,0.1026,0.1026,0.0,0.0
2015-12-09,0.104,0.104,0.104,0.104,0.0,0.0
2015-12-10,0.1038,0.1038,0.1038,0.1038,0.0,0.0
2015-12-11,0.1124,0.1124,0.1124,0.1124,0.0,0.0
2015-12-12,0.108,0.108,0.108,0.108,0.0,0.0
2015-12-13,0.1086,0.1086,0.1086,0.1086,0.0,0.0
2015-12-14,0.1105,0.1105,0.1105,0.1105,0.0,0.0
2015-12-15,0.1156,0.1156,0.1156,0.1156,0.0,0.0
2015-12-16,0.1134,0.1134,0.1134,0.1134,0.0,0.0
2015-12-17,0.1138,0.1138,0.1138,0.1138,0.0,0.0
2015-12-18,0.1157,0.1157,0.1157,0.1157,0.0,0.0
2015-12-19,0.1153,0.1153,0.1153,0.1153,0.0,0.0
2015-12-20,0.1104,0.1104,0.1104,0.1104,0.0,0.0
2015-12-21,0.1094,0.1094,0.1094,0.1094,0.0,0.0
2015-12-22,0.1092,0.1092,0.1092,0.1092,0.0,0.0
2015-12-23,0.1106,0.1106,0.1106,0.1106,0.0,0.0
2015-12-24,0.1132,0.1132,0.1132,0.1132,0.0,0.0
2015-12-25,0.1135,0.1135,0.1135,0.1135,0.0,0.0
2015-12-26,0.1038,0.1038,0.1038,0.1038,0.0,0.0
2015-12-27,0.1056,0.1056,0.1056,0.1056,0.0,0.0
2015-12-28,0.1054,0.1054,0.1054,0.1054,0.0,0.0
2015-12-29,0.1079,0.1079,0.1079,0.1079,0.0,0.0
2015-12-30,0.1067,0.1067,0.1067,0.1067,0.0,0.0
2015-12-31,0.1074,0.1074,0.1074,0.1074,0.0,0.0
2016-01-01,0.1085,0.1085,0.1085,0.1085,0.0,0.0
2016-01-02,0.1084,0.1084,0.1084,0.1084,0.0,0.0
2016-01-03,0.1076,0.1076,0.1076,0.1076,0.0,0.0
2016-01-04,0.1083,0.1083,0.1083,0.1083,0.0,0.0
2016-01-05,0.1078,0.1078,0.1078,0.1078,0.0,0.0
2016-01-06,0.1077,0.1077,0.1077,0.1077,0.0,0.0
2016-01-07,0.1142,0.1142,0.1142,0.1142,0.0,0.0
2016-01-08,0.1132,0.1132,0.1132,0.1132,0.0,0.0
2016-01-09,0.112,0.112,0.112,0.112,0.0,0.0
2016-01-10,0.1115,0.1115,0.1115,0.1115,0.0,0.0
2016-01-11,0.1119,0.1119,0.1119,0.1119,0.0,0.0
2016-01-12,0.1112,0.1112,0.1112,0.1112,0.0,0.0
2016-01-13,0.108,0.108,0.108,0.108,0.0,0.0
2016-01-14,0.1072,0.1072,0.1072,0.1072,0.0,0.0
2016-01-15,0.09303,0.09303,0.09303,0.09303,0.0,0.0
2016-01-16,0.09622,0.09622,0.09622,0.09622,0.0,0.0
2016-01-17,0.09558,0.09558,0.09558,0.09558,0.0,0.0
2016-01-18,0.09606,0.09606,0.09606,0.09606,0.0,0.0
2016-01-19,0.09483,0.09483,0.09483,0.09483,0.0,0.0
2016-01-20,0.1036,0.1036,0.1036,0.1036,0.0,0.0
2016-01-21,0.1025,0.1025,0.1025,0.1025,0.0,0.0
2016-01-22,0.09562,0.09562,0.09562,0.09562,0.0,0.0
2016-01-23,0.09711,0.09711,0.09711,0.09711,0.0,0.0
2016-01-24,0.1005,0.1005,0.1005,0.1005,0.0,0.0
2016-01-25,0.09815,0.09815,0.09815,0.09815,0.0,0.0
2016-01-26,0.09741,0.09741,0.09741,0.09741,0.0,0.0
2016-01-27,0.09872,0.09872,0.09872,0.09872,0.0,0.0
2016-01-28,0.09488,0.09488,0.09488,0.09488,0.0,0.0
