time,close,high,low,open,volumefrom,volumeto
2018-03-16,0.07546,0.0777,0.07082,0.07281,1879597.07,141834.39
2018-03-17,0.07639,0.07923,0.07182,0.07182,2971655.38,227004.75
2018-03-18,0.0778,0.08166,0.0741,0.07953,2176362.71,169321.02
2018-03-19,0.07916,0.08321,0.07761,0.08183,1516530.03,120048.52
2018-03-20,0.08296,0.08377,0.08029,0.08189,1319182.54,109439.38
2018-03-21,0.08394,0.08439,0.08136,0.08288,4418528.02,370891.24
2018-03-22,0.08428,0.08472,0.08062,0.08219,2995529.8,252463.25
2018-03-23,0.08443,0.08747,0.08265,0.08631,2423078.36,204580.51
2018-03-24,0.08138,0.08326,0.07821,0.08078,1100054.94,89522.47
2018-03-25,0.07617,0.08168,0.07143,0.07914,2146422.42,163493.0
2018-03-26,0.07606,0.07859,0.06938,0.07329,4581488.5,348468.02
2018-03-27,0.07145,0.07309,0.06864,0.07285,5120353.66,365849.27
2018-03-28,0.07092,0.07283,0.06607,0.07283,2045047.08,145034.74
2018-03-29,0.06403,0.06567,0.06325,0.06332,1728293.07,110662.61
2018-03-30,0.06045,0.06292,0.05894,0.06175,2446130.94,147868.62
2018-03-31,0.06242,0.06249,0.06124,0.06124,804711.5,50230.09
2018-04-01,0.06221,0.06241,0.0607,0.06145,211560.35,13161.17
2018-04-02,0.06494,0.06537,0.06296,0.06438,725100.06,47088.0
2018-04-03,0.06817,0.06959,0.06698,0.0684,779735.73,53154.58
2018-04-04,0.06304,0.06475,0.06127,0.0625,1052513.29,66350.44
2018-04-05,0.06213,0.06281,0.06057,0.06281,517217.78,32134.74
2018-04-06,0.06011,0.06476,0.06011,0.06071,1339891.99,80540.91
2018-04-07,0.06225,0.06433,0.05534,0.06267,1007543.41,62719.58
2018-04-08,0.06077,0.06373,0.05323,0.06345,551998.92,33544.97
2018-04-09,0.05819,0.06117,0.05656,0.05853,641890.66,37351.62
2018-04-10,0.06692,0.0694,0.04466,0.06012,5353112.59,358230.29
2018-04-11,0.06845,0.06886,0.06307,0.06859,2149595.89,147139.84
2018-04-12,0.08427,0.09117,0.07571,0.07793,8130423.37,685150.78
2018-04-13,0.07796,0.08918,0.07725,0.08397,5312905.03,414194.08
2018-04-14,0.06803,0.08592,0.05856,0.08039,5555378.82,377932.42
2018-04-15,0.06157,0.06953,0.05696,0.06668,11853384.24,729812.87
2018-04-16,0.05947,0.06423,0.05413,0.06157,10138283.63,602923.73
2018-04-17,0.05078,0.05878,0.04602,0.05735,11512022.91,584580.52
2018-04-18,0.05323,0.05487,0.04914,0.05242,6968152.54,370914.76
2018-04-19,0.05737,0.06384,0.05155,0.05396,8515843.63,488553.95
2018-04-20,0.06196,0.06569,0.05886,0.06125,4706678.44,291625.8
2018-04-21,0.05933,0.06407,0.05719,0.06237,5112606.01,303330.91
2018-04-22,0.05762,0.06247,0.05576,0.05859,8287448.24,477522.77
2018-04-23,0.05964,0.06125,0.05596,0.05856,6120150.06,365005.75
2018-04-24,0.05494,0.06614,0.02124,0.06421,16942349.61,930812.69
2018-04-25,0.06407,0.06416,0.04455,0.05049,13220585.55,847042.92
2018-04-26,0.06358,0.06943,0.05801,0.06702,6815673.29,433340.51
2018-04-27,0.06382,0.06579,0.0581,0.06123,3546137.97,226314.53
2018-04-28,0.06817,0.06976,0.06434,0.06677,2461785.11,167819.89
2018-04-29,0.0983,0.1077,0.06811,0.06858,22638178.69,2225332.97
2018-04-30,0.16,0.2158,0.09461,0.09665,35681738.4,5709078.14
2018-05-01,0.1534,0.1634,0.1406,0.1578,12082641.94,1853477.27
2018-05-02,0.1731,0.1732,0.1321,0.1579,18618752.93,3222906.13
2018-05-03,0.2154,0.2155,0.1789,0.1838,16423337.38,3537586.87
2018-05-04,0.2085,0.3037,0.175,0.2145,17253077.0,3597266.55
2018-05-05,0.2461,0.2683,0.1994,0.2073,10264175.9,2526013.69
2018-05-06,0.2653,0.299,0.2406,0.2411,21210936.58,5627261.47
2018-05-07,0.272,0.2808,0.2335,0.2616,9217016.91,2507028.6
2018-05-08,0.2827,0.29,0.2607,0.2664,9821869.47,2776642.5
2018-05-09,0.2229,0.2903,0.2228,0.2808,7686694.45,1713364.19
2018-05-10,0.2195,0.2547,0.1806,0.1969,13098051.98,2875022.41
2018-05-11,0.1709,0.2127,0.1437,0.204,11428168.69,1953074.03
2018-05-12,0.1682,0.1991,0.1421,0.1739,13141682.09,2210430.93
2018-05-13,0.1655,0.1822,0.1437,0.1759,7546186.07,1248893.79
