time,close,high,low,open,volumefrom,volumeto
2015-02-02,0.0001863,0.0001863,0.0001505,0.0001624,498072.88,92.79
2015-02-03,9.779e-05,0.0001774,9.779e-05,0.0001774,1584470.53,154.95
2015-02-04,0.0001631,0.0001631,9.743e-05,9.743e-05,6003.24,0.9791
2015-02-05,0.0001819,0.0001819,0.0001364,0.0001559,312867.45,56.91
2015-02-06,0.0001561,0.0001873,0.0001561,0.0001873,268554.0,41.92
2015-02-07,0.0001821,0.0001821,0.0001207,0.0001594,745561.19,135.77
2015-02-08,0.0001566,0.0001789,0.0001297,0.0001789,313736.72,49.13
2015-02-09,0.0001675,0.0001675,0.0001344,0.0001542,146109.74,24.47
2015-02-10,0.0001098,0.0001669,0.0001098,0.0001669,289176.0,31.75
2015-02-11,0.0001335,0.0001466,8.753e-05,0.0001094,190620.25,25.45
2015-02-12,0.0001442,0.0001597,0.0001042,0.0001353,11096.64,1.6
2015-02-13,0.0001842,0.0002149,0.0001441,0.0001535,618226.26,113.88
2015-02-14,0.0001862,0.0002017,0.0001862,0.0002017,538144.65,100.2
2015-02-15,0.000182,0.0001843,0.0001423,0.000168,116562.39,21.21
2015-02-16,0.0001722,0.0002122,0.0001722,0.0001839,393953.54,67.84
2015-02-17,0.0001484,0.0002164,0.0001484,0.0001775,567097.58,84.16
2015-02-18,0.0001646,0.000174,0.0001176,0.0001435,966373.29,159.07
2015-02-19,0.0001887,0.0001911,0.0001548,0.0001693,362488.05,68.4
2015-02-20,0.0001907,0.0001907,0.0001418,0.0001907,263439.03,50.24
2015-02-21,0.0001589,0.0001906,0.0001589,0.0001906,33681.39,5.35
2015-02-22,0.0001509,0.0001532,0.0001509,0.0001532,5795.95,0.8746
2015-02-23,0.0001385,0.0001552,0.0001385,0.0001528,231525.21,32.07
2015-02-24,0.0001386,0.0001386,0.0001386,0.0001386,4646.44,0.644
2015-02-25,0.0001709,0.0001733,0.0001377,0.0001377,53553.21,9.15
2015-02-26,0.0001396,0.0001396,0.0001325,0.0001703,197194.71,27.53
2015-02-27,0.0001267,0.000185,0.0001267,0.0001495,543847.12,68.91
2015-02-28,0.0001524,0.0001524,0.000127,0.000127,122407.69,18.65
2015-03-01,0.0001548,0.0001548,0.0001548,0.0001548,0.0,0.0
2015-03-02,0.0001697,0.0001697,0.0001642,0.0001642,259621.53,44.06
2015-03-03,0.0001684,0.000174,0.00016,0.000174,2772217.35,466.84
2015-03-04,0.0001767,0.0001767,0.0001523,0.0001632,462453.78,81.72
2015-03-05,0.0001789,0.0001789,0.0001789,0.0001789,0.0,0.0
2015-03-06,0.0001499,0.0001772,0.0001499,0.0001772,50000.0,7.5
2015-03-07,0.0001512,0.0001512,0.0001512,0.0001512,7650.82,1.16
2015-03-08,0.0001565,0.0001592,0.000151,0.000151,220000.0,34.43
2015-03-09,0.0001624,0.0001711,0.0001479,0.0001653,406562.21,66.03
2015-03-10,9.615e-05,0.0001632,7.867e-05,0.0001632,517693.48,49.78
2015-03-11,0.000136,0.0002158,8.868e-05,9.755e-05,603059.78,82.02
2015-03-12,0.0001704,0.0001734,0.0001352,0.0001352,2385.33,0.4065
2015-03-13,0.0001752,0.000201,0.0001723,0.0001666,389106.8,68.17
2015-03-14,0.0001718,0.0002112,0.000169,0.0001718,1282942.19,220.41
2015-03-15,0.0001738,0.000208,0.0001481,0.0001738,687906.37,119.56
2015-03-16,0.0001307,0.0001772,0.0001307,0.0001772,677556.69,88.56
2015-03-17,0.0001284,0.0001284,0.0001284,0.0001284,0.0,0.0
2015-03-18,0.0001152,0.0001152,0.0001152,0.0001152,0.0,0.0
2015-03-19,0.0001174,0.0001174,0.0001174,0.0001174,0.0,0.0
2015-03-20,0.0001178,0.0001178,0.0001178,0.0001178,0.0,0.0
2015-03-21,0.0001169,0.0001169,0.0001169,0.0001169,0.0,0.0
2015-03-22,0.0001209,0.0001209,0.0001209,0.0001209,0.0,0.0
2015-03-23,0.000154,0.000154,0.000154,0.0001195,1806.98,0.2783
2015-03-24,0.0001752,0.0001752,0.0001431,0.0001431,61104.27,10.71
2015-03-25,0.0001749,0.0001749,0.0001749,0.0001749,20973.44,3.67
2015-03-26,0.0001265,0.0001761,0.0001265,0.0001761,219276.95,27.74
2015-03-27,0.0001582,0.0001582,0.0001261,0.0001261,29051.44,4.6
2015-03-28,0.0001689,0.0001689,0.0001613,0.0001613,112697.88,19.03
2015-03-29,0.0001331,0.0001646,0.0001235,0.0001622,141217.74,18.8
2015-03-30,0.0001283,0.0001481,0.0001283,0.0001357,331344.88,42.51
2015-03-31,0.0001611,0.0001611,0.000127,0.000127,66528.89,10.72
2015-04-01,0.0001625,0.0001625,0.0001625,0.0001625,0.0,0.0
2015-04-02,0.0001768,0.0001768,0.0001667,0.0001667,289183.06,51.13
2015-04-03,0.0001654,0.0001781,0.0001654,0.0001781,779.29,0.1289
2015-04-04,0.0001517,0.0001644,0.0001517,0.0001644,23784.66,3.61
2015-04-05,0.0001298,0.0001532,0.0001298,0.0001558,150497.75,19.53
2015-04-06,0.0001479,0.0001785,0.0001173,0.0001275,64688.45,9.57
2015-04-07,8.095e-05,0.0001619,8.095e-05,0.0001467,688339.89,55.72
2015-04-08,0.0001125,0.0001125,7.826e-05,7.826e-05,1917.81,0.2158
2015-04-09,0.0001338,0.0001679,0.0001119,0.0001119,561960.96,75.19
2015-04-10,7.981e-05,0.0001408,7.981e-05,0.0001291,311616.04,24.87
2015-04-11,8.04e-05,8.04e-05,8.04e-05,8.04e-05,0.0,0.0
2015-04-12,8.019e-05,8.019e-05,8.019e-05,8.019e-05,0.0,0.0
2015-04-13,7.602e-05,7.602e-05,7.602e-05,7.602e-05,0.0,0.0
2015-04-14,0.0001395,0.0001395,0.0001243,7.412e-05,370211.37,51.64
2015-04-15,0.0001093,0.0001494,0.0001093,0.0001427,358208.5,39.15
2015-04-16,0.0001505,0.0001505,0.0001117,0.0001117,230136.56,34.64
2015-04-17,0.0001491,0.0001491,0.000138,0.0001469,289918.85,43.23
