time,close,high,low,open,volumefrom,volumeto
2019-05-09,0.003021,0.00325,0.003021,0.003157,281804.29,851.33
2019-05-10,0.00305,0.00345,0.002912,0.00305,565843.48,1725.82
2019-05-11,0.003185,0.003656,0.003143,0.003402,1033009.43,3290.14
2019-05-12,0.003048,0.003242,0.002636,0.003114,241190.88,735.15
2019-05-13,0.003014,0.003304,0.002855,0.003172,185119.89,557.95
2019-05-14,0.003312,0.00339,0.003179,0.003342,297376.18,984.91
2019-05-15,0.003344,0.003792,0.00311,0.003792,435656.68,1456.84
2019-05-16,0.003237,0.003703,0.003129,0.003557,991529.89,3209.58
2019-05-17,0.003489,0.003797,0.002997,0.002997,3395759.32,11847.8
2019-05-18,0.003769,0.004415,0.003282,0.003334,595951.88,2246.14
2019-05-19,0.004114,0.004508,0.004,0.004203,297091.02,1222.23
2019-05-20,0.004765,0.004765,0.003976,0.003976,382268.88,1821.51
2019-05-21,0.004199,0.005833,0.004138,0.004818,8520216.91,35776.39
2019-05-22,0.004147,0.005001,0.004108,0.004171,3244333.58,13473.72
