time,close,high,low,open,volumefrom,volumeto
2018-04-19,0.5673,0.8582,0.5673,0.8582,486.0,275.71
2018-04-20,0.6172,0.6172,0.6172,0.6172,0.0,0.0
2018-04-21,0.6058,0.7686,0.6052,0.6052,1906.81,1155.15
2018-04-22,0.6338,0.7829,0.622,0.622,2875.41,1822.43
2018-04-23,0.8696,0.8696,0.657,0.657,2580.8,2244.26
2018-04-24,0.8089,1.02,0.787,0.9495,1720.35,1391.59
2018-04-25,0.6863,0.8889,0.08278,0.7104,17237.03,11829.77
2018-04-26,0.8665,0.8665,0.7349,0.7349,40.0,34.66
2018-04-27,0.8428,0.8428,0.8428,0.8428,0.0,0.0
2018-04-28,0.7991,0.8948,0.5607,0.8948,2236.76,1787.39
2018-04-29,0.6635,0.8065,0.6635,0.8065,191.3,126.93
2018-04-30,0.8711,0.8711,0.645,0.645,2540.41,2212.95
2018-05-01,0.7111,0.8721,0.008855,0.8721,13466.44,9575.99
2018-05-02,0.8928,0.8928,0.302,0.7279,6448.58,5757.29
2018-05-03,1.01,1.01,1.01,1.01,0.0,0.0
2018-05-04,1.02,1.02,1.02,1.02,0.0,0.0
2018-05-05,1.06,1.06,1.06,1.06,0.0,0.0
2018-05-06,1.03,1.03,1.03,1.03,0.0,0.0
2018-05-07,0.9781,0.9781,0.9781,0.9781,0.0,0.0
2018-05-08,0.9721,0.9721,0.9721,0.9721,0.0,0.0
2018-05-09,0.6055,0.9767,0.5973,0.9767,2110.0,1277.61
2018-05-10,0.6151,0.6491,0.5825,0.5832,6410.0,3942.79
2018-05-11,0.5382,0.6053,0.5083,0.5761,36550.0,19671.21
2018-05-12,0.5647,0.6098,0.5401,0.5428,2940.0,1660.22
2018-05-13,0.5251,0.6097,0.4376,0.6024,13588.0,7135.06
2018-05-14,0.5085,0.6125,0.4524,0.5237,12360.0,6285.06
2018-05-15,0.4848,0.4996,0.4516,0.4932,12253.39,5940.44
2018-05-16,0.4891,0.5265,0.4276,0.4855,7730.0,3780.74
2018-05-17,0.4024,0.5514,0.3676,0.4625,25560.0,10285.34
2018-05-18,0.4869,0.5077,0.3905,0.4175,10916.0,5315.0
2018-05-19,0.4935,0.5116,0.4845,0.4886,3452.44,1703.78
2018-05-20,0.4441,0.507,0.4084,0.507,12775.0,5673.38
2018-05-21,0.4187,0.5225,0.3846,0.4327,25103.4,10510.79
2018-05-22,0.455,0.5024,0.3794,0.3851,12640.0,5751.2
2018-05-23,0.3808,0.4097,0.3312,0.4097,26031.02,9912.61
2018-05-24,0.5044,0.567,0.3736,0.3977,26130.0,13179.97
2018-05-25,0.7538,0.8812,0.4637,0.4895,36966.47,27865.33
2018-05-26,0.7562,0.8517,0.5875,0.755,29309.16,22163.59
2018-05-27,0.6955,0.7405,0.5412,0.7354,12269.67,8533.56
2018-05-28,0.53,0.7445,0.5294,0.6252,18174.47,9632.47
2018-05-29,0.3739,0.6334,0.2459,0.5864,368301.6,137707.97
2018-05-30,0.4529,0.6178,0.2903,0.3677,332394.58,150541.51
2018-05-31,0.4554,0.5691,0.3475,0.4693,224596.45,102281.22
2018-06-01,0.3897,0.4725,0.3509,0.4568,62770.0,24461.47
2018-06-02,0.3803,0.4063,0.3608,0.3974,31460.0,11964.24
2018-06-03,0.3269,0.3987,0.3157,0.3987,82360.0,26923.48
2018-06-04,0.3063,0.3447,0.2903,0.3122,33250.0,10184.48
2018-06-05,0.3157,0.3364,0.3017,0.3151,52540.0,16586.88
2018-06-06,0.3044,0.3238,0.2995,0.3147,20520.0,6246.29
2018-06-07,0.3107,0.3349,0.2974,0.3034,16260.0,5051.98
2018-06-08,0.3016,0.3088,0.3016,0.3082,4750.0,1432.6
2018-06-09,0.3198,0.3418,0.2967,0.2985,21700.0,6939.66
2018-06-10,0.2702,0.2886,0.2692,0.2828,9280.0,2507.46
2018-06-11,0.2974,0.2974,0.2714,0.2735,13850.0,4118.99
2018-06-12,0.2636,0.2769,0.2577,0.2769,2300.0,606.28
2018-06-13,0.2558,0.2643,0.2429,0.2539,18360.0,4696.49
2018-06-14,0.262,0.3109,0.2542,0.2791,22700.0,5947.4
2018-06-15,0.2491,0.2516,0.2418,0.2457,5010.0,1247.99
2018-06-16,0.2332,0.2541,0.1989,0.2541,27520.0,6417.66
2018-06-17,0.1878,0.233,0.1614,0.233,64080.0,12034.22
2018-06-18,0.1796,0.1957,0.1579,0.1957,56940.0,10226.42
2018-06-19,0.1782,0.1885,0.1615,0.1868,111440.0,19858.61
2018-06-20,0.1893,0.2166,0.1582,0.1775,96060.0,18184.16
2018-06-21,0.1903,0.2124,0.1583,0.1856,119670.0,22773.2
2018-06-22,0.1719,0.189,0.1548,0.1673,31710.0,5450.95
2018-06-23,0.1655,0.1807,0.147,0.1764,76860.0,12720.33
2018-06-24,0.1448,0.1698,0.1279,0.1589,100560.0,14561.09
2018-06-25,0.1312,0.1482,0.1184,0.1459,111600.0,14641.92
2018-06-26,0.1315,0.1332,0.09494,0.1229,194017.08,25513.25
2018-06-27,0.1365,0.1537,0.1325,0.1356,70251.15,9589.28
2018-06-28,0.1254,0.1304,0.114,0.13,79390.0,9955.51
2018-06-29,0.1393,0.1671,0.1319,0.1332,28690.0,3996.52
2018-06-30,0.1492,0.1768,0.1424,0.1451,63610.0,9490.61
2018-07-01,0.2074,0.2685,0.1482,0.1487,61570.0,12769.62
2018-07-02,0.2483,0.2855,0.1787,0.2188,116370.0,28894.67
2018-07-03,0.2726,0.2947,0.2273,0.2407,40890.0,11146.61
2018-07-04,0.3364,0.3476,0.2756,0.2756,34980.0,11767.27
2018-07-05,0.3694,0.3694,0.3156,0.3366,10000.0,3694.0
2018-07-06,0.4206,0.4417,0.3647,0.3712,24860.0,10456.12
2018-07-07,0.3974,0.4338,0.3886,0.4324,11441.68,4546.92
2018-07-08,0.3087,0.3982,0.2684,0.3977,37230.0,11492.9
2018-07-09,0.3456,0.4008,0.2956,0.2994,10143.0,3505.42
2018-07-10,0.3388,0.3591,0.3042,0.3172,12893.34,4368.26
2018-07-11,0.2856,0.3489,0.2852,0.3489,6885.0,1966.36
2018-07-12,0.3016,0.309,0.2758,0.2762,9060.0,2732.5
2018-07-13,0.2573,0.3027,0.2573,0.3027,8520.0,2192.2
2018-07-14,0.2737,0.3145,0.2581,0.2581,4440.0,1215.23
2018-07-15,0.3354,0.3637,0.2761,0.2837,5590.0,1874.89
2018-07-16,0.3212,0.3734,0.3117,0.3571,7860.0,2524.63
2018-07-17,0.2735,0.3493,0.2485,0.3349,28210.0,7715.44
2018-07-18,0.2649,0.274,0.2395,0.2625,26440.0,7003.96
2018-07-19,0.2512,0.2812,0.2039,0.2592,25608.17,6432.77
2018-07-20,0.2707,0.2805,0.2294,0.2406,7522.0,2036.21
