time,close,high,low,open,volumefrom,volumeto
2017-08-30,0.1881,0.1881,0.1881,0.1881,1166.0,219.32
2017-08-31,0.1903,0.1903,0.1903,0.1903,0.0,0.0
2017-09-01,0.1918,0.1918,0.1918,0.1918,0.0,0.0
2017-09-02,0.172,0.172,0.172,0.172,0.0,0.0
2017-09-03,0.1727,0.1727,0.1727,0.1727,0.0,0.0
2017-09-04,0.1488,0.1488,0.1488,0.1488,0.0,0.0
2017-09-05,0.1558,0.1558,0.1558,0.1558,219.0,34.12
2017-09-06,0.1661,0.1661,0.1661,0.1661,0.0,0.0
2017-09-07,0.1643,0.1643,0.1643,0.1643,0.0,0.0
2017-09-08,0.1503,0.1503,0.1503,0.1503,0.0,0.0
2017-09-09,0.1489,0.1489,0.1489,0.1489,0.0,0.0
2017-09-10,0.1466,0.1466,0.1466,0.1466,0.0,0.0
2017-09-11,0.146,0.146,0.146,0.146,0.0,0.0
2017-09-12,0.1441,0.1441,0.1441,0.1441,0.0,0.0
2017-09-13,0.1352,0.1352,0.1352,0.1352,0.0,0.0
2017-09-14,0.1093,0.1093,0.1093,0.1093,0.0,0.0
2017-09-15,0.1272,0.1272,0.1272,0.1272,0.0,0.0
2017-09-16,0.1247,0.1247,0.1247,0.1247,0.0,0.0
2017-09-17,0.1266,0.1266,0.1266,0.1266,0.0,0.0
2017-09-18,0.1458,0.1458,0.1458,0.1458,0.0,0.0
2017-09-19,0.1387,0.1387,0.1387,0.1387,0.0,0.0
2017-09-20,0.1389,0.1389,0.1389,0.1389,0.0,0.0
2017-09-21,0.1263,0.1263,0.1263,0.1263,0.0,0.0
2017-09-22,0.1288,0.1288,0.1288,0.1288,0.0,0.0
2017-09-23,0.1402,0.1402,0.1402,0.1402,0.0,0.0
2017-09-24,0.1385,0.1385,0.1385,0.1385,0.0,0.0
2017-09-25,0.1445,0.1445,0.1445,0.1445,0.0,0.0
2017-09-26,0.1414,0.1414,0.1414,0.1414,0.0,0.0
2017-09-27,0.1519,0.1519,0.1519,0.1519,0.0,0.0
2017-09-28,0.1484,0.1484,0.1484,0.1484,0.0,0.0
2017-09-29,0.1434,0.1434,0.1434,0.1434,0.0,0.0
2017-09-30,0.1484,0.1484,0.1484,0.1484,0.0,0.0
2017-10-01,0.1489,0.1489,0.1489,0.1489,0.0,0.0
2017-10-02,0.1454,0.1454,0.1454,0.1454,0.0,0.0
2017-10-03,0.143,0.143,0.143,0.143,0.0,0.0
2017-10-04,0.1429,0.1429,0.1429,0.1429,0.0,0.0
2017-10-05,0.1445,0.1445,0.1445,0.1445,0.0,0.0
2017-10-06,0.1511,0.1511,0.1511,0.1511,0.0,0.0
2017-10-07,0.1525,0.1525,0.1525,0.1525,0.0,0.0
2017-10-08,0.1517,0.1517,0.1517,0.1517,0.0,0.0
2017-10-09,0.3902,0.3902,0.3902,0.3902,40.09,15.64
2017-10-10,0.3113,0.3922,0.3113,0.3922,8.29,2.58
2017-10-11,0.3159,0.3159,0.3159,0.3159,0.0,0.0
2017-10-12,0.3159,0.3159,0.3159,0.3159,0.0,0.0
2017-10-13,0.3554,0.4406,0.3554,0.4399,6.61,2.35
2017-10-14,0.3544,0.3574,0.3544,0.3574,9.98,3.54
2017-10-15,0.3992,0.3992,0.3521,0.3521,5.38,2.15
2017-10-16,0.3506,0.3506,0.3506,0.3506,0.1022,0.03583
2017-10-17,0.3316,0.3316,0.3316,0.3316,0.0,0.0
2017-10-18,0.3289,0.3289,0.3289,0.3289,0.0,0.0
2017-10-19,0.3225,0.3225,0.3225,0.3225,0.0,0.0
2017-10-20,0.3179,0.3179,0.3179,0.3179,0.0,0.0
2017-10-21,0.3142,0.3142,0.3142,0.3142,0.0,0.0
2017-10-22,0.3087,0.3987,0.3087,0.3987,0.3126,0.0965
2017-10-23,0.2995,0.2995,0.2995,0.2995,0.0,0.0
2017-10-24,0.3113,0.3113,0.3113,0.3113,6.83,2.13
