time,close,high,low,open,volumefrom,volumeto
2018-01-24,0.05189,0.05314,0.04034,0.04114,30628378.57,1589306.56
2018-01-25,0.05756,0.0675,0.04582,0.05141,380079509.38,21877376.56
2018-01-26,0.04952,0.05963,0.04275,0.05708,179711862.07,8899331.41
2018-01-27,0.04481,0.05489,0.04446,0.05111,131944023.17,5912411.68
2018-01-28,0.05048,0.05225,0.04248,0.04601,145877866.9,7363914.72
2018-01-29,0.03909,0.04819,0.03471,0.04808,152785175.58,5972372.51
2018-01-30,0.02941,0.03841,0.02658,0.03517,176800781.48,5199710.98
2018-01-31,0.03784,0.03784,0.0272,0.02976,287409367.38,10875570.46
2018-02-01,0.03072,0.03701,0.02616,0.03372,315743699.26,9699646.44
2018-02-02,0.0283,0.03016,0.02581,0.02998,121719666.55,3444666.56
2018-02-03,0.03071,0.03626,0.02849,0.02942,272547321.88,8369928.25
2018-02-04,0.02391,0.02827,0.02383,0.02728,212744969.71,5086732.23
2018-02-05,0.01686,0.02033,0.01443,0.02019,175599170.35,2960602.01
2018-02-06,0.02133,0.02472,0.0164,0.01871,208365296.41,4444431.77
2018-02-07,0.02012,0.02247,0.01936,0.02111,209032975.65,4205743.47
2018-02-08,0.02156,0.02404,0.02098,0.02189,188879403.98,4072239.95
2018-02-09,0.02279,0.02392,0.02183,0.02261,168253710.46,3834502.06
2018-02-10,0.02134,0.02399,0.02082,0.02245,117600635.96,2509597.57
2018-02-11,0.01981,0.02062,0.01722,0.02013,89442809.63,1771862.06
2018-02-12,0.02094,0.02263,0.02014,0.02183,85006419.97,1780034.43
2018-02-13,0.01991,0.02076,0.01897,0.02008,77909933.62,1551186.78
2018-02-14,0.02153,0.024,0.02106,0.0221,83587421.92,1799637.19
2018-02-15,0.02197,0.02328,0.02137,0.02288,91628173.74,2013070.98
2018-02-16,0.02272,0.02333,0.0217,0.02252,74852228.64,1700642.63
2018-02-17,0.02896,0.03263,0.02441,0.02475,151305408.25,4381804.62
2018-02-18,0.02615,0.02865,0.02511,0.02719,66242151.73,1732232.27
2018-02-19,0.0255,0.02818,0.02516,0.02807,38372539.61,978499.76
2018-02-20,0.02274,0.02668,0.02263,0.02566,68508017.64,1557872.32
2018-02-21,0.02107,0.02191,0.02002,0.02107,65240449.91,1374616.28
2018-02-22,0.02068,0.02117,0.0195,0.0197,85889757.98,1776200.2
2018-02-23,0.02086,0.02218,0.02035,0.02137,68137701.09,1421352.44
2018-02-24,0.01961,0.02028,0.01941,0.0199,58670758.71,1150533.58
2018-02-25,0.01816,0.0196,0.01787,0.01941,66812648.74,1213317.7
2018-02-26,0.0189,0.02014,0.01817,0.01952,52527446.09,992768.73
2018-02-27,0.01971,0.02045,0.01854,0.01928,55995133.39,1103664.08
2018-02-28,0.01778,0.01953,0.01747,0.01922,46221961.34,821826.47
2018-03-01,0.01891,0.02109,0.01781,0.0188,57107948.89,1079911.31
2018-03-02,0.01811,0.01977,0.01767,0.0191,47927814.91,867972.73
2018-03-03,0.018,0.01903,0.0172,0.0188,51544408.13,927799.35
2018-03-04,0.01795,0.01887,0.01749,0.01806,49496603.33,888464.03
2018-03-05,0.01785,0.01888,0.01716,0.01785,39400972.13,703307.35
2018-03-06,0.0161,0.01739,0.01546,0.01675,30994929.09,499018.36
2018-03-07,0.01082,0.01549,0.009035,0.01489,127501221.18,1379563.21
2018-03-08,0.009783,0.01165,0.009037,0.01016,84736250.53,828974.74
2018-03-09,0.01036,0.01036,0.008975,0.009715,58526990.53,606339.62
2018-03-10,0.009149,0.009941,0.009061,0.009853,42924483.62,392716.1
2018-03-11,0.01002,0.0105,0.00964,0.009927,44490464.26,445794.45
2018-03-12,0.009599,0.009782,0.008959,0.009599,54166571.07,519944.92
2018-03-13,0.009435,0.00971,0.00916,0.009527,132044682.85,1245841.58
2018-03-14,0.008546,0.008957,0.0083,0.008464,249445236.28,2131758.99
2018-03-15,0.008186,0.008682,0.00802,0.008599,265466650.35,2173110.0
2018-03-16,0.008118,0.008449,0.008035,0.008283,251434791.11,2041147.63
2018-03-17,0.007332,0.007805,0.007253,0.007726,251917248.82,1847057.27
2018-03-18,0.006737,0.00764,0.00649,0.00764,303787818.55,2046618.53
2018-03-19,0.007588,0.007761,0.006899,0.007071,258466587.39,1961244.47
2018-03-20,0.008475,0.009188,0.007672,0.00785,254374510.85,2155823.98
2018-03-21,0.008733,0.009,0.00802,0.008466,248761536.18,2172434.5
2018-03-22,0.01003,0.01073,0.00855,0.00855,265407134.47,2662033.56
2018-03-23,0.01108,0.01126,0.00965,0.01028,224398044.48,2486330.33
2018-03-24,0.01137,0.01265,0.01,0.0106,259525870.03,2950809.14
2018-03-25,0.01085,0.01161,0.01034,0.01135,237277922.48,2574465.46
2018-03-26,0.009783,0.01043,0.008967,0.01035,261767027.95,2560866.83
2018-03-27,0.009214,0.009604,0.008745,0.00937,199677123.45,1839825.02
2018-03-28,0.01067,0.01098,0.009154,0.009393,297569907.03,3175070.91
2018-03-29,0.009239,0.009949,0.009096,0.009452,237427803.31,2193595.47
2018-03-30,0.009047,0.009321,0.008567,0.008978,231384657.63,2093337.0
2018-03-31,0.008888,0.009305,0.008749,0.009166,228273300.64,2028893.1
2018-04-01,0.00834,0.008887,0.008135,0.00875,231594713.67,1931499.91
2018-04-02,0.008419,0.008843,0.008277,0.008631,225138811.92,1895443.66
2018-04-03,0.008921,0.009665,0.008549,0.008847,216536565.04,1931722.7
2018-04-04,0.008928,0.009133,0.007838,0.008179,264564271.1,2362029.81
2018-04-05,0.008556,0.009099,0.008488,0.008895,237503728.85,2032081.9
2018-04-06,0.008095,0.008493,0.007962,0.00836,239489609.64,1938668.39
2018-04-07,0.008785,0.009684,0.008301,0.008439,265339531.2,2331007.78
2018-04-08,0.009094,0.009376,0.008883,0.008883,232233326.64,2111929.87
2018-04-09,0.008691,0.00903,0.008487,0.008758,230956464.49,2007242.63
2018-04-10,0.008864,0.009001,0.008589,0.008795,252740337.18,2240290.35
2018-04-11,0.00914,0.009349,0.008931,0.009,251125307.9,2295285.31
2018-04-12,0.01142,0.01213,0.009989,0.01039,298321839.03,3406835.4
2018-04-13,0.01264,0.01501,0.01106,0.0113,338345479.38,4276686.86
2018-04-14,0.01268,0.01372,0.01219,0.01292,195379030.06,2477406.1
2018-04-15,0.01315,0.01382,0.0129,0.01324,210575067.92,2769062.14
2018-04-16,0.01293,0.01317,0.01196,0.01269,242367795.4,3133815.59
2018-04-17,0.01244,0.01283,0.01212,0.01267,221366393.2,2753797.93
2018-04-18,0.01286,0.01319,0.01261,0.01286,203988430.01,2623291.21
2018-04-19,0.01528,0.01544,0.01295,0.01303,252189999.85,3853463.2
2018-04-20,0.01518,0.01687,0.01509,0.01607,177704979.87,2697561.59
2018-04-21,0.01448,0.01564,0.01376,0.01528,181631843.21,2630029.09
2018-04-22,0.01659,0.01765,0.01429,0.01438,231008736.95,3832434.95
2018-04-23,0.02143,0.02242,0.01695,0.01695,204112530.74,4374131.53
2018-04-24,0.02144,0.02549,0.02134,0.02308,182878499.8,3920915.04
2018-04-25,0.01748,0.0197,0.01455,0.0197,139677480.03,2441562.35
2018-04-26,0.02005,0.02181,0.01773,0.01829,83152224.27,1667202.1
2018-04-27,0.0194,0.01993,0.0185,0.01922,41768979.16,810318.2
2018-04-28,0.02104,0.02188,0.0188,0.02029,46246332.96,973022.85
2018-04-29,0.02154,0.02248,0.0207,0.02126,189518087.38,4082219.6
2018-04-30,0.01942,0.0221,0.01905,0.02109,262643890.83,5100544.36
2018-05-01,0.01961,0.02006,0.01752,0.01915,287469608.32,5637279.02
2018-05-02,0.02031,0.02262,0.01957,0.01994,288367453.06,5856742.97
2018-05-03,0.02085,0.02212,0.02056,0.02134,305705892.73,6373967.86
2018-05-04,0.02076,0.02124,0.01979,0.02085,267412262.18,5551478.56
2018-05-05,0.02471,0.0256,0.02058,0.02107,315559199.73,7797467.83
2018-05-06,0.0216,0.02469,0.01977,0.02431,283558975.76,6124873.88
2018-05-07,0.02044,0.02148,0.01913,0.02119,264078505.17,5397764.65
2018-05-08,0.02106,0.02216,0.01977,0.02005,279647292.41,5889371.98
2018-05-09,0.02209,0.02302,0.02013,0.02135,261115524.11,5768041.93
2018-05-10,0.02258,0.02502,0.02123,0.02141,331733854.91,7490550.44
2018-05-11,0.01836,0.02122,0.01811,0.02105,275211889.39,5052890.29
2018-05-12,0.0168,0.01926,0.01112,0.0185,378924314.18,6365928.48
2018-05-13,0.01812,0.01907,0.01664,0.01724,282812557.98,5124563.55
2018-05-14,0.01856,0.01891,0.01648,0.01804,304035768.21,5642903.86
2018-05-15,0.01798,0.01883,0.01713,0.01815,266971695.2,4800151.08
2018-05-16,0.01986,0.01994,0.01694,0.01769,287794204.73,5715592.91
2018-05-17,0.01751,0.01937,0.01719,0.01921,254865091.81,4462687.76
2018-05-18,0.01732,0.01823,0.01707,0.0179,220202266.36,3813903.25
2018-05-19,0.01732,0.01782,0.01699,0.01741,254155313.07,4401970.02
2018-05-20,0.01826,0.01869,0.01766,0.01792,208329642.08,3804099.26
2018-05-21,0.01709,0.01844,0.01684,0.01802,213965132.43,3656664.11
2018-05-22,0.01527,0.01647,0.01519,0.01623,220900842.0,3373155.86
2018-05-23,0.01261,0.01479,0.01201,0.01441,245511022.55,3095893.99
2018-05-24,0.01342,0.01456,0.01259,0.01267,242906958.33,3259811.38
2018-05-25,0.01293,0.01361,0.01263,0.01323,215385231.56,2784931.04
2018-05-26,0.0128,0.01302,0.01258,0.01272,238672256.61,3055004.88
2018-05-27,0.01274,0.01303,0.01252,0.01281,217399717.53,2769672.4
2018-05-28,0.01103,0.01289,0.01103,0.01232,324686715.0,3581294.47
2018-05-29,0.01316,0.0136,0.01129,0.01151,320278369.4,4214863.34
2018-05-30,0.01323,0.01368,0.01272,0.01301,340998123.46,4511405.17
2018-05-31,0.01418,0.01523,0.0132,0.01343,342643634.94,4858686.74
2018-06-01,0.01386,0.01438,0.01348,0.01423,232035972.98,3216018.59
2018-06-02,0.01383,0.01429,0.01361,0.01399,234061285.04,3237067.57
2018-06-03,0.01374,0.01428,0.01359,0.01397,222687774.34,3059730.02
2018-06-04,0.01268,0.01388,0.01253,0.01336,135352478.44,1716269.43
2018-06-05,0.0132,0.0135,0.01144,0.01289,88877041.79,1173176.95
2018-06-06,0.01234,0.01333,0.01211,0.01325,65754582.54,811411.55
2018-06-07,0.0124,0.01271,0.01209,0.0124,45728523.03,567033.69
2018-06-08,0.01198,0.01297,0.01167,0.01228,76985876.14,922290.8
2018-06-09,0.01127,0.01187,0.01127,0.0118,70957058.79,799686.05
2018-06-10,0.008941,0.01036,0.008603,0.01023,87030202.05,778137.04
2018-06-11,0.009229,0.009298,0.008609,0.009091,60961170.59,562610.64
2018-06-12,0.008196,0.009442,0.007934,0.008721,70632602.4,578904.81
2018-06-13,0.00833,0.008708,0.007636,0.007888,65258729.29,543605.21
2018-06-14,0.008703,0.008902,0.008304,0.008769,114588523.0,997263.92
2018-06-15,0.007932,0.008572,0.007612,0.008316,35480702.51,281432.93
2018-06-16,0.007869,0.008194,0.007804,0.008064,25380299.05,199717.57
2018-06-17,0.007685,0.007943,0.00762,0.007814,24399916.98,187513.36
2018-06-18,0.007923,0.008058,0.007655,0.007991,27241144.04,215831.58
2018-06-19,0.008022,0.008157,0.00755,0.007955,44354526.9,355812.01
2018-06-20,0.007911,0.008384,0.007775,0.007978,34756516.0,274958.8
2018-06-21,0.007662,0.008266,0.007527,0.00793,38959823.55,298510.17
