time,close,high,low,open,volumefrom,volumeto
2017-05-26,0.0002469,0.0002694,0.0002469,0.0002694,110109.32,27.19
2017-05-27,0.0002873,0.0002873,0.0002258,0.0002258,9845.25,2.83
2017-05-28,0.0003284,0.0003284,0.0002408,0.0003065,5247.93,1.72
2017-05-29,0.000205,0.0003417,0.000205,0.0003417,92082.42,18.88
2017-05-30,0.0003289,0.0003289,0.0001973,0.0001973,14515.66,4.77
2017-05-31,0.0001843,0.0003455,0.0001843,0.0003455,43526.13,8.02
2017-06-01,0.0002654,0.0003378,0.000193,0.000193,15814.18,4.2
2017-06-02,0.0002742,0.0002742,0.0002742,0.0002742,200000.0,54.84
2017-06-03,0.0003818,0.0003818,0.00028,0.00028,7892.06,3.01
2017-06-04,0.0002524,0.0003786,0.0002524,0.0003786,9200.1,2.32
2017-06-05,0.0004328,0.0004328,0.0002164,0.0002705,15718.35,6.8
2017-06-06,0.0003445,0.000488,0.0002871,0.0004593,9372.66,3.23
2017-06-07,0.000323,0.0005383,0.0002153,0.000323,30944.44,10.0
2017-06-08,0.0006437,0.0006437,0.0002519,0.0003359,80439.0,51.78
2017-06-09,0.0002811,0.0006466,0.0002249,0.0006466,7431191.81,2088.91
2017-06-10,0.000319,0.0006381,0.000261,0.00029,3722391.29,1187.44
2017-06-11,0.0003271,0.0004163,0.0002973,0.0003271,63913.36,20.91
2017-06-12,0.0002657,0.0003719,0.0002657,0.0002922,1192829.57,316.93
2017-06-13,0.0004069,0.0004341,0.000217,0.0002713,359323.5,146.21
2017-06-14,0.0001727,0.0003948,0.0001727,0.0003701,122687.34,21.19
2017-06-15,0.0003664,0.0003908,0.000171,0.000171,15745.37,5.77
2017-06-16,0.0001756,0.0004515,0.0001505,0.0003763,657075.94,115.38
2017-06-17,0.0004514,0.0004514,0.0001859,0.0001859,1963.27,0.8862
2017-06-18,0.0002032,0.0004317,0.0002032,0.0004317,10240.0,2.08
2017-06-19,0.0002093,0.0004449,0.0001832,0.0002093,12813.34,2.68
2017-06-20,0.0001928,0.0004958,0.0001928,0.0002204,54683.24,10.54
2017-06-21,0.0005355,0.0005355,0.0001874,0.0001874,38471.41,20.6
2017-06-22,0.0003812,0.0005446,0.0002723,0.0005446,57968.31,22.1
2017-06-23,0.000271,0.0006234,0.000271,0.0003795,1043095.16,282.68
2017-06-24,0.0003367,0.0006993,0.000259,0.000259,1414374.5,476.22
2017-06-25,0.0004067,0.0006862,0.0002796,0.0003304,1892740.98,769.78
2017-06-26,0.0003424,0.0004158,0.0002691,0.0003914,287127.66,98.31
2017-06-27,0.0002842,0.0005684,0.0002584,0.0003617,879479.03,249.95
2017-06-28,0.0002578,0.0004382,0.0002578,0.0002836,227766.8,58.72
2017-06-29,0.0004349,0.0004349,0.0002558,0.0002558,139555.71,60.69
2017-06-30,0.0004713,0.0004961,0.0004217,0.0004217,355819.56,167.7
2017-07-01,0.0004849,0.0005577,0.0004607,0.0004607,74694.57,36.22
2017-07-02,0.0003044,0.0006088,0.0003044,0.0005073,14843.53,4.52
2017-07-03,0.0003087,0.0005917,0.000283,0.0003087,102498.22,31.64
2017-07-04,0.0002356,0.0005758,0.0002356,0.0003141,207535.87,48.9
2017-07-05,0.0004467,0.0004993,0.0002628,0.0003416,288647.03,128.94
2017-07-06,0.0004444,0.0006013,0.0003921,0.0004444,53925.65,23.96
2017-07-07,0.0003268,0.0005782,0.0003017,0.0004274,74498.1,24.35
2017-07-08,0.0003591,0.0003591,0.0003334,0.0003334,83077.29,29.83
2017-07-09,0.0003516,0.0005776,0.0002763,0.0003516,1925746.8,677.09
2017-07-10,0.0003516,0.0004219,0.0002813,0.0003282,2230076.85,784.1
2017-07-11,0.0003022,0.0003486,0.0003022,0.0003486,424904.59,128.41
2017-07-12,0.0003605,0.0003605,0.0003124,0.0003124,476611.88,171.82
