time,close,high,low,open,volumefrom,volumeto
2017-10-20,2.52,2.52,2.52,2.52,10442.43,26314.92
2017-10-21,2.29,3.04,1.95,2.56,298966.19,684632.58
2017-10-22,2.11,2.44,2.1,2.29,114501.45,241598.06
2017-10-23,1.97,2.14,1.94,2.09,114755.75,226068.83
2017-10-24,2.37,2.41,1.81,1.84,177644.51,421017.49
2017-10-25,2.12,2.48,1.99,2.47,102734.17,217796.44
2017-10-26,2.33,2.7,2.0,2.17,176953.47,412301.59
2017-10-27,2.48,2.77,2.28,2.28,164920.29,409002.32
2017-10-28,2.25,2.57,2.25,2.47,46602.23,104855.02
2017-10-29,2.29,2.64,2.28,2.41,59282.97,135758.0
2017-10-30,2.18,2.41,2.15,2.3,40593.89,88494.68
2017-10-31,2.24,2.38,2.19,2.3,65203.02,146054.76
2017-11-01,1.94,2.39,1.62,2.34,117570.83,228087.41
2017-11-02,1.97,2.07,1.83,2.03,155748.08,306823.72
2017-11-03,2.02,2.15,1.93,2.01,107221.18,216586.78
2017-11-04,1.98,2.25,1.96,2.08,25865.22,51213.14
2017-11-05,1.88,2.1,1.73,1.99,228267.83,429143.52
2017-11-06,1.74,1.82,1.67,1.77,92886.63,161622.74
2017-11-07,1.93,2.18,1.78,1.78,246289.79,475339.29
2017-11-08,1.97,2.18,1.86,2.02,168503.33,331951.56
2017-11-09,2.33,2.43,1.87,1.89,197961.62,461250.57
2017-11-10,1.98,2.2,1.86,2.15,195891.01,387864.2
2017-11-11,2.01,2.01,1.84,1.91,122897.44,247023.85
2017-11-12,1.97,2.06,1.73,1.86,140817.99,277411.44
2017-11-13,2.04,2.3,1.86,2.18,42837.98,87389.48
2017-11-14,2.31,2.31,1.88,2.07,157184.88,363097.07
2017-11-15,2.27,2.55,2.2,2.55,97896.63,222225.35
2017-11-16,2.05,2.46,2.04,2.45,226792.88,464925.4
2017-11-17,2.09,2.15,1.91,2.01,173507.54,362630.76
2017-11-18,2.18,2.18,2.02,2.11,32541.16,70939.73
2017-11-19,2.1,2.39,2.04,2.25,47432.73,99608.73
2017-11-20,2.33,2.46,2.15,2.15,44324.91,103277.04
