time,close,high,low,open,volumefrom,volumeto
2018-07-04,0.01828,0.01828,0.01828,0.01828,2560.19,46.8
2018-07-05,0.02123,0.0246,0.0183,0.0183,10561.41,224.22
2018-07-06,0.02138,0.02632,0.01732,0.02134,73178.98,1564.57
2018-07-07,0.0221,0.0221,0.0221,0.0221,0.0,0.0
2018-07-08,0.02637,0.02637,0.01717,0.02637,8500.0,224.15
2018-07-09,0.02111,0.02557,0.01912,0.02557,9861.96,208.19
2018-07-10,0.02595,0.02595,0.01947,0.01947,97601.07,2532.75
2018-07-11,0.02491,0.02673,0.02491,0.02673,767.26,19.11
2018-07-12,0.01757,0.02409,0.01757,0.02409,51862.98,911.23
2018-07-13,0.01816,0.02536,0.01605,0.01763,58179.9,1056.55
2018-07-14,0.02178,0.02178,0.02152,0.02152,47550.25,1035.64
2018-07-15,0.02258,0.02258,0.02258,0.02258,0.0,0.0
2018-07-16,0.02593,0.0281,0.0193,0.02414,81942.85,2124.78
2018-07-17,0.02944,0.02982,0.02901,0.02901,17171.54,505.53
2018-07-18,0.02863,0.02863,0.02408,0.02408,8265.53,236.64
2018-07-19,0.02109,0.028,0.02109,0.02474,68833.69,1451.7
2018-07-20,0.02469,0.02679,0.0202,0.0202,14033.8,346.49
2018-07-21,0.02289,0.02536,0.01844,0.02536,670157.7,15339.91
2018-07-22,0.02082,0.02272,0.01998,0.02272,6032.85,125.6
2018-07-23,0.02211,0.02241,0.02023,0.02045,24457.49,540.76
2018-07-24,0.02051,0.02358,0.02051,0.02358,4868.97,99.86
2018-07-25,0.02221,0.02221,0.02016,0.02016,456.0,10.13
2018-07-26,0.02192,0.02192,0.02178,0.02178,2181.94,47.83
2018-07-27,0.02087,0.02229,0.02087,0.02229,1035.0,21.6
2018-07-28,0.02162,0.02343,0.02049,0.02082,80615.01,1742.9
2018-07-29,0.02233,0.02257,0.02151,0.02151,232.83,5.2
2018-07-30,0.02186,0.02186,0.02186,0.02186,0.0,0.0
2018-07-31,0.01923,0.02069,0.0175,0.02069,13252.3,254.84
2018-08-01,0.01839,0.01869,0.01512,0.01869,28847.47,530.5
2018-08-02,0.01746,0.01799,0.01607,0.01799,65611.12,1145.57
2018-08-03,0.02193,0.02928,0.01673,0.01673,443654.6,9729.35
2018-08-04,0.02528,0.02828,0.02136,0.02136,147409.99,3726.52
2018-08-05,0.02813,0.02861,0.02446,0.02446,49586.3,1394.86
2018-08-06,0.02734,0.02787,0.02247,0.02787,15273.89,417.59
2018-08-07,0.02154,0.02552,0.02154,0.02552,35096.55,755.98
2018-08-08,0.02048,0.02249,0.02027,0.02027,26802.72,548.92
2018-08-09,0.01137,0.02094,0.01137,0.02094,2122.84,24.14
2018-08-10,0.01824,0.01989,0.01037,0.01037,34459.19,628.54
2018-08-11,0.02154,0.02203,0.01773,0.0201,79024.53,1702.19
2018-08-12,0.0191,0.02155,0.0191,0.02155,15823.43,302.23
2018-08-13,0.01911,0.01911,0.01704,0.01704,11517.73,220.1
2018-08-14,0.0167,0.01893,0.0167,0.01872,27198.47,454.21
2018-08-15,0.01917,0.01917,0.01786,0.01829,32086.66,615.1
2018-08-16,0.0195,0.01955,0.01919,0.01955,16598.09,323.66
2018-08-17,0.01921,0.02252,0.01921,0.02165,60649.04,1165.07
2018-08-18,0.0179,0.02053,0.01769,0.01784,21139.84,378.4
2018-08-19,0.01959,0.02127,0.01819,0.01819,31031.45,607.91
2018-08-20,0.01571,0.01785,0.01276,0.01773,104456.39,1641.01
2018-08-21,0.01546,0.01631,0.01478,0.01521,24818.82,383.7
2018-08-22,0.0156,0.0156,0.01433,0.01487,1829.79,28.54
2018-08-23,0.01586,0.01592,0.01379,0.01592,8380.78,132.92
