time,close,high,low,open,volumefrom,volumeto
2018-12-17,0.0005478,0.0005478,0.0005144,0.0005278,2573120.22,1409.56
2018-12-18,0.0004425,0.0005911,0.0004395,0.000588,21227992.99,9393.39
2018-12-19,0.0004649,0.0004891,0.0004226,0.0004347,43900158.22,20409.18
2018-12-20,0.0005426,0.0005682,0.0005344,0.0005379,23952232.95,12996.48
2018-12-21,0.0004815,0.0005363,0.0004575,0.00051,19203567.48,9246.52
2018-12-22,0.0005279,0.0005385,0.0005078,0.0005208,20533833.78,10839.81
2018-12-23,0.0005604,0.0005907,0.0005473,0.0005868,21437814.17,12013.75
2018-12-24,0.0006029,0.0006311,0.0005649,0.0006001,24433642.11,14731.04
2018-12-25,0.0004925,0.0005881,0.0004742,0.0005606,22656047.14,11158.1
2018-12-26,0.0004721,0.0005185,0.0004681,0.0004986,23024266.38,10869.76
2018-12-27,0.0004039,0.0004284,0.0003898,0.0004155,29755053.1,12018.07
2018-12-28,0.0004625,0.0005072,0.0004318,0.0004835,26106165.04,12074.1
2018-12-29,0.0004284,0.0004545,0.0003584,0.0004545,29076316.13,12456.29
2018-12-30,0.0004339,0.0004791,0.000424,0.0004409,29217572.58,12677.5
2018-12-31,0.0003791,0.0004165,0.0003257,0.0004098,19837194.68,7520.28
2019-01-01,0.0004009,0.0004194,0.0003909,0.0004052,24430602.29,9794.23
2019-01-02,0.0004697,0.0004713,0.0004337,0.00044,23674405.96,11119.87
2019-01-03,0.0004663,0.0004767,0.0004349,0.0004483,29013457.94,13528.98
2019-01-04,0.0004104,0.00049,0.0003448,0.0004868,23783867.21,9760.9
2019-01-05,0.0003796,0.0004406,0.0002609,0.0004109,27148291.05,10305.49
2019-01-06,0.0003759,0.000452,0.0003458,0.0003854,25877891.16,9727.5
2019-01-07,0.0003665,0.0003954,0.0003376,0.0003605,32522552.35,11919.52
2019-01-08,0.0003339,0.0004986,0.0003173,0.0003642,40235885.15,13434.76
2019-01-09,0.0005049,0.0005548,0.000325,0.0003341,119795289.41,60484.64
2019-01-10,0.0006091,0.0007614,0.0004146,0.0004274,122728201.34,74753.75
2019-01-11,0.0006078,0.0006879,0.0005163,0.0006053,96914159.81,58904.43
2019-01-12,0.0004681,0.0006052,0.0004417,0.0006015,93914621.91,43961.43
