time,close,high,low,open,volumefrom,volumeto
2017-11-01,0.02345,0.03706,0.007951,0.03679,3146214.3,73778.73
2017-11-02,0.01819,0.02452,0.0163,0.02445,3331544.05,60600.79
2017-11-03,0.02203,0.02575,0.01767,0.01852,4587048.37,101052.68
2017-11-04,0.01922,0.02408,0.01915,0.02268,886984.36,17047.84
2017-11-05,0.0201,0.02062,0.01759,0.01929,572396.92,11505.18
2017-11-06,0.01782,0.0215,0.0167,0.01893,686167.38,12227.5
2017-11-07,0.01747,0.02067,0.0169,0.01818,469508.87,8202.32
2017-11-08,0.02092,0.02166,0.01749,0.01831,15913496.92,332910.36
2017-11-09,0.02289,0.02495,0.01847,0.02003,29503770.47,675341.31
2017-11-10,0.0195,0.02193,0.01779,0.02121,16024602.55,312479.75
2017-11-11,0.01915,0.02149,0.01839,0.01883,7239925.89,138644.58
2017-11-12,0.01857,0.0194,0.01634,0.01775,12726397.12,236329.19
2017-11-13,0.02394,0.02544,0.01963,0.02061,28919969.21,692344.06
2017-11-14,0.02857,0.03028,0.02388,0.02421,63234601.23,1806612.56
2017-11-15,0.02498,0.03277,0.02236,0.03139,48636093.22,1214929.61
2017-11-16,0.0216,0.02733,0.01971,0.02702,21918505.86,473439.73
2017-11-17,0.01925,0.02125,0.01863,0.02125,13944661.48,268434.73
2017-11-18,0.02078,0.0214,0.01945,0.01945,11084559.4,230337.14
2017-11-19,0.02381,0.02654,0.02059,0.02147,25837582.25,615192.83
2017-11-20,0.02284,0.02581,0.02251,0.0244,15221506.65,347659.21
2017-11-21,0.02155,0.02438,0.02138,0.02244,9053566.19,195104.35
2017-11-22,0.02281,0.02372,0.01976,0.0219,11592071.97,264415.16
2017-11-23,0.02396,0.02797,0.02067,0.0222,33955629.09,813576.87
2017-11-24,0.02395,0.02583,0.02124,0.02452,16300239.96,390390.75
2017-11-25,0.02294,0.02556,0.02197,0.02556,15285869.92,350657.86
2017-11-26,0.02423,0.02544,0.0232,0.02441,11937115.26,289236.3
2017-11-27,0.02774,0.02852,0.02317,0.02531,19462380.94,539886.45
2017-11-28,0.02556,0.02873,0.02407,0.02823,20053056.12,512556.11
2017-11-29,0.02154,0.02627,0.02046,0.02538,21397570.75,460903.67
2017-11-30,0.02278,0.02298,0.02019,0.02178,10931191.97,249012.55
2017-12-01,0.02444,0.02628,0.0239,0.02487,7655026.66,187088.85
2017-12-02,0.02706,0.02794,0.02423,0.02455,7177097.84,194212.27
2017-12-03,0.02519,0.02857,0.02362,0.02789,14129967.92,355933.89
2017-12-04,0.02662,0.02743,0.02441,0.02615,8499472.52,226255.96
2017-12-05,0.02742,0.0287,0.0259,0.02672,30520996.74,836885.73
2017-12-06,0.03644,0.03891,0.02832,0.03231,58401327.71,2128144.38
2017-12-07,0.05156,0.06218,0.03724,0.04465,373333313.96,19249065.67
2017-12-08,0.04124,0.04911,0.03659,0.04911,145750632.31,6010756.08
2017-12-09,0.03963,0.0423,0.03518,0.0383,46049351.63,1824935.81
2017-12-10,0.04322,0.05045,0.03946,0.04021,58053933.63,2509091.01
2017-12-11,0.04668,0.05087,0.0435,0.04802,31599153.15,1475048.47
2017-12-12,0.04766,0.05176,0.04356,0.04766,31834003.29,1517208.6
2017-12-13,0.04739,0.04805,0.04169,0.04544,22119232.42,1048230.42
2017-12-14,0.05385,0.05418,0.04479,0.04792,32409745.38,1745264.79
2017-12-15,0.05933,0.05986,0.05123,0.05757,32800614.48,1946060.46
2017-12-16,0.08783,0.1105,0.06423,0.06519,140206887.28,12314370.91
2017-12-17,0.1155,0.1512,0.08217,0.08656,156941991.25,18126799.99
2017-12-18,0.1212,0.1322,0.1059,0.115,54951420.09,6660112.11
2017-12-19,0.1277,0.1316,0.1055,0.112,45995137.62,5873579.07
2017-12-20,0.1068,0.1225,0.08873,0.12,47173239.8,5038102.01
2017-12-21,0.1041,0.1152,0.09723,0.1015,42241220.51,4397311.06
2017-12-22,0.09388,0.09429,0.07762,0.09101,33259433.62,3122395.63
2017-12-23,0.1555,0.1802,0.09862,0.0989,99058956.79,15403667.78
2017-12-24,0.14,0.172,0.134,0.1488,47140690.09,6599696.61
2017-12-25,0.1477,0.1677,0.1385,0.1405,24524566.36,3622278.45
2017-12-26,0.1481,0.1716,0.115,0.1683,33154650.16,4910203.69
2017-12-27,0.1565,0.1825,0.1255,0.1449,30798867.42,4820022.75
2017-12-28,0.1496,0.1652,0.1387,0.1461,27520795.83,4117111.06
2017-12-29,0.1654,0.1721,0.149,0.1495,27372267.64,4527373.07
2017-12-30,0.1565,0.1647,0.1306,0.144,40963807.39,6410835.86
2017-12-31,0.1695,0.2212,0.1558,0.173,37647417.16,6381237.21
2018-01-01,0.1776,0.199,0.1615,0.1646,25114331.04,4460305.19
2018-01-02,0.1945,0.2157,0.1263,0.1949,39447442.83,7672527.63
2018-01-03,0.2242,0.2414,0.1667,0.1998,55812278.51,12513112.84
2018-01-04,0.3338,0.4083,0.2169,0.2244,70150719.23,23416310.08
2018-01-05,0.364,0.5285,0.3342,0.3727,78663096.58,28633367.16
2018-01-06,0.4475,0.4643,0.3653,0.3695,35404282.03,15843416.21
2018-01-07,0.4266,0.4774,0.2872,0.4244,37452669.31,15977308.73
2018-01-08,0.3843,0.4481,0.3479,0.3936,38164963.04,14666795.3
2018-01-09,0.3708,0.4063,0.3446,0.3691,29308685.42,10867660.55
2018-01-10,0.3579,0.4015,0.2993,0.3824,32209854.25,11527906.84
2018-01-11,0.3274,0.3696,0.2682,0.319,30993512.17,10147275.88
2018-01-12,0.4026,0.4756,0.3197,0.3409,75500996.42,30396701.16
2018-01-13,0.3804,0.4554,0.3565,0.4102,32547335.98,12381006.61
2018-01-14,0.3219,0.3869,0.3138,0.3648,20687321.29,6659248.72
2018-01-15,0.2953,0.346,0.2733,0.3217,19930860.19,5885583.01
2018-01-16,0.1921,0.2574,0.1537,0.2444,33607776.11,6456053.79
2018-01-17,0.2335,0.2455,0.1677,0.1901,29296203.49,6840663.51
2018-01-18,0.2404,0.2808,0.228,0.2337,29773556.3,7157562.93
2018-01-19,0.2471,0.2647,0.2387,0.2473,13218027.73,3266174.65
2018-01-20,0.2556,0.2811,0.2398,0.2727,21718022.39,5551126.52
2018-01-21,0.2158,0.2358,0.2025,0.2308,11580623.1,2499098.46
2018-01-22,0.2008,0.2151,0.1949,0.202,14251732.39,2861747.86
2018-01-23,0.2218,0.2366,0.1963,0.2015,25709960.27,5702469.19
2018-01-24,0.2346,0.2647,0.2273,0.2338,33131043.76,7772542.87
2018-01-25,0.2963,0.2987,0.2259,0.2284,38149290.66,11303634.82
2018-01-26,0.2764,0.3199,0.2588,0.2948,56454838.76,15604117.43
2018-01-27,0.28,0.298,0.2704,0.2852,15912110.84,4455391.04
2018-01-28,0.2668,0.2907,0.2577,0.2875,14662767.36,3912026.33
2018-01-29,0.2653,0.2751,0.2478,0.2547,17758170.65,4711242.67
2018-01-30,0.2247,0.2513,0.2176,0.2395,14455651.71,3248184.94
2018-01-31,0.2118,0.234,0.2046,0.2276,10438382.76,2210849.47
2018-02-01,0.1765,0.2044,0.1714,0.1888,15967415.16,2818248.78
2018-02-02,0.172,0.1764,0.1465,0.1717,18134645.26,3119158.98
2018-02-03,0.1808,0.1902,0.17,0.1794,6680196.72,1207779.57
2018-02-04,0.1461,0.1617,0.1432,0.1606,8388340.9,1225536.61
2018-02-05,0.1031,0.1266,0.09434,0.1242,16449145.21,1695906.87
2018-02-06,0.1552,0.165,0.1124,0.1144,31763297.24,4929663.73
2018-02-07,0.132,0.1557,0.1285,0.153,14256847.58,1881903.88
2018-02-08,0.1517,0.1662,0.1427,0.1437,940578.89,142685.82
2018-02-09,0.163,0.1667,0.1437,0.1598,5112607.2,833354.97
2018-02-10,0.1498,0.1614,0.1458,0.1607,10163304.3,1522462.98
2018-02-11,0.1365,0.1463,0.1303,0.1413,7212443.61,984498.55
2018-02-12,0.1466,0.1558,0.146,0.1505,4994280.17,732161.47
2018-02-13,0.1524,0.1683,0.1243,0.1406,23111290.99,3522160.75
2018-02-14,0.1635,0.1838,0.1596,0.1692,20797974.19,3400468.78
2018-02-15,0.1779,0.1824,0.1691,0.173,8540833.2,1519414.23
2018-02-16,0.1885,0.1925,0.1789,0.1805,10850414.45,2045303.12
2018-02-17,0.2172,0.2365,0.205,0.2053,13164048.06,2859231.24
2018-02-18,0.1937,0.2133,0.1878,0.2039,672343.65,130232.97
2018-02-19,0.2425,0.2542,0.2039,0.2079,36923443.83,8953935.13
2018-02-20,0.2077,0.2664,0.2025,0.2442,45431919.41,9436209.66
2018-02-21,0.1908,0.2088,0.1812,0.1934,14779226.34,2819876.39
2018-02-22,0.1773,0.1881,0.1699,0.1791,9585941.1,1699587.36
2018-02-23,0.1818,0.1875,0.1741,0.1832,8885638.32,1615409.05
2018-02-24,0.1698,0.177,0.1648,0.1734,7748140.35,1315634.23
2018-02-25,0.1814,0.1858,0.1644,0.1681,11394426.61,2066948.99
2018-02-26,0.1888,0.2155,0.1869,0.195,27942207.09,5275488.7
2018-02-27,0.188,0.1984,0.1854,0.1939,7894689.41,1484201.61
2018-02-28,0.1815,0.1888,0.1724,0.1833,10400442.47,1887680.31
2018-03-01,0.1884,0.1971,0.1857,0.1919,7866375.08,1482025.07
2018-03-02,0.1872,0.1938,0.184,0.1904,7175316.02,1343219.16
2018-03-03,0.1799,0.1965,0.179,0.1945,6202574.57,1115843.17
2018-03-04,0.1815,0.1891,0.1775,0.1805,4568583.26,829197.86
2018-03-05,0.1755,0.1845,0.1723,0.1805,5824460.87,1022192.88
2018-03-06,0.163,0.1666,0.1615,0.1647,4720192.3,769391.34
2018-03-07,0.1517,0.1666,0.1355,0.1507,20245059.29,3071175.49
2018-03-08,0.1302,0.1481,0.1292,0.1424,7208130.38,938498.58
2018-03-09,0.1372,0.1451,0.1263,0.1294,13979611.45,1918002.69
2018-03-10,0.127,0.1368,0.1265,0.1305,6150999.93,781176.99
2018-03-11,0.149,0.156,0.1361,0.1378,9271280.2,1381420.75
2018-03-12,0.136,0.1458,0.1338,0.1427,9180234.25,1248511.86
2018-03-13,0.1323,0.142,0.1309,0.1359,5610696.09,742295.09
2018-03-14,0.1109,0.1216,0.1091,0.1187,7120904.96,789708.36
2018-03-15,0.107,0.1141,0.09831,0.1116,39385120.98,4214207.94
2018-03-16,0.1223,0.1252,0.1037,0.1072,56135483.45,6865369.63
2018-03-17,0.1026,0.1172,0.1015,0.1163,55989324.79,5744504.72
2018-03-18,0.1055,0.1083,0.09398,0.1069,50402609.23,5317475.27
2018-03-19,0.1123,0.1186,0.08382,0.1108,60411281.6,6784186.92
2018-03-20,0.119,0.1201,0.1092,0.1161,54224902.94,6452763.45
2018-03-21,0.123,0.1331,0.1174,0.1189,64640864.31,7950826.31
2018-03-22,0.1155,0.1242,0.1092,0.1204,53726768.33,6205441.74
2018-03-23,0.1164,0.1219,0.1081,0.1183,53229260.51,6195885.92
2018-03-24,0.1226,0.1272,0.1104,0.1114,57660070.08,7069124.59
2018-03-25,0.1299,0.1415,0.1174,0.1215,132879396.16,17261033.56
2018-03-26,0.1334,0.1425,0.1198,0.1248,120876868.79,16124974.3
2018-03-27,0.1252,0.1318,0.1171,0.1274,75123291.89,9405436.14
2018-03-28,0.1274,0.1314,0.1242,0.1276,62024856.42,7901966.71
2018-03-29,0.1043,0.115,0.1036,0.1137,56597246.82,5903092.84
2018-03-30,0.1034,0.105,0.09602,0.1005,58036881.44,6001013.54
2018-03-31,0.1004,0.1062,0.09874,0.1048,53751252.77,5396625.78
2018-04-01,0.09413,0.0996,0.09187,0.09885,50129457.57,4718685.84
2018-04-02,0.09749,0.09982,0.09346,0.09749,53607358.19,5226181.35
2018-04-03,0.1051,0.1055,0.1006,0.1021,56240866.62,5910915.08
2018-04-04,0.09051,0.09698,0.0901,0.09637,53147784.72,4810406.0
2018-04-05,0.0895,0.09187,0.0876,0.09025,50156052.74,4488966.72
2018-04-06,0.09548,0.1016,0.08692,0.08745,110036417.64,10506277.16
2018-04-07,0.09504,0.1051,0.08169,0.09954,76498074.8,7270377.03
2018-04-08,0.1105,0.1125,0.09672,0.09687,68599161.46,7580207.34
2018-04-09,0.09757,0.1083,0.09342,0.1063,94618781.91,9231954.55
2018-04-10,0.09709,0.1005,0.09619,0.09874,54133730.35,5255843.88
2018-04-11,0.09949,0.1005,0.09796,0.09859,54761747.59,5448246.27
2018-04-12,0.11,0.115,0.1053,0.113,56581586.81,6223974.55
2018-04-13,0.1109,0.1145,0.1078,0.1096,56371253.41,6251572.0
2018-04-14,0.1121,0.1142,0.1101,0.1126,29101540.62,3262282.7
2018-04-15,0.1203,0.1223,0.1169,0.117,36452260.98,4385207.0
2018-04-16,0.1139,0.1171,0.1128,0.116,49055789.61,5587454.44
2018-04-17,0.1176,0.1212,0.1115,0.1117,49611003.25,5834253.98
2018-04-18,0.1282,0.1307,0.121,0.1215,58153844.32,7455322.84
2018-04-19,0.1315,0.1327,0.1271,0.1298,53136010.28,6987385.35
2018-04-20,0.1375,0.145,0.136,0.1403,52296243.16,7190733.43
2018-04-21,0.1322,0.1396,0.1273,0.1384,43354838.73,5731509.68
2018-04-22,0.1388,0.1412,0.129,0.1306,49939730.41,6931634.58
2018-04-23,0.1452,0.147,0.1403,0.1409,50792790.64,7375113.2
2018-04-24,0.1551,0.168,0.1547,0.1562,60222024.55,9340436.01
2018-04-25,0.1358,0.1468,0.1287,0.1428,54452050.57,7394588.47
2018-04-26,0.1493,0.1541,0.1367,0.142,51309421.91,7660496.69
2018-04-27,0.1454,0.1505,0.1382,0.1438,57967129.02,8428420.56
2018-04-28,0.1541,0.1565,0.1507,0.1521,41971551.88,6467816.14
2018-04-29,0.1617,0.163,0.1498,0.1549,54325354.78,8784409.87
2018-04-30,0.1589,0.1689,0.1572,0.159,62649186.46,9954955.73
2018-05-01,0.1561,0.1603,0.1475,0.1559,48948296.66,7640829.11
2018-05-02,0.1579,0.1611,0.1567,0.1588,43053206.03,6798101.23
2018-05-03,0.1673,0.1841,0.1657,0.1668,65295109.98,10923871.9
2018-05-04,0.1719,0.1802,0.1655,0.1665,56105926.8,9644608.82
2018-05-05,0.1626,0.1812,0.1605,0.1745,49147918.69,7991451.58
2018-05-06,0.1554,0.1634,0.1466,0.159,55178702.26,8574770.33
2018-05-07,0.1566,0.1593,0.1436,0.1511,51669755.06,8091483.64
2018-05-08,0.1508,0.1586,0.1469,0.154,50229807.23,7574654.93
2018-05-09,0.1501,0.1566,0.1468,0.1532,40291365.73,6047734.0
2018-05-10,0.1531,0.1583,0.1436,0.1458,48585291.25,7438408.09
2018-05-11,0.1352,0.1448,0.1282,0.1429,23185548.32,3134686.13
2018-05-12,0.1392,0.1409,0.1283,0.1362,8272385.45,1151516.05
2018-05-13,0.1459,0.151,0.1404,0.1428,9593354.2,1399670.38
2018-05-14,0.1408,0.1479,0.1369,0.1453,15927464.81,2242587.05
2018-05-15,0.1417,0.1438,0.1344,0.1376,11456720.59,1623417.31
2018-05-16,0.1399,0.1417,0.1306,0.1395,10829426.64,1515036.79
2018-05-17,0.1278,0.1371,0.1268,0.1353,8689452.25,1110512.0
2018-05-18,0.1349,0.1363,0.1296,0.1306,7543617.85,1017634.05
2018-05-19,0.1386,0.1419,0.1341,0.135,13371779.88,1853328.69
2018-05-20,0.1428,0.1459,0.1411,0.1436,7791064.15,1112563.96
2018-05-21,0.1417,0.1446,0.1387,0.1414,7951201.29,1126685.22
2018-05-22,0.1307,0.1367,0.1295,0.1348,8946452.32,1169301.32
2018-05-23,0.1147,0.1244,0.1136,0.1227,9501327.29,1089802.24
2018-05-24,0.1207,0.1239,0.1122,0.116,10898383.48,1315434.89
2018-05-25,0.1144,0.1197,0.1123,0.119,3717204.97,425248.25
2018-05-26,0.1151,0.1172,0.1105,0.1125,4390345.27,505328.74
2018-05-27,0.1113,0.1157,0.1108,0.1152,2588839.81,288137.87
2018-05-28,0.09817,0.1083,0.09746,0.1076,5399511.65,530070.06
2018-05-29,0.1052,0.1083,0.09717,0.1031,7595384.8,799034.48
2018-05-30,0.1051,0.1102,0.1022,0.1041,8760449.41,920723.23
2018-05-31,0.1094,0.1097,0.1047,0.1068,9342446.54,1022063.65
2018-06-01,0.1045,0.1098,0.1029,0.1098,19484854.15,2036167.26
2018-06-02,0.1072,0.1084,0.1033,0.1061,28254530.77,3028885.7
2018-06-03,0.106,0.1091,0.1048,0.1082,11388867.62,1207219.97
2018-06-04,0.09769,0.1042,0.09649,0.103,17137486.33,1674161.04
2018-06-05,0.09972,0.1019,0.09621,0.09933,25260835.12,2519010.48
2018-06-06,0.09685,0.1011,0.09462,0.1001,13161574.69,1274698.51
2018-06-07,0.1136,0.1188,0.09656,0.09733,91663578.69,10412982.54
2018-06-08,0.1057,0.1182,0.1027,0.1127,32727464.91,3459293.04
2018-06-09,0.1032,0.1105,0.1025,0.1041,14091636.62,1454256.9
2018-06-10,0.08772,0.09327,0.08562,0.09314,11698306.66,1026175.46
2018-06-11,0.08864,0.09009,0.08561,0.08919,7871707.88,697748.19
2018-06-12,0.0857,0.09285,0.08203,0.08439,16382030.09,1403939.98
2018-06-13,0.07541,0.08248,0.07377,0.08222,9043321.6,681956.88
2018-06-14,0.08158,0.0839,0.07812,0.07925,9228042.85,752823.74
2018-06-15,0.0758,0.07983,0.07548,0.07855,6875834.53,521188.26
2018-06-16,0.0781,0.07843,0.07667,0.07706,4550381.47,355384.79
2018-06-17,0.07562,0.07775,0.07478,0.07769,6101608.22,461403.61
2018-06-18,0.0746,0.07876,0.06762,0.07863,20798399.28,1551560.59
2018-06-19,0.0726,0.0753,0.07119,0.0749,8183787.08,594142.94
2018-06-20,0.07052,0.0737,0.06978,0.07289,9340085.72,658662.84
2018-06-21,0.06875,0.07057,0.06781,0.0701,6679410.57,459209.48
2018-06-22,0.05713,0.06221,0.05495,0.06185,12542141.79,716532.56
2018-06-23,0.05599,0.05889,0.0539,0.05821,8827875.69,494272.76
2018-06-24,0.05573,0.05702,0.05209,0.05579,9925948.16,553173.09
2018-06-25,0.05734,0.06191,0.05584,0.05666,12684741.87,727343.1
2018-06-26,0.05437,0.05595,0.05327,0.05577,6744643.95,366706.29
2018-06-27,0.05392,0.05509,0.05177,0.05491,8993463.19,484927.54
2018-06-28,0.05032,0.05214,0.05002,0.05155,7484370.43,376613.52
2018-06-29,0.05106,0.0541,0.04969,0.05317,11606721.62,592639.21
2018-06-30,0.05689,0.05913,0.0523,0.05255,38692922.62,2201240.37
2018-07-01,0.05711,0.0573,0.05452,0.05635,8762146.9,500406.21
2018-07-02,0.06311,0.06384,0.05901,0.05961,11382061.34,718321.89
2018-07-03,0.06021,0.06282,0.05839,0.0621,15347221.86,924056.23
2018-07-04,0.06386,0.06709,0.0603,0.06096,13435954.93,858020.08
2018-07-05,0.06241,0.06692,0.0611,0.06332,10056164.97,627605.26
2018-07-06,0.06094,0.0645,0.05929,0.06305,8568175.62,522144.62
2018-07-07,0.06549,0.06812,0.06184,0.06238,29047711.35,1902334.62
