time,close,high,low,open,volumefrom,volumeto
2017-06-29,0.85,0.9845,0.6,0.85,15914.71,13984.83
2017-06-30,0.912,1.91,0.65,0.85,24407.23,22117.66
2017-07-01,1.05,1.35,0.8,0.912,113633.8,125944.71
2017-07-02,3.0,3.88,0.9455,1.05,3376175.73,7026243.78
2017-07-03,4.2,6.9,2.5,3.0,5163248.87,21951537.56
2017-07-04,3.24,4.45,2.56,4.2,5685188.3,18817513.89
2017-07-05,2.86,3.35,2.61,3.24,2806799.47,8117576.76
2017-07-06,3.23,3.55,2.83,2.86,3087241.14,10051055.11
2017-07-07,2.65,3.33,2.62,3.23,2628176.11,7465810.66
2017-07-08,2.37,2.76,2.05,2.65,3640354.7,8588127.54
2017-07-09,2.22,2.51,2.07,2.37,2356408.2,5414423.53
2017-07-10,1.7,2.25,1.44,2.22,4160860.83,7816152.14
2017-07-11,1.53,1.84,1.4,1.7,5655830.72,8732379.96
2017-07-12,1.96,2.07,1.41,1.53,3609408.12,6247001.72
2017-07-13,1.71,2.02,1.58,1.96,2204503.01,3892904.76
2017-07-14,1.51,1.71,1.46,1.71,2381294.02,3712786.63
2017-07-15,1.29,1.52,1.28,1.51,3005248.26,4110173.01
2017-07-16,1.22,1.37,1.12,1.29,2982295.95,3648786.36
2017-07-17,1.51,1.59,1.2,1.22,3526703.25,4910881.48
2017-07-18,1.67,1.78,1.44,1.51,3119443.2,5033825.27
2017-07-19,1.45,1.8,1.39,1.67,2861968.83,4576710.7
2017-07-20,1.71,1.79,1.41,1.45,2061495.0,3412364.43
2017-07-21,1.79,1.98,1.68,1.71,2322747.37,4266150.4
2017-07-22,2.03,2.08,1.77,1.79,1998596.76,3886531.34
2017-07-23,1.91,2.18,1.8,2.03,2632662.43,5162630.73
2017-07-24,1.9,1.99,1.81,1.91,1801483.72,3396305.02
2017-07-25,1.67,1.91,1.53,1.9,3031368.07,5017566.25
2017-07-26,1.66,1.74,1.49,1.67,2877282.32,4538640.43
2017-07-27,1.91,1.94,1.64,1.66,2931375.89,5308046.55
2017-07-28,1.8,1.98,1.77,1.91,2789325.46,5264663.52
2017-07-29,1.81,1.87,1.6,1.8,2788418.01,4810950.06
2017-07-30,1.79,1.89,1.69,1.81,1747337.48,3085982.59
2017-07-31,1.72,1.81,1.64,1.79,2282435.58,3919388.58
2017-08-01,1.77,1.83,1.68,1.72,2999734.41,5236301.31
2017-08-02,1.76,1.93,1.69,1.77,2022382.06,3549752.39
2017-08-03,1.78,1.81,1.69,1.76,1700739.93,2981679.87
2017-08-04,1.78,1.85,1.7,1.78,1903311.9,3395697.49
2017-08-05,1.86,1.96,1.72,1.78,3146503.98,5778221.2
2017-08-06,1.76,1.88,1.75,1.86,2247834.26,4030809.0
2017-08-07,1.83,1.87,1.7,1.76,2934648.28,5206772.94
2017-08-08,1.86,1.98,1.79,1.83,3428366.67,6442701.97
2017-08-09,1.82,1.98,1.78,1.86,2442200.35,4507591.73
2017-08-10,1.84,1.91,1.79,1.82,2506814.62,4646113.72
2017-08-11,1.76,1.87,1.7,1.84,3429730.56,6178302.06
2017-08-12,1.65,1.83,1.6,1.76,2886509.73,4966141.68
2017-08-13,1.59,1.69,1.51,1.65,3545804.22,5671503.7
2017-08-14,1.61,1.69,1.51,1.59,3050210.6,4853686.68
2017-08-15,1.62,1.72,1.57,1.61,3186931.03,5240985.67
2017-08-16,1.59,1.64,1.55,1.62,2688333.05,4261201.18
2017-08-17,1.52,1.61,1.49,1.59,3336261.31,5121019.91
2017-08-18,1.4,1.53,1.35,1.52,3315579.8,4806175.24
2017-08-19,1.39,1.44,1.29,1.4,2784847.17,3802323.95
2017-08-20,1.36,1.42,1.33,1.39,2502787.71,3418818.62
2017-08-21,1.33,1.39,1.31,1.36,3248568.81,4382936.64
2017-08-22,1.27,1.33,1.24,1.33,3599185.83,4568631.88
2017-08-23,1.42,1.54,1.26,1.27,6147120.04,8702128.78
2017-08-24,1.37,1.42,1.33,1.42,2784575.77,3807187.79
2017-08-25,1.37,1.44,1.33,1.37,3019487.01,4134960.74
2017-08-26,1.36,1.39,1.33,1.37,2348181.8,3183819.08
2017-08-27,1.34,1.38,1.32,1.36,2335987.77,3134463.2
2017-08-28,1.33,1.36,1.29,1.34,2663573.5,3538019.21
2017-08-29,1.32,1.38,1.31,1.33,3297589.4,4410672.73
2017-08-30,1.25,1.35,1.22,1.32,4528191.96,5856106.4
2017-08-31,1.34,1.35,1.25,1.25,4992977.51,6523912.58
2017-09-01,1.32,1.35,1.28,1.34,4217462.33,5539771.2
2017-09-02,1.24,1.44,1.19,1.32,4145507.83,5435995.92
2017-09-03,1.3,1.33,1.21,1.24,3851217.54,4887793.51
2017-09-04,0.9142,1.3,0.8219,1.3,11464474.02,11774351.97
2017-09-05,0.923,0.9777,0.7502,0.9142,9069276.43,7729943.79
2017-09-06,0.9106,1.16,0.856,0.923,12444570.01,11989392.88
2017-09-07,0.9828,1.02,0.852,0.9106,10938164.79,10287229.43
2017-09-08,0.8421,0.9912,0.7804,0.9828,10111247.33,8815302.19
2017-09-09,0.8174,0.8487,0.7577,0.8421,4294016.92,3424553.48
2017-09-10,0.745,0.8193,0.6992,0.8174,5333334.86,3960901.73
2017-09-11,0.735,0.764,0.7101,0.745,3776355.26,2765708.94
2017-09-12,0.859,0.8944,0.729,0.735,8435731.28,6731634.24
2017-09-13,0.7272,0.8595,0.6603,0.859,7722195.41,5613781.61
2017-09-14,0.5806,0.7642,0.5207,0.7272,10475675.53,6929316.48
2017-09-15,0.6511,0.6782,0.5149,0.5806,7584741.55,4543809.26
2017-09-16,0.624,0.6798,0.5781,0.6511,3403913.89,2166344.11
2017-09-17,0.6233,0.649,0.5678,0.624,5779557.65,3524669.55
2017-09-18,0.7049,0.7075,0.6229,0.6233,4706833.01,3151410.08
2017-09-19,0.6493,0.7128,0.6465,0.7049,3793052.69,2555517.93
2017-09-20,0.6166,0.6673,0.6152,0.6493,5368856.37,3416422.01
2017-09-21,0.5671,0.6293,0.5434,0.6166,7057087.23,4113626.28
2017-09-22,0.5659,0.5793,0.5312,0.5671,4686103.29,2609360.26
2017-09-23,0.578,0.6048,0.5579,0.5659,4676979.33,2705869.15
2017-09-24,0.5454,0.5861,0.5415,0.578,5752514.37,3208145.88
2017-09-25,0.5688,0.5779,0.5245,0.5454,5548700.33,3122841.2
2017-09-26,0.5614,0.5854,0.5511,0.5688,5439087.07,3111743.37
2017-09-27,0.6314,0.6438,0.5569,0.5614,10018302.41,6093032.08
2017-09-28,0.8085,0.8237,0.6292,0.6314,15721276.6,11634404.43
2017-09-29,0.7146,0.8435,0.6979,0.8085,11585575.9,8597897.39
2017-09-30,0.7274,0.7585,0.7061,0.7146,6295691.66,4603840.56
2017-10-01,0.7085,0.7285,0.6631,0.7274,5416671.8,3774630.91
2017-10-02,0.6549,0.719,0.6331,0.7085,4999520.77,3348450.08
2017-10-03,0.6308,0.669,0.6057,0.6549,4478543.48,2841163.42
2017-10-04,0.6008,0.6347,0.5829,0.6308,4208668.62,2556541.61
2017-10-05,0.6054,0.6214,0.5752,0.6008,5712256.68,3418564.64
2017-10-06,0.6005,0.61,0.5862,0.6054,4009236.95,2401400.39
2017-10-07,0.5895,0.6075,0.5712,0.6005,3773750.62,2213861.98
2017-10-08,0.606,0.6174,0.5754,0.5895,5106000.59,3004729.56
2017-10-09,0.558,0.6061,0.5248,0.606,5888047.93,3385306.22
2017-10-10,0.552,0.5892,0.5474,0.558,5845242.74,3287961.06
2017-10-11,0.6076,0.6278,0.5468,0.552,7457597.22,4345919.43
2017-10-12,0.5947,0.642,0.5814,0.6076,7127642.94,4340594.62
2017-10-13,0.5872,0.6169,0.5483,0.5947,6800937.22,4042813.81
2017-10-14,0.5836,0.6185,0.5768,0.5872,5779741.41,3466288.99
2017-10-15,0.5738,0.5918,0.5629,0.5836,4855678.15,2788497.74
2017-10-16,0.5608,0.5853,0.5593,0.574,4167533.46,2371426.02
2017-10-17,0.5501,0.5675,0.5374,0.5612,4595599.27,2552997.97
2017-10-18,0.5432,0.5679,0.511,0.5519,5767658.6,3082220.69
2017-10-19,0.5663,0.5946,0.5424,0.5434,6873378.88,3901100.2
2017-10-20,0.5395,0.5888,0.5395,0.5665,5305190.03,2991733.32
2017-10-21,0.5284,0.541,0.5122,0.5396,6647293.29,3480635.19
2017-10-22,0.5192,0.5415,0.4979,0.5282,4555572.69,2365226.73
2017-10-23,0.4924,0.5239,0.4793,0.5189,6067509.04,3006265.54
2017-10-24,0.5176,0.5512,0.4776,0.4925,5967943.24,3087091.81
