time,close,high,low,open,volumefrom,volumeto
2018-06-04,0.1491,0.1537,0.1449,0.1537,227101.15,33860.78
2018-06-05,0.1539,0.16,0.1466,0.1534,1359474.5,209223.13
2018-06-06,0.1458,0.1556,0.1455,0.1535,736357.96,107360.99
2018-06-07,0.148,0.1511,0.1433,0.1454,1097843.68,162480.86
2018-06-08,0.1455,0.1487,0.1421,0.1468,953921.43,138795.57
2018-06-09,0.158,0.1634,0.1417,0.1447,1930104.38,304956.49
2018-06-10,0.1333,0.1445,0.1208,0.1397,1952383.51,260252.72
2018-06-11,0.1232,0.1349,0.1169,0.1349,1110092.25,136763.37
2018-06-12,0.1198,0.1229,0.09159,0.1147,1561696.4,187091.23
2018-06-13,0.1206,0.1251,0.107,0.1154,1554115.25,187426.3
2018-06-14,0.1508,0.1559,0.1289,0.1317,4630835.77,698330.03
2018-06-15,0.1334,0.1422,0.1268,0.1414,2088141.39,278558.06
2018-06-16,0.1295,0.1385,0.1243,0.1361,1429942.95,185177.61
2018-06-17,0.1249,0.1294,0.1225,0.1294,1039479.84,129831.03
2018-06-18,0.1266,0.1314,0.122,0.1301,865970.74,109631.9
2018-06-19,0.1212,0.1317,0.1212,0.1317,987085.37,119634.75
2018-06-20,0.1276,0.1285,0.1113,0.1206,2396239.69,305760.18
2018-06-21,0.1199,0.1257,0.113,0.1251,1401919.65,168090.17
2018-06-22,0.1068,0.1105,0.0965,0.1054,1372666.44,146600.78
2018-06-23,0.1052,0.1098,0.1007,0.1096,1062381.6,111762.54
2018-06-24,0.08968,0.1024,0.08195,0.101,1958019.74,175595.21
2018-06-25,0.09521,0.09865,0.08488,0.09039,1862448.42,177323.71
2018-06-26,0.08957,0.09571,0.08574,0.08914,1702852.25,152524.48
2018-06-27,0.09807,0.1042,0.08857,0.0921,1248096.27,122400.8
2018-06-28,0.08301,0.09609,0.08297,0.09247,1172680.94,97344.24
2018-06-29,0.08348,0.08953,0.07473,0.08587,1886191.07,157459.23
2018-06-30,0.08647,0.09,0.0803,0.08697,985461.71,85212.87
2018-07-01,0.08203,0.08686,0.05993,0.08619,2799266.42,229623.82
2018-07-02,0.07592,0.08779,0.07173,0.0865,1712770.79,130033.56
2018-07-03,0.07206,0.07793,0.06962,0.07156,1675669.6,120748.75
2018-07-04,0.07092,0.07699,0.06919,0.07288,1145250.91,81221.19
2018-07-05,0.06265,0.07429,0.05152,0.07097,1270841.89,79618.24
2018-07-06,0.06823,0.06988,0.05367,0.06297,2561228.9,174752.65
2018-07-07,0.06758,0.07729,0.06612,0.07054,950070.37,64205.76
2018-07-08,0.07089,0.07337,0.06296,0.06763,1245017.56,88259.29
2018-07-09,0.06351,0.07067,0.06082,0.06874,386015.3,24515.83
2018-07-10,0.05426,0.06131,0.05188,0.05828,1413029.46,76670.98
2018-07-11,0.05378,0.05975,0.04746,0.05588,1941426.75,104409.93
2018-07-12,0.05192,0.05684,0.04882,0.05201,832553.09,43226.16
2018-07-13,0.05228,0.0535,0.04865,0.05211,1500475.74,78444.87
2018-07-14,0.04949,0.05331,0.04524,0.05244,917366.71,45400.48
2018-07-15,0.05769,0.06632,0.04613,0.0513,2243844.85,129447.41
2018-07-16,0.05582,0.062,0.05204,0.06142,2106776.16,117600.25
2018-07-17,0.06009,0.06268,0.05744,0.05819,1619386.73,97308.95
2018-07-18,0.05878,0.06246,0.05633,0.05767,3534924.57,207782.87
2018-07-19,0.05703,0.05872,0.05314,0.0575,1473345.06,84024.87
2018-07-20,0.0487,0.05458,0.04803,0.05458,891405.26,43411.44
2018-07-21,0.04809,0.05164,0.04661,0.05002,1122271.66,53970.04
2018-07-22,0.04741,0.0503,0.04595,0.04773,643444.54,30505.71
2018-07-23,0.04448,0.04708,0.04333,0.04658,1854916.27,82506.68
2018-07-24,0.04088,0.04743,0.03784,0.04743,3135471.7,128178.08
2018-07-25,0.03906,0.04146,0.03718,0.04019,2475928.61,96709.77
2018-07-26,0.03824,0.04614,0.0347,0.03829,3467732.76,132606.1
2018-07-27,0.03462,0.04,0.02823,0.03888,2727839.27,94437.8
2018-07-28,0.03373,0.03683,0.03151,0.03454,1887873.56,63677.98
2018-07-29,0.03307,0.03642,0.03102,0.03356,1473799.64,48738.55
2018-07-30,0.03237,0.03423,0.03069,0.03239,2436064.4,78855.4
2018-07-31,0.02966,0.0311,0.02835,0.03062,1702577.73,50498.46
2018-08-01,0.03292,0.03292,0.0281,0.02883,829867.19,27319.23
2018-08-02,0.03427,0.03584,0.03056,0.03221,4835850.18,165724.59
2018-08-03,0.03066,0.03674,0.0293,0.03588,2197001.54,67360.07
2018-08-04,0.03047,0.03111,0.02728,0.02988,1022248.66,31147.92
2018-08-05,0.03031,0.0312,0.02835,0.03061,586507.1,17777.03
2018-08-06,0.02999,0.0315,0.02925,0.02997,1207960.93,36226.75
2018-08-07,0.02859,0.03115,0.02781,0.02799,685692.59,19603.95
2018-08-08,0.02595,0.02869,0.02525,0.0269,821600.8,21320.54
2018-08-09,0.02643,0.02722,0.02484,0.02653,1802553.91,47641.5
2018-08-10,0.02349,0.02433,0.02079,0.02411,968372.08,22747.06
2018-08-11,0.0205,0.02266,0.02007,0.02252,1653683.94,33900.52
2018-08-12,0.02178,0.02322,0.02008,0.02052,808646.26,17612.32
2018-08-13,0.01793,0.01959,0.01789,0.01944,576262.34,10332.38
2018-08-14,0.01931,0.02149,0.01756,0.01756,1697579.13,32780.25
2018-08-15,0.01734,0.01987,0.01703,0.01946,1395221.69,24193.14
2018-08-16,0.01939,0.02141,0.01721,0.01768,757305.4,14684.15
2018-08-17,0.02422,0.02542,0.01984,0.02147,1685781.26,40829.62
2018-08-18,0.0229,0.02775,0.02026,0.02249,683930.75,15662.01
2018-08-19,0.02355,0.02825,0.02123,0.02327,674550.66,15885.67
2018-08-20,0.02046,0.02161,0.01822,0.02128,1451077.73,29689.05
2018-08-21,0.02521,0.02639,0.02059,0.02124,2203122.09,55540.71
2018-08-22,0.02674,0.02689,0.02244,0.02424,1737280.95,46454.89
2018-08-23,0.02528,0.02899,0.02349,0.02728,935320.37,23644.9
2018-08-24,0.02429,0.02591,0.02317,0.02579,384440.84,9338.07
2018-08-25,0.02414,0.02623,0.02332,0.02396,476622.57,11505.67
2018-08-26,0.02377,0.02435,0.02196,0.02386,237952.09,5656.12
2018-08-27,0.02607,0.02878,0.02409,0.02496,1191622.24,31065.59
2018-08-28,0.02739,0.02976,0.02611,0.02676,855566.77,23433.97
2018-08-29,0.0254,0.02713,0.02075,0.02676,1051480.9,26707.61
2018-08-30,0.0228,0.0255,0.02276,0.02501,974375.83,22215.77
2018-08-31,0.02325,0.02463,0.02248,0.02261,542004.37,12601.6
2018-09-01,0.02521,0.02667,0.02402,0.02446,705768.81,17792.43
2018-09-02,0.02533,0.02581,0.02451,0.02518,118677.93,3006.11
2018-09-03,0.02485,0.02542,0.02428,0.02481,568531.5,14128.01
2018-09-04,0.02512,0.02684,0.02424,0.02453,944023.1,23713.86
2018-09-05,0.02182,0.02213,0.01912,0.0199,1654176.7,36094.14
2018-09-06,0.02105,0.02247,0.02066,0.02194,817554.21,17209.52
2018-09-07,0.02089,0.02122,0.01965,0.01973,158327.96,3307.47
2018-09-08,0.0189,0.02005,0.01803,0.01911,849693.83,16059.21
2018-09-09,0.02017,0.02081,0.01822,0.01882,571388.26,11524.9
2018-09-10,0.02088,0.02137,0.01864,0.02029,281345.52,5874.49
2018-09-11,0.01852,0.0202,0.01739,0.01961,581833.47,10775.56
2018-09-12,0.01865,0.02059,0.01685,0.0183,954589.65,17803.1
2018-09-13,0.01936,0.02206,0.01932,0.02159,979116.11,18955.69
2018-09-14,0.01792,0.0197,0.0176,0.01914,1016938.87,18223.54
2018-09-15,0.01769,0.01916,0.01734,0.01901,647653.29,11456.99
2018-09-16,0.01704,0.01782,0.01641,0.01757,1302584.92,22196.05
2018-09-17,0.01405,0.01574,0.01405,0.01518,1337593.6,18793.19
2018-09-18,0.01562,0.01655,0.01493,0.01493,894278.73,13968.63
