time,close,high,low,open,volumefrom,volumeto
2016-07-27,1.6,2.3,1.0,2.2,361910.2,558826.04
2016-07-28,1.68,2.11,1.36,1.6,890279.17,1528481.27
2016-07-29,1.64,1.79,1.52,1.68,696558.4,1155257.71
2016-07-30,1.57,1.7,1.55,1.64,290616.19,470031.49
2016-07-31,1.79,1.92,1.41,1.57,777390.43,1378623.86
2016-08-01,2.29,2.29,1.7,1.79,1407689.44,2934310.81
2016-08-02,2.6,3.64,2.07,2.29,3310047.8,9019736.5
2016-08-03,2.56,3.2,2.18,2.6,694253.24,1912119.18
2016-08-04,2.28,2.77,2.1,2.56,325465.41,797911.44
2016-08-05,2.56,2.65,2.28,2.28,206961.04,514279.69
2016-08-06,2.67,2.88,2.5,2.56,241591.94,642312.57
2016-08-07,2.1,2.76,2.07,2.67,356906.22,823950.08
2016-08-08,2.13,2.4,1.95,2.1,315596.54,676649.99
2016-08-09,1.93,2.3,1.72,2.13,362849.98,719868.89
2016-08-10,1.69,2.06,1.6,1.93,523806.54,930980.15
2016-08-11,1.86,1.96,1.56,1.69,509012.43,901193.34
2016-08-12,1.82,2.09,1.81,1.86,452748.14,888271.77
2016-08-13,1.86,1.92,1.81,1.82,149604.05,278063.91
2016-08-14,1.92,1.99,1.86,1.86,287587.12,554137.58
2016-08-15,1.86,2.0,1.85,1.92,316592.41,610450.08
2016-08-16,1.86,1.89,1.8,1.86,129737.8,239243.97
2016-08-17,1.74,1.88,1.71,1.86,250185.72,443080.2
2016-08-18,1.69,1.78,1.63,1.74,198680.22,339452.91
2016-08-19,1.75,1.8,1.61,1.69,321845.39,541135.52
2016-08-20,1.74,1.76,1.69,1.75,109835.72,189740.72
2016-08-21,1.71,1.77,1.7,1.74,54628.22,93912.02
2016-08-22,1.66,1.74,1.62,1.71,271283.0,458768.15
2016-08-23,1.61,1.68,1.57,1.66,380034.84,611300.1
2016-08-24,1.47,1.79,1.42,1.61,407435.34,617129.77
2016-08-25,1.38,1.47,1.26,1.47,958552.84,1317721.38
2016-08-26,1.43,1.46,1.32,1.38,599753.38,830697.01
2016-08-27,1.36,1.46,1.34,1.43,266984.7,379511.1
2016-08-28,1.36,1.36,1.3,1.36,442967.8,587760.9
2016-08-29,1.24,1.36,1.24,1.36,535718.24,687881.85
2016-08-30,1.24,1.31,1.15,1.24,1204173.3,1517729.56
2016-08-31,1.19,1.27,1.16,1.24,547993.65,673241.57
2016-09-01,1.48,1.49,1.17,1.19,1267113.83,1650502.19
2016-09-02,1.4,1.48,1.37,1.48,458773.08,654230.47
2016-09-03,1.36,1.41,1.32,1.4,148458.1,202185.12
2016-09-04,1.44,1.45,1.3,1.36,286354.05,403639.68
2016-09-05,1.46,1.55,1.44,1.44,206496.87,308183.67
2016-09-06,1.48,1.5,1.44,1.46,221335.59,329114.81
2016-09-07,1.48,1.49,1.45,1.48,281174.38,410549.51
2016-09-08,1.47,1.54,1.46,1.48,126145.33,188384.33
2016-09-09,1.41,1.47,1.38,1.47,216285.19,306591.52
2016-09-10,1.42,1.45,1.4,1.41,148241.85,212144.48
2016-09-11,1.34,1.43,1.33,1.42,695957.98,953441.08
2016-09-12,1.33,1.35,1.31,1.34,207861.04,276246.25
2016-09-13,1.29,1.33,1.29,1.33,250440.22,328590.36
2016-09-14,1.3,1.32,1.26,1.29,240597.15,309312.73
2016-09-15,1.28,1.31,1.27,1.3,153890.3,200510.28
2016-09-16,1.33,1.34,1.28,1.28,207227.68,272345.17
2016-09-17,1.32,1.33,1.31,1.33,117472.28,154739.73
2016-09-18,1.33,1.55,1.32,1.32,319472.02,427802.95
2016-09-19,1.28,1.34,1.25,1.33,189601.16,247064.86
2016-09-20,1.25,1.28,1.24,1.28,291452.11,366568.21
2016-09-21,1.23,1.26,1.21,1.25,428098.49,532444.42
