time,close,high,low,open,volumefrom,volumeto
2018-05-11,2.3,2.52,2.21,2.44,2889.15,6645.05
2018-05-12,2.46,2.54,2.23,2.32,4797.16,11801.01
2018-05-13,2.49,2.6,2.4,2.45,4622.68,11510.47
2018-05-14,2.41,2.6,2.17,2.45,4675.48,11267.91
2018-05-15,2.43,2.54,2.22,2.23,4956.02,12043.13
2018-05-16,2.44,2.46,2.32,2.45,5044.38,12308.29
2018-05-17,2.36,2.37,2.24,2.27,5010.99,11825.94
2018-05-18,2.36,2.42,2.29,2.29,4917.42,11605.11
2018-05-19,2.17,2.43,2.1,2.36,4907.34,10648.93
2018-05-20,2.18,2.44,2.17,2.21,5100.59,11119.29
2018-05-21,2.1,2.15,2.1,2.14,4586.28,9631.19
2018-05-22,2.0,2.04,2.0,2.0,4598.52,9197.04
2018-05-23,1.74,1.91,1.03,1.88,4797.68,8347.96
2018-05-24,1.83,1.87,1.74,1.84,5275.79,9654.7
2018-05-25,1.71,1.82,1.71,1.8,5009.84,8566.83
2018-05-26,1.7,1.76,1.68,1.72,5054.32,8592.34
2018-05-27,1.74,1.76,1.69,1.69,4771.28,8302.03
2018-05-28,1.27,1.79,0.9753,1.68,4547.81,5775.72
2018-05-29,1.67,1.91,1.02,1.2,5134.41,8574.46
2018-05-30,1.36,1.83,1.12,1.72,4989.76,6786.07
2018-05-31,1.66,1.7,1.17,1.45,5246.01,8708.38
2018-06-01,1.27,1.71,1.17,1.41,4739.78,6019.52
2018-06-02,1.7,1.8,1.18,1.38,5025.06,8542.6
2018-06-03,1.48,1.71,1.34,1.71,4686.59,6936.15
2018-06-04,1.52,1.56,1.31,1.39,4844.83,7364.14
2018-06-05,1.57,1.59,1.34,1.54,4992.38,7838.04
2018-06-06,1.44,1.58,1.39,1.58,4909.07,7069.06
2018-06-07,1.36,1.46,1.09,1.45,4881.57,6638.94
2018-06-08,1.53,1.59,1.04,1.43,4906.23,7506.53
2018-06-09,1.52,1.56,1.18,1.5,4867.77,7399.01
2018-06-10,1.34,1.41,1.28,1.4,5010.29,6713.79
2018-06-11,1.31,1.39,1.3,1.36,4964.19,6503.09
2018-06-12,1.24,1.32,1.24,1.29,4750.83,5891.03
2018-06-13,1.19,1.28,1.19,1.19,4763.8,5668.92
2018-06-14,1.27,1.34,1.26,1.27,5036.21,6395.99
2018-06-15,1.11,1.31,0.8763,1.22,4751.28,5273.92
2018-06-16,1.3,1.95,1.02,1.02,5225.44,6793.07
2018-06-17,2.15,2.31,1.27,1.29,4975.37,10697.05
2018-06-18,3.17,3.37,2.08,2.24,5135.07,16278.17
2018-06-19,2.29,3.24,2.1,3.23,4812.65,11020.97
2018-06-20,2.6,3.2,2.11,2.26,5056.48,13146.85
2018-06-21,2.24,2.9,2.1,2.58,4836.0,10832.64
2018-06-22,2.48,3.1,1.89,2.02,4790.08,11879.4
2018-06-23,2.26,3.0,1.95,2.82,4813.06,10877.52
2018-06-24,2.6,3.0,1.97,2.16,5054.28,13141.13
2018-06-25,2.25,2.68,1.95,2.45,5121.16,11522.61
2018-06-26,1.93,2.26,1.91,2.12,4917.04,9489.89
2018-06-27,1.97,2.02,1.93,2.0,4875.87,9605.46
2018-06-28,1.92,1.93,1.85,1.88,5143.63,9875.77
2018-06-29,2.18,2.83,1.94,2.03,4941.43,10772.32
2018-06-30,2.55,2.75,2.0,2.23,4891.54,12473.43
2018-07-01,2.38,2.71,2.27,2.55,4805.4,11436.85
2018-07-02,2.77,2.82,2.37,2.48,4831.79,13384.06
2018-07-03,2.6,2.76,2.33,2.72,3261.81,8480.71
2018-07-04,2.64,2.64,2.64,2.64,0.0,0.0
2018-07-05,2.53,3.12,2.39,2.61,2768.1,7003.29
2018-07-06,2.51,2.96,2.47,2.83,4929.7,12373.55
2018-07-07,2.61,2.88,2.5,2.63,4662.84,12170.01
2018-07-08,2.56,2.62,2.51,2.58,3742.32,9580.34
2018-07-09,2.07,2.6,2.0,2.57,2345.65,4855.5
2018-07-10,1.99,2.54,1.9,2.07,2233.47,4444.61
2018-07-11,2.33,2.53,1.92,2.21,2017.94,4701.8
2018-07-12,2.33,2.54,1.89,2.28,2233.1,5203.12
2018-07-13,1.96,2.53,1.88,2.32,1945.69,3813.55
2018-07-14,2.31,2.36,1.89,2.09,1524.54,3521.69
2018-07-15,2.09,2.41,1.92,2.13,4278.09,8941.21
2018-07-16,2.41,2.72,2.02,2.38,1638.03,3947.65
2018-07-17,2.68,2.91,2.21,2.86,2961.78,7937.57
2018-07-18,2.23,2.93,2.22,2.69,5046.05,11252.69
2018-07-19,2.24,2.29,2.24,2.26,5054.08,11321.14
2018-07-20,2.2,2.23,2.2,2.2,4871.55,10717.41
