time,close,high,low,open,volumefrom,volumeto
2017-11-02,0.08338,0.139,0.05978,0.111,21259347.85,1772604.42
2017-11-03,0.05829,0.08554,0.04506,0.07867,21183830.02,1234805.45
2017-11-04,0.04124,0.06046,0.0405,0.06038,16066575.13,662585.56
2017-11-05,0.03178,0.04153,0.02867,0.04086,18515299.64,588416.22
2017-11-06,0.05108,0.0556,0.02832,0.03034,25660161.56,1310721.05
2017-11-07,0.04745,0.06108,0.04404,0.05221,21943426.58,1041215.59
2017-11-08,0.04467,0.05248,0.04281,0.0498,17430106.25,778602.85
2017-11-09,0.04028,0.04485,0.03636,0.04206,17580594.72,708146.36
2017-11-10,0.03152,0.0371,0.03092,0.03697,12933642.99,407668.43
2017-11-11,0.02853,0.03271,0.02669,0.03062,16668460.35,475551.17
2017-11-12,0.02551,0.02651,0.02351,0.02639,14655566.34,373863.5
2017-11-13,0.04063,0.04272,0.02674,0.02766,34498553.5,1401676.23
2017-11-14,0.03668,0.04618,0.03628,0.04123,23108388.82,847615.7
2017-11-15,0.03569,0.0437,0.03569,0.04079,16881703.26,602507.99
2017-11-16,0.03919,0.0421,0.0355,0.03903,18083708.48,708700.54
2017-11-17,0.03357,0.03888,0.03311,0.03811,15515770.48,520864.42
2017-11-18,0.03237,0.03478,0.03159,0.03392,14206440.18,459862.47
2017-11-19,0.03297,0.03378,0.03225,0.03354,13435929.78,442982.6
2017-11-20,0.03042,0.03397,0.02902,0.03356,16052667.5,488322.15
2017-11-21,0.029,0.03167,0.02705,0.02989,16951678.16,491598.67
2017-11-22,0.02915,0.0303,0.02783,0.02948,17598228.53,512988.36
2017-11-23,0.02901,0.02989,0.02821,0.02837,15861084.02,460130.05
2017-11-24,0.02788,0.02977,0.0278,0.0296,13210359.88,368304.83
2017-11-25,0.0274,0.03029,0.02731,0.02977,13932661.39,381754.92
2017-11-26,0.03261,0.03411,0.02469,0.02945,22126057.46,721530.73
2017-11-27,0.03368,0.03621,0.0291,0.03494,27984132.41,942505.58
2017-11-28,0.03527,0.03616,0.03408,0.03427,19884500.35,701326.33
2017-11-29,0.04319,0.05253,0.03473,0.03502,41923662.6,1810682.99
2017-11-30,0.04357,0.04576,0.03989,0.04347,18904053.43,823649.61
