time,close,high,low,open,volumefrom,volumeto
2017-05-11,2.0,54.58,2.0,54.58,13.63,27.26
2017-05-12,1.86,1.86,1.86,1.86,0.0,0.0
2017-05-13,4.94,4.94,1.94,1.94,0.25,1.24
2017-05-14,1.95,4.96,1.95,4.96,13.63,26.58
2017-05-15,1.88,1.88,1.88,1.88,0.0,0.0
2017-05-16,0.5223,2.67,0.5223,1.9,1.42,0.7417
2017-05-17,2.78,2.78,0.544,0.544,36.1,100.36
2017-05-18,2.9,2.9,2.9,2.9,0.0,0.0
2017-05-19,19.62,19.62,3.02,3.02,0.01,0.1962
2017-05-20,3.77,20.4,3.77,20.4,0.376,1.42
2017-05-21,11.24,20.44,3.78,3.78,4.94,55.53
2017-05-22,2.55,11.68,2.55,11.68,28.18,71.86
2017-05-23,4.32,29.54,2.73,2.73,102.43,442.5
2017-05-24,5.44,9.05,4.65,4.65,10.02,54.51
2017-05-25,5.13,5.13,5.13,5.13,0.0,0.0
2017-05-26,4.02,11.56,2.92,4.99,229.32,921.87
2017-05-27,4.72,4.72,3.67,3.67,105.94,500.04
2017-05-28,5.03,5.03,5.03,5.03,0.0,0.0
2017-05-29,5.24,5.24,5.24,5.24,0.0,0.0
2017-05-30,5.04,5.04,5.04,5.04,0.0,0.0
2017-05-31,5.3,5.3,5.3,5.3,0.0,0.0
2017-06-01,5.55,5.55,5.55,5.55,2.61,14.49
2017-06-02,5.73,5.73,5.73,5.73,0.0,0.0
2017-06-03,5.85,5.85,5.85,5.85,0.0,0.0
2017-06-04,5.55,6.31,5.05,5.81,11439.83,63491.06
2017-06-05,6.26,6.26,4.87,5.94,144.26,903.07
2017-06-06,6.89,8.04,6.65,6.65,105.3,725.52
2017-06-07,6.46,6.46,6.46,6.46,25.0,161.5
2017-06-08,5.6,6.72,5.6,6.72,197.16,1104.1
2017-06-09,5.07,6.75,5.07,5.62,789.8,4004.29
2017-06-10,5.22,5.95,5.22,5.23,79.28,413.84
2017-06-11,5.75,5.75,3.31,5.35,62.75,360.81
2017-06-12,5.12,5.14,5.12,5.14,0.83,4.25
2017-06-13,5.24,5.24,4.88,5.23,111.46,584.05
2017-06-14,4.77,4.77,4.77,4.77,0.0,0.0
2017-06-15,3.93,4.72,3.93,4.72,0.641,2.52
2017-06-16,4.18,5.52,2.96,4.04,3324.47,13896.28
2017-06-17,4.67,5.79,3.69,4.43,1873.52,8749.34
2017-06-18,4.7,4.7,4.46,4.46,666.0,3130.2
2017-06-19,5.6,5.6,4.67,4.84,143.42,803.15
2017-06-20,5.23,5.92,5.23,5.89,127.74,668.08
2017-06-21,4.98,5.09,4.98,5.09,52.31,260.5
2017-06-22,5.33,5.33,4.71,5.06,699.31,3727.32
2017-06-23,5.09,5.42,5.05,5.31,274.5,1397.21
2017-06-24,4.97,5.7,4.86,4.86,1163.45,5782.35
2017-06-25,4.83,4.99,4.55,4.88,75.66,365.44
2017-06-26,3.67,4.65,3.67,4.65,230.24,844.98
2017-06-27,4.97,4.97,3.27,3.88,606.13,3012.47
2017-06-28,3.76,4.96,3.74,4.96,169.56,637.55
2017-06-29,3.06,3.74,3.06,3.74,85.58,261.87
2017-06-30,3.58,4.55,2.97,2.97,161.46,578.03
2017-07-01,2.9,3.5,2.9,3.5,58.88,170.75
2017-07-02,3.04,3.07,3.03,3.03,28.93,87.95
2017-07-03,3.43,3.43,3.08,3.08,1.3,4.46
2017-07-04,2.83,3.49,2.09,3.49,3222.19,9118.8
2017-07-05,2.84,2.96,2.84,2.84,121.42,344.83
2017-07-06,2.83,2.83,2.83,2.83,0.0,0.0
2017-07-07,2.51,2.73,2.51,2.72,17.06,42.82
2017-07-08,2.56,2.56,2.31,2.56,16.49,42.21
2017-07-09,2.51,2.51,2.51,2.51,0.0,0.0
2017-07-10,1.64,2.34,1.64,2.34,184.55,302.66
2017-07-11,2.49,2.49,0.3486,1.63,239.44,596.21
2017-07-12,2.57,2.57,2.57,2.57,0.0,0.0
2017-07-13,2.53,2.53,2.53,2.53,0.0,0.0
2017-07-14,2.01,2.39,2.01,2.39,31.95,64.22
2017-07-15,1.98,1.98,1.77,1.77,155.25,307.4
2017-07-16,2.13,2.13,1.91,1.91,3.62,7.71
2017-07-17,3.46,3.46,2.48,2.48,0.232,0.8027
2017-07-18,3.59,3.59,3.59,3.59,0.0,0.0
2017-07-19,3.54,3.54,3.54,3.54,0.0,0.0
2017-07-20,4.44,4.44,4.44,4.44,0.0,0.0
2017-07-21,4.14,4.14,4.14,4.14,0.0,0.0
2017-07-22,1.73,4.39,1.73,4.39,0.2,0.346
2017-07-23,4.13,4.13,1.68,1.68,0.466,1.92
2017-07-24,4.15,4.15,4.15,4.15,0.6,2.49
2017-07-25,2.32,3.87,2.32,3.87,217.38,504.32
2017-07-26,2.43,2.43,2.25,2.3,79.8,193.91
2017-07-27,2.32,2.56,2.32,2.56,55.13,127.9
2017-07-28,2.39,2.67,2.39,2.42,23.52,56.21
2017-07-29,2.32,2.32,2.32,2.32,11.08,25.71
2017-07-30,2.35,2.35,2.35,2.35,0.0,0.0
2017-07-31,2.45,2.45,2.45,2.45,0.0,0.0
2017-08-01,2.33,2.33,2.33,2.33,0.0,0.0
2017-08-02,0.6856,2.31,0.6856,2.31,150.06,102.88
2017-08-03,0.7081,0.7081,0.7081,0.7081,0.0,0.0
2017-08-04,0.3483,4.31,0.3483,0.7254,568.27,197.93
2017-08-05,4.89,4.89,0.3948,0.3948,116.71,570.71
2017-08-06,4.84,4.84,4.84,4.84,0.0,0.0
2017-08-07,3.91,5.1,3.91,5.1,840.66,3286.98
2017-08-08,4.05,4.33,3.43,3.94,597.31,2419.11
2017-08-09,2.8,4.45,2.8,3.95,1244.46,3484.49
2017-08-10,4.45,6.47,2.86,2.86,711.14,3164.57
2017-08-11,3.76,6.9,3.76,4.75,912.46,3430.85
2017-08-12,3.87,4.77,0.3872,3.99,3180.18,12307.3
2017-08-13,3.66,5.24,3.46,4.06,1276.12,4670.6
2017-08-14,3.48,5.34,3.47,3.9,582.9,2028.49
2017-08-15,4.29,4.29,3.34,3.35,650.77,2791.8
2017-08-16,3.72,4.52,3.72,4.52,244.6,909.91
2017-08-17,3.42,4.28,3.42,3.62,293.34,1003.22
2017-08-18,2.99,3.65,2.97,3.28,131.65,393.63
2017-08-19,3.03,3.03,3.03,3.03,0.0,0.0
2017-08-20,4.06,4.06,2.96,2.96,13.8,56.03
2017-08-21,4.01,4.01,2.01,4.0,621.29,2491.37
2017-08-22,4.07,4.07,2.76,2.76,222.29,904.72
2017-08-23,4.06,4.12,4.05,4.12,281.14,1141.43
2017-08-24,3.22,4.23,3.22,4.23,299.4,964.07
2017-08-25,2.93,3.91,2.93,2.96,67.15,196.75
2017-08-26,2.92,2.92,2.92,2.92,0.0,0.0
2017-08-27,3.86,3.86,2.92,2.92,1.91,7.37
2017-08-28,3.6,3.9,2.73,3.9,463.69,1669.28
2017-08-29,3.71,3.77,3.22,3.77,8.98,33.32
2017-08-30,2.67,4.56,2.67,3.7,520.07,1388.59
2017-08-31,3.41,4.02,2.76,2.76,785.93,2680.02
2017-09-01,4.08,4.34,3.54,3.54,21.26,86.74
2017-09-02,3.23,3.79,2.38,3.79,560.9,1811.71
2017-09-03,3.26,3.26,3.26,3.26,0.0,0.0
2017-09-04,1.02,3.01,0.4267,3.01,1504.04,1534.12
2017-09-05,1.06,1.06,1.06,1.06,0.0,0.0
2017-09-06,1.11,1.11,1.11,1.11,0.0,0.0
2017-09-07,1.11,1.11,1.11,1.11,0.0,0.0
2017-09-08,1.04,1.04,1.04,1.04,0.0,0.0
2017-09-09,1.04,1.04,1.04,1.04,0.0,0.0
2017-09-10,1.02,1.02,1.02,1.02,0.0,0.0
2017-09-11,1.01,1.01,1.01,1.01,0.0,0.0
2017-09-12,0.9981,0.9981,0.9981,0.9981,0.0,0.0
2017-09-13,0.9289,0.9289,0.9289,0.9289,0.0,0.0
2017-09-14,0.7783,0.7783,0.7783,0.7783,0.0,0.0
2017-09-15,0.8913,0.8913,0.8913,0.8913,0.0,0.0
2017-09-16,0.8877,0.8877,0.8877,0.8877,0.0,0.0
2017-09-17,0.8855,0.8855,0.8855,0.8855,0.0,0.0
2017-09-18,0.9841,0.9841,0.9841,0.9841,0.0,0.0
2017-09-19,0.9379,0.9379,0.9379,0.9379,0.0,0.0
2017-09-20,3.1,3.11,2.54,2.68,127722.57,395939.97
2017-09-21,1.5,2.89,1.39,2.65,565533.76,848300.64
2017-09-22,1.69,2.01,1.47,1.5,261799.44,442441.05
2017-09-23,1.63,1.82,1.58,1.78,65780.89,107222.85
2017-09-24,1.39,1.67,1.38,1.58,142575.84,198180.42
2017-09-25,1.26,1.53,1.13,1.49,236137.92,297533.78
2017-09-26,1.18,1.29,1.14,1.25,93553.2,110392.78
2017-09-27,1.01,1.28,0.9225,1.27,250281.01,252783.82
2017-09-28,1.17,1.26,0.8408,1.0,336589.22,393809.39
2017-09-29,1.12,1.18,0.9718,1.17,172533.3,193237.3
2017-09-30,1.35,1.5,1.12,1.17,255565.17,345012.98
2017-10-01,1.4,1.41,1.27,1.37,81304.24,113825.94
2017-10-02,1.35,1.58,1.26,1.4,239278.53,323026.02
2017-10-03,1.16,1.32,1.09,1.32,112742.15,130780.89
2017-10-04,1.16,1.2,1.07,1.13,67964.58,78838.91
2017-10-05,1.27,1.35,1.14,1.19,91304.14,115956.26
2017-10-06,1.22,1.32,1.17,1.29,61362.65,74862.43
2017-10-07,1.19,1.27,1.16,1.24,70725.6,84163.46
2017-10-08,1.4,1.5,1.2,1.24,667904.23,935065.92
2017-10-09,1.3,1.48,1.23,1.45,512181.72,665836.24
2017-10-10,1.44,1.48,1.23,1.3,700649.29,1008934.98
2017-10-11,2.71,3.0,1.45,1.46,3524550.89,9551532.91
2017-10-12,2.93,3.78,2.45,3.05,2989378.88,8758880.12
2017-10-13,3.0,3.47,2.54,3.04,1825958.2,5477874.6
2017-10-14,3.65,3.96,2.85,3.1,1056493.19,3856200.14
2017-10-15,4.69,5.4,3.35,3.57,1631254.61,7650584.12
2017-10-16,4.71,5.61,4.48,4.74,1495894.92,7045665.07
2017-10-17,4.69,5.14,3.59,4.58,1439357.61,6750587.19
2017-10-18,5.18,5.3,4.49,4.55,854982.98,4428811.84
2017-10-19,5.68,6.31,5.15,5.3,1678048.57,9531315.88
2017-10-20,4.89,6.58,4.44,5.97,1744310.85,8529680.06
2017-10-21,4.99,5.37,4.15,5.01,1603198.25,7999959.27
2017-10-22,5.0,5.64,4.79,4.97,1003427.71,5017138.55
2017-10-23,4.67,5.14,4.28,4.99,1063843.2,4968147.74
2017-10-24,5.02,5.37,4.37,4.37,1085648.43,5449955.12
2017-10-25,4.59,5.25,4.55,5.22,474369.28,2177355.0
2017-10-26,4.34,5.21,4.21,4.71,766154.71,3325111.44
2017-10-27,4.03,4.48,3.73,4.27,953429.86,3842322.34
2017-10-28,4.13,4.18,3.61,3.97,476096.58,1966278.88
2017-10-29,3.95,4.66,3.8,4.43,651511.39,2573469.99
2017-10-30,4.05,4.06,3.67,3.95,572861.63,2320089.6
2017-10-31,4.2,4.78,4.14,4.27,871701.0,3661144.2
2017-11-01,3.44,4.38,3.37,4.35,824258.25,2835448.38
2017-11-02,3.13,3.69,2.68,3.61,1263998.31,3956314.71
2017-11-03,3.38,3.66,3.03,3.19,797019.76,2693926.79
2017-11-04,3.13,3.59,2.93,3.48,540854.46,1692874.46
2017-11-05,2.98,3.16,2.83,3.14,366309.67,1091602.82
2017-11-06,3.12,3.19,2.81,2.81,455876.53,1422334.77
2017-11-07,3.04,3.2,3.0,3.19,251568.23,764767.42
2017-11-08,3.67,4.11,2.87,3.19,1078615.64,3958519.4
2017-11-09,3.82,4.12,3.3,3.51,678230.22,2590839.44
2017-11-10,3.27,3.56,3.12,3.51,538836.58,1761995.62
2017-11-11,3.08,3.3,2.94,3.16,446280.28,1374543.26
2017-11-12,2.92,3.14,2.76,2.86,458518.76,1338874.78
2017-11-13,3.08,3.41,2.9,3.24,313497.48,965572.24
2017-11-14,3.01,3.15,2.92,3.11,205171.42,617565.97
2017-11-15,3.47,3.63,3.03,3.32,597361.33,2072843.82
2017-11-16,3.05,3.74,3.02,3.74,293082.75,893902.39
2017-11-17,3.06,3.11,2.9,2.99,319202.45,976759.5
2017-11-18,3.18,3.45,3.07,3.09,306063.09,973280.63
2017-11-19,3.22,3.58,3.14,3.29,288783.99,929884.45
2017-11-20,3.18,3.35,3.13,3.3,236614.29,752433.44
2017-11-21,3.52,3.76,3.12,3.12,603312.62,2123660.42
2017-11-22,3.71,3.81,3.47,3.58,426055.67,1580666.54
2017-11-23,3.69,3.98,3.54,3.61,349178.94,1288470.29
2017-11-24,3.61,3.81,3.45,3.78,178932.25,645945.42
2017-11-25,3.82,4.16,3.61,3.85,158297.08,604694.85
2017-11-26,3.73,4.1,3.64,4.06,10106.65,37697.8
2017-11-27,3.74,3.99,3.61,3.93,269149.64,1006619.65
2017-11-28,3.67,3.9,3.66,3.81,175353.67,643547.97
2017-11-29,2.7,3.76,1.22,3.65,947804.7,2559072.69
2017-11-30,2.67,2.97,2.52,2.74,442127.62,1180480.75
2017-12-01,2.98,3.12,2.82,2.88,237930.38,709032.53
2017-12-02,2.88,3.16,2.74,2.99,159066.8,458112.38
2017-12-03,2.87,3.01,2.62,2.98,300158.65,861455.33
2017-12-04,2.91,2.99,2.77,2.96,228719.2,665572.87
2017-12-05,2.6,3.0,2.57,2.92,298066.44,774972.74
2017-12-06,2.7,3.16,2.6,3.08,407357.87,1099866.25
2017-12-07,2.25,3.31,2.09,3.31,663998.61,1493996.87
2017-12-08,2.41,2.85,1.79,2.15,699393.93,1685539.37
2017-12-09,2.4,2.82,2.13,2.23,319098.56,765836.54
2017-12-10,2.21,2.66,2.09,2.44,228279.1,504496.81
2017-12-11,2.41,2.76,2.25,2.46,278858.16,672048.17
2017-12-12,2.61,2.73,2.41,2.46,275782.73,719792.93
2017-12-13,3.1,3.39,2.39,2.48,693719.4,2150530.14
2017-12-14,3.45,3.75,2.9,3.13,731201.54,2522645.31
2017-12-15,3.32,3.85,3.01,3.68,588219.44,1952888.54
2017-12-16,3.88,4.16,3.5,3.64,499700.4,1938837.55
2017-12-17,4.0,4.42,3.53,3.82,498488.94,1993955.76
2017-12-18,4.35,4.68,3.74,3.98,684072.55,2975715.59
2017-12-19,4.65,4.67,3.98,4.01,948083.3,4408587.35
2017-12-20,4.11,4.42,3.83,4.37,421416.1,1732020.17
2017-12-21,3.52,4.09,2.95,3.91,897274.67,3158406.84
2017-12-22,2.44,3.24,1.42,3.07,1051871.89,2566567.41
2017-12-23,2.93,3.04,2.45,2.57,328720.7,963151.65
