time,close,high,low,open,volumefrom,volumeto
2017-07-15,0.08888,0.08888,0.05927,0.079,27095.04,2408.21
2017-07-16,0.02892,0.08613,0.0289,0.08613,4600.31,133.04
2017-07-17,0.05583,0.08797,0.03375,0.03375,9574.97,534.57
2017-07-18,0.05571,0.08585,0.05569,0.05801,57161.8,3184.48
2017-07-19,0.02858,0.08414,0.01205,0.01614,23581.46,673.96
2017-07-20,0.04053,0.05729,0.03588,0.03588,2272.06,92.09
2017-07-21,0.0772,0.08507,0.03783,0.03783,1854.45,143.16
2017-07-22,0.05676,0.08186,0.05676,0.08186,3425.7,194.44
2017-07-23,0.05516,0.07719,0.05516,0.05516,1719.63,94.85
2017-07-24,0.05665,0.08837,0.0553,0.0553,14826.35,839.91
2017-07-25,0.0633,0.07613,0.05294,0.05294,28718.58,1817.89
2017-07-26,0.06275,0.07545,0.06273,0.06273,6961.19,436.81
2017-07-27,0.066,0.06606,0.066,0.066,5818.31,384.01
2017-07-28,0.04609,0.06916,0.04609,0.06882,50.0,2.3
2017-07-29,0.04674,0.0805,0.04166,0.04166,100.0,4.67
2017-07-30,0.04224,0.08216,0.04224,0.04731,14961.87,631.99
2017-07-31,0.08445,0.08445,0.04403,0.04403,178.03,15.03
2017-08-01,0.1071,0.1071,0.08018,0.08046,5005.65,536.11
2017-08-02,0.07783,0.1061,0.05441,0.1061,10475.81,815.33
2017-08-03,0.05241,0.08039,0.05241,0.08039,3009.68,157.74
2017-08-04,0.1265,0.1269,0.04934,0.05368,216363.67,27370.0
2017-08-05,0.1436,0.1436,0.1434,0.1434,178748.08,25668.22
2017-08-06,0.1292,0.1422,0.1292,0.1422,177834.08,22976.16
2017-08-07,0.1701,0.1701,0.0862,0.136,83872.13,14266.65
2017-08-08,0.1509,0.1714,0.1507,0.1714,105148.91,15866.97
2017-08-09,0.147,0.1473,0.03349,0.1473,50706.21,7453.81
2017-08-10,0.1506,0.1507,0.03426,0.1504,22997.44,3463.41
2017-08-11,0.09162,0.1608,0.09162,0.1606,44673.68,4093.0
2017-08-12,0.165,0.1928,0.06384,0.09706,109745.21,18107.96
2017-08-13,0.1904,0.1923,0.101,0.1732,125486.41,23892.61
2017-08-14,0.1169,0.2034,0.1073,0.2028,5326.06,622.62
2017-08-15,0.07878,0.1384,0.06621,0.1124,53828.44,4240.6
2017-08-16,0.119,0.1228,0.07612,0.08305,120326.23,14318.82
2017-08-17,0.09572,0.116,0.0733,0.116,14383.41,1376.78
2017-08-18,0.08244,0.1029,0.0718,0.1011,66867.87,5512.59
2017-08-19,0.09571,0.0999,0.08056,0.08334,42587.25,4076.03
2017-08-20,0.09138,0.09378,0.06169,0.09378,32340.38,2955.26
2017-08-21,0.07301,0.09216,0.06929,0.08999,97773.61,7138.45
2017-08-22,0.07668,0.09378,0.06952,0.07456,77155.73,5916.3
2017-08-23,0.08576,0.1153,0.06415,0.07765,22206.04,1904.39
2017-08-24,0.07799,0.09155,0.07501,0.08943,28091.15,2190.83
2017-08-25,0.07969,0.09283,0.0766,0.07882,109710.84,8742.86
2017-08-26,0.08622,0.08631,0.06176,0.07947,18647.43,1607.78
2017-08-27,0.08657,0.08657,0.07735,0.08609,12271.98,1062.39
2017-08-28,0.08298,0.08745,0.0727,0.08745,39637.34,3289.11
2017-08-29,0.08625,0.08739,0.06896,0.08689,2713297.08,234021.87
2017-08-30,0.07796,0.08616,0.06911,0.08598,16248.91,1266.77
