time,close,high,low,open,volumefrom,volumeto
2017-10-10,2.21,2.32,0.2239,2.32,3387.34,7486.02
2017-10-11,1.54,2.24,0.9648,2.24,2245.98,3458.81
2017-10-12,0.2764,1.82,0.2764,1.74,3757.46,1038.56
2017-10-13,1.52,1.69,0.2823,0.2823,488.83,743.02
2017-10-14,1.49,1.57,1.49,1.57,889.04,1324.67
2017-10-15,1.76,1.76,1.46,1.46,358.58,631.1
2017-10-16,1.73,1.73,1.73,1.73,28.15,48.7
2017-10-17,1.68,1.68,1.09,1.09,969.49,1628.74
2017-10-18,1.67,1.67,1.67,1.67,44.97,75.1
2017-10-19,0.8867,1.08,0.8867,1.08,30.94,27.43
2017-10-20,0.9325,0.9325,0.9325,0.9325,103.0,96.05
2017-10-21,1.54,1.54,0.9346,0.9346,83.93,129.25
2017-10-22,1.02,1.53,1.02,1.53,33.68,34.35
2017-10-23,1.0,1.0,1.0,1.0,0.0,0.0
2017-10-24,0.9378,0.9378,0.9378,0.9378,0.0,0.0
2017-10-25,0.6124,0.9754,0.6124,0.9754,53.36,32.68
2017-10-26,0.6288,0.6288,0.6288,0.6288,0.0,0.0
2017-10-27,1.47,1.47,0.6157,0.6157,2.42,3.56
2017-10-28,2.45,2.45,0.7445,1.46,683.21,1673.86
2017-10-29,1.54,3.14,1.54,2.63,238.4,367.14
2017-10-30,1.53,3.0,1.53,1.53,6.76,10.34
2017-10-31,1.61,1.61,1.61,1.61,0.0,0.0
2017-11-01,1.55,1.68,1.55,1.68,41.97,65.05
2017-11-02,1.62,1.62,1.62,1.62,0.0,0.0
2017-11-03,1.79,1.79,1.07,1.64,19.97,35.75
2017-11-04,1.84,1.84,1.84,1.84,0.0,0.0
2017-11-05,1.85,1.85,1.85,1.85,0.0,0.0
2017-11-06,1.74,1.74,1.74,1.74,0.0,0.0
2017-11-07,1.78,1.78,1.78,1.78,0.0,0.0
2017-11-08,1.98,2.11,1.04,1.86,383753.71,759832.35
2017-11-09,2.15,2.46,1.75,1.9,509879.82,1096241.61
2017-11-10,1.83,2.04,1.66,1.98,569815.0,1042761.45
2017-11-11,1.86,1.93,1.58,1.77,313500.0,583110.0
2017-11-12,1.63,1.73,1.37,1.73,237207.0,386647.41
2017-11-13,1.68,1.86,1.6,1.81,278769.0,468331.92
2017-11-14,1.83,1.91,1.65,1.7,247252.0,452471.16
2017-11-15,1.64,2.04,1.54,2.02,504857.26,827965.91
2017-11-16,1.6,1.88,1.49,1.77,327944.0,524710.4
2017-11-17,1.48,1.65,1.46,1.57,169024.0,250155.52
2017-11-18,1.6,1.64,1.49,1.49,144951.94,231923.1
2017-11-19,1.68,2.11,1.59,1.65,294500.0,494760.0
2017-11-20,1.61,1.87,1.61,1.73,206903.0,333113.83
2017-11-21,1.66,1.76,1.56,1.58,277523.0,460688.18
2017-11-22,1.54,1.85,1.32,1.69,418924.0,645142.96
2017-11-23,1.47,1.58,1.41,1.5,226244.97,332580.11
2017-11-24,1.44,1.58,1.33,1.51,247611.0,356559.84
2017-11-25,1.4,1.61,1.18,1.54,274270.32,383978.45
2017-11-26,1.39,1.59,1.35,1.49,195866.0,272253.74
2017-11-27,1.43,1.49,1.35,1.46,1213829.0,1735775.47
2017-11-28,1.44,1.55,1.34,1.45,1725218.0,2484313.92
2017-11-29,1.31,1.52,1.21,1.43,1705888.0,2234713.28
2017-11-30,1.28,1.35,1.24,1.32,1333083.0,1706346.24
2017-12-01,1.48,1.66,1.39,1.39,1748765.0,2588172.2
2017-12-02,1.45,1.49,1.36,1.49,1405693.0,2038254.85
2017-12-03,1.3,1.49,0.02058,1.49,1602639.0,2083430.7
2017-12-04,1.34,1.43,1.28,1.35,1595232.53,2137611.59
2017-12-05,1.33,1.37,1.2,1.34,2540316.0,3378620.28
2017-12-06,1.18,1.59,1.14,1.57,2247964.34,2652597.92
2017-12-07,1.1,1.44,1.09,1.44,1970425.33,2167467.86
2017-12-08,1.22,1.35,1.0,1.04,1610536.56,1964854.6
2017-12-09,1.16,1.23,1.07,1.12,1989787.66,2308153.69
2017-12-10,1.1,1.24,1.06,1.18,1642509.26,1806760.19
