time,close,high,low,open,volumefrom,volumeto
2015-01-20,0.002036,0.002306,0.001905,0.001905,0.0,0.0
2015-01-21,0.001819,0.002542,0.001328,0.002206,0.0,0.0
2015-01-22,0.00165,0.002206,0.001527,0.001855,0.0,0.0
2015-01-23,0.001623,0.001788,0.001623,0.001646,0.0,0.0
2015-01-24,0.00162,0.001812,0.001521,0.001735,0.0,0.0
2015-01-25,0.001737,0.001802,0.001591,0.001646,0.0,0.0
2015-01-26,0.001685,0.002016,0.001647,0.001855,0.0,0.0
2015-01-27,0.00178,0.001914,0.001622,0.001648,0.0,0.0
2015-01-28,0.001682,0.001748,0.001597,0.001597,0.0,0.0
2015-01-29,0.00168,0.001706,0.001558,0.001666,0.0,0.0
2015-01-30,0.001706,0.001706,0.001447,0.001665,0.0,0.0
2015-01-31,0.001442,0.001608,0.001414,0.001608,0.0,0.0
2015-02-01,0.001399,0.001543,0.001399,0.001487,0.0,0.0
2015-02-02,0.001483,0.001758,0.001483,0.001483,0.0,0.0
2015-02-03,0.002502,0.002502,0.00156,0.001592,1103649.1,2761.33
2015-02-04,0.002261,0.002832,0.001736,0.002492,1337334.33,3023.71
2015-02-05,0.002163,0.002468,0.002161,0.002161,320358.11,692.93
2015-02-06,0.002357,0.003097,0.002227,0.002227,431385.57,1016.78
2015-02-07,0.00263,0.00314,0.002407,0.002407,30283.81,79.65
2015-02-08,0.002416,0.002592,0.002416,0.002583,292185.34,705.92
2015-02-09,0.002737,0.002823,0.00238,0.00238,454197.67,1243.14
2015-02-10,0.003515,0.003598,0.002583,0.002728,872828.54,3067.99
2015-02-11,0.003563,0.003587,0.003236,0.003501,529406.68,1886.28
2015-02-12,0.003799,0.004569,0.003105,0.003611,619077.49,2351.88
2015-02-13,0.003507,0.004046,0.003306,0.004046,297084.77,1041.88
2015-02-14,0.003629,0.003867,0.003375,0.003841,161548.77,586.26
2015-02-15,0.003044,0.003312,0.003044,0.003273,65372.35,198.99
2015-02-16,0.003724,0.003773,0.003078,0.003078,817531.3,3044.49
2015-02-17,0.003602,0.004429,0.003417,0.00384,186739.08,672.63
2015-02-18,0.003641,0.004234,0.003413,0.003483,110559.06,402.55
2015-02-19,0.003479,0.003868,0.003406,0.003745,60261.45,209.65
2015-02-20,0.003387,0.003912,0.003387,0.003516,71943.5,243.67
2015-02-21,0.003358,0.003527,0.00318,0.003385,63497.19,213.22
2015-02-22,0.003069,0.003239,0.003067,0.003239,22862.78,70.17
2015-02-23,0.003148,0.003845,0.003105,0.003109,156316.05,492.08
2015-02-24,0.003758,0.003849,0.003113,0.003149,498807.95,1874.52
2015-02-25,0.003294,0.003823,0.0031,0.003733,625677.06,2060.98
2015-02-26,0.004137,0.004196,0.003143,0.003283,1253616.8,5186.21
2015-02-27,0.004271,0.004585,0.004076,0.004433,463111.36,1977.95
2015-02-28,0.004189,0.004314,0.004093,0.004281,509745.16,2135.32
2015-03-01,0.004493,0.004695,0.004189,0.004253,656948.19,2951.67
2015-03-02,0.004791,0.004928,0.00438,0.004769,978855.38,4689.7
2015-03-03,0.004502,0.005049,0.004488,0.004911,417795.99,1880.92
2015-03-04,0.003404,0.004362,0.003404,0.004362,191289.86,651.15
2015-03-05,0.002202,0.003614,0.001657,0.003446,80061.32,176.3
2015-03-06,0.002164,0.002584,0.001862,0.00218,37340.27,80.8
2015-03-07,0.002617,0.0029,0.002224,0.002183,72556.03,189.88
2015-03-08,0.002759,0.002849,0.002575,0.002613,21260.51,58.66
2015-03-09,0.002691,0.002883,0.002506,0.002915,9980.27,26.86
2015-03-10,0.002681,0.002905,0.002622,0.002704,29350.52,78.69
2015-03-11,0.002654,0.002897,0.002471,0.00272,12935.98,34.33
2015-03-12,0.002442,0.002756,0.002413,0.002639,4881.93,11.92
2015-03-13,0.002077,0.002723,0.00201,0.002387,87785.18,182.33
2015-03-14,0.00169,0.002275,0.001599,0.002036,74232.25,125.45
2015-03-15,0.001578,0.00198,0.001427,0.001709,57038.61,90.01
2015-03-16,0.002309,0.002373,0.001371,0.001609,35202.98,81.28
2015-03-17,0.001592,0.002109,0.001427,0.002269,125290.2,199.46
2015-03-18,0.001418,0.001523,0.001185,0.001428,54842.09,77.77
2015-03-19,0.00131,0.001446,0.00131,0.001446,50339.91,65.95
2015-03-20,0.001495,0.001495,0.001312,0.001314,39549.19,59.13
2015-03-21,0.001369,0.001483,0.001327,0.001483,138466.54,189.56
2015-03-22,0.001711,0.001891,0.001423,0.001415,378540.85,647.68
2015-03-23,0.00141,0.001858,0.00141,0.001691,310133.09,437.29
2015-03-24,0.001411,0.001579,0.001172,0.00131,289814.35,408.93
2015-03-25,0.001289,0.00151,0.001289,0.001409,39652.92,51.11
2015-03-26,0.001364,0.001386,0.001297,0.001297,87777.09,119.73
2015-03-27,0.001362,0.001496,0.001328,0.00136,35291.25,48.07
2015-03-28,0.001358,0.001429,0.001353,0.001389,18951.93,25.74
2015-03-29,0.001196,0.001356,0.001193,0.001305,134926.12,161.37
