time,close,high,low,open,volumefrom,volumeto
2018-03-01,0.5541,0.5689,0.5306,0.5585,119986.87,66484.72
2018-03-02,0.5202,0.5536,0.4962,0.545,2039956.59,1061185.42
2018-03-03,0.4809,0.5322,0.4621,0.5202,2684435.33,1290944.95
2018-03-04,0.365,0.486,0.365,0.486,134923.82,49247.19
2018-03-05,0.3797,0.4307,0.2574,0.3585,228627.24,86809.76
2018-03-06,0.3059,0.3646,0.2871,0.3646,187324.08,57302.44
2018-03-07,0.2719,0.3102,0.2539,0.2817,143030.88,38890.1
2018-03-08,0.2432,0.267,0.2194,0.253,87325.97,21237.68
2018-03-09,0.2159,0.253,0.2043,0.253,188832.54,40768.95
2018-03-10,0.2429,0.2579,0.1924,0.2026,114926.23,27915.58
2018-03-11,0.2334,0.2579,0.2233,0.2564,30595.21,7140.92
2018-03-12,0.2203,0.237,0.2203,0.2258,32235.99,7101.59
2018-03-13,0.2077,0.2242,0.1973,0.218,43466.33,9027.96
2018-03-14,0.1735,0.1925,0.1724,0.1846,56734.73,9843.48
2018-03-15,0.1874,0.1954,0.1636,0.1728,37254.6,6981.51
2018-03-16,0.1784,0.191,0.1551,0.1844,54989.75,9810.17
2018-03-17,0.1512,0.1699,0.1429,0.1633,17859.12,2700.3
2018-03-18,0.158,0.16,0.1408,0.1478,32669.86,5161.84
2018-03-19,0.15,0.1755,0.1473,0.1633,56171.53,8425.73
2018-03-20,0.1879,0.1879,0.1505,0.1505,54415.63,10224.7
2018-03-21,0.1999,0.2128,0.1742,0.1887,81307.79,16253.43
2018-03-22,0.19,0.1954,0.1718,0.1927,32645.73,6202.69
2018-03-23,0.1876,0.1914,0.1729,0.1914,69808.56,13096.09
2018-03-24,0.1733,0.1815,0.1722,0.1794,36980.55,6408.73
2018-03-25,0.1757,0.2008,0.1743,0.1743,38195.02,6710.87
2018-03-26,0.1595,0.1788,0.1566,0.1634,51314.07,8184.59
2018-03-27,0.1455,0.1472,0.1391,0.1472,46335.54,6741.82
2018-03-28,0.1389,0.148,0.1382,0.1446,24687.21,3429.05
2018-03-29,0.1209,0.1241,0.119,0.1196,32838.23,3970.14
2018-03-30,0.1134,0.1252,0.1103,0.1241,10876.01,1233.34
2018-03-31,0.1282,0.1328,0.1054,0.1135,46850.5,6006.23
2018-04-01,0.1119,0.1233,0.09691,0.1233,42295.94,4732.92
2018-04-02,0.1218,0.1276,0.1051,0.1136,58715.91,7151.6
2018-04-03,0.1264,0.1429,0.1208,0.1316,73861.94,9336.15
2018-04-04,0.1078,0.1166,0.1078,0.1151,16854.45,1816.91
2018-04-05,0.1047,0.1114,0.1014,0.1085,10777.6,1128.41
2018-04-06,0.09848,0.1071,0.09299,0.1017,32447.41,3195.42
2018-04-07,0.09755,0.1024,0.09671,0.1024,16560.36,1615.46
2018-04-08,0.1046,0.1054,0.09573,0.1015,11949.48,1249.92
2018-04-09,0.09816,0.1041,0.09576,0.1041,16062.41,1576.69
2018-04-10,0.09801,0.1035,0.09144,0.1022,49416.58,4843.32
2018-04-11,0.09448,0.1054,0.09254,0.1015,42513.2,4016.65
2018-04-12,0.1102,0.1126,0.08496,0.1086,69757.56,7687.28
2018-04-13,0.09771,0.1104,0.09459,0.1104,101666.63,9933.85
2018-04-14,0.105,0.1104,0.09925,0.09925,32323.78,3394
2018-04-15,0.109,0.1148,0.1046,0.1116,59106.45,6442.6
2018-04-16,0.1066,0.11,0.1016,0.1044,43368.75,4623.11
2018-04-17,0.1118,0.1247,0.101,0.1048,40548.94,4533.37
2018-04-18,0.1099,0.1209,0.1077,0.1168,32442.72,3565.45
2018-04-19,0.1285,0.1285,0.1174,0.1186,31309.93,4023.33
2018-04-20,0.1795,0.1885,0.1284,0.1398,111995.95,20103.27
2018-04-21,0.1698,0.2045,0.1567,0.176,171753.52,29163.75
2018-04-22,0.1667,0.1868,0.1667,0.1743,73194.99,12201.6
2018-04-23,0.1739,0.1825,0.1601,0.1728,46467.1,8080.63
2018-04-24,0.2107,0.242,0.1865,0.1899,137950.83,29066.24
2018-04-25,0.173,0.2063,0.1588,0.1851,79083.76,13681.49
2018-04-26,0.1819,0.1922,0.153,0.1853,76985.99,14003.75
2018-04-27,0.1686,0.1842,0.1576,0.1769,121225.1,20438.55
2018-04-28,0.1838,0.1882,0.1709,0.179,78198.52,14372.89
2018-04-29,0.1843,0.1929,0.1837,0.1855,66440.53,12244.99
2018-04-30,0.1728,0.1831,0.1711,0.1792,61376.88,10605.92
