time,close,high,low,open,volumefrom,volumeto
2018-06-26,0.01332,0.01499,0.01332,0.01499,31947.0,425.53
2018-06-27,0.01414,0.01502,0.01369,0.01369,24171.48,341.78
2018-06-28,0.0143,0.0143,0.01304,0.01346,29250.0,418.28
2018-06-29,0.01306,0.0148,0.01306,0.0148,197000.0,2572.82
2018-06-30,0.01406,0.01496,0.0136,0.0136,104100.0,1463.65
2018-07-01,0.01401,0.01491,0.01401,0.01401,260130.0,3644.42
2018-07-02,0.01477,0.01573,0.01477,0.01477,82150.0,1213.36
2018-07-03,0.01432,0.01478,0.01386,0.01432,215740.0,3089.4
2018-07-04,0.01402,0.01448,0.01402,0.01448,57480.0,805.87
2018-07-05,0.01403,0.01403,0.01403,0.01403,284150.0,3986.62
2018-07-06,0.01363,0.01457,0.01363,0.0141,51141.0,697.05
2018-07-07,0.01409,0.01457,0.01409,0.01457,13049.19,183.86
2018-07-08,0.01264,0.01459,0.01264,0.0141,369694.02,4672.93
2018-07-09,0.01367,0.01367,0.01226,0.01226,119390.0,1632.06
2018-07-10,0.01255,0.01341,0.01125,0.01255,256876.93,3223.81
2018-07-11,0.01203,0.01292,0.01159,0.01292,1138045.34,13690.69
2018-07-12,0.01077,0.01293,0.01077,0.01163,730156.06,7863.78
2018-07-13,0.01168,0.01297,0.01081,0.01081,627723.09,7331.81
2018-07-14,0.01128,0.01171,0.01128,0.01171,241536.81,2724.54
2018-07-15,0.01169,0.01169,0.01169,0.01169,122021.06,1426.43
2018-07-16,0.01245,0.01532,0.01245,0.01245,896218.5,11157.92
2018-07-17,0.01347,0.01397,0.01248,0.01298,55398.92,746.22
2018-07-18,0.01245,0.01341,0.01198,0.01293,180518.24,2247.45
2018-07-19,0.01218,0.01359,0.01172,0.01218,153272.24,1866.86
2018-07-20,0.01212,0.01257,0.008977,0.01167,1489550.0,18053.35
2018-07-21,0.01199,0.01245,0.01199,0.01245,95180.0,1141.21
2018-07-22,0.01144,0.0119,0.01053,0.0119,77328.93,884.64
2018-07-23,0.01079,0.01214,0.01079,0.01124,663722.81,7161.57
2018-07-24,0.01199,0.01343,0.01103,0.01151,4577734.88,54887.04
2018-07-25,0.01272,0.01414,0.01178,0.01178,980025.44,12465.92
2018-07-26,0.01109,0.01294,0.01109,0.01247,546678.66,6062.67
2018-07-27,0.01174,0.01362,0.0108,0.01127,1314119.12,15427.76
2018-07-28,0.01078,0.01171,0.01078,0.01171,29537.96,318.42
2018-07-29,0.01119,0.01212,0.01072,0.01072,170164.72,1904.14
2018-07-30,0.01187,0.0137,0.01096,0.01096,1555065.16,18458.62
2018-07-31,0.0108,0.01296,0.01037,0.01123,543570.0,5870.56
2018-08-01,0.01092,0.01134,0.0105,0.0105,101277.99,1105.96
2018-08-02,0.01027,0.01068,0.01027,0.01068,705768.93,7248.25
2018-08-03,0.009605,0.01044,0.009605,0.01044,1621877.96,15578.14
2018-08-04,0.009359,0.009766,0.009359,0.009359,108864.43,1018.86
2018-08-05,0.009403,0.009811,0.009403,0.009403,154186.35,1449.81
2018-08-06,0.009314,0.009314,0.009314,0.009314,1300561.54,12113.43
2018-08-07,0.009071,0.009071,0.008693,0.008693,618165.11,5607.38
2018-08-08,0.007823,0.008534,0.007823,0.008534,142068.06,1111.4
2018-08-09,0.007997,0.007997,0.007997,0.007997,243950.0,1950.87
2018-08-10,0.007626,0.007626,0.007295,0.007295,1774391.4,13531.51
2018-08-11,0.006996,0.008268,0.006996,0.007314,1186004.61,8297.29
2018-08-12,0.006364,0.007637,0.006364,0.007,592531.33,3770.87
2018-08-13,0.006249,0.006533,0.005681,0.005681,556957.27,3480.43
2018-08-14,0.005288,0.006123,0.005288,0.006123,2136185.19,11296.15
2018-08-15,0.005625,0.005906,0.005344,0.005344,976359.04,5492.02
2018-08-16,0.005736,0.006023,0.005736,0.005736,250231.96,1435.33
2018-08-17,0.006034,0.006351,0.006034,0.006351,206331.0,1245.0
2018-08-18,0.005897,0.005897,0.005602,0.005602,227878.67,1343.8
2018-08-19,0.005693,0.005992,0.005693,0.005992,169008.57,962.17
2018-08-20,0.005416,0.005416,0.005145,0.005145,963353.21,5217.52
2018-08-21,0.005341,0.005623,0.005341,0.005623,450690.84,2407.14
2018-08-22,0.005137,0.005407,0.005137,0.005137,602339.49,3094.22
2018-08-23,0.005241,0.005241,0.005241,0.005241,614002.69,3217.99
