time,close,high,low,open,volumefrom,volumeto
2015-03-12,0.001434,0.001434,0.001249,0.001358,154911.57,222.14
2015-03-13,0.0009047,0.001402,0.0008616,0.001402,453478.28,410.26
2015-03-14,0.000918,0.001064,0.000887,0.000887,506218.09,464.71
2015-03-15,0.0008262,0.001071,0.0007863,0.0009287,598136.9,494.18
2015-03-16,0.001028,0.001188,0.0008306,0.0008422,188911.1,194.2
2015-03-17,0.001404,0.001855,0.0009132,0.00101,475885.41,668.14
2015-03-18,0.001006,0.001259,0.0009392,0.001259,125363.34,126.12
2015-03-19,0.0008298,0.001088,0.0007176,0.001025,529822.84,439.65
2015-03-20,0.00106,0.001183,0.0008403,0.0008325,298611.6,316.53
2015-03-21,0.0009947,0.001143,0.0009895,0.001052,231148.78,229.92
2015-03-22,0.001096,0.001311,0.001023,0.001029,233414.13,255.82
2015-03-23,0.001229,0.001311,0.001072,0.001083,245072.23,301.19
2015-03-24,0.001091,0.001162,0.001031,0.001142,182048.52,198.61
2015-03-25,0.0009042,0.001089,0.0008672,0.001089,386826.33,349.77
2015-03-26,0.0008185,0.0009524,0.0007441,0.0009102,962292.64,787.64
2015-03-27,0.000796,0.0009048,0.0007639,0.0008158,158308.88,126.01
2015-03-28,0.001008,0.001074,0.0008039,0.0008115,272294.59,274.47
2015-03-29,0.00121,0.00121,0.0009635,0.0009683,168746.82,204.18
2015-03-30,0.001004,0.001308,0.0009773,0.001234,330569.96,331.89
2015-03-31,0.000962,0.00114,0.0009375,0.0009937,212097.89,204.04
2015-04-01,0.0009136,0.0009923,0.0009136,0.0009702,61825.45,56.48
2015-04-02,0.0009346,0.001023,0.0009346,0.0009371,209931.27,196.2
2015-04-03,0.0008398,0.001222,0.0008398,0.0009416,722085.93,606.41
2015-04-04,0.0009079,0.001004,0.0008472,0.0008345,58580.53,53.19
2015-04-05,0.0007789,0.001044,0.0007737,0.0009321,1125562.04,876.7
2015-04-06,0.0007624,0.0009051,0.0007445,0.0007649,597996.57,455.91
2015-04-07,0.000893,0.0009031,0.0007539,0.0007564,536475.04,479.07
2015-04-08,0.0007362,0.0008707,0.0007264,0.0008633,1113532.51,819.78
2015-04-09,0.0007178,0.0007592,0.0006935,0.0007324,197704.7,141.91
2015-04-10,0.0009108,0.001052,0.0006854,0.0006925,7763213.94,7070.74
2015-04-11,0.0008182,0.0009081,0.0007165,0.0009175,803486.57,657.41
2015-04-12,0.0008302,0.0008844,0.0008066,0.000816,118546.21,98.42
2015-04-13,0.0007826,0.0008385,0.0006685,0.000787,756397.7,591.96
2015-04-14,0.0007869,0.000848,0.0006845,0.000763,313445.49,246.65
2015-04-15,0.0006645,0.0009365,0.0004482,0.0008049,5454739.14,3624.67
2015-04-16,0.0007546,0.0008481,0.0006155,0.0006794,8967372.76,6766.78
2015-04-17,0.000966,0.001017,0.0007034,0.0007368,1577956.38,1524.31
2015-04-18,0.000976,0.001561,0.0008979,0.0009693,2779649.54,2712.94
2015-04-19,0.0008586,0.001057,0.0008006,0.0009746,597757.48,513.23
2015-04-20,0.0008588,0.001025,0.0007243,0.0008633,1053171.66,904.46
2015-04-21,0.001049,0.001159,0.0008064,0.0008952,612895.24,642.93
2015-04-22,0.0008977,0.001052,0.0008673,0.00105,210668.29,189.12
2015-04-23,0.0009981,0.001043,0.0009181,0.0009039,17430.93,17.4
2015-04-24,0.001003,0.001387,0.0009105,0.0009798,80542.65,80.78
2015-04-25,0.000952,0.000986,0.000952,0.0009814,50166.74,47.76
2015-04-26,0.0008354,0.0009229,0.0008354,0.0009207,91195.52,76.18
2015-04-27,0.0007945,0.0008609,0.0007624,0.0008746,96981.82,77.05
2015-04-28,0.0008694,0.0008694,0.0007655,0.0007836,300486.63,261.24
2015-04-29,0.0008318,0.0009513,0.0007867,0.0008679,235986.71,196.29
2015-04-30,0.0008535,0.0009407,0.0008393,0.00087,130006.3,110.96
2015-05-01,0.0008932,0.0009258,0.0008232,0.0008442,126885.41,113.33
2015-05-02,0.0008072,0.0009649,0.0008072,0.0009014,450805.17,363.89
2015-05-03,0.001171,0.001236,0.0008232,0.0008232,1065755.04,1248.0
2015-05-04,0.001417,0.001424,0.001004,0.001166,1061179.81,1503.69
2015-05-05,0.001882,0.002054,0.001174,0.001398,2107859.08,3966.99
2015-05-06,0.00193,0.00193,0.001544,0.001836,1136493.88,2193.43
2015-05-07,0.001959,0.001999,0.001814,0.001995,365393.27,715.81
2015-05-08,0.002145,0.002177,0.001835,0.002008,511173.45,1096.47
2015-05-09,0.001984,0.002156,0.001955,0.002124,202818.04,402.39
2015-05-10,0.001757,0.002056,0.001529,0.001972,388013.79,681.74
2015-05-11,0.001688,0.001879,0.001475,0.00177,159515.92,269.26
2015-05-12,0.001739,0.002116,0.00158,0.001686,373261.19,649.1
2015-05-13,0.001494,0.001924,0.001494,0.001702,267076.03,399.01
2015-05-14,0.00149,0.00163,0.00144,0.001497,201672.41,300.49
