time,close,high,low,open,volumefrom,volumeto
2018-01-17,0.9734,1.01,0.5636,1.01,609.12,592.92
2018-01-18,0.4558,0.608,0.4548,0.6078,9960.48,4539.99
2018-01-19,0.506,0.5062,0.1141,0.3942,18646.86,9435.31
2018-01-20,0.4211,59826.0,0.4199,0.5591,29517.94,12430.0
2018-01-21,0.4721,0.577,0.3357,0.3777,70069.39,33079.76
2018-01-22,0.4498,0.5298,0.4398,0.4498,2039.18,917.22
2018-01-23,0.4803,0.5791,0.4627,0.5021,42696.06,20506.92
2018-01-24,0.5817,0.5838,0.4253,0.5838,18376.58,10689.66
2018-01-25,0.3967,0.5736,0.3765,0.5365,36395.61,14438.14
2018-01-26,0.513,0.5621,0.3689,0.3689,37246.57,19107.49
2018-01-27,0.4777,0.5758,0.3947,0.5426,62589.0,29898.77
2018-01-28,0.4356,0.601,0.3948,0.5304,54282.75,23645.57
2018-01-29,0.3922,0.4772,0.3517,0.4138,45725.1,17933.38
2018-01-30,0.3307,0.3566,0.3001,0.3566,28391.29,9389.0
2018-01-31,0.2935,0.351,0.07061,0.3466,102055.43,29953.27
2018-02-01,0.2751,0.3072,0.2199,0.271,40822.53,11230.28
2018-02-02,0.2018,0.2643,0.1987,0.246,47947.18,9675.74
2018-02-03,0.2687,0.5098,0.1848,0.2136,224082.6,60210.99
2018-02-04,0.2254,0.2727,0.1739,0.2291,28221.79,6361.19
2018-02-05,0.1394,0.1763,0.1332,0.1734,31019.46,4324.11
2018-02-06,0.2196,0.2266,0.1572,0.1735,37525.33,8240.56
2018-02-07,0.1804,0.2176,0.1768,0.2104,31158.04,5620.91
2018-02-08,0.1967,0.2196,0.1223,0.1953,54324.73,10685.67
2018-02-09,0.1756,0.2326,0.1756,0.2326,9065.57,1591.91
2018-02-10,0.177,0.2037,0.1616,0.1701,9730.31,1722.26
2018-02-11,0.2181,0.2758,0.1534,0.1688,7231.13,1577.11
2018-02-12,0.1954,0.2327,0.1659,0.2327,1273.89,248.92
2018-02-13,0.1766,0.1976,0.164,0.1899,6942.64,1226.07
2018-02-14,0.1879,0.2159,0.1879,0.1932,3156.29,593.07
2018-02-15,0.1772,0.3155,0.1772,0.1895,5000.51,886.09
2018-02-16,0.2247,0.2247,0.1219,0.1792,6275.9,1410.19
2018-02-17,0.1493,0.2336,0.117,0.2336,3576.12,533.91
2018-02-18,0.1473,0.185,0.113,0.14,9163.11,1349.73
2018-02-19,0.141,0.1735,0.114,0.1515,31291.91,4412.16
2018-02-20,0.1535,0.156,0.1328,0.1417,16254.07,2495.0
2018-02-21,0.1019,0.189,0.1019,0.1456,9944.87,1013.38
2018-02-22,0.177,0.177,0.09656,0.0976,28762.92,5091.04
2018-02-23,0.1496,0.188,0.1496,0.188,23.8,3.56
2018-02-24,0.09919,0.2167,0.09919,0.1459,27348.56,2712.7
2018-02-25,0.09999,0.1141,0.09999,0.09999,11595.93,1159.48
2018-02-26,0.106,0.1215,0.106,0.1215,1060.71,112.44
2018-02-27,0.1438,0.1438,0.1038,0.1065,4566.21,656.62
2018-02-28,0.1013,0.1564,0.1013,0.1207,18131.86,1836.76
2018-03-01,0.1045,0.1252,0.1035,0.1035,8537.07,892.12
2018-03-02,0.1225,0.1644,0.1028,0.1028,17048.8,2088.48
2018-03-03,0.1609,0.1955,0.1017,0.1225,19873.86,3197.7
2018-03-04,0.1539,0.1656,0.1148,0.1626,70133.79,10793.59
2018-03-05,0.1299,0.1571,0.1204,0.1571,28779.27,3738.43
2018-03-06,0.1212,0.1301,0.09772,0.1247,35184.0,4264.3
2018-03-07,0.1116,0.1233,0.08345,0.1116,16622.83,1855.11
2018-03-08,0.0977,0.1038,0.07827,0.1038,23390.79,2285.28
2018-03-09,0.08832,0.1016,0.08287,0.1016,48132.74,4251.08
2018-03-10,0.0844,0.09177,0.08263,0.0829,94895.81,8009.21
2018-03-11,0.08752,0.1029,0.08032,0.08911,17497.94,1531.42
2018-03-12,0.08343,0.09382,0.08176,0.08469,691.21,57.67
2018-03-13,0.09066,0.1015,0.077,0.08259,203147.15,18417.32
2018-03-14,0.08952,0.09075,0.07965,0.08057,18055.13,1616.3
2018-03-15,0.0812,0.1087,0.07144,0.08914,59550.66,4835.51
2018-03-16,0.09789,0.1069,0.06714,0.07987,33958.98,3324.24
2018-03-17,0.07862,0.1017,0.07862,0.08962,30042.79,2361.96
2018-03-18,0.07883,0.09942,0.06072,0.07685,27499.43,2167.78
2018-03-19,0.08505,0.1011,0.0815,0.0815,172.5,14.67
2018-03-20,0.09434,0.09797,0.06429,0.08536,12836.83,1211.03
2018-03-21,0.08511,0.09474,0.08231,0.09474,64164.68,5461.06
2018-03-22,0.08352,0.08465,0.05977,0.05977,5839.0,487.67
2018-03-23,0.08854,0.08962,0.07331,0.07793,13046.18,1155.11
2018-03-24,0.08687,0.08687,0.08031,0.08468,32905.46,2858.5
2018-03-25,0.08734,0.08734,0.08211,0.08734,2680.0,234.07
2018-03-26,0.06905,0.08787,0.01355,0.0812,647591.03,44716.16
