time,close,high,low,open,volumefrom,volumeto
2018-06-07,0.01209,0.01209,0.01209,0.01209,288,3.48
2018-06-08,0.01199,0.01199,0.01199,0.01199,0,0.0
2018-06-09,0.01187,0.01187,0.01187,0.01187,0,0.0
2018-06-10,0.01049,0.01049,0.01049,0.01049,0,0.0
2018-06-11,0.01062,0.01062,0.01062,0.01062,0,0.0
2018-06-12,0.009891,0.009891,0.009891,0.009891,0,0.0
2018-06-13,0.009526,0.009526,0.009526,0.009526,0,0.0
2018-06-14,0.0104,0.0104,0.0104,0.0104,0,0.0
2018-06-15,0.00975,0.00975,0.00975,0.00975,0,0.0
2018-06-16,0.009944,0.009944,0.009944,0.009944,252,2.51
2018-06-17,0.009935,0.009935,0.009935,0.009935,0,0.0
2018-06-18,0.01035,0.01035,0.01035,0.01035,0,0.0
2018-06-19,0.01077,0.01077,0.01077,0.01077,0,0.0
2018-06-20,0.01072,0.01072,0.01072,0.01072,0,0.0
2018-06-21,0.01052,0.01052,0.01052,0.01052,0,0.0
2018-06-22,0.009243,0.009243,0.009243,0.009243,0,0.0
2018-06-23,0.009484,0.009484,0.009484,0.009484,0,0.0
2018-06-24,0.009105,0.009105,0.009105,0.009105,0,0.0
2018-06-25,0.009176,0.009176,0.009176,0.009176,0,0.0
2018-06-26,0.008592,0.008592,0.008592,0.008592,0,0.0
2018-06-27,0.008835,0.008835,0.008835,0.008835,0,0.0
2018-06-28,0.008414,0.008414,0.008414,0.008414,0,0.0
2018-06-29,0.008705,0.008705,0.008705,0.008705,0,0.0
2018-06-30,0.009068,0.009068,0.009068,0.009068,0,0.0
2018-07-01,0.009039,0.009039,0.009039,0.009039,0,0.0
2018-07-02,0.009532,0.009532,0.009532,0.009532,0,0.0
2018-07-03,0.009239,0.009239,0.009239,0.009239,0,0.0
2018-07-04,0.009344,0.009344,0.009344,0.009344,0,0.0
2018-07-05,0.009351,0.009351,0.009351,0.009351,0,0.0
2018-07-06,0.009399,0.009399,0.009399,0.009399,0,0.0
2018-07-07,0.009716,0.009716,0.009716,0.009716,0,0.0
2018-07-08,0.009724,0.009724,0.009724,0.009724,0,0.0
2018-07-09,0.00943,0.00943,0.00943,0.00943,0,0.0
2018-07-10,0.008654,0.008654,0.008654,0.008654,0,0.0
2018-07-11,0.008912,0.008912,0.008912,0.008912,0,0.0
2018-07-12,0.008618,0.008618,0.008618,0.008618,0,0.0
2018-07-13,0.00874,0.00874,0.008364,0.008649,108000,943.92
2018-07-14,0.008844,0.008844,0.00861,0.008766,334000,2953.9
2018-07-15,0.008822,0.009222,0.008687,0.009168,360000,3175.92
2018-07-16,0.009197,0.009695,0.009197,0.009393,211000,1940.57
2018-07-17,0.01011,0.01011,0.009562,0.009587,372000,3760.92
2018-07-18,0.009566,0.009715,0.009025,0.0097,456000,4362.1
2018-07-19,0.00986,0.00986,0.009359,0.009359,468000,4614.48
2018-07-20,0.009883,0.009883,0.009269,0.009444,490000,4842.67
2018-07-21,0.01017,0.01018,0.009774,0.01015,287000,2918.79
2018-07-22,0.01046,0.01046,0.009711,0.0101,657000,6872.22
2018-07-23,0.01048,0.01076,0.01018,0.01027,418000,4380.64
2018-07-24,0.01081,0.01126,0.01058,0.01115,346000,3740.26
2018-07-25,0.01069,0.01096,0.01042,0.01062,701000,7493.69
2018-07-26,0.009601,0.01093,0.009449,0.01048,1217000,11684.42
2018-07-27,0.009863,0.009873,0.009596,0.00976,730000,7199.99
2018-07-28,0.01003,0.01017,0.00984,0.00984,674000,6760.22
2018-07-29,0.01008,0.01009,0.009734,0.009977,312000,3144.96
2018-07-30,0.01027,0.01154,0.009355,0.009875,1211000,12436.97
2018-07-31,0.009357,0.01004,0.008951,0.00972,1173000,10975.76
2018-08-01,0.008536,0.009094,0.008456,0.009094,282000,2407.15
2018-08-02,0.00873,0.00887,0.008032,0.008352,434000,3788.82
2018-08-03,0.007659,0.008874,0.006682,0.008874,1249000,9566.09
2018-08-04,0.006303,0.007463,0.006303,0.007463,1024000,6454.27
2018-08-05,0.006766,0.006766,0.006328,0.006332,47000,318.0
