time,close,high,low,open,volumefrom,volumeto
2018-04-23,3.77,4.28,3.45,4.28,661.81,2495.02
2018-04-24,4.83,6.13,4.06,4.06,16119.2,77855.74
2018-04-25,4.44,5.32,4.26,4.44,8563.35,38021.27
2018-04-26,4.46,5.48,4.46,4.64,638.12,2846.02
2018-04-27,4.27,4.65,4.27,4.29,70.43,300.74
2018-04-28,5.21,5.32,4.21,4.47,6086.18,31709.0
2018-04-29,4.23,5.24,4.23,5.24,367.42,1554.19
2018-04-30,5.09,5.92,4.16,4.16,21581.03,109847.44
2018-05-01,4.69,5.17,4.54,4.99,12838.62,60213.13
2018-05-02,4.8,5.34,4.77,4.77,10788.4,51784.32
2018-05-03,6.09,6.33,5.07,5.07,22517.53,137131.76
2018-05-04,5.53,6.06,5.51,6.06,19156.55,105935.72
2018-05-05,7.43,7.53,5.61,5.61,58549.92,435025.91
2018-05-06,7.67,8.01,7.24,7.28,60654.73,465221.78
2018-05-07,11.07,12.19,7.29,7.46,115177.49,1275014.81
2018-05-08,16.34,18.39,10.76,10.85,136482.34,2230121.44
2018-05-09,14.91,17.62,11.19,16.56,85816.84,1279529.08
2018-05-10,15.15,15.9,13.56,14.45,63935.11,968616.92
2018-05-11,15.16,15.66,12.84,14.12,69223.92,1049434.63
2018-05-12,16.97,17.57,15.28,15.28,28191.07,478402.46
2018-05-13,26.17,31.35,17.42,17.42,83249.8,2178647.27
2018-05-14,32.94,35.39,26.02,26.06,108445.74,3572202.68
2018-05-15,26.29,32.21,23.74,32.21,60990.71,1603445.77
2018-05-16,22.53,28.74,18.44,25.87,67336.44,1517089.99
2018-05-17,24.21,25.97,21.71,21.79,46763.75,1132150.39
2018-05-18,25.65,27.63,22.45,24.74,83465.19,2140882.12
2018-05-19,20.46,25.66,20.06,25.66,18810.62,384865.29
2018-05-20,21.63,25.51,15.7,21.16,54086.33,1169887.32
2018-05-21,21.05,23.58,15.16,21.34,21823.82,459391.41
2018-05-22,16.78,19.98,16.78,19.98,15837.07,265746.03
2018-05-23,12.61,17.56,12.01,15.76,54953.57,692964.52
2018-05-24,19.72,19.72,12.74,12.74,64532.21,1272575.18
2018-05-25,18.12,20.11,16.45,19.44,13482.99,244311.78
2018-05-26,14.31,18.39,11.77,17.83,20278.35,290183.19
2018-05-27,16.2,18.7,12.27,14.32,42191.01,683494.36
2018-05-28,14.1,15.8,12.81,15.66,22752.89,320815.75
2018-05-29,14.58,15.1,13.92,14.8,22981.11,335064.58
2018-05-30,14.79,15.89,13.31,14.42,28239.52,417662.5
2018-05-31,14.63,16.04,13.95,15.0,40086.18,586460.81
2018-06-01,15.23,15.62,13.71,14.68,40745.28,620550.61
2018-06-02,14.04,15.45,14.03,15.45,29693.32,416894.21
2018-06-03,14.51,15.01,14.13,14.18,28258.5,410030.84
2018-06-04,13.88,14.53,13.51,14.11,46717.61,648440.43
2018-06-05,14.6,14.65,13.82,14.11,21241.3,310122.98
2018-06-06,14.31,14.66,13.94,14.66,32509.0,465203.79
2018-06-07,14.4,14.8,14.21,14.38,55534.1,799691.04
2018-06-08,18.69,18.96,14.25,14.26,69198.14,1293313.24
2018-06-09,15.52,18.41,15.4,18.41,20592.18,319590.63
2018-06-10,13.43,14.56,13.41,13.99,16951.37,227656.9
2018-06-11,14.46,15.7,13.64,13.65,30790.08,445224.56
2018-06-12,13.57,14.43,13.11,13.77,63816.92,865995.6
2018-06-13,13.49,13.5,12.51,13.06,33218.46,448117.03
2018-06-14,13.95,15.87,13.55,14.2,75397.94,1051801.26
2018-06-15,13.25,13.75,13.18,13.43,144753.2,1917979.9
2018-06-16,13.53,14.14,12.88,13.47,86340.96,1168193.19
2018-06-17,12.85,13.69,12.85,13.43,12077.45,155195.23
2018-06-18,13.11,13.97,12.76,13.36,92421.03,1211639.7
2018-06-19,12.54,13.41,11.39,13.16,85652.19,1074078.46
2018-06-20,12.17,13.52,11.9,12.58,16561.87,201557.96
2018-06-21,11.89,12.63,11.51,12.1,53421.59,635182.71
2018-06-22,10.52,11.32,10.05,10.71,20605.63,216771.23
2018-06-23,12.27,13.13,10.18,10.72,621649.24,7627636.17
2018-06-24,12.07,13.05,11.82,12.25,496172.13,5988797.61
2018-06-25,12.02,12.87,11.58,12.27,616979.44,7416092.87
2018-06-26,11.28,11.78,11.17,11.69,677187.61,7638676.24
