time,close,high,low,open,volumefrom,volumeto
2017-05-10,0.1577,14.02,0.08411,0.4381,44751.27,7057.28
2017-05-11,0.1637,0.1656,0.1582,0.1637,39686.53,6496.68
2017-05-12,0.1517,0.1517,0.1517,0.1517,0.0,0.0
2017-05-13,0.1579,0.1622,0.1571,0.1587,18771.12,2963.96
2017-05-14,0.1344,0.1587,0.0888,0.1587,45243.94,6080.79
2017-05-15,0.1245,0.1296,0.09696,0.1296,55698.71,6934.49
2017-05-16,0.127,0.1297,0.09857,0.126,29554.38,3753.41
2017-05-17,0.1296,0.1439,0.105,0.1323,30254.57,3920.99
2017-05-18,0.1347,0.1411,0.1065,0.1354,35219.69,4744.09
2017-05-19,0.1406,0.1406,0.1405,0.1405,12890.08,1812.35
2017-05-20,0.1432,0.157,0.1184,0.1462,6601.72,945.37
2017-05-21,0.1408,0.1435,0.1248,0.1435,29524.41,4157.04
2017-05-22,0.1317,0.1464,0.1317,0.1464,36909.1,4860.93
2017-05-23,0.3332,0.3479,0.1286,0.1409,39235.95,13073.42
2017-05-24,0.2934,0.3587,0.1956,0.3585,38742.32,11367.0
2017-05-25,0.2306,0.3182,0.1615,0.2769,36121.56,8329.63
2017-05-26,0.2244,0.2245,0.2243,0.2243,11446.0,2568.48
2017-05-27,0.201,0.2031,0.1437,0.2031,25889.85,5203.86
2017-05-28,0.3491,0.6786,0.1763,0.2143,24502.56,8553.84
2017-05-29,0.262,0.3634,0.2301,0.3634,10673.0,2796.33
2017-05-30,0.3243,0.3243,0.221,0.2521,21140.85,6855.98
2017-05-31,0.2985,0.3407,0.1658,0.3222,20328.55,6068.07
2017-06-01,0.3366,0.3366,0.289,0.3127,21752.0,7321.72
2017-06-02,0.347,0.3477,0.2991,0.3477,11579.77,4018.18
2017-06-03,0.3009,0.3543,0.1782,0.3543,2241.49,674.46
2017-06-04,0.2729,0.3001,0.2018,0.2983,23741.4,6479.03
2017-06-05,0.3492,0.3498,0.2924,0.2975,18370.84,6415.1
2017-06-06,0.3169,0.3709,0.3169,0.3706,3004.1,952.0
2017-06-07,0.3138,0.3138,0.2971,0.2971,683.44,214.46
2017-06-08,0.2643,0.3263,0.2643,0.3263,97.33,25.72
2017-06-09,0.3149,0.3149,0.2655,0.2655,66.0,20.78
2017-06-10,0.2634,0.3248,0.0319,0.3248,83163.48,21905.26
2017-06-11,0.1768,0.2702,0.1487,0.2701,37935.75,6707.04
2017-06-12,0.1854,0.2015,0.157,0.1579,43727.0,8106.99
2017-06-13,0.1433,0.1894,0.1359,0.1893,33306.08,4772.76
2017-06-14,0.195,0.2242,0.1267,0.1303,23001.99,4485.39
2017-06-15,0.195,0.1966,0.1923,0.193,40373.0,7872.74
2017-06-16,0.2379,0.2455,0.1708,0.2003,21051.46,5008.14
2017-06-17,0.2297,0.2518,0.2244,0.2518,27439.0,6302.74
2017-06-18,0.2155,0.2197,0.2078,0.2197,25224.27,5435.83
2017-06-19,0.2185,0.2221,0.2175,0.2221,36367.0,7946.19
2017-06-20,0.2298,0.2299,0.2217,0.2299,41216.03,9471.44
2017-06-21,0.2234,0.2234,0.2168,0.2234,20967.0,4684.03
2017-06-22,0.2616,0.2715,0.2232,0.2711,27899.97,7298.63
2017-06-23,0.6505,0.6505,0.2514,0.2604,29266.41,19037.8
2017-06-24,0.387,0.6216,0.2797,0.6216,53822.97,20829.49
2017-06-25,0.3998,0.4003,0.3174,0.3797,38585.83,15426.61
2017-06-26,0.3755,0.385,0.2933,0.3848,31395.09,11788.86
2017-06-27,0.3943,0.3966,0.3873,0.3966,16964.92,6689.27
2017-06-28,0.5125,0.513,0.3934,0.3934,28114.62,14408.74
2017-06-29,0.3582,0.5086,0.2927,0.5086,27621.85,9894.15
2017-06-30,0.322,0.3473,0.322,0.3473,61816.87,19905.03
2017-07-01,0.3457,0.3637,0.3147,0.3147,63587.75,21982.29
2017-07-02,0.5048,0.5048,0.3287,0.3617,36375.37,18362.29
2017-07-03,0.3391,0.5119,0.3391,0.5119,39094.85,13257.06
2017-07-04,0.3628,0.3706,0.3337,0.345,30534.78,11078.02
2017-07-05,0.263,0.3642,0.2496,0.3642,37168.04,9775.19
2017-07-06,0.2429,0.3153,0.178,0.2617,33996.38,8257.72
2017-07-07,0.2258,0.2337,0.2258,0.2336,23427.5,5289.93
2017-07-08,0.1968,0.2304,0.1795,0.2304,22673.48,4462.14
2017-07-09,0.1908,0.1983,0.1583,0.1927,40279.81,7685.39
2017-07-10,0.1709,0.1782,0.1523,0.1781,54029.67,9233.67
2017-07-11,0.1706,0.1754,0.1465,0.1695,39563.8,6749.58
2017-07-12,0.1797,0.1823,0.1559,0.1764,36025.5,6473.78
2017-07-13,0.1785,0.1795,0.1767,0.1767,28574.36,5100.52
2017-07-14,0.1682,0.1689,0.1567,0.1688,2160.0,363.31
2017-07-15,0.1415,0.1502,0.1386,0.1487,1454.29,205.78
2017-07-16,0.134,0.1455,0.134,0.1371,733.66,98.31
2017-07-17,0.1567,0.1568,0.1541,0.1563,1359.27,213.0
2017-07-18,0.1803,0.1803,0.1628,0.1628,4518.79,814.74
2017-07-19,0.1774,0.1774,0.1553,0.1774,24363.43,4322.07
2017-07-20,0.2199,0.2227,0.1998,0.2227,20720.3,4556.39
2017-07-21,0.2052,0.2052,0.193,0.2052,17873.0,3667.54
2017-07-22,0.2175,0.2176,0.2175,0.2175,14530.0,3160.28
2017-07-23,0.1984,0.2115,0.1984,0.2114,15603.83,3095.8
2017-07-24,0.2098,0.2098,0.1904,0.1989,9578.83,2009.64
2017-07-25,0.1961,0.1961,0.1775,0.1961,7336.51,1438.69
2017-07-26,0.1942,0.1943,0.1784,0.1943,8539.01,1658.28
2017-07-27,0.1889,0.2065,0.1888,0.2043,865.14,163.42
2017-07-28,0.1909,0.1969,0.1909,0.1969,340.45,64.99
2017-07-29,0.1859,0.1859,0.1859,0.1859,548.94,102.05
2017-07-30,0.1468,0.1881,0.1468,0.1881,1150.32,168.87
2017-07-31,0.1213,0.1726,0.1213,0.153,896.87,108.79
2017-08-01,0.1117,0.1156,0.1117,0.1156,6.85,0.7651
2017-08-02,0.1565,0.1565,0.1107,0.1107,255.86,40.04
2017-08-03,0.1619,0.1619,0.1405,0.1617,94.22,15.25
2017-08-04,0.1736,0.2178,0.1353,0.1658,2130.33,369.83
2017-08-05,0.2019,0.2447,0.1967,0.1968,193.95,39.16
2017-08-06,0.1972,0.2366,0.1971,0.2,727.26,143.42
2017-08-07,0.1201,0.2075,0.1201,0.2075,690.0,82.87
2017-08-08,0.1953,0.2099,0.121,0.121,1140.59,222.76
2017-08-09,0.2015,0.2275,0.1907,0.1907,438.13,88.28
2017-08-10,0.1591,0.2052,0.1591,0.2052,1031.75,164.15
2017-08-11,0.1697,0.1697,0.1697,0.1697,0.0,0.0
2017-08-12,0.1798,0.1798,0.1798,0.1798,0.0,0.0
2017-08-13,0.203,0.2427,0.1887,0.1887,570.34,115.78
2017-08-14,0.2161,0.2163,0.1443,0.2163,3522.54,761.22
2017-08-15,0.2077,0.2078,0.2077,0.2078,3.0,0.6231
2017-08-16,0.1742,0.219,0.132,0.219,1236.33,215.37
2017-08-17,0.1502,0.2075,0.15,0.1699,430.52,64.66
2017-08-18,0.2019,0.2019,0.1441,0.1441,116.3,23.48
2017-08-19,0.1341,0.2041,0.1341,0.2041,131.44,17.63
2017-08-20,0.1586,0.1647,0.1094,0.1314,12526.87,1986.76
2017-08-21,0.1331,0.1562,0.1331,0.1562,1064.53,141.69
2017-08-22,0.1104,0.1359,0.1104,0.1359,926.43,102.28
2017-08-23,0.1118,0.1239,0.1118,0.1118,924.39,103.35
2017-08-24,0.1084,0.1131,0.1084,0.1131,67.36,7.3
2017-08-25,0.1091,0.1265,0.1091,0.1096,515.76,56.27
2017-08-26,0.1088,0.1088,0.1088,0.1088,0.0,0.0
2017-08-27,0.1086,0.1086,0.1086,0.1086,0.0,0.0
2017-08-28,0.1271,0.1271,0.1098,0.1098,1002.94,127.47
2017-08-29,0.1331,0.1331,0.1331,0.1331,2549.05,339.28
2017-08-30,0.1327,0.1327,0.1327,0.1327,1089.0,144.51
2017-08-31,0.1371,0.1371,0.1371,0.1371,0.0,0.0
2017-09-01,0.1121,0.1446,0.1054,0.1425,4258.68,477.4
2017-09-02,0.09596,0.1052,0.09596,0.1042,1125.0,107.96
2017-09-03,0.08036,0.09678,0.07842,0.09678,1298.6,104.36
2017-09-04,0.08484,0.08484,0.07434,0.07434,708.22,60.09
2017-09-05,0.08792,0.08801,0.08792,0.08801,600.0,52.75
2017-09-06,0.09182,0.0921,0.09182,0.0921,453.0,41.59
2017-09-07,0.08075,0.08075,0.08075,0.08075,104.0,8.4
2017-09-08,0.08194,0.08194,0.07537,0.07537,61.06,5.0
2017-09-09,0.08211,0.08211,0.08211,0.08211,0.0,0.0
2017-09-10,0.08042,0.08042,0.08042,0.08042,0.0,0.0
2017-09-11,0.07352,0.08174,0.07352,0.08174,22.18,1.63
2017-09-12,0.0739,0.0739,0.07249,0.07249,10.0,0.739
2017-09-13,0.06878,0.06878,0.06878,0.06878,0.0,0.0
2017-09-14,0.05763,0.05763,0.05763,0.05763,0.0,0.0
2017-09-15,0.06599,0.06599,0.06599,0.06599,0.0,0.0
2017-09-16,0.06444,0.06444,0.06444,0.06444,1009.55,65.06
2017-09-17,0.06427,0.06427,0.06427,0.06427,0.0,0.0
2017-09-18,0.07143,0.07143,0.07143,0.07143,0.0,0.0
2017-09-19,0.08504,0.08504,0.06808,0.06808,86.46,7.35
2017-09-20,0.06782,0.08448,0.06782,0.08448,19.0,1.29
2017-09-21,0.06319,0.06319,0.06319,0.06319,0.0,0.0
2017-09-22,0.06291,0.06291,0.06291,0.06291,0.0,0.0
2017-09-23,0.04637,0.06618,0.03799,0.06618,1527.83,70.85
2017-09-24,0.04489,0.04489,0.04489,0.04489,0.0,0.0
2017-09-25,0.03736,0.04814,0.03422,0.04814,195.39,7.3
2017-09-26,0.03885,0.03885,0.03519,0.03698,206.75,8.03
2017-09-27,0.03665,0.04204,0.03665,0.04204,214.29,7.85
2017-09-28,0.03382,0.0365,0.02798,0.0365,4240.64,143.42
2017-09-29,0.03363,0.03363,0.03363,0.03363,0.0,0.0
2017-09-30,0.02285,0.03515,0.02285,0.03515,166.99,3.82
2017-10-01,0.02633,0.02633,0.02307,0.02307,80.74,2.13
2017-10-02,0.03156,0.03156,0.02632,0.02632,368.51,11.63
2017-10-03,0.0261,0.03093,0.0261,0.03093,613.03,16.0
2017-10-04,0.02582,0.02658,0.02552,0.02552,4402.22,113.67
2017-10-05,0.02602,0.02645,0.02602,0.02645,997.57,25.96
2017-10-06,0.02741,0.02741,0.02623,0.02632,89.38,2.45
2017-10-07,0.02781,0.02781,0.02781,0.02781,0.0,0.0
2017-10-08,0.02892,0.02892,0.02892,0.02892,0.0,0.0
2017-10-09,0.05112,0.05112,0.02866,0.02866,7080.25,361.94
2017-10-10,0.01905,0.05097,0.01115,0.05097,6467.31,123.2
2017-10-11,0.02895,0.04342,0.01496,0.0193,21964.15,635.86
2017-10-12,0.0326,0.0326,0.0326,0.0326,0.0,0.0
2017-10-13,0.02204,0.02204,0.02204,0.02204,221.01,4.87
2017-10-14,0.02277,0.02277,0.02277,0.02277,0.0,0.0
2017-10-15,0.02224,0.02224,0.02224,0.02224,221.01,4.92
2017-10-16,0.01261,0.01394,0.01261,0.01394,165.43,2.09
2017-10-17,0.01187,0.01187,0.01187,0.01187,69.58,0.8259
2017-10-18,0.01227,0.01227,0.01171,0.01171,95.43,1.17
2017-10-19,0.01254,0.01254,0.01254,0.01254,226.86,2.84
2017-10-20,0.01318,0.01318,0.01318,0.01318,0.0,0.0
2017-10-21,0.01321,0.01321,0.01321,0.01321,0.0,0.0
2017-10-22,0.01316,0.01316,0.01316,0.01316,0.0,0.0
2017-10-23,0.02291,0.02361,0.01063,0.015,3538.74,81.07
2017-10-24,0.02178,0.02178,0.02145,0.02145,250.0,5.45
2017-10-25,0.0156,0.02265,0.0156,0.02265,171.53,2.68
2017-10-26,0.01601,0.01601,0.01601,0.01601,55.77,0.8929
2017-10-27,0.02064,0.02064,0.01568,0.01568,2019.17,41.68
2017-10-28,0.0205,0.02062,0.0205,0.0205,407.61,8.36
2017-10-29,0.02201,0.02201,0.02201,0.02201,0.0,0.0
2017-10-30,0.02143,0.02205,0.02143,0.02205,153.56,3.29
2017-10-31,0.01232,0.02258,0.01232,0.02258,514.83,6.34
2017-11-01,0.01536,0.01536,0.01536,0.01536,45.0,0.6912
2017-11-02,0.01602,0.01602,0.01602,0.01602,0.0,0.0
2017-11-03,0.01631,0.01631,0.01631,0.01631,0.0,0.0
2017-11-04,0.01679,0.01679,0.01679,0.01679,0.0,0.0
2017-11-05,0.01685,0.01685,0.01685,0.01685,0.0,0.0
2017-11-06,0.0135,0.01587,0.01141,0.01587,25543.34,344.84
2017-11-07,0.01761,0.01761,0.01378,0.01378,44.28,0.7798
2017-11-08,0.01846,0.01846,0.01846,0.01846,0.0,0.0
2017-11-09,0.01768,0.01768,0.01768,0.01768,0.0,0.0
2017-11-10,0.01011,0.01628,0.01011,0.01628,790.97,8.0
2017-11-11,0.009763,0.009763,0.009763,0.009763,0.0,0.0
2017-11-12,0.009052,0.009052,0.009052,0.009052,0.0,0.0
2017-11-13,0.01004,0.01004,0.01004,0.01004,0.0,0.0
2017-11-14,0.01016,0.01016,0.01016,0.01016,0.0,0.0
2017-11-15,0.01122,0.01122,0.01122,0.01122,0.0,0.0
2017-11-16,0.03927,0.1008,0.01209,0.01209,87385.06,3431.61
2017-11-17,0.04628,0.06845,0.0462,0.05305,21308.76,986.17
2017-11-18,0.03898,0.04925,0.0326,0.04918,12539.03,488.77
2017-11-19,0.02936,0.04029,0.02815,0.04029,9660.25,283.62
2017-11-20,0.02309,0.02638,0.02309,0.02638,5859.3,135.29
2017-11-21,0.01831,0.0243,0.01822,0.02268,7464.47,136.67
2017-11-22,0.03121,0.03516,0.02577,0.02964,15738.73,491.21
2017-11-23,0.03037,0.03438,0.03037,0.03037,15555.57,472.42
2017-11-24,0.0319,0.03198,0.02632,0.03108,1485.78,47.4
2017-11-25,0.02889,0.03458,0.02889,0.03406,6210.3,179.42
2017-11-26,0.03056,0.03131,0.03056,0.03075,12932.97,395.23
2017-11-27,0.03017,0.03329,0.03017,0.03192,16130.77,486.67
2017-11-28,0.02675,0.0311,0.02496,0.03071,7133.39,190.82
2017-11-29,0.02814,0.0301,0.0245,0.02656,1791.49,50.41
2017-11-30,0.0195,0.02994,0.0195,0.02845,3096.0,60.37
2017-12-01,0.02009,0.02531,0.02009,0.02531,25525.95,512.82
2017-12-02,0.0215,0.02172,0.01942,0.02019,16458.32,353.85
2017-12-03,0.02024,0.02238,0.01777,0.02216,11139.93,225.47
2017-12-04,0.02104,0.02116,0.01999,0.02116,726.54,15.29
2017-12-05,0.0189,0.02485,0.0189,0.02112,2883.65,54.5
2017-12-06,0.02172,0.02571,0.02172,0.02227,4871.57,105.81
2017-12-07,0.0305,0.03134,0.02662,0.02662,1916.32,58.45
2017-12-08,0.03049,0.03049,0.02536,0.02536,10485.63,319.71
2017-12-09,0.02063,0.0282,0.01944,0.0282,1583.47,32.67
2017-12-10,0.02289,0.02425,0.02093,0.02093,446.0,10.21
2017-12-11,0.02209,0.02225,0.02209,0.02225,669.86,14.8
2017-12-12,0.0234,0.0234,0.02084,0.02084,6231.72,145.82
2017-12-13,0.02199,0.0228,0.01824,0.02248,1361.99,29.95
2017-12-14,0.01103,0.02223,0.008893,0.02223,41048.96,452.77
2017-12-15,0.0176,0.01954,0.0118,0.0118,8536.33,150.24
2017-12-16,0.02418,0.02418,0.01935,0.0207,40863.75,988.09
2017-12-17,0.01983,0.02383,0.01945,0.02383,2491.7,49.41
2017-12-18,0.01973,0.02144,0.01973,0.01973,4142.98,81.74
2017-12-19,0.02085,0.03014,0.01822,0.01822,13470.29,280.86
2017-12-20,0.01943,0.02766,0.0191,0.01959,6021.38,117.0
2017-12-21,0.08285,0.08285,0.01845,0.01845,113211.87,9379.6
2017-12-22,0.04168,0.07379,0.04168,0.0716,47550.96,1981.92
2017-12-23,0.04679,0.04967,0.04031,0.04391,19050.04,891.35
2017-12-24,0.04633,0.04799,0.04289,0.04482,383.23,17.76
2017-12-25,0.04482,0.04883,0.04164,0.04648,2007.95,90.0
2017-12-26,0.08556,0.08666,0.05058,0.05105,97185.26,8315.17
2017-12-27,0.074,0.08787,0.07015,0.08787,4939.82,365.55
2017-12-28,0.05875,0.06911,0.05875,0.06911,223.52,13.13
2017-12-29,0.06952,0.06952,0.05872,0.05872,98.26,6.83
2017-12-30,0.0396,0.06053,0.0396,0.06053,6223.17,246.44
2017-12-31,0.04335,0.04778,0.04335,0.04377,1730.72,75.03
2018-01-01,0.04437,0.04612,0.04437,0.04612,267.7,11.88
2018-01-02,0.04913,0.05311,0.04913,0.05297,3562.49,175.03
2018-01-03,0.04759,0.05305,0.04259,0.0432,17995.18,856.39
2018-01-04,0.05192,0.05192,0.04767,0.04767,3371.89,175.07
2018-01-05,0.1022,0.1022,0.09732,0.1012,4868.95,497.61
2018-01-06,0.1035,0.1035,0.1035,0.1035,0.0,0.0
2018-01-07,0.07514,0.09786,0.07514,0.09786,370.7,27.85
