time,close,high,low,open,volumefrom,volumeto
2018-07-18,0.01065,0.01066,0.01054,0.01065,1009275.11,10748.78
2018-07-19,0.01031,0.01042,0.007592,0.01042,3887549.23,40080.63
2018-07-20,0.008348,0.01068,0.008348,0.009874,4511627.54,37663.07
2018-07-21,0.01095,0.01096,0.008575,0.008575,4353237.8,47667.95
2018-07-22,0.01016,0.01087,0.009428,0.01087,3999851.45,40638.49
2018-07-23,0.00643,0.009977,0.00643,0.009977,4585279.49,29483.35
2018-07-24,0.01845,0.01868,0.006856,0.006856,3778896.62,69720.64
2018-07-25,0.01005,0.01814,0.00952,0.01814,2225593.76,22367.22
2018-07-26,0.01617,0.01631,0.009855,0.009855,3186242.57,51521.54
2018-07-27,0.01635,0.01643,0.01108,0.01643,3278158.29,53597.89
2018-07-28,0.01452,0.01631,0.01174,0.01631,3433927.23,49860.62
2018-07-29,0.01444,0.01445,0.01166,0.01444,3205845.11,46292.4
2018-07-30,0.01412,0.01414,0.01412,0.01414,3604972.68,50902.21
2018-07-31,0.0133,0.01336,0.009599,0.01336,3646558.82,48499.23
2018-08-01,0.01292,0.01295,0.007558,0.01293,3353429.49,43326.31
2018-08-02,0.01083,0.01274,0.01028,0.01265,3542935.84,38370.0
2018-08-03,0.01377,0.01378,0.011,0.011,3342632.87,46028.05
2018-08-04,0.01342,0.01342,0.01302,0.01342,3413764.0,45812.71
2018-08-05,0.01346,0.01349,0.01346,0.01349,3324974.57,44754.16
2018-08-06,0.0133,0.01333,0.01018,0.01333,3480282.66,46287.76
2018-08-07,0.01171,0.01241,0.009498,0.01241,3471162.74,40647.32
2018-08-08,0.01049,0.01102,0.01049,0.01102,3842686.27,40309.78
2018-08-09,0.01054,0.01072,0.01036,0.01072,4238473.48,44673.51
2018-08-10,0.008332,0.009612,0.008332,0.009612,4287287.29,35721.68
2018-08-11,0.01045,0.01045,0.007992,0.007992,4139464.64,43257.41
2018-08-12,0.01045,0.01046,0.008003,0.01046,4254002.78,44454.33
2018-08-13,0.009089,0.00933,0.007158,0.009328,4103100.36,37293.08
2018-08-14,0.008875,0.008906,0.007013,0.008906,4599710.18,40822.43
2018-08-15,0.008997,0.009,0.008969,0.008969,4818602.25,43352.96
2018-08-16,0.009175,0.009178,0.009175,0.009175,4926291.69,45198.73
2018-08-17,0.01016,0.01016,0.007981,0.01016,4649962.0,47243.61
2018-08-18,0.009429,0.009435,0.009429,0.009432,4728305.91,44583.2
2018-08-19,0.009585,0.009585,0.009558,0.009582,4464689.0,42794.04
2018-08-20,0.01027,0.01029,0.006919,0.008663,4262123.69,43772.01
2018-08-21,0.01096,0.01096,0.01012,0.01067,4350181.58,47677.99
2018-08-22,0.007879,0.01352,0.006794,0.01054,4009349.0,31589.66
2018-08-23,0.01365,0.01379,0.006934,0.008038,3491067.11,47653.07
2018-08-24,0.01392,0.01392,0.01378,0.01392,3052554.57,42491.56
2018-08-25,0.01373,0.01373,0.01373,0.01373,0.0,0.0
2018-08-26,0.01357,0.01357,0.01357,0.01357,0.0,0.0
2018-08-27,0.01424,0.01424,0.01421,0.01424,3057345.0,43536.59
2018-08-28,0.01448,0.01461,0.007433,0.01461,3493074.46,50579.72
2018-08-29,0.01425,0.01425,0.01414,0.01414,2521719.0,35934.5
2018-08-30,0.01051,0.01403,0.007166,0.01403,2388943.71,25107.8
2018-08-31,0.01324,0.0139,0.004084,0.01042,2721326.27,36030.36
2018-09-01,0.01241,0.01388,0.01238,0.01388,2233674.0,27719.89
2018-09-02,0.0115,0.01239,0.01091,0.01239,2654762.76,30529.77
2018-09-03,0.01053,0.01126,0.005204,0.01126,2697183.95,28401.35
2018-09-04,0.009972,0.0104,0.005288,0.0104,3320019.05,33107.23
2018-09-05,0.007955,0.00798,0.005478,0.00798,3644817.85,28994.53
2018-09-06,0.007895,0.007999,0.007891,0.007999,3547907.49,28010.73
2018-09-07,0.007089,0.007407,0.007089,0.007401,2867318.0,20326.42
2018-09-08,0.004427,0.006688,0.004427,0.006484,3393432.14,15022.72
2018-09-09,0.006856,0.006858,0.00441,0.00441,3995844.87,27395.51
2018-09-10,0.007383,0.007385,0.006896,0.006896,3082539.72,22758.39
2018-09-11,0.006932,0.006934,0.006203,0.006934,3653755.0,25327.83
2018-09-12,0.006854,0.006854,0.006853,0.006853,2547993.96,17463.95
2018-09-13,0.00791,0.007912,0.00791,0.007912,2737032.0,21649.92
2018-09-14,0.007818,0.00782,0.007728,0.00782,3080864.0,24086.19
2018-09-15,0.008296,0.008296,0.004987,0.008296,3277267.0,27188.21
2018-09-16,0.005283,0.008239,0.005096,0.008239,2966709.73,15673.13
2018-09-17,0.007324,0.007326,0.00453,0.004705,3292183.0,24111.95
2018-09-18,0.007788,0.00779,0.007769,0.007785,2686786.0,20924.69
2018-09-19,0.007821,0.007839,0.007821,0.007839,3374389.91,26391.1
2018-09-20,0.008379,0.008379,0.00833,0.008379,3479619.0,29155.73
2018-09-21,0.008421,0.009234,0.005727,0.009234,2727465.36,22967.99
2018-09-22,0.008964,0.008967,0.008187,0.008187,3400651.0,30483.44
2018-09-23,0.009095,0.009105,0.009046,0.009105,3333530.0,30318.46
2018-09-24,0.008476,0.008476,0.008476,0.008476,3576470.0,30314.16
2018-09-25,0.008152,0.008154,0.008152,0.008152,3419975.02,27879.64
2018-09-26,0.007969,0.007969,0.007966,0.007966,3219584.0,25656.86
2018-09-27,0.008527,0.008529,0.005672,0.008522,2921378.75,24910.6
2018-09-28,0.005484,0.008246,0.005484,0.008246,3176151.6,17418.02
2018-09-29,0.008654,0.008654,0.005725,0.005725,3124716.78,27041.3
2018-09-30,0.008699,0.008702,0.008699,0.008702,2912866.0,25339.02
2018-10-01,0.008635,0.008635,0.008635,0.008635,2893984.0,24989.55
2018-10-02,0.00843,0.00843,0.008428,0.008428,2865408.0,24155.39
2018-10-03,0.008225,0.008229,0.005523,0.008227,3101973.33,25513.73
2018-10-04,0.008269,0.008294,0.005613,0.008292,2437336.61,20154.34
2018-10-05,0.008498,0.008498,0.008498,0.008498,3234305.0,27485.12
2018-10-06,0.008401,0.008401,0.008262,0.008376,3184438.9,26752.47
2018-10-07,0.005664,0.008439,0.005664,0.008439,3293394.09,18653.78
2018-10-08,0.00832,0.008325,0.005756,0.005756,3141627.0,26138.34
2018-10-09,0.008249,0.008256,0.008249,0.008253,2836774.0,23400.55
2018-10-10,0.008148,0.008168,0.008143,0.008168,3130578.0,25507.95
2018-10-11,0.006866,0.006866,0.006866,0.006866,2936368.0,20161.1
2018-10-12,0.007051,0.007088,0.004978,0.007088,3005110.78,21189.04
2018-10-13,0.007172,0.00718,0.005096,0.007176,3191009.64,22885.92
2018-10-14,0.004988,0.007012,0.004988,0.007012,2885397.0,14392.36
2018-10-15,0.007576,0.00758,0.005392,0.005392,3183457.0,24117.87
2018-10-16,0.005386,0.007555,0.005386,0.007555,3078170.54,16579.03
2018-10-17,0.007442,0.007449,0.005319,0.005319,2978967.0,22169.47
2018-10-18,0.007259,0.007259,0.007259,0.007259,3296255.0,23927.52
2018-10-19,0.007271,0.007273,0.007271,0.007273,3126368.0,22731.82
2018-10-20,0.007647,0.007647,0.00735,0.00735,3077548.99,23534.02
2018-10-21,0.007636,0.007636,0.007636,0.007636,2709190.02,20687.37
2018-10-22,0.007615,0.007619,0.007592,0.007592,2939984.13,22387.98
2018-10-23,0.007618,0.007618,0.007537,0.007618,2923849.0,22273.88
2018-10-24,0.007589,0.007589,0.007589,0.007589,3416154.0,25925.19
2018-10-25,0.009931,0.009931,0.007526,0.007526,2882991.0,28630.98
2018-10-26,0.009141,0.01004,0.007132,0.01004,3036748.78,27758.92
2018-10-27,0.009115,0.009115,0.007112,0.009115,2827186.34,25769.8
2018-10-28,0.009157,0.009157,0.007144,0.009157,2657536.09,24335.06
2018-10-29,0.008795,0.008795,0.008795,0.008795,2741333.0,24110.02
2018-10-30,0.008819,0.008819,0.008819,0.008819,2808813.0,24770.92
2018-10-31,0.008889,0.008893,0.006941,0.008893,2903795.0,25811.83
2018-11-01,0.008929,0.008929,0.008303,0.008929,2754785.23,24597.48
2018-11-02,0.009032,0.009032,0.009032,0.009032,3068672.0,27716.25
2018-11-03,0.007007,0.008962,0.007007,0.008962,2938993.0,20593.52
2018-11-04,0.009487,0.009487,0.007419,0.007423,2725189.01,25853.87
2018-11-05,0.009405,0.009416,0.007363,0.009416,2491463.83,23432.22
2018-11-06,0.009832,0.009847,0.009832,0.009847,2769521.0,27229.93
2018-11-07,0.009753,0.009762,0.009753,0.009762,2236628.63,21813.84
2018-11-08,0.009459,0.009459,0.009453,0.009453,2656038.42,25123.47
2018-11-09,0.00937,0.009374,0.00937,0.009374,2993671.0,28050.7
2018-11-10,0.009351,0.009483,0.009351,0.009483,2855660.0,26703.28
2018-11-11,0.009347,0.009347,0.009342,0.009342,2738406.0,25595.88
2018-11-12,0.009307,0.009307,0.009307,0.009307,2846433.82,26491.76
2018-11-13,0.00908,0.009113,0.00908,0.009113,2836051.0,25751.34
2018-11-14,0.00818,0.008182,0.006408,0.008038,2876562.1,23530.28
2018-11-15,0.008127,0.008127,0.008127,0.008127,2644756.0,21493.93
2018-11-16,0.007826,0.007828,0.007821,0.007828,2539995.0,19878.0
2018-11-17,0.0078,0.0078,0.007798,0.007798,2815696.0,21962.43
2018-11-18,0.007948,0.007948,0.007948,0.007948,2726013.0,21666.35
2018-11-19,0.003425,0.006636,0.002742,0.006636,2217261.62,7594.12
2018-11-20,0.005841,0.005844,0.002421,0.003021,3055643.0,17848.01
2018-11-21,0.006092,0.006099,0.006092,0.006099,2626133.0,15998.4
2018-11-22,0.005562,0.005571,0.005562,0.005571,2704671.0,15043.38
2018-11-23,0.005492,0.005497,0.005492,0.005497,2839538.0,15594.74
2018-11-24,0.005017,0.00502,0.005017,0.00502,2558571.0,12836.35
2018-11-25,0.005194,0.005195,0.002895,0.005195,2671288.62,13874.67
2018-11-26,0.004844,0.004844,0.004844,0.004844,0.0,0.0
2018-11-27,0.00492,0.00492,0.004902,0.004902,2550688.0,12549.38
2018-11-28,0.005487,0.005487,0.005487,0.005487,2259574.0,12398.28
2018-11-29,0.005245,0.005245,0.002916,0.005245,2500522.0,13115.24
2018-11-30,0.00504,0.00504,0.00504,0.00504,2045263.0,10308.13
2018-12-01,0.005292,0.005292,0.003611,0.005291,2328461.21,12322.22
2018-12-02,0.005176,0.005179,0.00516,0.005179,2471832.0,12794.2
2018-12-03,0.004845,0.004845,0.004831,0.004831,2414930.0,11700.34
2018-12-04,0.004917,0.004917,0.004917,0.004917,2462031.0,12105.81
2018-12-05,0.004547,0.004547,0.004547,0.004547,2397094.0,10899.59
2018-12-06,0.004049,0.004049,0.002762,0.004049,1986761.06,8044.4
2018-12-07,0.00419,0.004191,0.00419,0.004191,2288220.0,9587.64
2018-12-08,0.004093,0.004095,0.002291,0.004093,2029819.49,8308.05
2018-12-09,0.004227,0.004227,0.004223,0.004226,2406628.0,10172.82
2018-12-10,0.004058,0.004061,0.002272,0.004061,2130328.53,8644.87
2018-12-11,0.003938,0.003939,0.003936,0.003939,2482215.0,9774.96
2018-12-12,0.004048,0.004049,0.004048,0.004049,2191287.67,8870.33
2018-12-13,0.003862,0.003863,0.003862,0.003863,2348033.49,9068.11
2018-12-14,0.003755,0.003755,0.003751,0.003751,2454221.14,9215.6
2018-12-15,0.003772,0.003772,0.003772,0.003772,2366664.41,8927.06
2018-12-16,0.003822,0.003822,0.003822,0.003822,2118971.0,8098.71
2018-12-17,0.004272,0.004272,0.004272,0.004272,2486826.0,10623.72
2018-12-18,0.004584,0.004585,0.004447,0.004585,2294826.71,10519.49
2018-12-19,0.003522,0.004505,0.001862,0.004503,2461546.71,8669.57
2018-12-20,0.005211,0.005211,0.00234,0.004075,2540595.41,13239.04
2018-12-21,0.004892,0.004899,0.004892,0.004899,2361044.86,11550.23
2018-12-22,0.005249,0.005291,0.005163,0.005291,2435648.99,12784.72
2018-12-23,0.005828,0.005835,0.002519,0.005835,2558577.93,14911.39
2018-12-24,0.00617,0.006241,0.005477,0.006241,2396151.0,14784.25
2018-12-25,0.005707,0.005737,0.002621,0.005737,2339336.9,13350.6
2018-12-26,0.005804,0.005806,0.002656,0.005778,2414950.67,14016.37
2018-12-27,0.005109,0.005109,0.004902,0.005109,2319863.0,11852.18
2018-12-28,0.005862,0.006116,0.005589,0.006116,2571277.42,15072.83
2018-12-29,0.00576,0.00576,0.00576,0.00576,2367269.31,13635.47
2018-12-30,0.005927,0.005929,0.005927,0.005929,2644079.0,15671.46
2018-12-31,0.005469,0.005599,0.005466,0.005599,2352302.0,12864.74
2019-01-01,0.005838,0.005845,0.005838,0.005845,2492409.0,14550.68
2019-01-02,0.006405,0.006407,0.006405,0.006407,2619186.0,16775.89
2019-01-03,0.006112,0.006114,0.005978,0.006114,2616336.0,15991.05
2019-01-04,0.006379,0.006382,0.005142,0.006382,2721334.72,17359.39
2019-01-05,0.005816,0.006387,0.005816,0.006387,2643431.56,15374.2
2019-01-06,0.006336,0.006482,0.005553,0.005905,2764536.98,17516.11
2019-01-07,0.006189,0.006205,0.006076,0.006076,2688651.0,16640.06
2019-01-08,0.006145,0.006148,0.005288,0.006148,2605831.3,16012.83
2019-01-09,0.006147,0.006148,0.006147,0.006148,2513504.0,15450.51
2019-01-10,0.005202,0.005203,0.005202,0.005203,2636458.69,13714.86
2019-01-11,0.005167,0.005169,0.005167,0.005169,2543652.7,13143.05
2019-01-12,0.005112,0.005114,0.005112,0.005112,2512520.05,12844.0
2019-01-13,0.004735,0.004736,0.004735,0.004736,2570903.0,12173.23
2019-01-14,0.005267,0.00527,0.004197,0.00527,2396108.33,12620.3
2019-01-15,0.004958,0.004958,0.004922,0.004922,2850592.9,14133.24
2019-01-16,0.005036,0.005036,0.004999,0.005036,2549836.86,12840.98
2019-01-17,0.00506,0.00506,0.00506,0.00506,2360890.23,11946.1
2019-01-18,0.004931,0.004931,0.004931,0.004931,2639256.27,13014.17
2019-01-19,0.005106,0.005106,0.005106,0.005106,2407801.55,12294.23
2019-01-20,0.004843,0.004843,0.004843,0.004843,0.0,0.0
2019-01-21,0.004774,0.004774,0.004774,0.004774,0.0,0.0
2019-01-22,0.004872,0.004872,0.004872,0.004872,2556495.0,12455.24
2019-01-23,0.004819,0.004819,0.004809,0.004809,2658892.19,12813.2
2019-01-24,0.004825,0.004825,0.004825,0.004825,2193585.21,10584.05
2019-01-25,0.004752,0.004752,0.004752,0.004752,2580060.0,12260.45
2019-01-26,0.004767,0.004768,0.004767,0.004768,2619775.0,12488.47
2019-01-27,0.004908,0.004908,0.003634,0.004601,2576398.21,12644.96
2019-01-28,0.004647,0.00465,0.004647,0.00465,2515137.64,11687.84
2019-01-29,0.004575,0.004577,0.004262,0.004577,2750324.0,12582.73
