time,close,high,low,open,volumefrom,volumeto
2019-05-13,0.4504,0.4504,0.3917,0.4504,2503.93,1127.77
2019-05-14,0.3631,0.645,0.3627,0.4995,27883.17,10124.38
2019-05-15,0.4152,0.5893,0.4152,0.4157,1250.5,519.21
2019-05-16,0.5557,0.7855,0.3901,0.4417,23937.0,13301.79
2019-05-17,0.5492,0.808,0.5142,0.5144,5545.17,3045.41
2019-05-18,0.7026,0.7136,0.5248,0.5248,14179.55,9962.55
2019-05-19,0.7684,0.8229,0.7684,0.7835,12718.39,9772.81
2019-05-20,0.7321,0.8148,0.7321,0.7424,106224.43,77766.91
2019-05-21,0.6345,0.7748,0.6345,0.7403,18908.88,11997.68
2019-05-22,0.6004,0.6648,0.6002,0.6303,5926.04,3556.81
