time,close,high,low,open,volumefrom,volumeto
2017-07-20,0.1748,0.1892,0.1146,0.1347,1569.86,274.41
2017-07-21,0.1632,0.1632,0.1632,0.1632,0.0,0.0
2017-07-22,0.1135,0.1503,0.1135,0.1447,1241.52,140.91
2017-07-23,0.113,0.1378,0.1103,0.1103,45.34,5.12
2017-07-24,0.1078,0.1244,0.1022,0.1133,498.84,53.77
2017-07-25,0.1162,0.1162,0.1007,0.1007,0.001,0.0001162
2017-07-26,0.11,0.1152,0.09725,0.1152,136.12,14.97
2017-07-27,0.09691,0.1158,0.09691,0.1158,1199.57,116.25
2017-07-28,0.05894,0.101,0.05894,0.101,399.26,23.53
2017-07-29,0.0574,0.06014,0.05467,0.0574,207.73,11.92
2017-07-30,0.05533,0.0581,0.05533,0.0581,31.48,1.74
2017-07-31,0.05478,0.05767,0.005767,0.05767,281.33,15.41
2017-08-01,0.05219,0.05219,0.05219,0.05219,4.08,0.2129
2017-08-02,0.04897,0.05169,0.02176,0.05169,770.7,37.74
2017-08-03,0.104,0.104,0.02529,0.05058,685.69,71.31
2017-08-04,0.08923,0.1065,0.07196,0.1065,1058.02,94.41
2017-08-05,0.1011,0.1011,0.1011,0.1011,3.24,0.3276
2017-08-06,0.09373,0.1002,0.09373,0.1002,0.239,0.0224
2017-08-07,0.1089,0.1089,0.09866,0.09866,241.69,26.32
2017-08-08,0.1029,0.1097,0.1029,0.1097,16.11,1.66
2017-08-09,0.1072,0.1072,0.1005,0.1005,10.73,1.15
2017-08-10,0.1096,0.1096,0.1096,0.1096,0.0,0.0
2017-08-11,0.1023,0.1133,0.1023,0.1096,39.78,4.07
2017-08-12,0.1045,0.1239,0.1045,0.1084,93.39,9.76
2017-08-13,0.1219,0.1259,0.1097,0.1097,150.21,18.31
2017-08-14,0.1169,0.1298,0.1169,0.1298,0.209,0.02443
2017-08-15,0.08739,0.1124,0.08323,0.1124,1255.1,109.68
2017-08-16,0.07459,0.09214,0.07459,0.09214,214.58,16.01
2017-08-17,0.1326,0.1326,0.07274,0.07274,31.41,4.16
2017-08-18,0.1273,0.1273,0.06158,0.1273,28.27,3.6
2017-08-19,0.1245,0.1287,0.1245,0.1287,11.46,1.43
2017-08-20,0.1261,0.1261,0.122,0.122,225.55,28.44
2017-08-21,0.1762,0.1762,0.1242,0.1242,179.13,31.56
2017-08-22,0.1309,0.2536,0.1309,0.1799,341.11,44.65
2017-08-23,0.1367,0.2443,0.1325,0.1449,84.91,11.61
2017-08-24,0.1425,0.2548,0.1382,0.1425,124.12,17.69
2017-08-25,0.2575,0.2575,0.144,0.144,229.2,59.02
2017-08-26,0.2524,0.2568,0.2394,0.2568,185.77,46.89
2017-08-27,0.2521,0.2564,0.2347,0.2521,128.39,32.37
2017-08-28,0.2063,0.2546,0.1405,0.2546,195.66,40.36
2017-08-29,0.2758,0.3862,0.1839,0.2161,1712.87,472.41
