time,close,high,low,open,volumefrom,volumeto
2018-07-20,0.02027,0.02027,0.02027,0.02027,1115.98,22.62
2018-07-21,0.05394,0.05394,0.02083,0.02083,6748.05,363.99
2018-07-22,0.02424,0.05355,0.02424,0.05355,8785.0,212.95
2018-07-23,0.0238,0.02383,0.0238,0.02381,18.61,0.4429
2018-07-24,0.04075,0.04075,0.02538,0.02538,34.02,1.39
2018-07-25,0.02463,0.04006,0.02463,0.04006,1852.12,45.62
2018-07-26,0.04574,0.04574,0.02415,0.02415,510.0,23.33
2018-07-27,0.04649,0.04649,0.04649,0.04649,0.0,0.0
2018-07-28,0.04638,0.04638,0.04638,0.04638,0.0,0.0
2018-07-29,0.01912,0.01912,0.01912,0.01912,327.1,6.25
2018-07-30,0.02381,0.02381,0.01872,0.01872,8776.22,208.96
2018-07-31,0.02253,0.02253,0.02253,0.02253,0.0,0.0
2018-08-01,0.01931,0.0219,0.01816,0.0219,195.3,3.77
2018-08-02,0.0189,0.0189,0.0189,0.0189,0.0,0.0
2018-08-03,0.01921,0.01921,0.01921,0.01921,3.0,0.05763
2018-08-04,0.01953,0.01953,0.01872,0.01872,1083.56,21.16
2018-08-05,0.01962,0.01962,0.01962,0.01962,0.0,0.0
2018-08-06,0.01365,0.01943,0.01365,0.01943,495.05,6.76
2018-08-07,0.01274,0.01274,0.01274,0.01274,0.0,0.0
2018-08-08,0.01199,0.01199,0.01199,0.01199,0.0,0.0
2018-08-09,0.01563,0.01563,0.01226,0.01226,4187.02,65.44
2018-08-10,0.01953,0.01953,0.01326,0.01425,1058.9,20.68
2018-08-11,0.02246,0.02246,0.01863,0.01873,7018.48,157.64
2018-08-12,0.02247,0.02247,0.02247,0.02247,0.0,0.0
2018-08-13,0.009813,0.02414,0.009813,0.02006,7617.04,74.75
2018-08-14,0.009616,0.009616,0.009616,0.009616,0.0,0.0
2018-08-15,0.009717,0.009717,0.009717,0.009717,0.0,0.0
2018-08-16,0.008119,0.009909,0.008119,0.009909,2618.37,21.26
2018-08-17,0.00899,0.00899,0.00899,0.00899,0.0,0.0
2018-08-18,0.008347,0.008347,0.008347,0.008347,0.0,0.0
2018-08-19,0.008482,0.008482,0.008482,0.008482,0.0,0.0
2018-08-20,0.007667,0.007667,0.007667,0.007667,0.0,0.0
2018-08-21,0.007959,0.007959,0.007959,0.007959,0.0,0.0
2018-08-22,0.008655,0.008655,0.007654,0.007654,5701.47,49.35
2018-08-23,0.0178,0.0178,0.008829,0.008829,4.0,0.0712
2018-08-24,0.01816,0.01816,0.01816,0.01816,0.0,0.0
2018-08-25,0.01621,0.02182,0.01131,0.01792,24886.68,403.41
2018-08-26,0.01822,0.02112,0.01602,0.01602,2229.61,40.62
2018-08-27,0.01727,0.01913,0.0109,0.01913,1009.52,17.43
2018-08-28,0.01761,0.01774,0.01761,0.01772,7421.63,130.69
2018-08-29,0.02007,0.02007,0.0172,0.0172,2714.67,54.48
2018-08-30,0.01975,0.01975,0.01975,0.01975,0.0,0.0
2018-08-31,0.01958,0.01958,0.01958,0.01958,0.0,0.0
2018-09-01,0.01657,0.02053,0.01203,0.02053,783.33,12.98
2018-09-02,0.01627,0.01655,0.01627,0.01655,782.57,12.73
2018-09-03,0.01188,0.01594,0.009501,0.01594,28507.23,338.67
