time,close,high,low,open,volumefrom,volumeto
2017-05-01,75.66,2732.51,42.66,2718.36,15789.01,1194596.5
2017-05-02,89.32,111.57,72.37,77.27,229415.64,20491404.96
2017-05-03,78.66,95.74,74.31,91.76,75727.54,5956728.3
2017-05-04,86.44,89.53,77.46,80.31,41461.09,3583896.62
2017-05-05,83.68,86.08,75.74,85.93,32950.33,2757283.61
2017-05-06,112.03,114.68,85.13,85.76,49380.82,5532133.26
2017-05-07,101.72,116.13,99.19,112.7,22502.34,2288938.02
2017-05-08,112.65,131.08,99.52,108.92,27172.09,3060935.94
2017-05-09,96.66,119.83,85.44,114.89,16017.28,1548230.28
2017-05-10,112.5,114.02,96.45,99.78,7977.75,897496.88
2017-05-11,110.27,118.33,101.9,116.8,8034.52,885966.52
2017-05-12,105.28,110.88,96.71,102.21,5590.3,588546.78
2017-05-13,110.76,114.22,109.12,110.11,3760.54,416517.41
2017-05-14,110.75,117.63,107.42,111.32,3956.65,438198.99
2017-05-15,117.76,124.41,105.18,106.77,11500.27,1354271.8
2017-05-16,118.96,129.25,118.2,119.17,9259.77,1101542.24
2017-05-17,120.81,126.15,117.41,123.91,6294.85,760480.83
2017-05-18,135.51,140.43,125.24,126.16,8157.02,1105357.78
2017-05-19,166.08,186.27,138.05,141.34,21395.05,3553289.9
2017-05-20,178.39,187.19,159.68,172.7,8817.64,1572978.8
2017-05-21,216.68,220.16,175.68,178.74,11980.88,2596017.08
2017-05-22,222.43,245.37,195.45,225.19,19376.81,4309983.85
2017-05-23,231.12,243.85,213.03,237.94,10148.37,2345491.27
2017-05-24,263.85,299.3,244.14,248.68,12946.88,3416034.29
2017-05-25,222.65,262.1,217.82,248.95,10432.63,2322825.07
2017-05-26,205.65,232.35,195.53,216.63,8575.22,1763493.99
2017-05-27,192.07,209.96,150.26,188.08,6664.91,1280129.26
2017-05-28,213.95,217.96,202.86,204.85,4370.57,935083.45
2017-05-29,226.16,228.5,217.89,222.67,3290.24,744120.68
2017-05-30,260.26,261.79,215.37,217.65,6978.08,1816115.1
2017-05-31,261.66,277.32,250.83,273.41,7411.7,1939345.42
2017-06-01,253.09,277.7,244.4,274.08,7088.82,1794109.45
2017-06-02,255.49,268.45,254.49,261.47,4146.49,1059386.73
2017-06-03,260.91,266.76,257.09,260.91,4173.22,1088834.83
2017-06-04,264.02,269.32,256.95,258.72,1848.48,488035.69
2017-06-05,261.25,283.48,254.59,282.94,5036.09,1315678.51
2017-06-06,269.08,278.32,253.81,277.23,7508.05,2020266.09
2017-06-07,250.31,260.08,242.64,252.3,4157.35,1040626.28
2017-06-08,258.89,265.07,254.3,260.29,2481.63,642469.19
2017-06-09,259.52,263.77,255.67,260.06,2230.51,578861.96
2017-06-10,262.94,270.56,250.87,267.72,4312.59,1133952.41
2017-06-11,271.03,276.14,263.77,269.57,3952.53,1071254.21
2017-06-12,270.46,270.99,236.9,242.16,9649.19,2609719.93
2017-06-13,270.89,278.62,259.93,276.18,6217.25,1684190.85
2017-06-14,246.41,248.7,237.6,246.36,3743.51,922438.3
2017-06-15,236.94,246.44,227.52,243.93,3232.56,765922.77
2017-06-16,245.64,252.61,242.3,243.36,3726.53,915384.83
2017-06-17,255.13,261.87,253.46,259.99,2693.7,687243.68
2017-06-18,242.1,247.63,241.99,244.03,2011.87,487073.73
2017-06-19,250.77,255.69,247.26,249.46,6394.32,1603503.63
2017-06-20,248.64,265.11,223.38,263.95,6358.56,1580992.36
2017-06-21,230.76,245.4,229.87,241.71,4416.84,1019230.0
2017-06-22,230.03,237.35,225.02,234.65,3911.22,899697.94
2017-06-23,229.54,234.53,225.56,228.97,2264.64,519825.47
2017-06-24,218.34,222.41,217.46,219.35,2463.3,537836.92
2017-06-25,206.68,216.88,206.13,214.26,4815.99,995368.81
2017-06-26,192.92,200.87,181.03,198.91,7427.53,1432919.09
2017-06-27,206.34,208.28,189.96,203.78,2834.86,584945.01
2017-06-28,218.98,220.01,199.13,205.86,3473.31,760585.42
2017-06-29,262.23,285.77,216.11,217.33,26930.8,7062063.68
2017-06-30,338.11,397.39,246.52,254.26,87960.3,29740257.03
2017-07-01,304.05,337.75,303.8,330.47,17611.52,5354782.66
2017-07-02,328.73,338.11,288.65,318.07,13668.2,4493147.39
2017-07-03,335.45,363.75,327.48,333.39,13208.49,4430787.97
2017-07-04,320.62,346.01,315.65,341.3,7558.14,2423290.85
2017-07-05,341.36,360.02,316.39,321.91,12765.68,4357692.52
2017-07-06,336.98,350.83,331.75,339.59,5339.61,1799341.78
2017-07-07,288.84,324.04,284.82,324.04,5029.95,1452850.76
2017-07-08,300.6,310.09,271.88,294.7,3168.03,952309.82
2017-07-09,277.51,297.1,277.01,294.34,1745.22,484316.0
2017-07-10,227.74,261.83,220.06,259.01,4599.05,1047387.65
2017-07-11,205.91,231.45,197.59,225.83,3583.67,737913.49
2017-07-12,222.84,222.96,202.82,212.89,4979.35,1109598.35
2017-07-13,205.06,219.26,203.26,219.07,3252.3,666916.64
2017-07-14,182.64,195.94,179.65,193.93,2067.1,377535.14
2017-07-15,162.71,162.71,153.8,161.46,2503.74,407383.54
2017-07-16,156.07,167.75,142.26,157.68,5045.14,787395.0
2017-07-17,184.95,198.46,179.5,182.11,2211.13,408948.49
2017-07-18,199.42,202.76,184.48,192.14,3566.36,711203.51
2017-07-19,202.67,227.73,190.87,196.19,9362.03,1897402.62
2017-07-20,228.65,271.67,222.63,254.47,3795.91,867934.82
2017-07-21,221.23,233.91,212.05,213.42,2728.14,603546.41
2017-07-22,235.32,240.28,223.15,234.58,1993.2,469039.82
2017-07-23,232.46,234.37,221.52,228.69,1281.97,298006.75
2017-07-24,224.33,234.97,223.09,233.04,1123.23,251974.19
2017-07-25,204.31,210.51,193.98,209.65,2220.83,453737.78
2017-07-26,201.82,207.09,193.45,202.46,2050.17,413765.31
2017-07-27,204.53,215.0,202.73,212.28,1766.13,361226.57
2017-07-28,194.98,247.08,194.14,213.26,8533.65,1663891.08
2017-07-29,195.28,197.47,187.68,189.9,1978.1,386283.37
2017-07-30,185.71,205.16,182.95,197.64,1973.31,366463.4
2017-07-31,194.45,204.94,184.7,193.55,1660.43,322870.61
2017-08-01,199.24,209.02,183.77,185.26,2588.91,515814.43
2017-08-02,199.14,211.19,191.74,197.32,3132.04,623714.45
2017-08-03,200.02,205.86,198.13,205.69,1416.43,283314.33
2017-08-04,200.43,206.5,196.83,204.89,1432.66,287148.04
2017-08-05,208.26,228.07,202.88,227.19,2488.57,518269.59
2017-08-06,209.82,213.6,203.68,206.3,1502.0,315149.64
2017-08-07,205.58,227.45,202.58,220.85,2234.14,459294.5
2017-08-08,209.5,222.19,200.07,207.24,2113.38,442753.11
2017-08-09,217.04,228.82,202.07,204.58,3063.26,664849.95
2017-08-10,213.66,224.48,210.71,222.02,1674.67,357809.99
2017-08-11,203.55,232.24,197.3,227.92,4576.87,931621.89
2017-08-12,196.52,220.53,196.1,215.65,4230.15,831309.08
2017-08-13,186.55,209.26,177.74,206.22,5212.9,972466.5
2017-08-14,178.74,204.97,176.28,198.74,3217.98,575181.75
2017-08-15,176.12,181.41,154.65,171.88,4108.27,723548.51
2017-08-16,184.1,194.98,183.17,185.67,2881.6,530502.56
2017-08-17,174.45,185.96,170.3,179.54,2418.69,421940.47
2017-08-18,155.59,167.87,149.72,167.38,4244.49,660400.2
2017-08-19,161.41,166.23,150.58,157.3,2686.47,433623.12
2017-08-20,170.23,170.51,152.62,158.15,2773.46,472126.1
2017-08-21,174.66,176.06,156.76,167.65,4211.24,735535.18
2017-08-22,164.77,180.07,158.43,178.35,5138.36,846647.58
2017-08-23,160.22,170.28,157.07,166.84,5341.9,855879.22
2017-08-24,158.09,167.21,154.42,167.08,3763.63,594992.27
2017-08-25,157.25,164.84,152.01,159.78,2550.18,401015.81
2017-08-26,179.14,231.89,151.55,156.81,17340.69,3106411.21
2017-08-27,211.16,221.76,178.18,178.87,13555.82,2862446.95
2017-08-28,197.39,218.33,191.72,213.33,6175.13,1218908.91
2017-08-29,181.59,206.88,176.72,206.7,5392.11,979153.25
2017-08-30,179.29,183.5,169.43,181.03,6094.64,1092708.01
2017-08-31,176.67,195.09,174.49,185.24,4894.97,864794.35
2017-09-01,185.8,190.33,181.22,183.63,4195.53,779529.47
2017-09-02,170.24,181.17,164.98,172.66,3738.02,636360.52
2017-09-03,172.06,172.29,166.16,171.69,2018.86,347365.05
2017-09-04,140.83,160.63,129.3,159.18,4530.59,638042.99
2017-09-05,140.78,150.0,135.23,145.5,3230.41,454777.12
2017-09-06,160.41,161.47,147.48,147.48,3295.4,528615.11
2017-09-07,154.37,161.78,151.26,160.99,2698.77,416609.12
2017-09-08,142.12,152.2,133.99,144.07,4225.51,600529.48
2017-09-09,139.29,143.36,137.12,142.41,1521.27,211897.7
2017-09-10,132.43,137.27,131.28,136.42,1568.22,207679.37
2017-09-11,127.3,131.56,124.81,131.56,2150.38,273743.37
2017-09-12,125.47,127.47,122.56,125.52,2173.48,272706.54
2017-09-13,116.42,118.55,112.2,116.77,1799.25,209468.69
2017-09-14,89.74,98.46,87.56,97.55,3956.97,355098.49
2017-09-15,111.97,114.83,98.71,102.76,4582.23,513072.29
2017-09-16,110.23,112.89,109.12,111.52,1304.1,143750.94
2017-09-17,109.03,110.32,104.56,109.95,1952.02,212828.74
2017-09-18,119.4,123.01,117.14,121.16,2147.89,256458.07
2017-09-19,110.52,114.97,107.55,113.8,2024.37,223733.37
2017-09-20,105.94,109.9,104.74,109.79,1554.11,164642.41
2017-09-21,94.81,98.97,93.14,98.72,2806.86,266118.4
2017-09-22,92.25,94.74,86.96,94.38,4935.02,455255.6
2017-09-23,96.06,97.05,94.06,97.05,981.78,94309.79
2017-09-24,90.66,93.63,89.93,93.01,1259.19,114158.17
2017-09-25,92.74,98.91,89.39,97.22,5000.58,463753.79
2017-09-26,92.45,93.78,88.01,91.79,4961.55,458695.3
2017-09-27,123.42,134.37,99.45,100.04,17487.44,2158299.84
2017-09-28,126.37,157.25,121.72,122.93,19583.54,2474771.95
2017-09-29,131.07,133.03,124.77,125.68,4422.14,579609.89
2017-09-30,144.07,145.91,134.87,136.97,4220.15,607997.01
2017-10-01,133.85,147.33,133.68,145.48,3589.58,480465.28
2017-10-02,122.27,135.47,120.07,133.8,3861.05,472090.58
2017-10-03,111.22,121.27,109.97,119.85,2426.46,269870.88
2017-10-04,114.92,115.34,104.58,108.76,2408.75,276813.55
2017-10-05,122.56,131.46,110.59,117.72,5555.28,680855.12
2017-10-06,126.7,131.81,118.96,123.99,2438.48,308955.42
2017-10-07,121.81,128.59,120.3,128.55,1587.17,193333.18
2017-10-08,114.88,126.64,112.66,126.64,2982.16,342590.54
2017-10-09,104.39,119.01,100.33,119.01,4581.19,478230.42
2017-10-10,106.99,107.18,100.55,104.08,1797.34,192297.41
2017-10-11,111.44,112.98,104.01,108.35,1892.88,210942.55
2017-10-12,102.89,127.83,100.23,125.49,5974.12,614677.21
2017-10-13,98.09,111.05,94.03,106.77,5361.94,525952.69
2017-10-14,94.77,103.04,92.61,101.35,4477.47,424329.83
2017-10-15,83.9,92.55,82.48,92.55,4883.91,409760.05
2017-10-16,90.36,94.74,80.63,84.95,4320.47,390397.67
2017-10-17,83.75,95.51,82.36,87.84,3506.94,293706.22
2017-10-18,80.74,87.21,70.81,83.41,6233.28,503275.03
2017-10-19,76.13,84.28,73.8,82.52,5596.63,426071.44
2017-10-20,72.82,81.27,69.94,80.07,5213.7,379661.63
2017-10-21,71.3,74.0,66.49,72.92,4298.27,306466.65
2017-10-22,76.16,78.14,70.42,71.02,3060.69,233102.15
2017-10-23,69.72,97.29,68.42,75.8,24555.4,1712002.49
2017-10-24,76.96,81.65,64.28,65.11,12340.84,949751.05
2017-10-25,73.51,80.62,73.51,80.05,3963.74,291374.53
2017-10-26,71.59,77.78,70.77,75.66,2038.89,145964.14
2017-10-27,72.17,72.69,68.25,70.1,3566.29,257379.15
2017-10-28,69.69,71.75,69.18,71.7,1919.64,133779.71
2017-10-29,74.45,80.66,71.86,74.82,16159.36,1203064.35
2017-10-30,74.84,75.14,71.72,74.17,2808.82,210212.09
2017-10-31,69.29,79.22,68.83,78.83,2868.79,198778.46
2017-11-01,67.45,73.78,66.74,72.36,6547.38,441620.78
2017-11-02,59.31,71.93,52.63,70.32,12694.52,752911.98
2017-11-03,60.16,61.12,55.91,60.39,6583.3,396051.33
2017-11-04,61.75,62.42,59.57,61.94,2769.91,171041.94
2017-11-05,63.19,69.99,59.29,61.97,10403.62,657404.75
2017-11-06,59.82,60.64,56.84,59.51,4313.08,258008.45
2017-11-07,61.01,62.49,59.83,61.06,3692.88,225302.61
2017-11-08,71.66,83.38,63.25,63.94,11407.66,817472.92
2017-11-09,82.2,87.69,68.34,68.86,13007.21,1069192.66
2017-11-10,67.96,78.46,60.8,75.7,13515.26,918497.07
2017-11-11,67.52,68.6,62.64,65.62,5604.68,378427.99
2017-11-12,55.28,64.78,44.77,62.31,21170.72,1170317.4
2017-11-13,61.17,62.35,58.12,61.34,5841.75,357339.85
2017-11-14,62.61,63.11,60.2,61.65,5580.88,349418.9
2017-11-15,65.23,71.73,62.61,69.12,6428.38,419323.23
2017-11-16,66.69,71.62,66.25,70.34,4687.59,312615.38
2017-11-17,63.77,67.54,62.53,65.38,5286.29,337106.71
2017-11-18,66.34,67.83,62.76,64.45,6581.81,436637.28
2017-11-19,68.15,73.94,66.69,68.57,5229.13,356365.21
2017-11-20,69.84,72.88,68.76,69.87,5970.75,416997.18
2017-11-21,68.87,71.34,66.87,68.61,3229.97,222448.03
2017-11-22,72.27,72.4,68.44,70.01,6045.66,436919.85
2017-11-23,80.61,82.38,69.97,70.33,10228.39,824510.52
2017-11-24,132.69,143.1,80.03,82.5,65249.69,8657981.37
2017-11-25,114.07,142.53,113.2,141.65,35705.96,4072978.86
2017-11-26,107.53,122.82,104.65,121.7,16424.41,1766116.81
2017-11-27,124.78,138.41,107.75,112.32,25187.58,3142906.23
2017-11-28,116.89,127.79,110.85,126.9,12092.66,1413511.03
2017-11-29,91.92,116.78,89.5,115.1,11210.14,1030436.07
2017-11-30,101.66,121.85,92.36,92.93,11826.8,1202312.49
2017-12-01,110.9,116.22,105.28,111.0,5410.25,599996.73
2017-12-02,108.46,112.4,104.19,108.87,4339.76,470690.37
2017-12-03,116.17,125.51,111.29,111.53,9449.47,1097744.93
2017-12-04,127.86,128.33,118.1,120.07,6750.05,863061.39
2017-12-05,140.12,165.09,127.41,128.34,23237.05,3255975.45
2017-12-06,130.63,165.96,129.53,164.99,11803.56,1541899.04
2017-12-07,108.36,160.41,108.36,159.59,9062.29,981989.74
2017-12-08,117.98,123.5,91.89,103.2,8111.61,957007.75
2017-12-09,117.74,122.47,104.91,109.13,5782.0,680772.68
2017-12-10,102.15,119.93,101.53,119.11,5759.6,588343.14
2017-12-11,121.33,141.29,103.94,113.76,14307.77,1735961.73
2017-12-12,138.04,151.72,121.14,123.88,19317.64,2666607.03
2017-12-13,142.67,154.07,130.47,131.6,14459.28,2062905.48
2017-12-14,143.91,154.01,140.03,143.85,11352.35,1633716.69
2017-12-15,201.58,201.58,136.28,153.85,19310.85,3892681.14
2017-12-16,181.81,276.45,170.78,224.02,54384.16,9887584.13
2017-12-17,189.07,191.23,170.62,179.64,15496.98,2930014.01
2017-12-18,195.79,205.09,179.5,188.17,22539.43,4412995.0
2017-12-19,203.63,225.88,177.87,180.84,35051.23,7137481.96
2017-12-20,217.63,218.12,174.33,191.29,16229.81,3532093.55
2017-12-21,203.69,212.75,191.49,206.66,19848.62,4042965.41
2017-12-22,156.6,179.01,140.89,178.05,10919.62,1710012.49
2017-12-23,163.11,169.3,160.81,164.98,12444.29,2029788.14
2017-12-24,186.58,201.2,149.76,156.24,29416.67,5488562.29
