time,close,high,low,open,volumefrom,volumeto
2018-01-23,0.02269,0.0379,0.02226,0.03638,95060.36,2156.92
2018-01-24,0.02126,0.02926,0.02126,0.02389,46718.59,993.24
2018-01-25,0.019,0.02593,0.0133,0.02079,47397.53,900.55
2018-01-26,0.01677,0.02387,0.0131,0.0181,15805.14,265.05
2018-01-27,0.01834,0.01834,0.0149,0.01719,3591.35,65.87
2018-01-28,0.01742,0.01883,0.01283,0.01883,18101.39,315.33
2018-01-29,0.0118,0.01663,0.01146,0.01663,3501.56,41.32
2018-01-30,0.01122,0.01344,0.01041,0.01061,9754.74,109.45
2018-01-31,0.01074,0.02546,0.005829,0.01135,167973.13,1804.03
2018-02-01,0.01021,0.01185,0.009024,0.00957,24886.93,254.1
2018-02-02,0.01206,0.01206,0.009935,0.009935,8374.79,101.0
2018-02-03,0.01129,0.02267,0.01073,0.01193,90571.57,1022.55
2018-02-04,0.0106,0.02005,0.009615,0.01003,371828.37,3941.38
2018-02-05,0.008186,0.01061,0.007076,0.008949,102014.13,835.09
2018-02-06,0.007701,0.009319,0.006392,0.009087,96480.11,742.99
2018-02-07,0.007137,0.01147,0.006302,0.007593,39169.62,279.55
2018-02-08,0.008095,0.01198,0.007682,0.008261,28707.87,232.39
2018-02-09,0.008871,0.01148,0.008001,0.008523,33362.59,295.96
2018-02-10,0.009598,0.0102,0.008055,0.008741,36862.87,353.81
2018-02-11,0.009702,0.01043,0.007761,0.009055,29250.16,283.79
2018-02-12,0.008911,0.01069,0.008911,0.01069,33741.11,300.67
2018-02-13,0.01726,0.03845,0.008288,0.008288,1277055.37,22041.98
2018-02-14,0.01328,0.02419,0.011,0.01916,1080219.34,14345.31
2018-02-15,0.01184,0.02217,0.009532,0.01405,1930722.04,22859.75
2018-02-16,0.01111,0.01325,0.0108,0.01202,113380.23,1259.65
2018-02-17,0.01099,0.01332,0.009655,0.0121,214327.89,2355.46
2018-02-18,0.01052,0.01313,0.009896,0.01031,435277.54,4579.12
2018-02-19,0.01107,0.01375,0.01096,0.01129,320899.85,3552.36
2018-02-20,0.01126,0.01204,0.01036,0.01114,171211.02,1927.84
2018-02-21,0.01038,0.01195,0.009433,0.01048,538294.53,5587.5
2018-02-22,0.008863,0.009749,0.004333,0.009749,449881.7,3987.3
2018-02-23,0.007733,0.009972,0.006207,0.009158,207076.56,1601.32
2018-02-24,0.008444,0.009803,0.006988,0.007376,336341.61,2840.07
2018-02-25,0.009034,0.009322,0.007784,0.008361,141828.0,1281.27
2018-02-26,0.008881,0.009707,0.008364,0.009707,73463.74,652.43
2018-02-27,0.008158,0.009323,0.008158,0.009111,51314.41,418.62
2018-02-28,0.008474,0.008578,0.007958,0.007958,34729.24,294.3
2018-03-01,0.009181,0.009946,0.00776,0.008962,181661.72,1667.84
2018-03-02,0.00773,0.009608,0.006957,0.009276,404917.26,3130.01
2018-03-03,0.008599,0.009058,0.007796,0.008026,234030.12,2012.43
2018-03-04,0.007593,0.008628,0.007593,0.008628,35004.38,265.79
