time,close,high,low,open,volumefrom,volumeto
2016-10-21,1.83,630.45,0.6305,630.45,1.23,2.25
2016-10-22,1.97,1.97,1.9,1.9,0.07,0.1379
2016-10-23,2.61,2.61,1.96,1.96,0.1191,0.3109
2016-10-24,2.6,2.6,2.6,2.6,0.0,0.0
2016-10-25,2.6,2.6,2.6,2.6,0.0,0.0
2016-10-26,2.7,2.7,2.7,2.7,0.0,0.0
2016-10-27,2.73,2.73,2.73,2.73,0.0,0.0
2016-10-28,2.74,2.74,2.74,2.74,0.0,0.0
2016-10-29,2.86,2.86,2.86,2.86,0.0,0.0
2016-10-30,2.79,2.79,2.79,2.79,0.0,0.0
2016-10-31,2.79,2.79,2.79,2.79,0.0,0.0
2016-11-01,2.91,2.91,2.91,2.91,0.0,0.0
2016-11-02,2.93,2.93,2.93,2.93,0.0,0.0
2016-11-03,2.74,2.74,2.74,2.74,0.0,0.0
2016-11-04,2.81,2.81,2.81,2.81,0.0,0.0
2016-11-05,2.81,2.81,2.81,2.81,0.0,0.0
2016-11-06,2.84,2.84,2.84,2.84,0.0,0.0
2016-11-07,0.7054,2.82,0.7054,2.82,0.1,0.07054
2016-11-08,0.7109,0.7109,0.7109,0.7109,0.0,0.0
2016-11-09,0.7214,0.7214,0.7214,0.7214,0.0,0.0
2016-11-10,0.7146,0.7146,0.7146,0.7146,0.0,0.0
2016-11-11,0.715,0.715,0.715,0.715,0.0,0.0
2016-11-12,0.7043,0.7043,0.7043,0.7043,0.0,0.0
2016-11-13,0.702,0.702,0.702,0.702,0.1,0.0702
2016-11-14,0.7046,0.7046,0.7046,0.7046,0.0,0.0
2016-11-15,0.7111,0.7111,0.7111,0.7111,0.0,0.0
2016-11-16,0.7403,0.7403,0.7403,0.7403,0.0,0.0
2016-11-17,0.7375,0.7375,0.7375,0.7375,0.0,0.0
2016-11-18,0.747,0.747,0.747,0.747,0.0,0.0
2016-11-19,0.7479,0.7479,0.7479,0.7479,0.0,0.0
2016-11-20,0.7285,0.7285,0.7285,0.7285,0.0,0.0
2016-11-21,0.7362,0.7362,0.7362,0.7362,0.0,0.0
2016-11-22,0.7493,0.7493,0.7493,0.7493,0.0,0.0
2016-11-23,0.7411,0.7411,0.7411,0.7411,0.0,0.0
2016-11-24,0.7353,0.7353,0.7353,0.7353,0.0,0.0
2016-11-25,0.7404,0.7404,0.7404,0.7404,0.0,0.0
2016-11-26,0.7341,0.7341,0.7341,0.7341,0.0,0.0
