time,close,high,low,open,volumefrom,volumeto
2019-01-30,6.85,7.24,6.46,6.46,3005.51,20587.74
2019-01-31,5.63,6.86,5.0,6.79,36675.26,206481.71
2019-02-01,6.17,6.86,5.0,5.67,32787.43,202298.44
2019-02-02,6.04,6.74,5.86,6.25,20634.82,124634.31
2019-02-03,5.33,6.03,5.24,5.94,14413.9,76826.09
2019-02-04,5.16,5.45,5.03,5.3,12821.04,66156.57
2019-02-05,4.86,5.39,4.86,5.18,18161.16,88263.24
2019-02-06,4.28,4.91,4.28,4.79,17274.18,73933.49
2019-02-07,3.87,4.38,3.84,4.25,13888.82,53749.73
2019-02-08,4.17,4.53,3.91,4.19,30312.96,126405.04
2019-02-09,5.25,5.51,4.04,4.16,48664.82,255490.31
2019-02-10,5.77,6.29,5.26,5.3,39109.07,225659.33
2019-02-11,5.03,5.79,4.76,5.66,21612.44,108710.57
2019-02-12,5.06,5.25,4.96,5.04,60056.91,303887.96
2019-02-13,5.03,5.33,4.97,5.05,59912.4,301359.37
2019-02-14,5.33,5.56,4.49,5.01,105005.32,559678.36
2019-02-15,5.08,5.36,4.94,5.34,94877.97,481980.09
2019-02-16,5.1,5.29,5.04,5.11,65498.38,334041.74
2019-02-17,4.89,5.21,4.79,5.18,66094.01,323199.71
2019-02-18,4.97,5.36,4.78,5.21,100470.55,499338.63
2019-02-19,4.92,5.24,4.83,4.98,73182.47,360057.75
2019-02-20,4.79,5.04,4.7,4.98,69955.1,335084.93
2019-02-21,4.56,4.87,4.46,4.75,75327.53,343493.54
2019-02-22,4.51,4.66,4.4,4.61,65140.84,293785.19
2019-02-23,4.36,4.74,4.19,4.69,114299.8,498347.13
2019-02-24,3.97,4.11,3.85,3.96,101857.99,404376.22
2019-02-25,3.81,4.06,3.73,4.05,83835.83,319414.51
2019-02-26,3.78,3.96,3.75,3.78,70455.55,266321.98
2019-02-27,3.52,3.86,3.51,3.79,135285.41,476204.64
2019-02-28,3.45,3.71,3.09,3.51,184042.08,634945.18
2019-03-01,3.28,3.51,3.02,3.45,158523.17,519956.0
2019-03-02,3.55,3.64,3.17,3.29,81810.92,290428.77
2019-03-03,3.74,3.79,3.52,3.52,70744.98,264586.23
2019-03-04,3.31,3.69,3.23,3.66,108537.57,359259.36
2019-03-05,3.33,3.52,3.25,3.44,80509.95,268098.13
2019-03-06,3.26,3.36,3.19,3.33,74017.81,241298.06
2019-03-07,3.13,3.31,3.05,3.26,82647.81,258687.65
2019-03-08,3.18,3.44,3.06,3.12,122993.25,391118.54
2019-03-09,3.18,3.37,3.14,3.24,72916.83,231875.52
