time,close,high,low,open,volumefrom,volumeto
2018-02-21,0.377,0.4193,0.1951,0.2289,51944.76,19583.17
2018-02-22,0.2374,0.3542,0.2182,0.3542,50951.43,12095.87
2018-02-23,0.3278,0.4304,0.233,0.2453,59590.94,19533.91
2018-02-24,0.2514,0.3395,0.2378,0.3126,42223.86,10615.08
2018-02-25,0.2229,0.2594,0.2216,0.2592,35243.33,7855.74
2018-02-26,0.2254,0.3458,0.2066,0.2395,49746.35,11212.83
2018-02-27,0.2189,0.2733,0.2174,0.2313,26401.75,5779.34
2018-02-28,0.1865,0.2135,0.1863,0.2135,31862.87,5942.43
2018-03-01,0.1701,0.2077,0.01771,0.1989,84303.88,14340.09
2018-03-02,0.1243,0.1769,0.1107,0.1769,35739.61,4442.43
2018-03-03,0.1274,0.1664,0.1018,0.1292,52227.79,6653.82
2018-03-04,0.1374,0.1427,0.1035,0.1278,40062.0,5504.52
2018-03-05,0.1186,0.1413,0.1144,0.1366,50764.04,6020.62
2018-03-06,0.112,0.1319,0.1082,0.1113,55532.02,6219.59
2018-03-07,0.1014,0.1165,0.1004,0.1036,24558.09,2490.19
2018-03-08,0.08385,0.08823,0.07537,0.08665,6243.18,523.49
2018-03-09,0.08735,0.1062,0.08503,0.1062,32401.53,2830.27
2018-03-10,0.08797,0.09439,0.08269,0.09439,49937.48,4393.0
2018-03-11,0.09545,0.1045,0.09459,0.09545,58513.52,5585.12
2018-03-12,0.08438,0.09992,0.08411,0.09142,54872.75,4630.16
2018-03-13,0.08867,0.09985,0.08427,0.08455,79916.28,7086.18
2018-03-14,0.08234,0.09039,0.07988,0.07988,47244.6,3890.12
2018-03-15,0.07938,0.08674,0.07938,0.08293,38799.26,3079.89
2018-03-16,0.06643,0.08002,0.06627,0.07952,22039.16,1464.06
2018-03-17,0.06165,0.06756,0.05306,0.06323,17324.42,1068.05
2018-03-18,0.05471,0.06572,0.04929,0.05595,20540.86,1123.79
2018-03-19,0.07071,0.07071,0.05364,0.05743,36661.01,2592.3
2018-03-20,0.06262,0.07315,0.06262,0.07315,30525.84,1911.53
2018-03-21,0.06496,0.07129,0.06256,0.06256,48464.69,3148.27
2018-03-22,0.06099,0.06587,0.05933,0.06361,15475.74,943.87
2018-03-23,0.0621,0.06513,0.06076,0.06406,20136.77,1250.49
2018-03-24,0.05813,0.05975,0.0577,0.05941,35609.4,2069.97
2018-03-25,0.05719,0.06151,0.05719,0.05762,38861.46,2222.49
2018-03-26,0.04834,0.05519,0.04068,0.05503,49480.21,2391.87
2018-03-27,0.04748,0.05271,0.04591,0.0463,58401.79,2772.92
2018-03-28,0.04999,0.05365,0.04656,0.0484,66524.31,3325.55
2018-03-29,0.04555,0.04747,0.04413,0.0442,52681.38,2399.64
2018-03-30,0.04585,0.04585,0.04297,0.04407,54871.82,2515.87
2018-03-31,0.04625,0.04666,0.04041,0.04645,62333.37,2882.92
2018-04-01,0.03794,0.04553,0.03479,0.04553,33454.03,1269.25
2018-04-02,0.04124,0.04804,0.03813,0.03813,53705.22,2214.8
2018-04-03,0.0397,0.05576,0.0397,0.04334,56010.11,2223.6
2018-04-04,0.03892,0.04771,0.03639,0.0368,79783.11,3105.16
2018-04-05,0.03857,0.04577,0.03809,0.03877,39813.94,1535.62
2018-04-06,0.03729,0.04644,0.03682,0.03769,64591.55,2408.62
2018-04-07,0.04067,0.04482,0.03887,0.03887,53037.32,2157.03
2018-04-08,0.04061,0.04456,0.04061,0.04145,52297.52,2123.8
2018-04-09,0.03463,0.04135,0.03436,0.04135,29899.82,1035.43
2018-04-10,0.0358,0.04123,0.03408,0.03504,66390.11,2376.77
2018-04-11,0.0367,0.0427,0.03628,0.03635,57191.67,2098.93
2018-04-12,0.04162,0.04202,0.04035,0.0417,20928.83,871.06
2018-04-13,0.0421,0.04771,0.04131,0.04147,90969.0,3829.79
2018-04-14,0.04412,0.04838,0.04212,0.04276,85037.37,3751.85
2018-04-15,0.0454,0.05026,0.04448,0.04607,113270.43,5142.48
2018-04-16,0.0429,0.04468,0.0429,0.04379,34591.93,1483.99
2018-04-17,0.04682,0.04721,0.04143,0.04206,75301.08,3525.6
2018-04-18,0.04521,0.05553,0.04504,0.0484,160071.55,7236.83
2018-04-19,0.04649,0.04931,0.04566,0.04583,16718.74,777.25
