time,close,high,low,open,volumefrom,volumeto
2017-12-02,4.31,4.63,4.31,4.41,1021.34,4401.98
2017-12-03,4.27,4.76,4.13,4.44,3025.22,12917.69
2017-12-04,4.3,4.92,4.27,4.42,637.92,2743.06
2017-12-05,6.88,6.88,6.53,6.59,295.63,2033.93
2017-12-06,6.32,8.11,5.43,8.11,685.56,4332.74
2017-12-07,2.78,5.9,2.78,5.9,1210.06,3363.97
2017-12-08,5.55,5.56,2.65,2.65,275.9,1531.25
2017-12-09,5.57,5.57,4.17,5.13,1470.88,8192.8
2017-12-10,5.28,5.65,4.6,5.65,245.38,1295.61
2017-12-11,3.36,5.87,3.35,5.87,935.09,3141.9
2017-12-12,3.95,4.0,2.9,3.96,2257.59,8917.48
2017-12-13,2.5,3.26,2.5,3.26,1728.94,4322.35
2017-12-14,2.51,2.85,2.06,2.53,2797.92,7022.78
2017-12-15,3.1,3.7,2.68,2.68,2713.96,8413.28
2017-12-16,3.54,4.05,2.97,3.4,1130.33,4001.37
2017-12-17,2.48,3.49,2.23,3.49,220.47,546.77
2017-12-18,2.22,2.76,2.22,2.47,750.64,1666.42
2017-12-19,2.51,2.51,2.05,2.05,935.2,2347.35
2017-12-20,2.09,2.36,2.06,2.36,1307.15,2731.94
2017-12-21,1.83,2.14,1.8,1.98,348.93,638.54
2017-12-22,1.87,1.87,1.56,1.6,772.95,1445.42
2017-12-23,1.65,1.97,1.47,1.97,3194.03,5270.15
2017-12-24,1.74,1.74,1.47,1.58,602.74,1048.77
2017-12-25,1.72,1.75,1.63,1.75,311.87,536.42
2017-12-26,1.58,1.71,1.58,1.71,102.87,162.53
2017-12-27,2.0,2.0,1.55,1.55,174.35,348.7
2017-12-28,2.02,2.02,1.79,1.87,586.22,1184.16
2017-12-29,1.97,1.97,1.75,1.75,191.19,376.64
2017-12-30,1.57,1.57,1.57,1.57,3.84,6.03
2017-12-31,1.78,1.78,1.61,1.61,60.51,107.71
2018-01-01,1.55,1.72,1.55,1.72,3138.62,4864.86
2018-01-02,1.49,1.89,1.46,1.7,2259.65,3366.88
2018-01-03,1.06,1.53,1.05,1.53,323.45,342.86
2018-01-04,0.8499,0.8636,0.7598,0.8636,549.42,466.95
2018-01-05,0.6836,0.6933,0.5595,0.6933,2684.95,1835.43
2018-01-06,0.5672,0.6929,0.5444,0.6929,2641.09,1498.03
2018-01-07,0.7001,0.7001,0.7001,0.7001,2675.55,1873.15
2018-01-08,0.6461,0.6461,0.6461,0.6461,0.0,0.0
2018-01-09,0.6242,0.6242,0.6242,0.6242,0.0,0.0
2018-01-10,0.6436,0.6436,0.6436,0.6436,0.0,0.0
2018-01-11,0.5741,0.5741,0.5741,0.5741,0.0,0.0
2018-01-12,0.3736,0.3736,0.3736,0.3736,17.77,6.64
2018-01-13,0.3844,0.3844,0.3844,0.3844,0.0,0.0
2018-01-14,0.3681,0.3681,0.3681,0.3681,0.0,0.0
2018-01-15,0.3679,0.3679,0.3679,0.3679,0.0,0.0
2018-01-16,0.3045,0.3045,0.3045,0.3045,0.0,0.0
2018-01-17,0.2945,0.3016,0.2797,0.2797,683.51,201.29
2018-01-18,0.2948,0.2948,0.2948,0.2948,0.0,0.0
2018-01-19,0.3039,0.3039,0.3039,0.3039,0.0,0.0
2018-01-20,0.3372,0.3372,0.3372,0.3372,0.0,0.0
2018-01-21,0.3047,0.3047,0.3047,0.3047,0.0,0.0
2018-01-22,0.2853,0.2853,0.2853,0.2853,0.0,0.0
2018-01-23,0.2569,0.2981,0.2569,0.2594,1001.68,257.33
2018-01-24,0.3429,0.4,0.2754,0.3144,6693.67,2295.26
2018-01-25,0.2654,0.3353,0.1936,0.3353,2514.65,667.39
2018-01-26,0.2382,0.2637,0.1999,0.2637,5435.39,1294.71
2018-01-27,0.2158,0.2458,0.2158,0.2458,1263.35,272.63
2018-01-28,0.2003,0.2589,0.2003,0.2216,1503.13,301.08
2018-01-29,0.1697,0.2021,0.1697,0.1912,1735.63,294.54
2018-01-30,0.1716,0.1728,0.1275,0.1527,2521.32,432.66
2018-01-31,0.1401,0.1739,0.1329,0.166,5534.17,775.34
2018-02-01,0.1165,0.1822,0.1165,0.1249,2381.81,277.48
2018-02-02,0.1386,0.1386,0.1134,0.1134,2451.23,339.74
2018-02-03,0.1115,0.1445,0.1026,0.1445,4072.74,454.11
2018-02-04,0.09048,0.09903,0.0904,0.09903,2823.77,255.49
2018-02-05,0.07735,0.07735,0.07631,0.07638,3465.11,268.03
2018-02-06,0.08571,0.09241,0.08279,0.08587,2186.68,187.42
2018-02-07,0.07631,0.09005,0.07631,0.0779,1060.74,80.95
2018-02-08,0.05568,0.09682,0.05568,0.08302,7056.37,392.9
2018-02-09,0.09497,0.09993,0.05862,0.05862,3355.51,318.67
2018-02-10,0.07027,0.0964,0.06187,0.09358,3950.77,277.62
2018-02-11,0.05983,0.06888,0.05659,0.057,3217.46,192.5
2018-02-12,0.08804,0.08804,0.045,0.06594,6823.8,600.77
2018-02-13,0.0581,0.08442,0.04614,0.08442,3483.83,202.41
2018-02-14,0.07019,0.07029,0.0645,0.0645,1303.64,91.5
2018-02-15,0.0594,0.09552,0.0594,0.09552,2642.83,156.98
2018-02-16,0.092,0.1579,0.06032,0.06032,34296.47,3155.28
2018-02-17,0.08179,0.1028,0.06581,0.1002,14607.07,1194.71
