time,close,high,low,open,volumefrom,volumeto
2018-01-05,0.5685,0.6697,0.5258,0.5748,16482267.0,9370168.79
2018-01-06,0.6934,0.7484,0.5674,0.576,25216343.0,17485012.24
2018-01-07,0.8044,0.8067,0.6185,0.6546,16927801.0,13616723.12
2018-01-08,0.7043,0.7982,0.617,0.7443,17591823.0,12389920.94
2018-01-09,0.7189,0.7628,0.643,0.6805,15596880.0,11212597.03
2018-01-10,0.6899,0.7864,0.6729,0.7391,14788272.0,10202428.85
2018-01-11,0.7365,0.7985,0.507,0.6154,23849719.0,17565318.04
2018-01-12,0.9049,1.04,0.6921,0.7597,44810548.0,40549064.89
2018-01-13,0.8431,1.01,0.7634,0.9312,44605301.0,37606729.27
2018-01-14,0.701,0.8456,0.32,0.8073,20472948.0,14351536.55
2018-01-15,0.6024,0.7603,0.5616,0.7007,20148603.0,12137518.45
2018-01-16,0.4115,0.5416,0.3385,0.4986,21519426.0,8855243.8
2018-01-17,0.4887,0.4888,0.3645,0.4071,29276832.0,14307587.8
2018-01-18,0.4767,0.5197,0.4263,0.4861,16319602.0,7779554.27
2018-01-19,0.5225,0.5597,0.4655,0.4915,26219605.0,13699743.61
2018-01-20,0.5523,0.6263,0.5263,0.5803,12063683.0,6662772.12
2018-01-21,0.4529,0.5033,0.4276,0.499,17341037.0,7853755.66
2018-01-22,0.4299,0.4867,0.4099,0.4244,21069710.0,9057868.33
2018-01-23,0.4578,0.4778,0.4182,0.4316,13343202.0,6108517.88
2018-01-24,0.4537,0.5254,0.4394,0.4818,17004403.0,7714897.64
2018-01-25,0.436,0.4631,0.4297,0.4389,13853046.0,6039928.06
2018-01-26,0.4857,0.4997,0.4253,0.4332,13503749.0,6558770.89
2018-01-27,0.4755,0.5097,0.4618,0.5017,14265364.0,6783180.58
2018-01-28,0.4678,0.5082,0.4585,0.4882,11031875.0,5160711.13
2018-01-29,0.4236,0.4572,0.4112,0.4465,12601356.0,5337934.4
2018-01-30,0.3465,0.3856,0.341,0.3811,14601892.0,5059555.58
2018-01-31,0.3379,0.3672,0.334,0.3506,7419978.75,2507210.82
2018-02-01,0.2717,0.3115,0.2601,0.3009,9143891.72,2484395.38
2018-02-02,0.2832,0.2954,0.2412,0.2639,9177579.0,2599090.37
2018-02-03,0.2972,0.3238,0.2762,0.2952,5569631.0,1655294.33
2018-02-04,0.2527,0.2663,0.2405,0.264,2955216.0,746783.08
2018-02-05,0.1992,0.2269,0.1945,0.2133,7102013.0,1414720.99
2018-02-06,0.2527,0.2695,0.2009,0.2211,10646541.0,2690380.91
2018-02-07,0.2519,0.2748,0.2473,0.25,6137027.0,1545917.1
2018-02-08,0.2764,0.2781,0.2741,0.2741,46790.0,12932.76
2018-02-09,0.2852,0.301,0.28,0.291,2634944.0,751486.03
2018-02-10,0.2511,0.2909,0.2451,0.2796,4948734.0,1242627.11
2018-02-11,0.3746,0.4662,0.2345,0.2369,164347014.0,61564391.44
2018-02-12,0.384,0.4429,0.3554,0.4136,106386564.73,40852440.86
2018-02-13,0.3485,0.3842,0.3409,0.3687,25562798.92,8908635.42
2018-02-14,0.3462,0.3881,0.3412,0.3868,17671525.79,6117882.23
2018-02-15,0.5602,0.7122,0.3371,0.3662,74045733.81,41480420.08
2018-02-16,0.5799,0.6715,0.4923,0.5718,140085358.01,81235499.11
2018-02-17,0.5691,0.7005,0.566,0.6317,64365368.2,36630331.04
2018-02-18,0.469,0.5473,0.4688,0.5343,35879551.17,16827509.5
2018-02-19,0.486,0.5272,0.4801,0.5071,21932504.44,10659197.16
2018-02-20,0.4024,0.4906,0.3974,0.4898,15873837.03,6387632.02
2018-02-21,0.4486,0.4702,0.3653,0.3743,26300796.26,11798537.2
2018-02-22,0.3846,0.4253,0.362,0.423,38449011.0,14787489.63
2018-02-23,0.3907,0.4171,0.3848,0.3973,12030355.69,4700259.97
2018-02-24,0.3999,0.4046,0.3662,0.3727,10243909.42,4096539.38
2018-02-25,0.3892,0.4153,0.3844,0.3959,10537677.63,4101264.13
2018-02-26,0.4021,0.4328,0.3821,0.4182,9074748.66,3648956.44
2018-02-27,0.4032,0.4237,0.3938,0.4126,5134003.69,2070030.29
2018-02-28,0.3912,0.4133,0.3617,0.3933,7025563.19,2748400.32
2018-03-01,0.4155,0.5125,0.3979,0.4142,16880182.4,7013715.79
2018-03-02,0.4108,0.4226,0.3951,0.4199,4730217.74,1943173.45
2018-03-03,0.3976,0.4265,0.3936,0.4265,3884109.22,1544321.83
2018-03-04,0.3969,0.4154,0.3937,0.399,3887592.33,1542985.4
2018-03-05,0.3612,0.4016,0.3543,0.3947,5421899.41,1958390.07
2018-03-06,0.3336,0.3563,0.3247,0.3368,5001444.41,1668481.86
2018-03-07,0.2928,0.3226,0.2612,0.3085,7373754.34,2159035.27
2018-03-08,0.2605,0.2795,0.2554,0.2748,4590695.92,1195876.29
2018-03-09,0.2519,0.2592,0.2385,0.2587,3801052.91,957485.23
2018-03-10,0.245,0.2637,0.2395,0.2412,3467574.83,849555.83
2018-03-11,0.2704,0.2782,0.2627,0.2657,2149176.45,581137.31
2018-03-12,0.2468,0.2616,0.2423,0.259,3303453.97,815292.44
2018-03-13,0.2459,0.2506,0.2377,0.2473,3246599.9,798338.92
2018-03-14,0.2662,0.2832,0.2176,0.2206,22704564.61,6043955.1
2018-03-15,0.2464,0.2857,0.2232,0.2667,28014721.8,6902827.45
2018-03-16,0.2405,0.2596,0.2364,0.2469,4646739.43,1117540.83
2018-03-17,0.2438,0.2576,0.2289,0.2289,7563854.3,1844067.68
2018-03-18,0.2359,0.2565,0.214,0.2539,6332553.18,1493849.3
2018-03-19,0.2423,0.2535,0.2361,0.2476,3931613.24,952629.89
2018-03-20,0.2492,0.2585,0.2457,0.2507,3733595.21,930411.93
2018-03-21,0.2656,0.276,0.2452,0.249,7442626.6,1976761.62
2018-03-22,0.2615,0.2809,0.2442,0.2601,7640989.54,1998118.76
2018-03-23,0.2582,0.2757,0.2476,0.2683,5463441.74,1410660.66
2018-03-24,0.2566,0.2589,0.2402,0.247,19313028.15,4955723.02
2018-03-25,0.2584,0.2699,0.2473,0.2527,14547367.49,3759039.76
2018-03-26,0.2318,0.2576,0.228,0.2488,29338130.24,6800578.59
2018-03-27,0.22,0.2302,0.2153,0.2221,33059263.88,7273038.05
2018-03-28,0.2229,0.2336,0.2157,0.2243,291328500.29,64937122.71
2018-03-29,0.1811,0.2018,0.1593,0.199,70458784.46,12760085.87
2018-03-30,0.1915,0.2059,0.1651,0.1746,9967773.69,1908828.66
2018-03-31,0.1858,0.1968,0.1837,0.194,4832776.54,897929.88
2018-04-01,0.1737,0.1841,0.1731,0.1829,2743431.29,476534.02
2018-04-02,0.1733,0.1839,0.1669,0.1798,5137164.14,890270.55
2018-04-03,0.1878,0.1912,0.1801,0.1821,4039492.79,758616.75
2018-04-04,0.1598,0.1722,0.1573,0.1722,5090370.9,813441.27
2018-04-05,0.163,0.1654,0.1575,0.1592,3451293.5,562560.84
2018-04-06,0.1654,0.1799,0.1534,0.1593,7597497.56,1256626.1
2018-04-07,0.1709,0.1798,0.1638,0.1724,8009367.05,1368800.83
2018-04-08,0.1807,0.1925,0.1724,0.175,10836985.9,1958243.35
2018-04-09,0.1735,0.178,0.1703,0.174,3131809.62,543368.97
2018-04-10,0.1795,0.1822,0.1721,0.1756,3191676.77,572905.98
2018-04-11,0.1843,0.187,0.1808,0.1822,3698625.45,681656.67
2018-04-12,0.2244,0.2328,0.2061,0.2094,15140820.79,3397600.19
2018-04-13,0.2228,0.2404,0.2183,0.2238,13570863.5,3023588.39
2018-04-14,0.2287,0.2327,0.2168,0.2262,6439954.42,1472817.58
2018-04-15,0.2423,0.2437,0.2303,0.2388,5187989.81,1257049.93
2018-04-16,0.2443,0.2637,0.2296,0.2337,16519944.83,4035822.52
2018-04-17,0.2599,0.2914,0.238,0.2395,18863011.78,4902496.76
2018-04-18,0.2785,0.2785,0.2621,0.2692,9321552.07,2596052.25
2018-04-19,0.3012,0.3038,0.2823,0.2823,10370063.2,3123463.04
2018-04-20,0.2909,0.3221,0.2852,0.3221,9807002.02,2852856.89
2018-04-21,0.283,0.3003,0.2668,0.293,9775369.34,2766429.52
2018-04-22,0.2995,0.3177,0.2693,0.2794,12124599.94,3631317.68
2018-04-23,0.3484,0.3709,0.3029,0.3044,20260799.36,7058862.5
2018-04-24,0.3767,0.3966,0.3418,0.3751,13081025.42,4927622.28
2018-04-25,0.3103,0.3548,0.3001,0.347,14050422.06,4359845.97
2018-04-26,0.4354,0.5022,0.3205,0.3247,118722585.77,51691813.84
2018-04-27,0.5737,0.6013,0.4029,0.4162,148455629.42,85168994.6
2018-04-28,0.5748,0.6353,0.5477,0.6002,28509392.85,16387199.01
2018-04-29,0.542,0.5825,0.5313,0.5784,10489913.99,5685533.38
2018-04-30,0.4816,0.5333,0.4787,0.5329,10361063.24,4989888.06
2018-05-01,0.5147,0.5274,0.4589,0.4727,14352319.02,7387138.6
2018-05-02,0.5475,0.5508,0.5043,0.5235,12003000.02,6571642.51
2018-05-03,0.6014,0.6771,0.5572,0.5779,27678793.29,16646026.28
2018-05-04,0.5314,0.6142,0.5006,0.5987,25811155.54,13716048.05
2018-05-05,0.499,0.5395,0.4777,0.5395,15327201.1,7648273.35
2018-05-06,0.4601,0.4905,0.4467,0.4887,8962777.38,4123773.87
2018-05-07,0.46,0.4872,0.4443,0.4473,9084189.59,4178727.21
2018-05-08,0.438,0.4602,0.4286,0.4511,7162714.15,3137268.8
2018-05-09,0.4054,0.444,0.4013,0.443,5856166.48,2374089.89
2018-05-10,0.3746,0.4125,0.3719,0.3919,16274445.71,6096407.36
2018-05-11,0.3219,0.3626,0.3014,0.3484,14164001.85,4559392.2
2018-05-12,0.3179,0.3375,0.293,0.3244,8963119.22,2849375.6
2018-05-13,0.3329,0.3461,0.3156,0.3263,6826259.41,2272461.76
2018-05-14,0.3313,0.3441,0.3155,0.3315,8759714.32,2902093.35
2018-05-15,0.3799,0.3936,0.3194,0.3239,25405394.51,9651509.37
2018-05-16,0.3397,0.4061,0.3356,0.3743,51149240.82,17375397.11
2018-05-17,0.3023,0.3338,0.2998,0.3287,25096571.89,7586693.68
2018-05-18,0.3087,0.3223,0.2988,0.31,20950803.3,6467512.98
2018-05-19,0.3145,0.3203,0.297,0.3088,20175812.42,6345293.01
2018-05-20,0.33,0.3388,0.3205,0.3253,21059597.44,6949667.16
2018-05-21,0.3114,0.3284,0.3066,0.3256,18113601.25,5640575.43
