time,close,high,low,open,volumefrom,volumeto
2018-06-04,0.05388,0.05471,0.05388,0.05471,346.0,18.64
2018-06-05,0.05687,0.05805,0.05493,0.05542,59170.48,3365.03
2018-06-06,0.05517,0.05696,0.05484,0.05669,55418.38,3057.43
2018-06-07,0.055,0.055,0.055,0.055,0.0,0.0
2018-06-08,0.05455,0.05455,0.05455,0.05455,0.0,0.0
2018-06-09,0.05399,0.05399,0.05399,0.05399,0.0,0.0
2018-06-10,0.04775,0.04775,0.04775,0.04775,0.0,0.0
2018-06-11,0.04833,0.04833,0.04833,0.04833,0.0,0.0
2018-06-12,0.045,0.045,0.045,0.045,0.0,0.0
2018-06-13,0.04334,0.04334,0.04334,0.04334,0.0,0.0
2018-06-14,0.000681,0.0473,0.0006706,0.0473,21249873.0,14471.16
2018-06-15,0.0006386,0.0006386,0.0006386,0.0006386,0.0,0.0
2018-06-16,0.0006514,0.0006514,0.0006514,0.0006514,0.0,0.0
2018-06-17,0.0006507,0.0006507,0.0006507,0.0006507,0.0,0.0
2018-06-18,0.0006781,0.0006781,0.0006781,0.0006781,0.0,0.0
2018-06-19,0.0007054,0.0007054,0.0007054,0.0007054,0.0,0.0
2018-06-20,0.0004825,0.0007024,0.0004825,0.0007024,18498.0,8.93
2018-06-21,0.0004206,0.0005941,0.0004206,0.0004732,1562622.0,657.24
2018-06-22,0.0004159,0.0004159,0.0003697,0.0003697,114749.0,47.72
2018-06-23,0.0004268,0.0004268,0.0004268,0.0004268,0.0,0.0
2018-06-24,0.0004097,0.0004097,0.0004097,0.0004097,0.0,0.0
2018-06-25,0.0004129,0.0004129,0.0004129,0.0004129,0.0,0.0
2018-06-26,0.000378,0.0004124,0.0003694,0.0003866,286780.0,108.4
2018-06-27,0.0003711,0.0003887,0.0003711,0.0003887,15497169.0,5751.0
2018-06-28,0.0003786,0.0004249,0.0002987,0.0003534,2395561.0,906.96
2018-06-29,0.0003656,0.0004091,0.0003656,0.0003917,14160531.0,5177.09
2018-06-30,0.0004171,0.0004171,0.0003718,0.0003809,1113678.0,464.52
2018-07-01,0.0004158,0.0004158,0.0003977,0.0004158,201666.0,83.85
2018-07-02,0.0005052,0.0005052,0.0004003,0.0004385,709315.0,358.35
2018-07-03,0.0004158,0.0005081,0.0004158,0.0004897,408864261.0,170005.76
2018-07-04,0.0004672,0.000556,0.0004205,0.0004205,199891135.0,93389.14
2018-07-05,0.0004582,0.000505,0.0004395,0.0004676,243409392.0,111530.18
2018-07-06,0.0004464,0.0004652,0.000437,0.0004605,105586263.41,47133.71
2018-07-07,0.0004664,0.0004955,0.0004567,0.0004615,125588757.53,58574.6
2018-07-08,0.0004813,0.0004862,0.000457,0.0004667,179565438.69,86424.85
2018-07-09,0.000429,0.0004668,0.0004196,0.0004668,233654680.92,100237.86
2018-07-10,0.0004067,0.0004111,0.0003851,0.0003937,370161731.64,150544.78
2018-07-11,0.0003966,0.0004189,0.0003609,0.0004189,434036874.34,172139.02
2018-07-12,0.0003921,0.0004223,0.000362,0.0003835,504713792.58,197898.28
2018-07-13,0.0003546,0.0004065,0.0003503,0.0003935,583197043.16,206801.67
2018-07-14,0.0004077,0.0004121,0.0003513,0.0003557,579127614.75,236110.33
2018-07-15,0.0003867,0.003206,0.0003822,0.0004226,303985562.88,117551.22
2018-07-16,0.0004309,0.0004357,0.0004069,0.0004117,393567324.61,169588.16
2018-07-17,0.0004392,0.0004541,0.0004192,0.0004492,771195017.18,338708.85
2018-07-18,0.000479,0.0004838,0.0002683,0.0004215,1099764949.67,526787.41
2018-07-19,0.000464,0.000478,0.0004265,0.0004686,1164704057.89,540422.68
2018-07-20,0.0004713,0.0004713,0.0004264,0.0004444,753368343.28,355062.5
2018-07-21,0.0005302,0.0005302,0.0004703,0.0004841,461316454.88,244589.98
2018-07-22,0.0006316,0.0006407,0.0005126,0.0005263,674831658.17,426223.68
2018-07-23,0.0009307,0.0009892,0.0005935,0.000616,8972426780.12,8350637.6
2018-07-24,0.0009014,0.00105,0.0007959,0.00104,3228692101.85,2910343.06
2018-07-25,0.0008153,0.0008907,0.0007682,0.000886,1327742830.83,1082508.73
2018-07-26,0.0007623,0.0008132,0.0007577,0.0007993,1381547789.69,1053153.88
2018-07-27,0.0007985,0.0007985,0.0007609,0.000775,1347257361.89,1075785.0
2018-07-28,0.0007637,0.0007965,0.0007544,0.0007918,935749557.4,714631.94
2018-07-29,0.0007366,0.0007599,0.0007273,0.0007599,935140462.48,688824.46
2018-07-30,0.0007259,0.0007305,0.0006894,0.0007214,1223681917.21,888270.7
2018-07-31,0.0006091,0.0006869,0.0005875,0.0006869,1536782265.88,936054.08
2018-08-01,0.0006214,0.0006508,0.0005584,0.000592,1339297949.42,832239.75
2018-08-02,0.0005998,0.0006368,0.0005998,0.000608,972503026.8,583307.32
2018-08-03,0.000593,0.0006139,0.0005596,0.0006097,1259139486.91,746669.72
2018-08-04,0.0005575,0.00059,0.0005493,0.0005778,711618786.6,396727.47
2018-08-05,0.0005805,0.0005846,0.0005478,0.0005601,754516973.99,437997.1
2018-08-06,0.0007897,0.0008301,0.000571,0.000575,9616283111.97,7593978.77
2018-08-07,0.0006765,0.0007521,0.0006463,0.0007408,3904059366.06,2641096.16
2018-08-08,0.0006649,0.0006934,0.000608,0.0006365,3099233274.65,2060680.2
2018-08-09,0.0007561,0.0007597,0.0006689,0.0006798,2408525762.87,1821086.33
2018-08-10,0.0006731,0.0006963,0.00063,0.0006897,2026528433.0,1364056.29
2018-08-11,0.0006265,0.0006551,0.0006201,0.0006456,1017520447.41,637476.56
2018-08-12,0.0006809,0.0006841,0.0006269,0.0006269,1072984072.71,730594.86
2018-08-13,0.0005794,0.0006192,0.0005766,0.0006078,2495712623.22,1446015.89
2018-08-14,0.0005622,0.0005928,0.0005455,0.0005678,2491262950.72,1400588.03
2018-08-15,0.0005372,0.0005822,0.0005344,0.0005681,1607095895.34,863331.91
2018-08-16,0.0005535,0.0005736,0.0005162,0.0005478,2909908807.0,1610634.52
2018-08-17,0.0006415,0.0006701,0.0005875,0.0006129,1835128741.47,1177235.09
2018-08-18,0.0005956,0.0006162,0.0005661,0.0005956,1321857460.18,787298.3
2018-08-19,0.0006022,0.0006112,0.0005873,0.0006052,536788322.29,323253.93
2018-08-20,0.0005497,0.0005687,0.0005335,0.0005443,867304963.07,476757.54
2018-08-21,0.0005848,0.0005904,0.0005679,0.0005707,1395094187.81,815851.08
2018-08-22,0.0005678,0.0005786,0.0005516,0.0005624,1066837185.66,605750.15
2018-08-23,0.000593,0.0005958,0.0005737,0.0005792,753994404.31,447118.68
2018-08-24,0.0006162,0.000619,0.0005993,0.0006049,937854222.74,577905.77
2018-08-25,0.0006273,0.0006384,0.0006051,0.0006079,689938099.73,432798.17
2018-08-26,0.0006336,0.0006528,0.0006089,0.0006199,914977503.73,579729.75
2018-08-27,0.0006567,0.0006855,0.000648,0.0006653,850830256.58,558740.23
2018-08-28,0.0008837,0.0009103,0.000662,0.0006739,5285524541.2,4670818.04
2018-08-29,0.0008112,0.0008949,0.0007938,0.0008631,3019656857.47,2449545.64
2018-08-30,0.0007786,0.000824,0.0007558,0.0007985,2129710369.32,1658192.49
2018-08-31,0.0008084,0.0008309,0.0007717,0.0007717,1280189956.52,1034905.56
2018-09-01,0.0008802,0.000892,0.0008181,0.0008477,1955404080.41,1721146.67
2018-09-02,0.001151,0.001233,0.0008674,0.0008792,5535936653.33,6371863.09
