time,close,high,low,open,volumefrom,volumeto
2016-10-25,0.1777,0.2474,0.07226,0.07226,303548.55,53940.58
2016-10-26,0.171,0.1903,0.1293,0.1842,835257.88,142829.1
2016-10-27,0.1317,0.1733,0.1228,0.173,700510.57,92257.24
2016-10-28,0.1319,0.1401,0.1127,0.1324,436868.84,57623.0
2016-10-29,0.1144,0.1373,0.1072,0.1374,458854.88,52493.0
2016-10-30,0.1255,0.1311,0.1081,0.1116,305662.83,38360.69
2016-10-31,0.13,0.139,0.1188,0.1258,286364.32,37227.36
2016-11-01,0.1366,0.1563,0.125,0.1352,551642.25,75354.33
2016-11-02,0.137,0.1392,0.1246,0.1379,243410.6,33347.25
2016-11-03,0.1252,0.1314,0.119,0.1279,185986.41,23285.5
2016-11-04,0.1271,0.1313,0.1194,0.1283,147310.36,18723.15
2016-11-05,0.1271,0.1292,0.1208,0.1271,92480.07,11754.22
2016-11-06,0.12,0.1285,0.1122,0.1285,211069.49,25328.34
2016-11-07,0.1175,0.1267,0.1112,0.1192,204281.3,24003.05
2016-11-08,0.1137,0.1216,0.113,0.1184,112447.02,12785.23
2016-11-09,0.1076,0.1193,0.09386,0.1154,362849.98,39042.66
2016-11-10,0.1136,0.115,0.1065,0.1065,145348.72,16511.61
2016-11-11,0.1165,0.1258,0.1123,0.1137,158079.58,18416.27
2016-11-12,0.1472,0.1472,0.1106,0.1147,464664.9,68398.67
2016-11-13,0.1727,0.1888,0.1425,0.1467,677517.41,117007.26
2016-11-14,0.1832,0.1938,0.1536,0.1733,434511.74,79602.55
2016-11-15,0.2056,0.2134,0.1789,0.1849,544972.3,112046.3
2016-11-16,0.1577,0.2221,0.1577,0.214,837333.29,132047.46
2016-11-17,0.1726,0.1918,0.1571,0.1571,183450.16,31663.5
2016-11-18,0.1658,0.1823,0.1494,0.1748,340317.05,56424.57
2016-11-19,0.178,0.184,0.16,0.166,200798.49,35742.13
2016-11-20,0.1763,0.1785,0.1654,0.1734,159430.48,28107.59
2016-11-21,0.184,0.2054,0.1701,0.1782,398914.63,73400.29
2016-11-22,0.1753,0.1918,0.1701,0.1873,292967.37,51357.18
2016-11-23,0.1816,0.1875,0.1734,0.1734,92547.47,16806.62
2016-11-24,0.1706,0.1802,0.1699,0.1802,152606.03,26034.59
2016-11-25,0.1703,0.1799,0.1658,0.1718,156332.78,26623.47
2016-11-26,0.1586,0.174,0.1549,0.1689,245475.16,38932.36
2016-11-27,0.1627,0.1765,0.1576,0.1576,149884.89,24386.27
2016-11-28,0.1753,0.1789,0.1628,0.1635,133633.25,23425.91
2016-11-29,0.1685,0.1758,0.1656,0.1751,150686.96,25390.75
2016-11-30,0.1767,0.1968,0.1708,0.1708,283994.06,50181.75
2016-12-01,0.1693,0.1821,0.1678,0.1791,161571.09,27353.99
2016-12-02,0.1773,0.1843,0.1627,0.1735,436279.96,77352.44
2016-12-03,0.1827,0.1849,0.172,0.1758,124807.54,22802.34
2016-12-04,0.1747,0.1855,0.1694,0.1832,186820.21,32637.49
2016-12-05,0.1702,0.1762,0.1679,0.172,119978.73,20420.38
2016-12-06,0.1751,0.1782,0.1592,0.1711,422822.82,74036.28
2016-12-07,0.1707,0.1853,0.17,0.1768,263017.82,44897.14
2016-12-08,0.1821,0.1837,0.1706,0.1714,152009.2,27680.88
2016-12-09,0.1965,0.1965,0.1734,0.1826,205069.26,40296.11
2016-12-10,0.1966,0.2043,0.1811,0.1974,258524.68,50825.95
2016-12-11,0.2058,0.2181,0.1927,0.195,196562.5,40452.56
2016-12-12,0.2242,0.2413,0.2001,0.2086,474180.86,106311.35
2016-12-13,0.2289,0.2352,0.2033,0.2243,372695.76,85310.06
2016-12-14,0.2166,0.2306,0.2065,0.2283,358535.81,77658.86
2016-12-15,0.2124,0.2217,0.2085,0.2163,123609.35,26254.63
2016-12-16,0.2158,0.2182,0.2002,0.2143,320282.89,69117.05
2016-12-17,0.2094,0.2204,0.2047,0.2173,135308.67,28333.64
2016-12-18,0.2249,0.232,0.2091,0.2099,165348.18,37186.81
2016-12-19,0.297,0.308,0.2227,0.2251,637266.37,189268.11
2016-12-20,0.326,0.3316,0.2796,0.3005,1029474.88,335608.81
2016-12-21,0.3176,0.3383,0.2654,0.3383,849308.9,269740.51
2016-12-22,0.2993,0.332,0.283,0.3294,478783.77,143299.98
2016-12-23,0.3027,0.3375,0.2788,0.3192,695050.01,210391.64
2016-12-24,0.2771,0.3012,0.2762,0.2941,227468.3,63031.47
2016-12-25,0.3404,0.3484,0.2771,0.2771,433337.23,147507.99
2016-12-26,0.3056,0.3512,0.2877,0.3432,609235.27,186182.3
2016-12-27,0.2602,0.3296,0.2177,0.315,1337900.65,348121.75
2016-12-28,0.2205,0.3051,0.2195,0.2733,580033.18,127897.32
2016-12-29,0.2602,0.2904,0.2195,0.2202,763695.21,198713.49
2016-12-30,0.3079,0.3194,0.2436,0.257,488278.02,150340.8
2016-12-31,0.3064,0.3256,0.2929,0.3092,333569.49,102205.69
2017-01-01,0.3026,0.3494,0.2996,0.3165,556729.93,168466.48
2017-01-02,0.3031,0.3224,0.2878,0.3092,273025.48,82754.02
2017-01-03,0.3503,0.3524,0.2945,0.3079,436170.0,152790.35
2017-01-04,0.3577,0.3849,0.3179,0.3849,731024.45,261487.45
2017-01-05,0.3097,0.3275,0.277,0.3116,594191.77,184021.19
2017-01-06,0.3022,0.3102,0.2756,0.2774,605587.29,183008.48
2017-01-07,0.3138,0.3289,0.2942,0.3031,889214.71,279035.58
2017-01-08,0.3468,0.3486,0.3171,0.318,309004.97,107162.92
