time,close,high,low,open,volumefrom,volumeto
2018-07-17,2096.05,2096.05,2096.05,2096.05,0.02805,58.79
2018-07-18,2380.73,2380.73,2011.88,2011.88,5.07,12070.3
2018-07-19,2324.5,2329.19,2155.79,2329.19,1.35,3138.08
2018-07-20,2024.27,2226.25,2024.27,2226.25,4.01,8117.32
2018-07-21,2489.62,2489.62,2074.68,2079.29,9.98,24846.41
2018-07-22,2219.6,2471.31,2160.11,2471.31,3.14,6969.54
2018-07-23,2189.7,2189.7,2095.28,2180.71,4.36,9547.09
2018-07-24,2339.81,2339.81,2234.33,2335.02,2.81,6574.87
2018-07-25,2356.4,2356.4,2191.45,2299.85,8.81,20759.88
2018-07-26,2296.29,2749.08,2296.29,2421.04,9.44,21676.98
2018-07-27,2583.3,2583.3,2306.18,2334.36,3.44,8886.55
2018-07-28,2394.29,2642.62,2394.29,2577.03,1.31,3136.52
2018-07-29,2237.76,2396.27,2158.51,2382.28,6.03,13493.69
2018-07-30,2054.52,2191.49,2018.0,2191.49,6.08,12491.48
2018-07-31,1931.0,2073.55,1818.68,1943.96,10.7,20661.7
2018-08-01,1847.43,1889.42,1679.48,1876.82,5.58,10308.66
2018-08-02,1828.19,1828.19,1787.11,1807.65,1.44,2632.59
2018-08-03,1716.42,1879.29,1716.42,1858.41,3.32,5698.51
2018-08-04,1810.75,1810.75,1668.33,1668.33,0.6549,1185.86
2018-08-05,1680.21,1819.2,1680.21,1819.2,1.0,1680.21
2018-08-06,1797.98,1797.98,1664.34,1664.34,2.71,4872.53
2018-08-07,1591.13,1678.05,1576.01,1678.05,3.13,4980.24
2018-08-08,1464.95,1564.51,1461.39,1496.95,2.7,3955.37
2018-08-09,1563.09,1563.09,1497.66,1497.66,0.1016,158.81
2018-08-10,1419.12,1425.75,1419.12,1425.75,0.1374,194.99
2018-08-11,1326.1,1367.44,1326.1,1361.08,1.34,1776.97
2018-08-12,1326.89,1326.89,1326.89,1326.89,0.234,310.49
2018-08-13,1246.89,1246.89,1167.36,1184.41,1.73,2157.12
2018-08-14,1191.17,1221.78,1138.29,1221.78,3.83,4562.18
2018-08-15,1150.27,1203.71,1150.27,1203.71,1.35,1552.86
2018-08-16,1218.9,1218.9,1147.2,1173.01,5.69,6935.54
2018-08-17,1276.63,1387.78,1270.28,1349.67,2.62,3344.77
2018-08-18,1182.35,1205.94,1179.4,1179.4,0.181,214.01
2018-08-19,1423.2,1423.2,1201.48,1201.48,5.87,8354.18
2018-08-20,1240.31,1286.35,1083.24,1286.35,6.47,8024.81
2018-08-21,1127.33,1287.58,1124.52,1287.58,8.36,9424.48
2018-08-22,1081.48,1100.41,946.3,1084.18,9.47,10241.62
2018-08-23,1028.85,1103.32,1028.85,1103.32,0.5704,586.86
2018-08-24,1105.78,1105.78,998.86,1049.51,2.27,2510.12
2018-08-25,988.11,1090.81,988.11,1090.81,1.42,1403.12
2018-08-26,1078.0,1078.0,976.51,976.51,0.1147,123.65
2018-08-27,1039.75,1131.92,1036.87,1131.92,2.23,2318.64
2018-08-28,1117.18,1238.35,1066.94,1066.94,7.37,8233.62
2018-08-29,1209.53,1212.41,1091.17,1091.17,4.83,5842.03
2018-08-30,1193.43,1193.43,1119.55,1190.59,1.11,1324.71
2018-08-31,1123.82,1208.32,1050.59,1182.97,3.61,4056.99
2018-09-01,1181.44,1181.44,1078.06,1178.49,6.34,7490.33
2018-09-02,1150.58,1180.08,1150.58,1180.08,0.1516,174.43
2018-09-03,1152.99,1152.99,1028.73,1126.98,10.03,11564.49
2018-09-04,1138.07,1138.07,1138.07,1138.07,0.1176,133.84
2018-09-05,801.23,910.8,801.23,910.8,6.63,5312.15
2018-09-06,954.8,954.8,805.62,805.62,5.55,5299.14
2018-09-07,860.56,910.04,755.14,894.98,8.58,7383.6
2018-09-08,855.95,855.95,767.4,787.08,8.86,7583.72
2018-09-09,805.52,862.36,725.16,852.56,13.35,10753.69
2018-09-10,788.56,810.25,747.16,810.25,1.71,1348.44
2018-09-11,698.02,755.41,670.24,740.6,2.44,1703.17
2018-09-12,708.33,708.33,622.3,690.02,9.6,6799.97
2018-09-13,783.81,826.07,783.81,817.61,2.89,2265.21
2018-09-14,919.03,919.03,774.91,774.91,12.43,11423.54
2018-09-15,981.82,1019.5,886.52,975.17,4.56,4477.1
2018-09-16,891.49,1034.56,880.48,975.13,13.72,12231.24
2018-09-17,848.85,901.78,768.48,793.96,9.85,8361.17
2018-09-18,883.57,1039.87,833.56,902.33,27.59,24377.7
2018-09-19,870.59,912.54,860.1,889.47,3.53,3073.18
2018-09-20,977.71,977.71,932.75,932.75,2.82,2757.14
2018-09-21,1008.1,1114.61,928.84,1077.45,22.44,22621.76
2018-09-22,1035.35,1035.35,941.45,979.97,5.36,5549.48
2018-09-23,985.54,985.54,985.54,985.54,0.1223,120.53
2018-09-24,913.96,950.43,888.89,918.52,5.35,4889.69
2018-09-25,876.8,920.64,876.8,878.99,5.63,4936.38
2018-09-26,880.4,880.4,846.13,856.84,0.1853,163.14
2018-09-27,909.49,941.56,907.2,941.56,4.35,3956.28
2018-09-28,928.34,928.34,879.59,879.59,2.22,2060.91
2018-09-29,925.28,971.54,925.28,969.23,3.11,2877.62
2018-09-30,907.14,967.62,907.14,930.4,7.2,6531.41
2018-10-01,877.38,930.49,877.38,900.47,4.12,3614.81
2018-10-02,908.4,908.4,856.56,856.56,3.36,3052.22
2018-10-03,879.88,886.48,879.88,886.48,1.82,1601.38
2018-10-04,869.3,893.69,855.99,887.04,2.18,1895.07
2018-10-05,982.25,982.25,893.37,893.37,10.21,10028.77
2018-10-06,963.62,968.11,963.62,968.11,1.06,1021.44
2018-10-07,970.3,970.3,968.04,968.04,1.02,989.71
2018-10-08,997.59,997.59,928.79,986.12,2.11,2104.91
2018-10-09,973.66,989.58,921.33,989.58,1.85,1801.27
2018-10-10,941.59,966.37,914.56,964.11,3.76,3540.38
2018-10-11,808.68,812.47,791.59,793.49,2.49,2013.61
2018-10-12,819.15,834.83,795.64,834.83,2.52,2064.26
2018-10-13,811.76,833.7,811.76,833.7,1.35,1095.88
2018-10-14,779.96,793.61,779.96,793.61,5.85,4562.77
2018-10-15,843.2,864.28,813.69,843.2,3.11,2622.35
2018-10-16,859.8,859.8,840.88,840.88,0.01223,10.52
2018-10-17,830.4,849.08,790.96,849.08,4.12,3421.25
2018-10-18,775.54,820.08,775.54,809.96,4.06,3148.69
2018-10-19,776.95,776.95,776.95,776.95,0.0,0.0
2018-10-20,787.51,816.22,785.46,785.46,1.3,1023.76
2018-10-21,786.32,814.98,733.08,786.32,18.12,14248.12
2018-10-22,718.71,792.0,661.7,781.82,22.66,16285.97
2018-10-23,698.69,786.28,698.69,719.06,1.09,761.57
2018-10-24,712.25,760.95,675.72,696.02,11.31,8055.55
2018-10-25,742.54,742.54,690.22,690.22,1.66,1232.62
2018-10-26,715.86,750.44,715.86,750.44,2.18,1560.57
2018-10-27,711.79,734.1,646.9,713.82,10.83,7708.69
2018-10-28,723.21,723.21,670.24,715.06,1.36,983.57
2018-10-29,694.63,694.63,610.49,694.63,9.76,6779.59
2018-10-30,667.05,696.47,657.24,696.47,1.6,1067.28
2018-10-31,639.06,672.69,639.06,672.69,2.87,1834.1
2018-11-01,631.96,695.56,631.96,641.9,17.79,11242.57
2018-11-02,593.01,639.24,424.15,639.24,25.9,15358.96
2018-11-03,532.58,588.44,532.58,588.44,5.15,2742.79
2018-11-04,623.34,623.34,564.17,564.17,11.19,6975.17
