time,close,high,low,open,volumefrom,volumeto
2018-09-28,0.04728,0.04839,0.03589,0.03589,38047.23,1798.87
2018-09-29,0.0344,0.04936,0.0344,0.04936,4515.0,155.32
2018-09-30,0.04617,0.04617,0.04617,0.04617,979.03,45.2
2018-10-01,0.04581,0.04583,0.03694,0.04583,43058.5,1972.51
2018-10-02,0.04508,0.04711,0.04472,0.04472,6015.07,271.16
2018-10-03,0.04591,0.04591,0.04399,0.04399,3255.04,149.44
2018-10-04,0.04939,0.04939,0.04628,0.04628,18934.9,935.19
2018-10-05,0.05075,0.05075,0.05075,0.05075,0.0,0.0
2018-10-06,0.04425,0.05002,0.04425,0.05002,950.55,42.06
2018-10-07,0.0519,0.0519,0.04445,0.04445,10956.52,568.64
2018-10-08,0.05275,0.05275,0.05275,0.05275,0.0,0.0
2018-10-09,0.05262,0.05262,0.05223,0.05232,8106.8,426.58
2018-10-10,0.05181,0.0521,0.03733,0.0521,24802.3,1285.01
2018-10-11,0.03227,0.04366,0.03227,0.04366,23629.87,762.54
2018-10-12,0.04268,0.04268,0.03331,0.03331,447.11,19.08
2018-10-13,0.0349,0.04344,0.0349,0.04344,18886.1,659.12
2018-10-14,0.03878,0.03878,0.03412,0.03412,31232.75,1211.21
2018-10-15,0.03691,0.04193,0.03605,0.04193,129944.43,4796.25
2018-10-16,0.04181,0.04181,0.03681,0.03681,33413.78,1397.03
2018-10-17,0.04463,0.04463,0.04129,0.04129,35428.86,1581.19
2018-10-18,0.04354,0.04354,0.03631,0.04354,14584.81,635.02
2018-10-19,0.04361,0.04361,0.04361,0.04361,0.0,0.0
2018-10-20,0.04409,0.04409,0.04409,0.04409,0.0,0.0
2018-10-21,0.03583,0.04403,0.03583,0.04403,31698.15,1135.74
2018-10-22,0.03563,0.03563,0.03563,0.03563,0.0,0.0
2018-10-23,0.03485,0.03565,0.03485,0.03565,1275.88,44.46
2018-10-24,0.03937,0.03937,0.03472,0.03472,971.99,38.27
2018-10-25,0.03904,0.03904,0.03441,0.03441,6030.0,235.41
2018-10-26,0.03966,0.03966,0.03945,0.03945,2235.86,88.67
2018-10-27,0.03954,0.03954,0.03954,0.03954,0.0,0.0
2018-10-28,0.03973,0.03973,0.03973,0.03973,0.0,0.0
2018-10-29,0.03346,0.03816,0.03131,0.03816,36674.0,1227.11
2018-10-30,0.03355,0.03355,0.03355,0.03355,0.0,0.0
