time,close,high,low,open,volumefrom,volumeto
2018-03-28,0.08636,0.09114,0.08,0.08899,75557.84,6525.18
2018-03-29,0.07313,0.08102,0.06908,0.07711,240871.48,17614.93
2018-03-30,0.08177,0.08992,0.06778,0.07053,139704.74,11423.66
2018-03-31,0.0818,0.08666,0.0752,0.08284,87101.72,7124.92
2018-04-01,0.07383,0.08196,0.07191,0.08053,49358.5,3644.14
2018-04-02,0.07527,0.07994,0.07004,0.07641,298226.97,22447.54
2018-04-03,0.07865,0.08029,0.07063,0.0791,61047.87,4801.41
2018-04-04,0.07115,0.0762,0.06768,0.07211,56169.42,3996.45
2018-04-05,0.07293,0.07293,0.06824,0.07089,116548.89,8499.91
2018-04-06,0.06914,0.07126,0.06641,0.07126,28304.88,1957.0
2018-04-07,0.0745,0.0745,0.06737,0.07208,205242.09,15290.54
2018-04-08,0.07762,0.08037,0.07466,0.07593,237708.15,18450.91
2018-04-09,0.08032,0.08046,0.07353,0.07475,122654.38,9851.6
2018-04-10,0.08259,0.08651,0.07806,0.08128,165494.72,13668.21
2018-04-11,0.07912,0.08393,0.07514,0.08387,145819.22,11537.22
2018-04-12,0.0991,0.0991,0.08348,0.0899,301620.71,29890.61
2018-04-13,0.09487,0.104,0.09171,0.09874,221740.19,21036.49
2018-04-14,0.08985,0.1063,0.08119,0.09635,143203.63,12866.85
2018-04-15,0.09189,0.1006,0.08988,0.09382,60375.53,5547.91
2018-04-16,0.09146,0.09429,0.08775,0.08864,30386.43,2779.14
2018-04-17,0.09062,0.09252,0.08001,0.08967,103865.76,9412.32
2018-04-18,0.09484,0.09566,0.08853,0.09369,120914.89,11467.57
2018-04-19,0.1053,0.1053,0.0924,0.09614,153872.59,16202.78
2018-04-20,0.1253,0.1264,0.1126,0.1126,507977.72,63649.61
2018-04-21,0.1311,0.1405,0.1157,0.1262,355669.16,46628.23
2018-04-22,0.1872,0.2139,0.1254,0.1294,1157940.56,216766.47
2018-04-23,0.1981,0.2315,0.1707,0.1903,385238.51,76315.75
2018-04-24,0.2055,0.2153,0.178,0.2133,464546.13,95464.23
2018-04-25,0.1623,0.1888,0.1509,0.1888,348753.47,56602.69
2018-04-26,0.2065,0.2139,0.1698,0.1698,311430.57,64310.41
2018-04-27,0.1825,0.1995,0.168,0.1989,71708.02,13086.71
2018-04-28,0.1891,0.1962,0.1786,0.191,257425.28,48679.12
2018-04-29,0.1799,0.1975,0.1633,0.1902,179874.1,32359.35
2018-04-30,0.1792,0.1801,0.1679,0.1768,187017.95,33513.62
2018-05-01,0.1737,0.1797,0.1648,0.1759,99078.37,17209.91
2018-05-02,0.1831,0.204,0.1745,0.1767,307394.65,56283.96
2018-05-03,0.1891,0.2007,0.1817,0.1932,177279.49,33523.55
2018-05-04,0.22,0.2231,0.1875,0.1882,634833.16,139663.3
2018-05-05,0.2111,0.2379,0.2025,0.2233,381875.25,80613.87
2018-05-06,0.1857,0.2068,0.1744,0.2068,335611.39,62323.04
2018-05-07,0.1822,0.1921,0.1673,0.1805,606210.34,110451.52
2018-05-08,0.1729,0.1927,0.1379,0.1787,779941.39,134851.87
2018-05-09,0.1633,0.18,0.1585,0.1752,171896.04,28070.62
2018-05-10,0.1814,0.1845,0.1582,0.1582,100008.56,18141.55
2018-05-11,0.1526,0.1712,0.1516,0.1691,145872.12,22260.09
2018-05-12,0.1605,0.1737,0.1287,0.1538,232972.4,37392.07
2018-05-13,0.1688,0.1858,0.1646,0.1647,111194.98,18769.71
2018-05-14,0.1922,0.1986,0.1681,0.1681,153597.55,29521.45
2018-05-15,0.185,0.1941,0.1667,0.1879,164548.98,30441.56
2018-05-16,0.1692,0.1837,0.1671,0.1821,72051.63,12191.14
2018-05-17,0.1726,0.1776,0.1601,0.1637,152385.35,26301.71
2018-05-18,0.1791,0.1815,0.1732,0.1763,59890.88,10726.46
2018-05-19,0.2023,0.2136,0.1734,0.1792,222327.87,44976.93
2018-05-20,0.2225,0.2287,0.1969,0.2092,368901.06,82080.49
2018-05-21,0.2175,0.2298,0.2038,0.2196,100947.96,21956.18
2018-05-22,0.1812,0.211,0.1812,0.2065,171550.45,31084.94
2018-05-23,0.1681,0.1748,0.1464,0.1702,381663.4,64157.62
2018-05-24,0.1675,0.1768,0.1598,0.1698,150909.99,25277.42
2018-05-25,0.1691,0.1847,0.1615,0.1651,99920.41,16896.54
2018-05-26,0.1792,0.1839,0.1661,0.1664,57624.66,10326.34
2018-05-27,0.1748,0.1841,0.1719,0.1793,112138.9,19601.88
2018-05-28,0.1588,0.1709,0.1545,0.169,55612.07,8831.2
2018-05-29,0.1686,0.184,0.1661,0.1667,29449.35,4965.16
2018-05-30,0.1615,0.175,0.1615,0.1668,38461.06,6211.46
2018-05-31,0.1673,0.1846,0.1538,0.1639,77954.75,13041.83
2018-06-01,0.1685,0.1724,0.1508,0.1679,161801.88,27263.62
2018-06-02,0.1727,0.1758,0.1649,0.171,108553.67,18747.22
2018-06-03,0.1698,0.1769,0.1616,0.1744,62912.6,10682.56
2018-06-04,0.1582,0.1675,0.1519,0.165,48638.22,7694.57
2018-06-05,0.1653,0.1712,0.1581,0.1608,25406.64,4199.72
2018-06-06,0.1593,0.1716,0.1593,0.166,38057.25,6062.52
2018-06-07,0.1543,0.1633,0.154,0.1601,28158.3,4344.83
2018-06-08,0.1556,0.1608,0.1519,0.1529,112450.51,17497.3
2018-06-09,0.1554,0.1601,0.1528,0.1533,87879.05,13656.4
2018-06-10,0.1246,0.1431,0.1223,0.1401,162812.01,20286.38
2018-06-11,0.1204,0.1347,0.1036,0.1267,55651.22,6700.41
2018-06-12,0.107,0.1157,0.09855,0.1146,92218.9,9867.42
2018-06-13,0.09832,0.1068,0.08879,0.103,164873.63,16210.38
2018-06-14,0.1004,0.1066,0.09526,0.1035,17170.4,1723.91
2018-06-15,0.09845,0.1013,0.09576,0.09672,16774.58,1651.46
2018-06-16,0.09267,0.1133,0.08246,0.1001,422493.36,39152.46
2018-06-17,0.09428,0.0968,0.09099,0.09202,20969.16,1976.97
2018-06-18,0.09736,0.1067,0.08024,0.09804,22146.03,2156.14
2018-06-19,0.09337,0.0991,0.09033,0.09775,29434.71,2748.32
2018-06-20,0.09148,0.09729,0.05808,0.09358,26343.32,2409.89
2018-06-21,0.08737,0.09221,0.08522,0.09093,99113.35,8659.53
2018-06-22,0.06899,0.07867,0.06705,0.07867,97413.42,6720.55
2018-06-23,0.06407,0.07381,0.06049,0.0703,197830.44,12675.0
2018-06-24,0.05788,0.06416,0.05542,0.06398,87099.65,5041.33
2018-06-25,0.06936,0.07224,0.05785,0.05885,64118.55,4447.26
2018-06-26,0.05607,0.06752,0.05601,0.06752,33381.83,1871.72
2018-06-27,0.06191,0.07087,0.05368,0.05656,54681.23,3385.31
2018-06-28,0.05431,0.06453,0.05431,0.05918,49286.49,2676.75
2018-06-29,0.05621,0.06607,0.0536,0.05739,77120.35,4334.93
2018-06-30,0.06436,0.06615,0.03672,0.05785,25005.01,1609.32
2018-07-01,0.06726,0.07347,0.05692,0.0639,18631.54,1253.16
2018-07-02,0.06887,0.07661,0.06219,0.07019,64870.64,4467.64
2018-07-03,0.06861,0.07161,0.0593,0.06776,27437.82,1882.51
2018-07-04,0.06781,0.07216,0.06419,0.06946,23814.22,1614.84
2018-07-05,0.06894,0.06927,0.06535,0.06724,13404.84,924.13
2018-07-06,0.06853,0.06992,0.06259,0.06965,5599.67,383.75
2018-07-07,0.08772,0.1008,0.06799,0.07015,238316.99,20905.17
2018-07-08,0.08921,0.1107,0.06835,0.08706,100963.14,9006.92
2018-07-09,0.07496,0.08916,0.07469,0.0887,47378.16,3551.47
2018-07-10,0.06376,0.07625,0.05254,0.07089,97978.87,6247.13
2018-07-11,0.06471,0.06612,0.05582,0.06465,109288.26,7072.04
2018-07-12,0.05828,0.06347,0.05547,0.06329,22808.74,1329.29
2018-07-13,0.05756,0.06043,0.05464,0.05806,14813.92,852.69
2018-07-14,0.05918,0.06037,0.05661,0.05792,6855.69,405.72
2018-07-15,0.05982,0.06097,0.05747,0.06008,19495.91,1166.25
2018-07-16,0.0641,0.06896,0.06208,0.06336,14488.58,928.72
2018-07-17,0.06924,0.07253,0.0655,0.07122,43421.2,3006.48
2018-07-18,0.06889,0.09621,0.05582,0.06977,86345.65,5948.35
2018-07-19,0.06199,0.06991,0.05989,0.06977,28623.46,1774.37
2018-07-20,0.05427,0.06469,0.05141,0.0608,108754.04,5902.08
2018-07-21,0.05561,0.06117,0.05458,0.0548,21144.6,1175.85
2018-07-22,0.05638,0.05904,0.05046,0.05556,31190.53,1758.52
2018-07-23,0.05596,0.06035,0.04839,0.05881,28153.71,1575.48
2018-07-24,0.06238,0.06666,0.05575,0.06087,19094.88,1191.14
2018-07-25,0.05956,0.0607,0.05139,0.0607,5751.26,342.55
2018-07-26,0.05477,0.05786,0.04826,0.05786,30965.11,1695.96
2018-07-27,0.05213,0.05646,0.05024,0.05646,56008.98,2919.75
2018-07-28,0.05062,0.05432,0.04939,0.05243,33758.21,1708.84
2018-07-29,0.05103,0.05111,0.0461,0.05053,32502.15,1658.58
2018-07-30,0.04987,0.05298,0.04611,0.05077,39759.99,1982.83
2018-07-31,0.04394,0.04749,0.03868,0.04719,162428.6,7137.11
2018-08-01,0.04156,0.04719,0.03866,0.04323,31144.84,1294.38
2018-08-02,0.03982,0.04382,0.03756,0.04118,44788.37,1783.47
2018-08-03,0.0362,0.04903,0.02893,0.03916,91278.55,3304.28
2018-08-04,0.03018,0.03425,0.03018,0.03425,23467.57,708.25
2018-08-05,0.03324,0.03324,0.02768,0.03028,18892.89,628.0
2018-08-06,0.03021,0.03674,0.02945,0.03278,12053.01,364.12
2018-08-07,0.03086,0.04014,0.02898,0.02925,8683.64,267.98
2018-08-08,0.02734,0.02929,0.0252,0.02885,16375.47,447.71
2018-08-09,0.02604,0.03147,0.02303,0.02846,29149.13,759.04
2018-08-10,0.02369,0.02689,0.02148,0.02449,27098.27,641.96
2018-08-11,0.01973,0.02403,0.01973,0.02403,557.69,11.0
2018-08-12,0.01973,0.01998,0.01954,0.01998,1867.18,36.84
2018-08-13,0.01447,0.01954,0.01203,0.01954,58954.47,853.07
2018-08-14,0.01265,0.01575,0.01104,0.01432,128250.23,1622.37
2018-08-15,0.01462,0.01587,0.01048,0.0128,86364.09,1262.64
2018-08-16,0.01454,0.01878,0.009549,0.01473,99770.2,1450.66
2018-08-17,0.02109,0.02373,0.01509,0.01516,60850.43,1283.34
2018-08-18,0.01736,0.0205,0.01704,0.0205,16029.42,278.27
2018-08-19,0.01873,0.02549,0.01326,0.01762,21128.62,395.74
2018-08-20,0.02151,0.02188,0.01147,0.01806,7335.56,157.79
2018-08-21,0.01603,0.02239,0.01512,0.02226,36315.74,582.14
2018-08-22,0.01604,0.02209,0.01413,0.01572,11877.09,190.51
2018-08-23,0.01883,0.0291,0.01347,0.01648,32713.67,616.0
2018-08-24,0.01838,0.01966,0.0157,0.01932,5494.37,100.99
2018-08-25,0.01654,0.01944,0.01633,0.01849,5660.88,93.63
2018-08-26,0.0162,0.01902,0.01593,0.01647,5817.19,94.24
2018-08-27,0.01895,0.0195,0.01632,0.01667,20450.9,387.54
2018-08-28,0.01886,0.01957,0.01766,0.01943,7987.11,150.64
2018-08-29,0.0201,0.02087,0.01664,0.01876,14591.02,293.28
2018-08-30,0.01722,0.02016,0.0168,0.01995,23271.27,400.73
2018-08-31,0.01932,0.02003,0.01665,0.01729,80390.63,1553.15
2018-09-01,0.02327,0.02341,0.01902,0.01988,144566.36,3364.06
2018-09-02,0.02234,0.02358,0.02008,0.02358,69643.2,1555.83
2018-09-03,0.02137,0.02225,0.0189,0.02225,15982.03,341.54
2018-09-04,0.02049,0.02329,0.0196,0.02167,127016.45,2602.57
2018-09-05,0.01871,0.02058,0.01663,0.01864,52725.08,986.49
2018-09-06,0.01818,0.01818,0.01622,0.01818,20030.48,364.15
2018-09-07,0.01641,0.01795,0.01622,0.01789,2130.38,34.96
2018-09-08,0.0168,0.0168,0.01401,0.01587,1267.22,21.29
2018-09-09,0.0185,0.0185,0.01656,0.01693,25555.27,472.77
2018-09-10,0.01885,0.01885,0.01436,0.01872,13887.78,261.78
2018-09-11,0.01461,0.01876,0.01461,0.01876,12922.93,188.8
2018-09-12,0.01698,0.01965,0.0142,0.0147,55451.93,941.57
2018-09-13,0.01584,0.0174,0.01506,0.0174,6773.85,107.3
2018-09-14,0.01576,0.0227,0.01472,0.01583,88101.41,1388.48
2018-09-15,0.01624,0.01624,0.015,0.01585,7837.31,127.28
2018-09-16,0.01437,0.01619,0.01437,0.01619,30435.38,437.36
2018-09-17,0.01766,0.02855,0.01384,0.01384,20143.88,355.74
2018-09-18,0.01656,0.01885,0.01529,0.0179,27606.42,457.16
2018-09-19,0.01644,0.01689,0.01638,0.0167,50887.59,836.59
2018-09-20,0.01718,0.01718,0.01672,0.01672,616.79,10.6
2018-09-21,0.01697,0.01785,0.01636,0.01785,79682.19,1352.21
2018-09-22,0.01733,0.01753,0.01652,0.01686,1974.47,34.22
2018-09-23,0.01729,0.01763,0.01696,0.01729,1730.24,29.92
2018-09-24,0.01659,0.01699,0.01639,0.01699,12851.87,213.21
2018-09-25,0.01551,0.01622,0.01275,0.01622,36407.18,564.68
2018-09-26,0.01506,0.01609,0.01506,0.01557,14700.93,221.4
2018-09-27,0.01558,0.01618,0.01491,0.01558,37753.05,588.19
2018-09-28,0.01685,0.01685,0.0142,0.01546,2685.4,45.25
2018-09-29,0.01539,0.0173,0.01175,0.01677,9827.7,151.25
2018-09-30,0.01729,0.01729,0.0153,0.01543,13073.57,226.04
2018-10-01,0.01629,0.01721,0.01477,0.01721,36883.19,600.83
2018-10-02,0.02767,0.0353,0.01612,0.01612,2616360.17,72394.69
2018-10-03,0.02883,0.03207,0.02253,0.02909,3383170.97,97536.82
2018-10-04,0.03724,0.03869,0.02731,0.02921,1567144.63,58360.47
2018-10-05,0.03104,0.03947,0.03031,0.03807,1172501.44,36394.44
2018-10-06,0.02933,0.03255,0.02794,0.03084,260444.19,7638.83
2018-10-07,0.02555,0.02938,0.02442,0.02938,286711.46,7325.48
2018-10-08,0.02527,0.02687,0.02487,0.02574,206907.49,5228.55
2018-10-09,0.0246,0.02759,0.02394,0.0252,211710.86,5208.09
2018-10-10,0.02428,0.02507,0.02172,0.02442,164853.97,4002.65
2018-10-11,0.01956,0.02291,0.01714,0.02291,120402.81,2355.08
2018-10-12,0.02107,0.02169,0.0185,0.01969,265781.57,5600.02
