time,close,high,low,open,volumefrom,volumeto
2017-10-19,0.03415,0.03415,0.03415,0.03415,41.62,1.42
2017-10-20,0.03367,0.03367,0.03367,0.03367,0.0,0.0
2017-10-21,0.01348,0.03328,0.01348,0.03328,73.7,0.9935
2017-10-22,0.01261,0.01323,0.01261,0.01323,49.91,0.6294
2017-10-23,0.01223,0.01223,0.01223,0.01223,0.0,0.0
2017-10-24,0.01271,0.01271,0.01271,0.01271,0.0,0.0
2017-10-25,0.01271,0.01271,0.01271,0.01271,0.0,0.0
2017-10-26,0.01267,0.01267,0.01267,0.01267,0.0,0.0
2017-10-27,0.01271,0.01271,0.01271,0.01271,0.0,0.0
2017-10-28,0.01258,0.01258,0.01258,0.01258,0.0,0.0
2017-10-29,0.01304,0.01304,0.01304,0.01304,0.0,0.0
2017-10-30,0.01316,0.01316,0.01316,0.01316,0.0,0.0
2017-10-31,0.01302,0.01302,0.01302,0.01302,0.0,0.0
2017-11-01,0.01241,0.01241,0.01241,0.01241,0.0,0.0
2017-11-02,0.01222,0.01222,0.01222,0.01222,0.0,0.0
2017-11-03,0.01306,0.01306,0.01306,0.01306,0.0,0.0
2017-11-04,0.01287,0.01287,0.01287,0.01287,0.0,0.0
2017-11-05,0.0127,0.0127,0.0127,0.0127,0.0,0.0
2017-11-06,0.01273,0.01273,0.01273,0.01273,0.0,0.0
2017-11-07,0.01251,0.01251,0.01251,0.01251,0.0,0.0
2017-11-08,0.01318,0.01318,0.01318,0.01318,0.0,0.0
2017-11-09,0.01371,0.01371,0.01371,0.01371,0.0,0.0
2017-11-10,0.005085,0.01273,0.005085,0.01273,5.84,0.0297
2017-11-11,0.005383,0.005383,0.005383,0.005383,0.0,0.0
2017-11-12,0.005242,0.005242,0.005242,0.005242,0.0,0.0
2017-11-13,0.005638,0.005638,0.005389,0.005389,233.08,1.31
2017-11-14,0.005998,0.005998,0.005998,0.005998,0.0,0.0
2017-11-15,0.01541,0.01541,0.005935,0.005935,64.49,0.9938
2017-11-16,0.01537,0.01537,0.01537,0.01537,1.45,0.02229
2017-11-17,0.01543,0.01543,0.01543,0.01543,0.0,0.0
2017-11-18,0.01613,0.01613,0.01613,0.01613,0.0,0.0
2017-11-19,0.0165,0.0165,0.0165,0.0165,0.0,0.0
2017-11-20,0.01711,0.01711,0.01711,0.01711,0.0,0.0
2017-11-21,0.01677,0.01677,0.01677,0.01677,0.0,0.0
2017-11-22,0.01772,0.01772,0.01772,0.01772,0.0,0.0
2017-11-23,0.01891,0.01891,0.01891,0.01891,0.0,0.0
2017-11-24,0.02188,0.02188,0.02188,0.02188,0.0,0.0
2017-11-25,0.02161,0.02161,0.02161,0.02161,0.0,0.0
2017-11-26,0.02189,0.02189,0.02189,0.02189,0.0,0.0
2017-11-27,0.02211,0.02211,0.02211,0.02211,0.0,0.0
2017-11-28,0.02169,0.02169,0.02169,0.02169,0.0,0.0
2017-11-29,0.01988,0.01988,0.01988,0.01988,0.0,0.0
2017-11-30,0.02023,0.02023,0.02023,0.02023,0.0,0.0
2017-12-01,0.02147,0.02147,0.02147,0.02147,0.0,0.0
2017-12-02,0.0213,0.0213,0.0213,0.0213,0.0,0.0
2017-12-03,0.02153,0.02153,0.02153,0.02153,0.0,0.0
2017-12-04,0.02172,0.02172,0.02172,0.02172,0.0,0.0
2017-12-05,0.02112,0.02112,0.02112,0.02112,27967.92,590.68
2017-12-06,0.01966,0.01966,0.01966,0.01966,0.0,0.0
2017-12-07,0.0196,0.0196,0.0196,0.0196,0.0,0.0
2017-12-08,0.02102,0.02102,0.02102,0.02102,0.0,0.0
2017-12-09,0.022,0.022,0.022,0.022,0.0,0.0
2017-12-10,0.02031,0.02031,0.02031,0.02031,0.0,0.0
2017-12-11,0.02053,0.02388,0.02053,0.02388,10.0,0.2053
2017-12-12,0.006624,0.02626,0.006624,0.02626,545.61,3.61
2017-12-13,0.007054,0.007054,0.007054,0.007054,0.0,0.0
2017-12-14,0.006998,0.006998,0.006998,0.006998,60.0,0.4199
2017-12-15,0.006877,0.006904,0.006877,0.006904,148.5,1.02
2017-12-16,0.006963,0.006963,0.006963,0.006963,0.0,0.0
2017-12-17,0.007213,0.007213,0.007213,0.007213,0.0,0.0
2017-12-18,0.007899,0.007899,0.007899,0.007899,0.0,0.0
2017-12-19,0.008166,0.008166,0.008166,0.008166,0.0,0.0
2017-12-20,0.008032,0.008032,0.008032,0.008032,125.0,1.0
2017-12-21,0.007933,0.007933,0.007933,0.007933,0.0,0.0
2017-12-22,0.006611,0.006611,0.006611,0.006611,0.0,0.0
2017-12-23,0.007039,0.007039,0.007039,0.007039,0.0,0.0
2017-12-24,0.006793,0.006793,0.006793,0.006793,0.0,0.0
2017-12-25,0.007268,0.007268,0.007268,0.007268,0.0,0.0
2017-12-26,0.007572,0.007572,0.007572,0.007572,0.0,0.0
2017-12-27,0.007436,0.007436,0.007436,0.007436,0.0,0.0
2017-12-28,0.007196,0.007203,0.007196,0.007203,528.05,3.8
2017-12-29,0.007426,0.007426,0.007426,0.007426,0.0,0.0
2017-12-30,0.006958,0.006958,0.006958,0.006958,328.8,2.29
2017-12-31,0.007441,0.007441,0.007441,0.007441,0.0,0.0
2018-01-01,0.007592,0.007592,0.007592,0.007592,0.0,0.0
2018-01-02,0.008654,0.008654,0.008654,0.008654,0.0,0.0
2018-01-03,0.009449,0.009449,0.009449,0.009449,0.0,0.0
2018-01-04,0.009486,0.009486,0.009486,0.009486,0.0,0.0
2018-01-05,0.00971,0.00971,0.00971,0.00971,0.0,0.0
2018-01-06,0.0101,0.0101,0.0101,0.0101,0.0,0.0
2018-01-07,0.01122,0.01122,0.01122,0.01122,0.0,0.0
2018-01-08,0.01141,0.01141,0.01141,0.01141,0.0,0.0
2018-01-09,0.01294,0.01294,0.01294,0.01294,39.74,0.5142
2018-01-10,0.01254,0.01254,0.01254,0.01254,0.0,0.0
2018-01-11,0.0181,0.0181,0.01144,0.01144,32.91,0.5957
2018-01-12,0.02004,0.02004,0.02004,0.02004,0.0,0.0
2018-01-13,0.02201,0.02201,0.02201,0.02201,0.0,0.0
2018-01-14,0.0216,0.0216,0.0216,0.0216,0.0,0.0
2018-01-15,0.02032,0.02032,0.02032,0.02032,0.0,0.0
2018-01-16,0.01669,0.01669,0.01669,0.01669,0.0,0.0
2018-01-17,0.01628,0.01628,0.01628,0.01628,0.0,0.0
2018-01-18,0.0161,0.0161,0.0161,0.0161,0.0,0.0
2018-01-19,0.01648,0.01648,0.01648,0.01648,0.0,0.0
2018-01-20,0.01828,0.01828,0.01828,0.01828,0.0,0.0
2018-01-21,0.01667,0.01667,0.01667,0.01667,0.0,0.0
2018-01-22,0.01588,0.01588,0.01588,0.01588,0.0,0.0
2018-01-23,0.01564,0.01564,0.01564,0.01564,0.0,0.0
2018-01-24,0.01687,0.01687,0.01687,0.01687,0.0,0.0
2018-01-25,0.01663,0.01663,0.01663,0.01663,0.0,0.0
2018-01-26,0.01666,0.01666,0.01666,0.01666,0.0,0.0
2018-01-27,0.01762,0.01762,0.01762,0.01762,0.0,0.0
2018-01-28,0.01957,0.01957,0.01957,0.01957,0.0,0.0
2018-01-29,0.01859,0.01859,0.01859,0.01859,0.0,0.0
2018-01-30,0.0169,0.0169,0.0169,0.0169,0.0,0.0
2018-01-31,0.01766,0.01766,0.01766,0.01766,0.0,0.0
2018-02-01,0.01631,0.01631,0.01631,0.01631,0.0,0.0
2018-02-02,0.01458,0.01458,0.01458,0.01458,0.0,0.0
