time,close,high,low,open,volumefrom,volumeto
2017-02-13,0.04977,0.09954,0.04977,0.09954,21572.22,1073.65
2017-02-14,0.05445,0.05445,0.04305,0.05042,102002.93,5554.06
2017-02-15,0.04304,0.05444,0.04304,0.05444,13639.6,587.05
2017-02-16,0.05469,0.05469,0.04231,0.04405,19029.79,1040.74
2017-02-17,0.04935,0.05562,0.04935,0.05562,581.69,28.71
2017-02-18,0.05258,0.0526,0.0441,0.04949,25875.44,1360.53
2017-02-19,0.05559,0.05612,0.05239,0.05241,14398.64,800.42
2017-02-20,0.05862,0.05927,0.05066,0.05711,37729.34,2211.69
2017-02-21,0.06154,0.06154,0.05039,0.06088,1133.53,69.76
2017-02-22,0.05044,0.06161,0.05044,0.06161,225.0,11.35
2017-02-23,0.05276,0.06444,0.05276,0.05276,3444.7,181.74
2017-02-24,0.05001,0.06588,0.04968,0.05297,36976.47,1849.19
2017-02-25,0.06314,0.06314,0.04885,0.04885,634.47,40.06
2017-02-26,0.06438,0.06438,0.06438,0.06438,0.0,0.0
2017-02-27,0.06182,0.06533,0.0515,0.06533,987.57,61.05
2017-02-28,0.06184,0.06184,0.05029,0.06184,4369.53,270.21
2017-03-01,0.05125,0.06358,0.05125,0.06358,13613.35,697.68
2017-03-02,0.05263,0.05399,0.05263,0.05263,8834.5,464.96
2017-03-03,0.0538,0.05518,0.0538,0.0538,1738.38,93.52
2017-03-04,0.04946,0.0531,0.04946,0.053,7206.68,356.44
2017-03-05,0.04973,0.04973,0.04973,0.04973,0.0,0.0
2017-03-06,0.05743,0.05744,0.04996,0.04996,1993.45,114.48
2017-03-07,0.05543,0.05543,0.05543,0.05543,0.0,0.0
2017-03-08,0.05158,0.05158,0.05158,0.05158,0.0,0.0
2017-03-09,0.05357,0.05357,0.05357,0.05357,0.0,0.0
2017-03-10,0.05002,0.05002,0.05002,0.05002,0.0,0.0
2017-03-11,0.05189,0.05303,0.04363,0.05303,77.99,4.05
2017-03-12,0.0539,0.0539,0.04323,0.0539,259.94,14.01
2017-03-13,0.04086,0.05448,0.04086,0.05448,189.31,7.74
2017-03-14,0.03729,0.04102,0.03729,0.04102,170.0,6.34
2017-03-15,0.02027,0.05511,0.01477,0.0376,1082.82,21.95
2017-03-16,0.01897,0.01897,0.01897,0.01897,0.0,0.0
2017-03-17,0.04704,0.04704,0.01733,0.01733,335.48,15.78
2017-03-18,0.04264,0.04264,0.04263,0.04263,800.34,34.13
2017-03-19,0.0365,0.04489,0.03647,0.04489,326.24,11.91
2017-03-20,0.04598,0.04598,0.03739,0.03739,134.24,6.17
2017-03-21,0.04272,0.1996,0.04272,0.04921,480.35,20.52
2017-03-22,0.04953,0.05233,0.04298,0.0398,1503.68,74.48
2017-03-23,0.04602,0.04606,0.0371,0.04907,186.36,8.58
2017-03-24,0.08266,1.23,0.03647,0.04178,8489.97,701.78
2017-03-25,0.05453,0.0716,0.03765,0.085,3030.08,165.23
2017-03-26,0.07538,0.08724,0.05429,0.05471,175.0,13.19
2017-03-27,0.04612,0.07718,0.04612,0.08127,7250.38,334.39
2017-03-28,0.05461,0.05648,0.04202,0.04609,15720.03,858.47
2017-03-29,0.07758,0.08196,0.05094,0.05448,12308.58,954.9
2017-03-30,0.09452,0.1008,0.06823,0.07728,1838.65,173.79
2017-03-31,0.1348,0.141,0.05516,0.09827,11218.13,1512.2
2017-04-01,0.08223,0.1387,0.08035,0.1357,5897.75,484.97
2017-04-02,0.0783,0.09131,0.07748,0.08308,2999.55,234.86
2017-04-03,0.07766,0.09061,0.06462,0.08188,4187.33,325.19
2017-04-04,0.1214,0.1253,0.07292,0.07726,14828.31,1800.16
2017-04-05,0.1258,0.1404,0.1065,0.1201,596319.73,75017.02
2017-04-06,0.1034,0.1382,0.1012,0.1323,378892.22,39177.46
2017-04-07,0.1118,0.1128,0.08797,0.1036,185592.31,20749.22
2017-04-08,0.09367,0.1108,0.09242,0.1109,64823.09,6071.98
2017-04-09,0.07905,0.1021,0.0772,0.09554,115834.95,9156.75
2017-04-10,0.08078,0.09038,0.07791,0.07921,132167.97,10676.53
2017-04-11,0.0877,0.09201,0.07377,0.08172,64045.89,5616.82
2017-04-12,0.07998,0.08959,0.07966,0.08711,71460.38,5715.4
2017-04-13,0.07931,0.08687,0.07111,0.07758,141978.17,11260.29
2017-04-14,0.09284,0.09289,0.07657,0.07939,181033.44,16807.14
2017-04-15,0.1111,0.112,0.08951,0.09282,243231.28,27023.0
2017-04-16,0.1282,0.1294,0.111,0.1111,400726.98,51373.2
2017-04-17,0.1399,0.1514,0.1161,0.13,516321.56,72233.39
2017-04-18,0.1514,0.1545,0.1266,0.1414,346140.9,52405.73
2017-04-19,0.1627,0.1761,0.1519,0.1525,362100.53,58913.76
2017-04-20,0.18,0.2017,0.1611,0.1658,622541.08,112057.39
2017-04-21,0.2056,0.2058,0.1726,0.1817,211378.04,43459.33
2017-04-22,0.2307,0.2332,0.1923,0.2041,544610.54,125641.65
2017-04-23,0.2091,0.2352,0.1876,0.2322,380312.03,79523.25
2017-04-24,0.2161,0.2233,0.1701,0.2089,280973.59,60718.39
2017-04-25,0.2099,0.2472,0.2032,0.2189,699171.58,146756.11
2017-04-26,0.2007,0.2208,0.1435,0.2136,681754.73,136828.17
2017-04-27,0.1489,0.2155,0.126,0.2079,433034.03,64478.77
2017-04-28,0.154,0.1649,0.1407,0.1485,257088.72,39591.66
2017-04-29,0.1617,0.1638,0.147,0.1547,122932.31,19878.15
2017-04-30,0.1652,0.1794,0.1486,0.1636,210163.06,34718.94
2017-05-01,0.1508,0.1751,0.1417,0.173,252606.02,38092.99
2017-05-02,0.142,0.1563,0.1284,0.154,364082.35,51699.69
2017-05-03,0.1311,0.1477,0.1285,0.1459,410070.08,53760.19
2017-05-04,0.1435,0.1457,0.1134,0.1339,470788.91,67558.21
2017-05-05,0.1344,0.149,0.1254,0.1426,297041.78,39922.42
2017-05-06,0.1467,0.154,0.1288,0.1378,339084.82,49743.74
2017-05-07,0.1564,0.1839,0.1476,0.1476,347237.48,54307.94
2017-05-08,0.1554,0.1758,0.1543,0.1674,258287.48,40137.87
2017-05-09,0.1392,0.1625,0.1379,0.1585,272972.39,37997.76
2017-05-10,0.1458,0.1607,0.141,0.1437,412340.84,60119.29
2017-05-11,0.1573,0.166,0.1493,0.1513,230437.67,36247.85
2017-05-12,0.1357,0.1494,0.1314,0.1458,262215.71,35582.67
2017-05-13,0.1417,0.1459,0.1357,0.1419,277473.68,39318.02
2017-05-14,0.1442,0.1544,0.1367,0.1424,276556.49,39879.45
2017-05-15,0.1327,0.1408,0.13,0.1391,275974.3,36621.79
2017-05-16,0.1416,0.1588,0.1301,0.1343,556059.55,78738.03
2017-05-17,0.164,0.1645,0.1397,0.1475,322857.85,52948.69
2017-05-18,0.2028,0.2126,0.1656,0.1713,493921.14,100167.21
2017-05-19,0.2225,0.2729,0.1974,0.2115,726302.68,161602.35
2017-05-20,0.2226,0.2736,0.2044,0.2314,423825.98,94343.66
2017-05-21,0.2179,0.2304,0.2065,0.223,307379.52,66978.0
2017-05-22,0.222,0.2286,0.2118,0.2265,322286.59,71547.62
2017-05-23,0.2498,0.2591,0.23,0.2375,319908.03,79913.03
2017-05-24,0.2553,0.2903,0.248,0.2687,454771.87,116103.26
2017-05-25,0.2244,0.2427,0.2096,0.2409,353518.74,79329.61
2017-05-26,0.2138,0.2209,0.2013,0.2183,196393.68,41988.97
2017-05-27,0.1942,0.1975,0.1692,0.1957,278234.92,54033.22
2017-05-28,0.2069,0.2173,0.1985,0.2065,207119.07,42852.94
2017-05-29,0.2363,0.2442,0.1829,0.2153,439223.01,103788.4
2017-05-30,0.2423,0.3192,0.2274,0.2274,720438.7,174562.3
2017-05-31,0.2589,0.2644,0.2444,0.2545,237076.53,61379.11
2017-06-01,0.2934,0.2948,0.2709,0.2712,234667.56,68851.46
2017-06-02,0.3353,0.3395,0.2981,0.3031,328935.66,110292.13
2017-06-03,0.3345,0.3469,0.2488,0.3424,237710.67,79514.22
2017-06-04,0.3049,0.3965,0.249,0.3317,761738.63,232254.11
2017-06-05,0.3546,0.3608,0.3268,0.3268,349324.28,123870.39
2017-06-06,0.358,0.3778,0.3333,0.3763,366279.16,131127.94
2017-06-07,0.4064,0.4463,0.3203,0.3356,719028.88,292213.34
2017-06-08,0.4226,0.4682,0.4125,0.4226,261238.9,110399.56
2017-06-09,0.44,0.4512,0.4124,0.4245,246293.19,108369.0
2017-06-10,0.4429,0.4678,0.4327,0.4539,271800.08,120380.26
2017-06-11,0.4204,0.4594,0.4154,0.454,211408.48,88876.12
2017-06-12,0.3316,0.3789,0.3013,0.3757,309620.49,102670.15
2017-06-13,0.3527,0.3654,0.3166,0.3386,211925.01,74745.95
2017-06-14,0.3101,0.3257,0.3082,0.3207,193528.08,60013.06
2017-06-15,0.2938,0.3195,0.2804,0.307,212737.53,62502.29
2017-06-16,0.2855,0.3018,0.2817,0.3018,298826.35,85314.92
2017-06-17,0.2939,0.3207,0.2918,0.3022,242508.48,71273.24
2017-06-18,0.2702,0.2903,0.2672,0.2811,315053.99,85127.59
2017-06-19,0.2863,0.3365,0.2748,0.2784,353173.11,101113.46
2017-06-20,0.2895,0.317,0.2785,0.3013,363225.96,105153.92
2017-06-21,0.2787,0.2841,0.2668,0.2814,268511.83,74834.25
2017-06-22,0.2973,0.3123,0.275,0.2834,330277.3,98191.44
2017-06-23,0.2824,0.3285,0.2805,0.296,461444.0,130311.79
2017-06-24,0.2583,0.2846,0.2544,0.2699,335968.1,86780.56
2017-06-25,0.2446,0.2608,0.238,0.2535,384285.6,93996.26
2017-06-26,0.2073,0.3004,0.1984,0.2354,885816.36,183629.73
2017-06-27,0.2104,0.2444,0.1916,0.2189,528035.46,111098.66
2017-06-28,0.2193,0.2242,0.205,0.2099,304949.93,66875.52
2017-06-29,0.2377,0.245,0.2124,0.2177,500315.53,118925.0
2017-06-30,0.2087,0.2328,0.2077,0.2305,362862.52,75729.41
2017-07-01,0.1925,0.2072,0.1884,0.204,221546.76,42647.75
2017-07-02,0.2022,0.2055,0.1971,0.2014,251149.21,50782.37
2017-07-03,0.2063,0.2072,0.1979,0.205,223778.63,46165.53
2017-07-04,0.2194,0.2299,0.2063,0.2099,298696.23,65533.95
2017-07-05,0.2052,0.226,0.202,0.2202,451482.12,92644.13
2017-07-06,0.2034,0.2124,0.1937,0.2042,232205.07,47230.51
2017-07-07,0.161,0.2009,0.1575,0.1956,370784.04,59696.23
2017-07-08,0.1647,0.1668,0.1588,0.1643,286708.93,47220.96
2017-07-09,0.1385,0.1638,0.134,0.1613,544357.68,75393.54
2017-07-10,0.104,0.1299,0.09758,0.1293,652366.33,67846.1
2017-07-11,0.0992,0.1033,0.08695,0.1031,469733.29,46597.54
2017-07-12,0.1059,0.109,0.09857,0.1026,458139.79,48517.0
2017-07-13,0.1048,0.1465,0.09766,0.1041,662608.3,69441.35
2017-07-14,0.1092,0.1121,0.09897,0.09906,530266.8,57905.13
2017-07-15,0.09729,0.09911,0.09228,0.09656,407607.02,39656.09
2017-07-16,0.0874,0.09611,0.08715,0.09429,491873.6,42989.75
2017-07-17,0.1041,0.1047,0.1001,0.102,408877.66,42564.16
2017-07-18,0.1129,0.116,0.1052,0.1081,440329.34,49713.18
2017-07-19,0.113,0.1215,0.1065,0.1111,553473.41,62542.5
2017-07-20,0.1388,0.148,0.1363,0.1419,564283.75,78322.58
2017-07-21,0.1348,0.1367,0.1292,0.1295,325569.62,43886.78
2017-07-22,0.1455,0.1464,0.1398,0.1429,398576.24,57992.84
2017-07-23,0.146,0.1467,0.1402,0.1414,327733.42,47849.08
2017-07-24,0.1458,0.1489,0.1408,0.1464,394783.12,57559.38
2017-07-25,0.124,0.1366,0.123,0.1363,464067.06,57544.32
2017-07-26,0.1165,0.1234,0.116,0.1228,362097.85,42184.4
2017-07-27,0.1159,0.1233,0.1144,0.1225,365407.08,42350.68
2017-07-28,0.1123,0.1208,0.1098,0.1208,337748.77,37929.19
2017-07-29,0.1066,0.1096,0.102,0.1093,431345.27,45981.41
2017-07-30,0.1188,0.1302,0.1079,0.1079,461816.07,54863.75
2017-07-31,0.1171,0.1245,0.1161,0.1238,303074.7,35490.05
2017-08-01,0.1201,0.1215,0.1096,0.1116,436787.5,52458.18
2017-08-02,0.1063,0.1195,0.09761,0.119,957894.02,101824.13
2017-08-03,0.1182,0.1233,0.1054,0.1098,684225.07,80875.4
2017-08-04,0.1129,0.1238,0.11,0.1211,498914.07,56327.4
2017-08-05,0.144,0.1504,0.1235,0.1279,619606.89,89223.39
2017-08-06,0.1583,0.1607,0.1419,0.1427,450685.64,71343.54
2017-08-07,0.1678,0.2001,0.1607,0.1666,660006.8,110749.14
2017-08-08,0.1632,0.1751,0.1544,0.1692,542758.19,88578.14
2017-08-09,0.1539,0.1693,0.1523,0.1594,498561.28,76728.58
2017-08-10,0.1365,0.1588,0.1345,0.1574,780819.21,106581.82
2017-08-11,0.154,0.1638,0.1432,0.1437,647992.59,99790.86
2017-08-12,0.1951,0.198,0.1618,0.1632,842414.68,164355.1
2017-08-13,0.1725,0.2188,0.1717,0.2048,702585.78,121196.05
2017-08-14,0.1688,0.1874,0.1666,0.1838,470689.83,79452.44
