time,close,high,low,open,volumefrom,volumeto
2018-02-20,0.2878,0.3126,0.2878,0.302,62180.19,17895.46
2018-02-21,0.263,0.2932,0.2529,0.273,60941.72,16027.67
2018-02-22,0.2631,0.2728,0.2422,0.2518,65802.78,17312.71
2018-02-23,0.2615,0.2795,0.2513,0.2795,33670.49,8804.83
2018-02-24,0.2425,0.2684,0.2417,0.255,34872.91,8456.68
2018-02-25,0.2067,0.2538,0.1681,0.2445,89652.28,18531.13
2018-02-26,0.2421,0.2586,0.2048,0.2134,115726.47,28017.38
2018-02-27,0.2223,0.2789,0.2057,0.2432,90506.26,20119.54
2018-02-28,0.2103,0.2299,0.1984,0.2171,84154.48,17697.69
2018-03-01,0.2044,0.2218,0.2035,0.2149,59594.03,12181.02
2018-03-02,0.2062,0.2139,0.1925,0.2011,98662.88,20344.29
2018-03-03,0.1891,0.2113,0.1592,0.2062,40000.23,7564.04
2018-03-04,0.1816,0.198,0.1756,0.1911,62518.97,11353.44
2018-03-05,0.175,0.1937,0.1724,0.1784,55757.18,9757.51
2018-03-06,0.1607,0.1737,0.1501,0.168,52963.85,8511.29
2018-03-07,0.1465,0.1592,0.1277,0.148,24541.25,3595.29
2018-03-08,0.1419,0.1419,0.1195,0.1363,30357.82,4307.77
2018-03-09,0.1388,0.1476,0.1185,0.1476,62640.25,8694.47
2018-03-10,0.1481,0.1624,0.118,0.1303,33489.6,4959.81
2018-03-11,0.1455,0.1657,0.1217,0.1563,39318.77,5720.88
2018-03-12,0.131,0.1408,0.1255,0.1408,72198.13,9457.96
2018-03-13,0.129,0.1339,0.118,0.1297,50229.44,6479.6
2018-03-14,0.09749,0.1147,0.09197,0.1147,58016.64,5656.04
2018-03-15,0.09219,0.1062,0.08609,0.09708,69801.78,6435.03
2018-03-16,0.09308,0.09987,0.08467,0.09068,21617.51,2012.16
2018-03-17,0.09176,0.09621,0.04728,0.08522,34983.92,3210.12
2018-03-18,0.09619,0.1016,0.07937,0.08969,33027.75,3176.94
2018-03-19,0.1044,0.1044,0.08778,0.09944,19425.2,2027.99
2018-03-20,0.09534,0.1059,0.08235,0.1048,31521.03,3005.22
2018-03-21,0.1041,0.1041,0.08399,0.09574,17983.62,1872.09
2018-03-22,0.0934,0.1004,0.08638,0.1004,27427.68,2561.75
2018-03-23,0.09245,0.09996,0.09245,0.09408,13179.14,1218.41
2018-03-24,0.09259,0.09259,0.08323,0.08843,9026.71,835.78
2018-03-25,0.08624,0.09414,0.08373,0.0931,6283.47,541.89
2018-03-26,0.08174,0.0868,0.0779,0.08018,15410.16,1259.63
2018-03-27,0.08931,0.08967,0.07544,0.07544,15451.72,1379.99
2018-03-28,0.1021,0.111,0.08651,0.08874,70586.38,7206.87
2018-03-29,0.08024,0.09156,0.07336,0.08787,33885.54,2718.98
2018-03-30,0.07483,0.08861,0.06695,0.08231,26388.72,1974.67
2018-03-31,0.08039,0.09261,0.06991,0.07487,22075.9,1774.68
2018-04-01,0.08259,0.08346,0.07588,0.07729,5968.35,492.93
2018-04-02,0.08109,0.08644,0.08109,0.08386,7920.28,642.26
2018-04-03,0.08568,0.09225,0.08227,0.08768,8977.78,769.22
2018-04-04,0.08368,0.08565,0.078,0.078,29000.97,2426.8
2018-04-05,0.08737,0.08737,0.07822,0.08428,16124.45,1408.79
2018-04-06,0.09959,0.1181,0.08477,0.08485,103683.45,10325.83
2018-04-07,0.09417,0.1192,0.08662,0.1035,43553.08,4101.39
2018-04-08,0.1029,0.1058,0.08828,0.09802,29934.64,3080.27
2018-04-09,0.0887,0.1233,0.0887,0.1025,35787.79,3174.38
2018-04-10,0.1093,0.1161,0.08313,0.0924,14464.54,1580.97
2018-04-11,0.1085,0.1158,0.08677,0.1132,31850.98,3455.83
2018-04-12,0.1208,0.1333,0.118,0.1245,32985.34,3984.63
2018-04-13,0.1193,0.1262,0.1119,0.1262,7004.73,835.66
2018-04-14,0.1146,0.1232,0.1104,0.1212,36839.05,4221.76
2018-04-15,0.1228,0.1281,0.1122,0.1218,6157.31,756.12
2018-04-16,0.1142,0.1251,0.1103,0.1176,27818.89,3176.92
2018-04-17,0.1132,0.1181,0.1057,0.1122,2415.13,273.39
2018-04-18,0.1101,0.1216,0.1096,0.1183,23536.97,2591.42
2018-04-19,0.1099,0.1214,0.1028,0.1188,30798.23,3384.73
2018-04-20,0.1102,0.1228,0.1069,0.1195,112511.64,12398.78
2018-04-21,0.1138,0.1138,0.09659,0.1081,53697.22,6110.74
2018-04-22,0.1336,0.1343,0.09531,0.1168,72699.79,9712.69
2018-04-23,0.1357,0.1436,0.118,0.1385,40764.87,5531.79
2018-04-24,0.1386,0.1533,0.1335,0.1482,47276.99,6552.59
2018-04-25,0.1172,0.1269,0.1064,0.1218,25851.02,3029.74
2018-04-26,0.1244,0.1323,0.1057,0.1255,25832.91,3213.61
2018-04-27,0.1101,0.1209,0.1095,0.1209,3515.11,387.01
2018-04-28,0.1182,0.1257,0.1161,0.1169,14407.91,1703.01
2018-04-29,0.1179,0.1198,0.107,0.1193,16060.69,1893.56
2018-04-30,0.1185,0.1233,0.1072,0.1146,11673.43,1383.3
2018-05-01,0.1201,0.1207,0.1089,0.1187,81433.31,9780.14
2018-05-02,0.1175,0.1238,0.1156,0.1229,18154.14,2133.11
2018-05-03,0.1086,0.1352,0.1033,0.1331,32342.67,3512.41
2018-05-04,0.1091,0.1169,0.1059,0.1095,25200.64,2749.39
2018-05-05,0.1151,0.1184,0.1076,0.1136,27465.28,3161.25
2018-05-06,0.1069,0.1152,0.1069,0.1114,3392.85,362.7
2018-05-07,0.1038,0.1162,0.09443,0.1018,33265.36,3452.94
2018-05-08,0.09886,0.1097,0.09833,0.1032,34706.36,3431.07
2018-05-09,0.1026,0.1086,0.09391,0.09932,32384.37,3322.64
2018-05-10,0.09718,0.1085,0.08683,0.09885,21056.68,2046.29
2018-05-11,0.08608,0.09103,0.08079,0.09103,19245.98,1656.69
2018-05-12,0.09366,0.09906,0.0834,0.08682,8461.56,792.51
2018-05-13,0.09066,0.09992,0.0846,0.09992,5797.28,525.58
2018-05-14,0.08198,0.09042,0.08198,0.09042,41069.07,3366.84
2018-05-15,0.08411,0.08524,0.07953,0.07953,15586.88,1311.01
2018-05-16,0.08544,0.08721,0.08021,0.08424,21566.02,1842.6
2018-05-17,0.08315,0.08315,0.07553,0.08081,23154.03,1925.26
2018-05-18,0.08524,0.09148,0.07733,0.08628,7661.91,653.1
2018-05-19,0.0916,0.09181,0.08074,0.08554,3885.14,355.88
2018-05-20,0.09225,0.1161,0.08582,0.09411,45172.42,4167.16
2018-05-21,0.08883,0.09894,0.08479,0.08988,16801.44,1492.47
2018-05-22,0.08017,0.08171,0.07427,0.08171,36415.27,2919.41
2018-05-23,0.06653,0.07559,0.06532,0.07218,50254.79,3343.45
2018-05-24,0.07593,0.09581,0.06291,0.06948,108961.95,8273.48
2018-05-25,0.07485,0.08011,0.07368,0.07368,15483.92,1158.97
2018-05-26,0.07474,0.08013,0.07328,0.07498,15422.04,1152.64
2018-05-27,0.07975,0.08425,0.07132,0.07269,10646.6,849.07
2018-05-28,0.07322,0.0768,0.06994,0.07168,8436.97,617.75
2018-05-29,0.08674,0.09513,0.08102,0.08102,53352.38,4627.79
2018-05-30,0.08914,0.0897,0.08362,0.0853,19627.19,1749.57
2018-05-31,0.08705,0.09409,0.07798,0.09236,25815.17,2247.21
2018-06-01,0.08372,0.08784,0.08228,0.08731,216916.03,18160.21
2018-06-02,0.08179,0.08899,0.07984,0.08574,268313.13,21945.33
2018-06-03,0.07874,0.08728,0.07874,0.08586,253701.37,19976.45
2018-06-04,0.07498,0.07864,0.07244,0.07521,265052.12,19873.61
2018-06-05,0.07688,0.07901,0.07457,0.07712,250823.28,19283.29
2018-06-06,0.07797,0.07949,0.075,0.07664,386748.68,30154.79
2018-06-07,0.07809,0.08365,0.07737,0.07773,403347.83,31497.43
2018-06-08,0.07398,0.07974,0.07081,0.07746,140617.69,10402.9
2018-06-09,0.06877,0.07405,0.06705,0.07322,263242.1,18103.16
2018-06-10,0.06202,0.06496,0.05867,0.06082,731802.29,45386.38
2018-06-11,0.06193,0.06554,0.05811,0.06278,319904.24,19811.67
2018-06-12,0.05974,0.06117,0.05563,0.05771,102267.12,6109.44
2018-06-13,0.05611,0.05925,0.05549,0.05754,205020.72,11503.71
2018-06-14,0.05718,0.06326,0.0564,0.06124,434511.03,24845.34
2018-06-15,0.05363,0.05718,0.05182,0.05367,45763.77,2454.31
2018-06-16,0.0528,0.05748,0.05251,0.05469,74100.79,3912.52
2018-06-17,0.05251,0.05588,0.05156,0.05275,122437.61,6429.2
2018-06-18,0.05477,0.05823,0.05373,0.05477,207132.08,11344.62
2018-06-19,0.06548,0.06693,0.05611,0.05713,434325.45,28439.63
2018-06-20,0.06745,0.07319,0.06241,0.06541,584146.4,39400.67
2018-06-21,0.06477,0.0673,0.05952,0.06614,508725.59,32950.16
2018-06-22,0.05634,0.05837,0.05001,0.05648,551014.16,31044.14
2018-06-23,0.0505,0.05804,0.04268,0.0578,573613.81,28967.5
2018-06-24,0.04785,0.05322,0.04557,0.04848,533097.04,25508.69
2018-06-25,0.05276,0.05575,0.04707,0.04822,522625.3,27573.71
2018-06-26,0.0488,0.05327,0.04639,0.04987,561303.13,27391.59
2018-06-27,0.05257,0.05301,0.04797,0.05023,536023.1,28178.73
2018-06-28,0.05158,0.05335,0.04851,0.04998,541329.38,27921.77
2018-06-29,0.05354,0.05658,0.04966,0.05336,249850.63,13377.0
2018-06-30,0.05047,0.05577,0.05047,0.05577,6629.64,334.6
2018-07-01,0.05288,0.05663,0.0503,0.0503,432607.61,22876.29
2018-07-02,0.05957,0.06196,0.05462,0.05566,1938266.22,115462.52
