time,close,high,low,open,volumefrom,volumeto
2018-02-08,0.1628,0.1628,0.1628,0.1628,78.0,12.7
2018-02-09,0.2426,0.2426,0.1757,0.1757,5375042.55,1303985.32
2018-02-10,0.235,0.2351,0.2084,0.2351,16117678.54,3787654.46
2018-02-11,0.213,0.2596,0.2012,0.2241,51981607.09,11072082.31
2018-02-12,0.2206,0.2729,0.2121,0.2272,51817216.7,11430878.0
2018-02-13,0.2155,0.2484,0.1934,0.2144,66848865.38,14405930.49
2018-02-14,0.2199,0.2362,0.207,0.2357,10688349.42,2350368.04
2018-02-15,0.2226,0.2365,0.2079,0.2218,3734309.39,831257.27
2018-02-16,0.2066,0.225,0.02177,0.225,15494387.99,3201140.56
2018-02-17,0.2288,0.2324,0.2135,0.2147,16145873.41,3694175.84
2018-02-18,0.202,0.2158,0.1992,0.2145,21887.95,4421.37
2018-02-19,0.2161,0.2345,0.1974,0.2077,47611084.93,10288755.45
2018-02-20,0.2005,0.2054,0.186,0.2036,45184649.76,9059522.28
2018-02-21,0.1931,0.1932,0.1815,0.1902,80449658.74,15534829.1
2018-02-22,0.1847,0.1876,0.1691,0.1849,30393794.11,5613733.77
2018-02-23,0.1838,0.1962,0.1701,0.1962,45253561.99,8317604.69
2018-02-24,0.19,0.1975,0.1792,0.1792,40362838.46,7668939.31
2018-02-25,0.1773,0.1916,0.1571,0.1916,36791151.12,6523071.09
2018-02-26,0.1796,0.1831,0.1727,0.1831,36102229.29,6483960.38
2018-02-27,0.1883,0.1891,0.1778,0.1778,42051073.0,7918217.05
2018-02-28,0.1754,0.1839,0.172,0.1839,30975841.6,5433162.62
2018-03-01,0.1792,0.1792,0.1714,0.1792,33703752.05,6039712.37
2018-03-02,0.178,0.1788,0.1591,0.1763,40353900.15,7182994.23
2018-03-03,0.16,0.178,0.154,0.178,27482375.73,4397180.12
2018-03-04,0.1738,0.1738,0.08129,0.1617,32785838.02,5698178.65
2018-03-05,0.1614,0.1707,0.1444,0.1707,1908817.8,308083.19
2018-03-06,0.1338,0.155,0.1338,0.155,25407296.28,3399496.24
2018-03-07,0.1313,0.136,0.1074,0.1232,24103698.74,3164815.64
2018-03-08,0.1173,0.1264,0.1008,0.1222,27200005.56,3190560.65
2018-03-09,0.1166,0.1268,0.1019,0.122,21114059.69,2461899.36
2018-03-10,0.1135,0.1222,0.1043,0.1094,17310199.45,1964707.64
2018-03-11,0.1188,0.1198,0.1011,0.1198,16700727.05,1984046.37
2018-03-12,0.113,0.1149,0.1115,0.1149,34110380.69,3854473.02
2018-03-13,0.1125,0.1125,0.1104,0.112,26008976.25,2926009.83
2018-03-14,0.09859,0.09994,0.09841,0.09994,19692371.78,1941470.93
2018-03-15,0.09696,0.09842,0.0856,0.09818,16854458.47,1634208.29
2018-03-16,0.09374,0.09602,0.08449,0.09602,6676069.16,625814.72
