time,close,high,low,open,volumefrom,volumeto
2018-01-18,4.65,4.92,4.5,4.77,792846.51,3686736.27
2018-01-19,6.96,7.04,4.77,4.79,3948173.1,27479284.78
2018-01-20,6.55,8.61,6.39,7.68,4948270.73,32411173.28
2018-01-21,5.54,6.24,5.25,5.92,1655343.54,9170603.21
2018-01-22,5.07,5.49,4.75,5.19,1455565.8,7379718.61
2018-01-23,4.85,5.1,4.72,5.09,732568.92,3552959.26
2018-01-24,4.87,5.27,4.76,5.11,802520.69,3908275.76
2018-01-25,5.13,5.35,4.69,4.76,1024787.97,5257162.29
2018-01-26,4.76,5.22,4.66,5.09,756845.34,3602583.82
2018-01-27,4.88,5.16,4.76,4.91,504255.74,2460768.01
2018-01-28,4.62,5.17,4.59,5.01,599327.58,2768893.42
2018-01-29,4.34,4.56,4.1,4.41,681237.76,2956571.88
2018-01-30,3.77,3.9,3.54,3.9,534845.72,2016368.36
2018-01-31,3.65,3.92,3.56,3.82,393679.25,1436929.26
2018-02-01,2.83,3.55,2.69,3.25,2268645.59,6420267.02
2018-02-02,2.82,2.88,2.44,2.76,3074408.44,8669831.8
2018-02-03,2.99,3.05,2.78,2.94,2634427.84,7876939.24
2018-02-04,2.61,3.12,2.51,2.66,3553429.73,9274451.6
2018-02-05,1.94,2.21,1.82,2.2,2967028.94,5756036.14
2018-02-06,2.26,2.39,1.92,2.16,3112741.5,7034795.79
2018-02-07,2.09,2.28,2.02,2.22,2991845.43,6252956.95
2018-02-08,2.32,2.37,2.17,2.27,41975.02,97382.05
2018-02-09,2.57,2.66,2.33,2.45,424313.06,1090484.56
2018-02-10,2.25,2.55,2.07,2.53,2720300.95,6120677.14
2018-02-11,2.07,2.2,1.99,2.12,2589514.33,5360294.66
2018-02-12,2.48,2.63,2.27,2.27,3978672.11,9867106.83
2018-02-13,2.32,2.49,2.24,2.38,4392005.04,10189451.69
2018-02-14,2.41,2.59,2.4,2.58,3831773.91,9234575.12
2018-02-15,2.87,2.99,2.52,2.55,4851805.32,13924681.27
2018-02-16,2.99,3.35,2.8,2.91,6131208.92,18332314.67
2018-02-17,3.09,3.34,3.09,3.26,4030429.64,12454027.59
2018-02-18,2.83,2.95,2.72,2.9,4252672.08,12035061.99
2018-02-19,3.0,3.14,2.92,3.04,5245755.51,15737266.53
2018-02-20,2.57,3.16,2.54,3.02,4871619.51,12520062.14
2018-02-21,2.28,2.47,2.14,2.39,5449304.29,12424413.78
2018-02-22,2.2,2.26,2.06,2.14,4040774.96,8889704.91
2018-02-23,2.29,2.74,2.17,2.27,4064521.13,9307753.39
