time,close,high,low,open,volumefrom,volumeto
2017-05-26,0.06037,0.06037,0.02907,0.04752,3189.64,192.56
2017-05-27,0.05254,0.05519,0.02098,0.05519,7925.45,416.4
2017-05-28,0.07981,0.08051,0.05604,0.05604,802.03,64.01
2017-05-29,0.07637,0.1082,0.05105,0.08306,15744.83,1202.43
2017-05-30,0.07038,0.09726,0.07018,0.07349,7362.28,518.16
2017-05-31,0.08057,0.08057,0.06461,0.07394,760.64,61.28
2017-06-01,0.06548,0.08439,0.06273,0.08439,2930.28,191.87
2017-06-02,0.07216,0.08622,0.04596,0.06767,11625.73,838.91
2017-06-03,0.07387,0.1018,0.07064,0.07369,4619.8,341.26
2017-06-04,0.0968,0.0968,0.07325,0.07325,1217.0,117.81
2017-06-05,0.07926,0.1136,0.07844,0.1037,24593.98,1949.32
2017-06-06,0.08514,0.1004,0.07208,0.08411,59222.04,5042.16
2017-06-07,0.1074,0.1448,0.06182,0.07983,15186.77,1631.06
2017-06-08,0.1147,0.3213,0.07702,0.1117,51130.16,5864.63
2017-06-09,0.09851,0.1206,0.08856,0.1152,114357.92,11265.4
2017-06-10,0.1182,0.192,0.09748,0.1016,130313.39,15403.04
2017-06-11,0.1329,0.1378,0.1063,0.1212,42872.48,5697.75
2017-06-12,0.0953,0.1188,0.08204,0.1188,80017.98,7625.71
2017-06-13,0.1147,0.1166,0.0841,0.09731,36937.39,4236.72
2017-06-14,0.09837,0.108,0.08638,0.1043,45109.42,4437.41
2017-06-15,0.09704,0.1023,0.06719,0.09738,164796.13,15991.82
2017-06-16,0.08993,0.1035,0.06357,0.09967,23662.62,2127.98
2017-06-17,0.08361,0.09519,0.05353,0.09519,30199.64,2524.99
2017-06-18,0.08888,0.1066,0.05079,0.07997,83544.0,7425.39
2017-06-19,0.07937,0.1116,0.06545,0.09159,100470.43,7974.34
2017-06-20,0.06335,0.08357,0.05512,0.08354,123262.58,7808.68
2017-06-21,0.09107,0.1071,0.06159,0.06159,187845.03,17107.05
2017-06-22,0.1279,0.1334,0.09258,0.0926,185348.46,23706.07
2017-06-23,0.1142,0.1274,0.08253,0.1274,175068.34,19992.8
2017-06-24,0.1811,0.1839,0.09174,0.1091,140092.96,25370.84
2017-06-25,0.1533,0.2452,0.1245,0.1777,222942.81,34177.13
2017-06-26,0.1296,0.1996,0.1034,0.1475,213237.44,27635.57
2017-06-27,0.1252,0.1541,0.1034,0.1369,211008.57,26418.27
2017-06-28,0.1551,0.1804,0.1247,0.1249,614771.06,95350.99
2017-06-29,0.1509,0.1875,0.1279,0.1539,1186174.3,178993.7
2017-06-30,0.1475,0.1489,0.1389,0.1464,1268935.43,187167.98
2017-07-01,0.1207,0.1455,0.0932,0.1441,363953.5,43929.19
2017-07-02,0.1272,0.1471,0.08632,0.1263,1104976.08,140552.96
2017-07-03,0.1206,0.149,0.08749,0.129,1268499.81,152981.08
2017-07-04,0.1239,0.1399,0.1036,0.1227,1383953.04,171471.78
2017-07-05,0.1505,0.1693,0.1183,0.1244,878281.54,132181.37
2017-07-06,0.1457,0.1626,0.1229,0.1497,359597.15,52393.3
2017-07-07,0.1451,0.1515,0.1316,0.1401,320237.15,46466.41
2017-07-08,0.1637,0.1665,0.1373,0.1481,726923.25,118997.34
2017-07-09,0.1863,0.1863,0.1434,0.1603,319765.56,59572.32
2017-07-10,0.1533,0.199,0.1484,0.1739,163375.78,25045.51
2017-07-11,0.1398,0.1677,0.1162,0.152,181857.82,25423.72
2017-07-12,0.1473,0.1659,0.1234,0.1445,93000.9,13699.03
2017-07-13,0.2599,0.2681,0.1448,0.1448,433810.13,112747.25
2017-07-14,0.2183,0.3097,0.168,0.2458,462281.8,100916.12
2017-07-15,0.1638,0.2133,0.1568,0.193,125692.88,20588.49
2017-07-16,0.1585,0.1877,0.1455,0.1588,97591.93,15468.32
2017-07-17,0.1852,0.1852,0.1566,0.185,102150.09,18918.2
2017-07-18,0.1984,0.2123,0.1699,0.1924,111962.08,22213.28
2017-07-19,0.179,0.2009,0.1705,0.1952,90267.23,16157.83
2017-07-20,0.1479,0.2293,0.1436,0.2248,240708.04,35600.72
2017-07-21,0.1609,0.1979,0.1338,0.138,63782.08,10262.54
2017-07-22,0.1886,0.2078,0.1405,0.1706,540014.9,101846.81
2017-07-23,0.1668,0.222,0.1412,0.1833,657820.95,109724.53
2017-07-24,0.1906,0.2082,0.1658,0.1672,153046.78,29170.72
2017-07-25,0.1678,0.1791,0.1552,0.1781,61510.23,10321.42
2017-07-26,0.1952,0.2055,0.1457,0.1663,122497.84,23911.58
2017-07-27,0.1812,0.2054,0.1615,0.2054,40645.32,7364.93
2017-07-28,0.1577,0.1962,0.1531,0.189,50290.09,7930.75
2017-07-29,0.1436,0.1595,0.08203,0.1536,724733.67,104071.76
2017-07-30,0.1506,0.1887,0.1424,0.1454,460083.42,69288.56
2017-07-31,0.147,0.1576,0.08904,0.157,656490.2,96504.06
2017-08-01,0.1647,0.1648,0.1381,0.1401,1323437.54,217970.16
2017-08-02,0.1481,0.1916,0.1481,0.1631,42805.76,6339.53
2017-08-03,0.1558,0.1917,0.1405,0.153,272828.39,42506.66
2017-08-04,0.137,0.1652,0.1188,0.1596,373781.74,51208.1
2017-08-05,0.1522,0.1706,0.1501,0.1553,341539.24,51982.27
2017-08-06,0.1611,0.1778,0.1448,0.1507,130319.6,20994.49
2017-08-07,0.1707,0.1962,0.1532,0.1696,313428.23,53502.2
2017-08-08,0.1714,0.1817,0.1557,0.1721,43437.02,7445.11
2017-08-09,0.1741,0.2121,0.1542,0.1673,128250.16,22328.35
2017-08-10,0.203,0.2381,0.1618,0.1781,244443.14,49621.96
