time,close,high,low,open,volumefrom,volumeto
2017-02-19,0.1643,0.2098,0.1259,0.1468,35420.23,5819.54
2017-02-20,0.1488,0.1687,0.1293,0.1687,35358.14,5261.29
2017-02-21,0.1472,0.1679,0.1465,0.1545,36965.04,5441.25
2017-02-22,0.177,0.2037,0.1445,0.1473,27197.67,4813.99
2017-02-23,0.1774,0.1852,0.1641,0.1852,23851.14,4231.19
2017-02-24,0.1859,0.1895,0.176,0.1781,12203.39,2268.61
2017-02-25,0.2451,0.247,0.177,0.1815,69367.44,17001.96
2017-02-26,0.2718,0.3538,0.2343,0.2499,61125.67,16613.96
2017-02-27,0.3305,0.3305,0.2721,0.2758,29298.91,9683.29
2017-02-28,0.2419,0.333,0.2065,0.3306,81778.79,19782.29
2017-03-01,0.278,0.306,0.2487,0.2487,45422.47,12627.45
2017-03-02,0.2964,0.3061,0.2335,0.2855,47143.37,13973.29
2017-03-03,0.2396,0.3041,0.2311,0.303,72605.42,17396.26
2017-03-04,0.2278,0.2402,0.2023,0.236,60007.28,13669.66
2017-03-05,0.2248,0.2518,0.2248,0.2291,40896.68,9193.57
2017-03-06,0.2136,0.2348,0.2061,0.2258,12135.47,2592.14
2017-03-07,0.2532,0.257,0.2062,0.2062,36869.26,9335.3
2017-03-08,0.2218,0.2381,0.2122,0.2356,20258.05,4493.24
2017-03-09,0.2096,0.2304,0.2046,0.2304,13878.42,2908.92
2017-03-10,0.1859,0.2174,0.1841,0.1957,22688.68,4217.83
2017-03-11,0.2032,0.2086,0.1968,0.197,9009.32,1830.69
2017-03-12,0.1934,0.2111,0.1838,0.2111,21313.29,4121.99
2017-03-13,0.2039,0.2302,0.1857,0.1955,29557.22,6026.72
2017-03-14,0.2055,0.2188,0.186,0.2047,25502.12,5240.69
2017-03-15,0.1955,0.2089,0.1952,0.2072,11671.74,2281.83
2017-03-16,0.1961,0.2346,0.178,0.183,37391.76,7332.52
2017-03-17,0.1715,0.1822,0.1715,0.1792,15833.18,2715.39
2017-03-18,0.1651,0.1684,0.1493,0.1554,11877.13,1960.91
2017-03-19,0.1592,0.181,0.1592,0.1738,4816.72,766.82
2017-03-20,0.1853,0.2077,0.161,0.1631,26311.58,4875.54
2017-03-21,0.2074,0.2198,0.1839,0.1984,20087.13,4166.07
2017-03-22,0.2423,0.2676,0.1837,0.1933,35616.03,8629.76
2017-03-23,0.2494,0.2494,0.2069,0.24,39072.38,9744.65
2017-03-24,0.3571,0.4417,0.2161,0.2265,274915.05,98172.16
2017-03-25,0.2996,0.3778,0.2416,0.3672,86592.54,25943.12
2017-03-26,0.3218,0.3442,0.2807,0.3005,96784.21,31145.16
2017-03-27,0.3632,0.4515,0.3327,0.3469,135302.1,49141.72
2017-03-28,0.376,0.4199,0.31,0.3629,39459.78,14836.88
2017-03-29,0.3766,0.3959,0.3126,0.3751,41950.31,15798.49
2017-03-30,0.3721,0.3794,0.3395,0.3752,8393.49,3123.22
2017-03-31,0.4117,0.4297,0.3723,0.3869,35065.17,14436.33
2017-04-01,0.4126,0.4172,0.3803,0.4144,7078.95,2920.77
2017-04-02,0.4051,0.417,0.3786,0.4169,10414.19,4218.79
2017-04-03,0.4338,0.4363,0.4028,0.4236,19534.38,8474.01
2017-04-04,0.4183,0.4322,0.3539,0.4316,23332.11,9759.82
2017-04-05,0.3788,0.414,0.3466,0.414,11872.86,4497.44
2017-04-06,0.4234,0.4282,0.3986,0.3986,8452.44,3578.76
2017-04-07,0.395,0.4286,0.3691,0.4241,23600.36,9322.14
2017-04-08,0.3368,0.4134,0.3306,0.3918,18838.05,6344.66
2017-04-09,0.3619,0.3625,0.3372,0.3435,10310.97,3731.54
2017-04-10,0.3617,0.3626,0.3061,0.3626,14418.94,5215.33
2017-04-11,0.3099,0.3673,0.2871,0.3659,25798.6,7994.99
2017-04-12,0.3564,0.3655,0.3079,0.3079,39230.33,13981.69
2017-04-13,0.3465,0.3529,0.3156,0.3457,14089.07,4881.86
2017-04-14,0.3504,0.3594,0.3408,0.3468,7299.62,2557.79
2017-04-15,0.3598,0.3598,0.2942,0.3503,13772.8,4955.45
2017-04-16,0.3814,0.3814,0.3246,0.3597,38710.26,14764.09
2017-04-17,0.3881,0.406,0.3693,0.387,20908.7,8114.67
2017-04-18,0.3806,0.392,0.3437,0.392,41442.92,15773.18
2017-04-19,0.4833,0.4861,0.3342,0.3835,62967.73,30432.3
2017-04-20,0.6003,0.6067,0.4299,0.4924,67704.41,40642.96
2017-04-21,0.5497,0.6061,0.4786,0.606,31424.97,17274.31
2017-04-22,0.4897,0.5584,0.4753,0.5459,16725.72,8190.59
2017-04-23,0.4875,0.5145,0.4502,0.4929,21537.49,10499.53
2017-04-24,0.4507,0.4873,0.4506,0.4872,7248.28,3266.8
2017-04-25,0.4679,0.4804,0.4552,0.4565,15484.57,7245.23
2017-04-26,0.4749,0.5044,0.4633,0.4762,14753.94,7006.65
2017-04-27,0.5126,0.5217,0.48,0.492,16978.84,8703.35
2017-04-28,0.5087,0.5199,0.4707,0.5114,17602.13,8954.2
2017-04-29,0.4717,0.5198,0.465,0.5113,4226.89,1993.82
2017-04-30,0.4663,0.4772,0.4461,0.4772,10864.18,5065.97
2017-05-01,0.4937,0.494,0.4249,0.4883,14761.62,7287.81
2017-05-02,0.449,0.5043,0.4338,0.5042,7130.61,3201.64
2017-05-03,0.4939,0.57,0.4458,0.4613,29395.03,14518.21
2017-05-04,0.4211,0.5084,0.4032,0.5043,32956.34,13877.91
2017-05-05,0.497,0.5276,0.4103,0.4186,34225.2,17009.92
2017-05-06,0.5152,0.5467,0.4939,0.5093,15393.67,7930.82
2017-05-07,0.5531,0.5531,0.5092,0.5183,12551.77,6942.38
2017-05-08,0.52,0.599,0.4945,0.5922,13753.98,7152.07
2017-05-09,0.4982,0.5432,0.4753,0.5303,25013.05,12461.5
2017-05-10,0.4949,0.5143,0.4731,0.5143,23310.08,11536.16
2017-05-11,0.4243,0.5141,0.3824,0.5138,38036.07,16138.7
2017-05-12,0.4385,0.4629,0.3452,0.3933,6244.42,2738.18
2017-05-13,0.4325,0.4692,0.388,0.4586,6235.53,2696.87
2017-05-14,0.4121,0.436,0.3935,0.4346,6983.69,2877.98
2017-05-15,0.4168,0.4546,0.3794,0.3973,5069.23,2112.86
2017-05-16,0.3805,0.4374,0.3286,0.4218,29617.51,11269.46
2017-05-17,0.3703,0.4127,0.3305,0.3963,16486.45,6104.93
2017-05-18,0.3809,0.395,0.3627,0.3867,11180.09,4258.5
2017-05-19,0.3486,0.3973,0.3092,0.3973,16404.12,5718.48
2017-05-20,0.3497,0.4142,0.3289,0.3625,24186.12,8457.89
2017-05-21,0.368,0.3882,0.3479,0.3504,16118.26,5931.52
2017-05-22,0.5067,0.5999,0.3461,0.3824,49883.83,25276.14
2017-05-23,0.4741,0.542,0.4545,0.542,30859.87,14630.66
2017-05-24,0.5152,0.6468,0.449,0.5101,83662.44,43102.89
2017-05-25,0.4568,0.5307,0.4409,0.4861,10849.71,4956.15
2017-05-26,0.3448,0.372,0.3026,0.4445,14743.07,5083.41
2017-05-27,0.4156,0.4156,0.1222,0.3756,5729.08,2381.01
2017-05-28,0.4203,0.4706,0.08209,0.4435,15223.54,6398.45
2017-05-29,0.447,0.454,0.131,0.4374,7717.23,3449.6
2017-05-30,0.3828,0.4308,0.1305,0.4302,29968.0,11471.75
2017-05-31,0.3754,0.4022,0.2587,0.4022,21647.64,8126.52
2017-06-01,0.3691,0.4024,0.2098,0.3933,64545.07,23823.59
2017-06-02,0.3981,0.5033,0.1461,0.3814,107749.85,42895.22
2017-06-03,0.4452,0.717,0.2075,0.4065,98661.13,43923.94
2017-06-04,0.5111,0.5682,0.2372,0.4415,66265.09,33868.09
2017-06-05,0.6776,0.6898,0.5148,0.5478,137712.25,93313.82
2017-06-06,0.5552,0.7452,0.3413,0.7191,168342.63,93463.83
2017-06-07,0.6417,0.7822,0.3491,0.5205,66127.96,42434.31
2017-06-08,0.698,0.8164,0.3149,0.6672,24851.17,17346.12
2017-06-09,0.7529,0.7529,0.3391,0.7012,20877.7,15718.82
2017-06-10,0.4403,0.7813,0.3463,0.7767,18616.22,8196.72
2017-06-11,0.6958,0.752,0.4514,0.4514,18332.28,12755.6
2017-06-12,0.542,0.6217,0.4025,0.6217,64175.48,34783.11
2017-06-13,0.5752,0.5969,0.4533,0.5534,14493.51,8336.67
2017-06-14,0.4787,0.5522,0.4106,0.5231,22053.88,10557.19
2017-06-15,0.4575,0.5713,0.3691,0.4738,61373.61,28078.43
2017-06-16,0.4754,0.5514,0.3946,0.4699,20313.3,9656.94
2017-06-17,0.4973,0.5268,0.2129,0.5031,104421.43,51928.78
2017-06-18,0.2261,0.4861,0.2261,0.4757,3699.47,836.45
2017-06-19,0.5202,0.5247,0.2117,0.233,16830.79,8755.38
2017-06-20,0.5302,0.5682,0.2776,0.5476,4952.11,2625.61
2017-06-21,0.06876,0.5511,0.06876,0.5154,30286.19,2082.48
2017-06-22,0.5582,0.5849,0.05269,0.06992,17887.29,9984.69
2017-06-23,0.5624,0.5852,0.1598,0.5556,7932.71,4461.36
2017-06-24,0.5753,0.6416,0.1532,0.5374,31869.41,18334.47
2017-06-25,0.6453,0.7414,0.1849,0.5645,53005.89,34204.7
2017-06-26,0.5871,0.7368,0.4975,0.6211,39548.56,23218.96
2017-06-27,1.04,3.15,0.618,0.6201,544779.53,566570.71
2017-06-28,1.35,2.94,0.9437,1.04,1840616.43,2484832.18
2017-06-29,1.12,1.47,1.02,1.34,530026.5,593629.68
2017-06-30,0.9196,1.14,0.8737,1.09,213188.04,196047.72
2017-07-01,0.74,0.9698,0.7206,0.8988,67349.03,49838.28
2017-07-02,0.7379,0.7759,0.6848,0.7741,57463.01,42401.96
2017-07-03,0.7576,0.8718,0.6887,0.7483,125655.61,95196.69
2017-07-04,0.9789,1.07,0.7441,0.7708,115834.66,113390.55
2017-07-05,1.13,1.51,0.9066,0.9828,1021217.93,1153976.26
2017-07-06,0.9647,1.2,0.915,1.12,241541.78,233015.36
2017-07-07,0.8386,1.0,0.7542,0.9276,77252.65,64784.07
2017-07-08,0.8,0.8849,0.771,0.8556,49144.69,39315.75
2017-07-09,0.8112,0.8325,0.7763,0.7833,21185.39,17185.59
2017-07-10,0.6045,0.7574,0.5928,0.7571,58242.83,35207.79
2017-07-11,0.5292,0.6059,0.4883,0.5994,90925.96,48118.02
2017-07-12,0.6423,0.6503,0.5402,0.5472,30091.67,19327.88
2017-07-13,0.5672,0.6397,0.5434,0.6315,57270.82,32484.01
2017-07-14,0.7341,0.8914,0.5364,0.5364,120864.31,88726.49
2017-07-15,0.6032,0.7505,0.5354,0.649,83985.12,50659.82
2017-07-16,0.5247,0.6204,0.5042,0.5846,39716.75,20839.38
2017-07-17,0.7035,0.7728,0.5883,0.6122,40028.32,28159.92
2017-07-18,0.7077,0.7309,0.6638,0.7309,19403.78,13732.06
2017-07-19,0.6069,0.6966,0.5225,0.6962,47726.87,28965.44
2017-07-20,0.8827,1.04,0.7621,0.7621,158696.42,140081.33
2017-07-21,0.8389,0.9711,0.7996,0.8239,49370.45,41416.87
2017-07-22,0.9009,1.02,0.8098,0.8895,32675.64,29437.48
2017-07-23,0.8703,0.9097,0.7994,0.8755,30949.81,26935.62
2017-07-24,1.25,1.55,0.8323,0.8724,592639.28,740799.1
2017-07-25,1.3,1.52,1.17,1.17,410831.56,534081.03
2017-07-26,1.2,1.28,1.03,1.28,123627.63,148353.16
2017-07-27,1.36,1.36,1.22,1.27,44802.24,60931.05
2017-07-28,1.51,1.54,1.26,1.42,35068.59,52953.57
2017-07-29,1.4,1.47,1.34,1.47,22659.06,31722.68
2017-07-30,1.35,1.43,1.3,1.41,12898.39,17412.83
2017-07-31,1.16,1.49,1.16,1.41,55982.18,64939.33
2017-08-01,1.32,1.4,1.01,1.32,46939.6,61960.27
2017-08-02,1.15,1.33,1.12,1.31,37526.25,43155.19
2017-08-03,1.37,1.44,1.18,1.19,60994.58,83562.57
2017-08-04,1.31,1.44,1.31,1.4,30306.4,39701.38
2017-08-05,1.69,1.79,1.47,1.48,44569.7,75322.79
2017-08-06,1.65,1.78,1.59,1.67,15505.74,25584.47
