time,close,high,low,open,volumefrom,volumeto
2016-11-27,5.11,6.48,2.92,3.65,50.45,257.8
2016-11-28,2.77,5.13,1.98,5.13,441.63,1223.32
2016-11-29,1.47,2.93,1.29,2.77,906.46,1332.5
2016-11-30,1.78,3.34,1.48,1.48,772.38,1374.84
2016-12-01,3.61,3.61,1.95,1.96,493.35,1780.99
2016-12-02,3.78,4.63,2.48,3.7,931.03,3519.29
2016-12-03,3.82,4.6,3.44,3.74,349.74,1336.01
2016-12-04,4.4,4.4,3.07,3.83,541.77,2383.79
2016-12-05,4.07,4.54,2.32,3.28,739.43,3009.48
2016-12-06,6.07,6.07,2.35,3.03,1142.34,6934.0
2016-12-07,3.83,6.12,2.38,6.12,972.27,3723.79
2016-12-08,3.07,4.15,3.07,3.63,526.21,1615.46
2016-12-09,2.62,3.39,1.46,3.08,825.08,2161.71
2016-12-10,3.02,4.18,1.18,2.63,2094.08,6324.12
2016-12-11,2.38,3.46,2.07,2.99,968.55,2305.15
2016-12-12,2.6,3.11,1.82,2.41,1049.76,2729.38
2016-12-13,2.5,2.6,1.99,2.6,716.2,1790.5
2016-12-14,2.24,2.72,2.24,2.49,474.06,1061.89
2016-12-15,2.33,2.87,1.4,2.55,797.36,1857.85
2016-12-16,2.28,2.67,2.28,2.32,28.26,64.43
2016-12-17,2.36,2.64,1.92,2.64,44.3,104.55
2016-12-18,1.93,2.37,1.42,2.37,185.11,357.26
2016-12-19,0.9477,2.17,0.5765,1.93,680.52,644.93
2016-12-20,1.55,1.6,0.8678,0.9589,554.11,858.87
2016-12-21,1.1,1.2,1.08,1.2,66.02,72.62
2016-12-22,2.67,17.2,1.63,17.2,1225.4,3271.82
2016-12-23,3.57,4.12,2.3,2.84,1532.12,5469.67
2016-12-24,2.0,3.61,2.0,3.47,145.27,290.54
2016-12-25,2.17,3.03,2.0,2.0,217.96,472.97
2016-12-26,1.84,2.02,1.8,2.18,142.07,261.41
2016-12-27,1.85,2.73,1.85,1.9,88.92,164.5
2016-12-28,2.87,4.76,1.65,1.95,1220.3,3502.26
2016-12-29,4.71,4.71,2.04,2.86,223.54,1052.87
2016-12-30,4.11,4.32,2.01,4.65,1212.1,4981.73
2016-12-31,3.84,4.13,2.8,4.13,258.23,991.6
2017-01-01,2.8,3.97,2.8,3.97,67.46,188.89
2017-01-02,4.07,4.07,2.86,2.86,548.02,2230.44
2017-01-03,2.95,2.95,2.91,4.13,120.44,355.3
2017-01-04,3.24,3.24,3.18,3.24,355.62,1152.21
2017-01-05,3.43,4.24,2.49,2.82,643.1,2205.83
2017-01-06,3.05,3.05,2.57,3.07,391.01,1192.58
2017-01-07,2.68,2.68,2.67,3.06,84.81,227.29
2017-01-08,2.34,2.97,2.34,2.72,161.01,376.76
2017-01-09,2.02,2.88,2.02,2.34,1626.16,3284.84
2017-01-10,3.65,3.65,2.03,2.03,766.82,2798.89
2017-01-11,2.99,3.3,2.99,3.17,214.71,641.98
2017-01-12,3.47,3.47,3.08,3.08,256.81,891.13
2017-01-13,3.3,3.54,2.73,3.54,156.71,517.14
2017-01-14,2.95,2.97,2.95,3.28,28.51,84.1
2017-01-15,3.45,3.45,2.96,2.96,250.4,863.88
2017-01-16,2.98,3.01,2.98,3.47,914.17,2724.23
2017-01-17,3.02,3.24,3.02,3.24,387.01,1168.77
2017-01-18,2.53,2.72,2.44,2.93,143.86,363.97
2017-01-19,2.55,2.94,2.55,2.59,92.98,237.1
2017-01-20,3.66,3.66,2.16,2.54,1301.71,4764.26
2017-01-21,3.35,3.81,2.79,3.77,457.67,1533.19
2017-01-22,3.0,3.77,2.99,3.34,776.31,2328.93
2017-01-23,3.96,3.96,3.24,3.01,497.9,1971.68
2017-01-24,4.29,4.45,3.16,3.84,756.64,3245.99
2017-01-25,3.67,4.37,3.58,4.29,246.59,904.99
2017-01-26,3.77,4.2,3.63,3.75,340.19,1282.52
2017-01-27,3.67,3.86,3.58,3.78,265.67,975.01
2017-01-28,3.82,3.82,3.62,3.67,91.94,351.21
2017-01-29,3.57,3.94,3.57,3.8,364.75,1302.16
2017-01-30,4.05,4.05,3.59,3.59,145.36,588.71
2017-01-31,3.77,4.25,3.77,4.25,201.62,760.11
2017-02-01,4.32,4.32,3.44,3.83,979.16,4229.97
2017-02-02,3.84,4.45,3.82,4.42,319.29,1226.07
2017-02-03,4.0,4.05,3.87,3.87,58.93,235.72
2017-02-04,4.22,4.22,4.0,4.08,14.34,60.51
2017-02-05,3.85,4.07,3.05,4.16,2770.42,10666.12
2017-02-06,3.9,5.64,3.9,3.89,811.87,3166.29
2017-02-07,4.62,5.04,4.0,3.99,369.37,1706.49
2017-02-08,6.86,7.39,4.65,4.65,927.96,6365.81
2017-02-09,7.34,7.34,5.87,6.36,404.57,2969.54
2017-02-10,6.98,7.25,6.98,7.48,162.44,1133.83
2017-02-11,6.69,7.06,6.69,7.06,65.82,440.34
2017-02-12,5.13,6.62,5.13,6.62,161.7,829.52
2017-02-13,5.98,7.98,4.48,5.12,671.45,4015.27
2017-02-14,7.16,9.28,6.05,6.06,250.89,1796.37
2017-02-15,9.07,9.98,7.16,7.16,500.5,4539.54
2017-02-16,9.29,10.21,7.22,9.29,452.54,4204.1
2017-02-17,8.4,11.02,8.4,9.45,665.8,5592.72
2017-02-18,10.52,13.67,8.42,8.42,1264.76,13305.28
2017-02-19,7.53,12.59,7.36,10.49,1281.96,9653.16
2017-02-20,8.51,9.75,7.67,7.74,142.42,1211.99
2017-02-21,8.95,11.19,8.78,8.84,865.91,7749.89
2017-02-22,7.84,9.51,7.84,8.96,64.95,509.21
2017-02-23,5.86,9.37,5.86,8.2,2518.4,14757.82
2017-02-24,5.66,7.95,5.65,5.88,432.66,2448.86
2017-02-25,5.56,5.82,5.52,5.53,65.41,363.68
2017-02-26,6.32,6.32,5.67,5.67,238.05,1504.48
2017-02-27,6.66,8.39,6.39,6.41,123.93,825.37
2017-02-28,7.14,7.14,5.71,6.66,628.44,4487.06
2017-03-01,7.34,7.63,5.87,7.34,815.97,5989.22
2017-03-02,8.43,8.43,6.04,7.53,547.31,4613.82
2017-03-03,7.71,8.62,7.7,8.62,370.21,2854.32
2017-03-04,7.21,7.63,7.21,7.59,1345.86,9703.65
2017-03-05,7.69,8.01,6.99,7.25,594.38,4570.78
2017-03-06,7.06,7.73,5.75,7.73,892.92,6304.02
2017-03-07,6.72,6.84,5.79,6.81,100.01,672.07
2017-03-08,9.64,10.9,5.51,6.25,2446.72,23586.38
2017-03-09,6.97,10.02,6.59,10.02,1857.96,12949.98
2017-03-10,5.23,6.88,3.34,6.51,1578.4,8255.03
2017-03-11,4.56,5.9,1.77,5.54,6728.79,30683.28
2017-03-12,4.66,5.99,4.08,4.73,1782.22,8305.15
2017-03-13,4.25,4.71,4.05,4.71,224.48,954.04
2017-03-14,4.36,4.61,4.08,4.27,156.01,680.2
2017-03-15,3.89,4.64,3.76,4.39,133.37,518.81
2017-03-16,3.52,3.91,3.52,3.64,121.12,426.34
2017-03-17,3.1,3.57,3.0,3.22,1410.52,4372.61
2017-03-18,2.74,3.03,2.72,2.81,489.05,1340.0
2017-03-19,2.46,3.19,2.23,2.88,4869.93,11980.03
2017-03-20,3.63,4.23,2.28,2.52,2119.13,7692.44
2017-03-21,4.02,4.41,2.52,3.89,9495.48,38171.83
2017-03-22,6.0,6.84,3.15,3.74,4173.94,25043.64
2017-03-23,5.38,7.11,4.86,5.95,2597.33,13973.64
2017-03-24,5.85,7.67,4.89,4.89,3112.31,18207.01
2017-03-25,4.35,7.06,1.93,6.01,3430.57,14922.98
2017-03-26,4.61,5.18,3.88,4.36,782.72,3608.34
