time,close,high,low,open,volumefrom,volumeto
2018-09-05,0.01165,0.014,0.01165,0.01264,1025675.54,12646.36
2018-09-06,0.0115,0.01165,0.00987,0.01165,2260661.58,23744.24
2018-09-07,0.0107,0.01155,0.01022,0.0115,626411.89,6858.28
2018-09-08,0.0095,0.0112,0.009279,0.0107,1057526.9,11082.77
2018-09-09,0.0102,0.01167,0.0095,0.0095,369135.79,3811.63
2018-09-10,0.0095,0.01112,0.0095,0.0102,577022.31,5682.44
2018-09-11,0.009122,0.00965,0.0088,0.0095,472339.7,4286.03
2018-09-12,0.008407,0.009122,0.008398,0.009122,375750.55,3242.76
2018-09-13,0.0095,0.0097,0.00811,0.008407,1549924.55,13799.6
2018-09-14,0.008867,0.0095,0.008211,0.0095,388113.18,3461.07
2018-09-15,0.00851,0.00953,0.0084,0.008867,532413.84,4906.39
2018-09-16,0.008686,0.0097,0.00851,0.00851,179801.92,1614.31
2018-09-17,0.008686,0.01096,0.008686,0.008686,619643.34,6059.17
2018-09-18,0.009998,0.009998,0.008686,0.008686,185261.23,1682.49
2018-09-19,0.009,0.009998,0.008623,0.009998,242925.74,2159.12
2018-09-20,0.0095,0.0098,0.0085,0.009,791015.42,7201.6
2018-09-21,0.00905,0.00988,0.0087,0.0095,1076750.58,9949.42
2018-09-22,0.009586,0.009586,0.008903,0.00905,380218.95,3534.28
2018-09-23,0.00972,0.009728,0.009011,0.009586,337989.06,3205.04
2018-09-24,0.009627,0.011,0.0094,0.00972,2099339.98,21631.73
2018-09-25,0.0098,0.01018,0.0092,0.009627,695232.52,6696.78
2018-09-26,0.0096,0.01045,0.009352,0.0098,174473.64,1671.87
2018-09-27,0.0104,0.01044,0.00952,0.0096,71257.33,683.76
2018-09-28,0.00962,0.0104,0.00925,0.0104,94201.29,904.04
2018-09-29,0.00925,0.00987,0.009193,0.00962,44455.68,414.73
2018-09-30,0.0101,0.01038,0.00925,0.00925,118935.22,1197.47
2018-10-01,0.00997,0.0101,0.009194,0.0101,38043.23,361.95
2018-10-02,0.009194,0.00997,0.009194,0.00997,79330.54,742.54
2018-10-03,0.00911,0.0099,0.009011,0.009194,124045.68,1146.32
2018-10-04,0.009513,0.00969,0.00911,0.00911,46222.04,439.75
2018-10-05,0.0097,0.0097,0.00912,0.009513,62367.21,593.91
2018-10-06,0.00985,0.00987,0.009409,0.0097,37056.08,361.38
2018-10-07,0.0098,0.00985,0.009449,0.00985,38433.28,365.13
2018-10-08,0.0103,0.0103,0.009525,0.0098,231603.18,2259.65
2018-10-09,0.009612,0.01139,0.00961,0.0103,230458.09,2342.45
2018-10-10,0.0108,0.01081,0.0092,0.009612,919444.45,9066.11
2018-10-11,0.00922,0.0108,0.009101,0.0108,346475.43,3361.29
2018-10-12,0.00977,0.009998,0.009011,0.00922,88536.23,803.97
2018-10-13,0.00903,0.00977,0.009011,0.00977,76029.74,687.07
2018-10-14,0.009663,0.00973,0.00903,0.00903,4636.22,44.49
2018-10-15,0.0095,0.01037,0.0093,0.009663,156941.55,1535.07
2018-10-16,0.0095,0.0099,0.0095,0.0095,208205.61,2018.36
2018-10-17,0.0095,0.01,0.009495,0.0095,164189.27,1595.6
2018-10-18,0.009945,0.0108,0.0095,0.0095,448117.51,4594.79
2018-10-19,0.0099,0.01,0.009851,0.009945,304579.15,3020.62
2018-10-20,0.00931,0.0105,0.009263,0.0099,377985.81,3646.49
2018-10-21,0.0097,0.009883,0.00931,0.00931,60580.19,594.54
2018-10-22,0.00996,0.0105,0.0097,0.0097,143645.16,1475.56
2018-10-23,0.009975,0.0105,0.00995,0.00996,67906.57,678.28
2018-10-24,0.00995,0.01046,0.00995,0.009975,49009.24,497.58
2018-10-25,0.00995,0.00995,0.00995,0.00995,34967.43,347.93
2018-10-26,0.0103,0.0103,0.0099,0.00995,301326.65,3023.9
2018-10-27,0.008586,0.01046,0.00836,0.0103,1576489.42,14958.06
2018-10-28,0.008942,0.00988,0.0082,0.008586,1222790.91,10657.6
2018-10-29,0.0098,0.0098,0.0086,0.008942,292662.33,2735.17
2018-10-30,0.009232,0.009997,0.009232,0.0098,189991.44,1879.14
2018-10-31,0.008915,0.009232,0.00881,0.009232,35779.08,318.99
2018-11-01,0.008866,0.008915,0.008866,0.008915,5585.77,49.64
2018-11-02,0.0086,0.009,0.0086,0.008866,1769947.85,15507.94
2018-11-03,0.008803,0.009739,0.0086,0.0086,689790.01,6110.45
2018-11-04,0.00905,0.00955,0.0087,0.008803,651771.65,5780.72
2018-11-05,0.009,0.009096,0.0086,0.00905,694192.68,6040.72
2018-11-06,0.009164,0.00952,0.008665,0.009,357919.14,3228.97
2018-11-07,0.009164,0.009164,0.008767,0.009164,425189.99,3799.01
2018-11-08,0.00879,0.009164,0.008737,0.009164,968855.39,8532.22
2018-11-09,0.00879,0.009124,0.00879,0.00879,86333.77,765.88
2018-11-10,0.0088,0.0091,0.008714,0.00879,63925.35,569.61
2018-11-11,0.0088,0.0088,0.008714,0.0088,145279.97,1270.42
2018-11-12,0.00831,0.0088,0.008297,0.0088,152486.21,1287.04
2018-11-13,0.007549,0.008721,0.006319,0.00831,959039.08,6954.91
2018-11-14,0.006541,0.008599,0.006541,0.007549,787765.59,5886.03
2018-11-15,0.005849,0.007421,0.005645,0.006541,299293.52,1918.85
2018-11-16,0.00555,0.006762,0.005456,0.005849,694902.16,4030.11
